time,Atlanta,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. D. Dedmon (D. Schroder gains possession),,,,Jump ball: M. Turner vs. D. Dedmon (D. Schroder gains possession)
11:39.0,D. Dedmon makes 2-pt shot from 16 ft (assist by J. Collins),2,2-0,,
11:14.0,,,2-3,3,C. Joseph makes 3-pt shot from 22 ft (assist by V. Oladipo)
10:49.0,K. Bazemore misses 2-pt shot from 17 ft,,2-3,,
10:48.0,Offensive rebound by Team,,2-3,,
10:45.0,J. Collins misses 3-pt shot from 23 ft,,2-3,,
10:42.0,,,2-3,,Defensive rebound by V. Oladipo
10:33.0,,,2-3,,B. Bogdanovic misses 2-pt shot from 1 ft (block by D. Dedmon)
10:33.0,,,2-3,,Offensive rebound by Team
10:25.0,,,2-3,,T. Young misses 3-pt shot from 23 ft
10:22.0,Defensive rebound by D. Dedmon,,2-3,,
10:16.0,T. Waller-Prince misses 2-pt shot from 12 ft,,2-3,,
10:14.0,,,2-3,,Defensive rebound by M. Turner
10:03.0,,,2-5,2,C. Joseph makes 2-pt shot from 1 ft
9:46.0,K. Bazemore misses 3-pt shot from 25 ft,,2-5,,
9:43.0,,,2-5,,Defensive rebound by M. Turner
9:34.0,,,2-7,2,B. Bogdanovic makes 2-pt shot from 17 ft
9:08.0,J. Collins makes 2-pt shot at rim (assist by D. Schroder),2,4-7,,
8:49.0,,,4-7,,M. Turner misses 2-pt shot from 7 ft
8:47.0,Defensive rebound by D. Dedmon,,4-7,,
8:36.0,Turnover by D. Schroder (bad pass; steal by M. Turner),,4-7,,
8:29.0,,,4-9,2,T. Young makes 2-pt shot from 1 ft (assist by C. Joseph)
8:02.0,D. Dedmon makes 2-pt shot at rim,2,6-9,,
7:48.0,,,6-9,,T. Young misses 2-pt shot from 12 ft
7:47.0,,,6-9,,Offensive rebound by M. Turner
7:36.0,,,6-11,2,C. Joseph makes 2-pt shot from 16 ft
7:35.0,Atlanta full timeout,,6-11,,
7:21.0,D. Schroder misses 3-pt shot from 30 ft,,6-11,,
7:18.0,,,6-11,,Defensive rebound by V. Oladipo
7:10.0,,,6-13,2,B. Bogdanovic makes 2-pt shot from 2 ft
6:53.0,D. Schroder misses 3-pt shot from 26 ft,,6-13,,
6:51.0,,,6-13,,Defensive rebound by V. Oladipo
6:46.0,,,6-16,3,M. Turner makes 3-pt shot from 27 ft (assist by V. Oladipo)
6:32.0,Turnover by D. Dedmon (out of bounds lost ball),,6-16,,
6:13.0,,,6-16,,Turnover by M. Turner (lost ball; steal by D. Dedmon)
6:00.0,D. Schroder misses 2-pt shot at rim,,6-16,,
5:58.0,,,6-16,,Defensive rebound by V. Oladipo
5:42.0,,,6-16,,Turnover by T. Young (bad pass; steal by J. Collins)
5:35.0,D. Dedmon makes 2-pt shot from 2 ft (assist by D. Schroder),2,8-16,,
5:15.0,,,8-19,3,C. Joseph makes 3-pt shot from 25 ft (assist by V. Oladipo)
4:52.0,D. Schroder makes 2-pt shot from 20 ft (assist by T. Waller-Prince),2,10-19,,
4:35.0,,,10-22,3,M. Turner makes 3-pt shot from 23 ft (assist by T. Young)
4:10.0,K. Bazemore misses 3-pt shot from 23 ft,,10-22,,
4:08.0,,,10-22,,Defensive rebound by T. Young
4:04.0,,,10-24,2,B. Bogdanovic makes 2-pt shot at rim
4:04.0,,,10-24,,Shooting foul by T. Waller-Prince (drawn by B. Bogdanovic)
4:04.0,,,10-24,,D. Sabonis enters the game for T. Young
4:04.0,I. Taylor enters the game for T. Waller-Prince,,10-24,,
4:04.0,T. Dorsey enters the game for D. Dedmon,,10-24,,
4:04.0,J. Morris enters the game for D. Schroder,,10-24,,
4:04.0,M. Muscala enters the game for J. Collins,,10-24,,
4:04.0,M. Plumlee enters the game for K. Bazemore,,10-24,,
4:04.0,,,10-25,1,B. Bogdanovic makes free throw 1 of 1
3:51.0,I. Taylor misses 3-pt shot from 27 ft,,10-25,,
3:49.0,,,10-25,,Defensive rebound by B. Bogdanovic
3:42.0,,,10-25,,Turnover by B. Bogdanovic (lost ball; steal by J. Morris)
3:39.0,,,10-25,,G. Robinson enters the game for B. Bogdanovic
3:26.0,T. Dorsey misses 3-pt shot from 24 ft,,10-25,,
3:22.0,,,10-25,,Defensive rebound by G. Robinson
3:17.0,,,10-25,,C. Joseph misses 2-pt shot from 18 ft
3:15.0,Defensive rebound by J. Morris,,10-25,,
3:10.0,I. Taylor makes 2-pt shot from 7 ft,2,12-25,,
3:10.0,,,12-25,,Indiana full timeout
3:10.0,,,12-25,,D. Collison enters the game for C. Joseph
2:52.0,,,12-27,2,V. Oladipo makes 2-pt shot from 11 ft
2:32.0,Turnover by I. Taylor (bad pass; steal by D. Sabonis),,12-27,,
2:23.0,,,12-27,,D. Sabonis misses 2-pt shot from 4 ft
2:22.0,,,12-27,,Offensive rebound by Team
2:22.0,,,12-27,,L. Stephenson enters the game for V. Oladipo
2:20.0,Jump ball: M. Turner vs. M. Plumlee (D. Sabonis gains possession),,,,Jump ball: M. Turner vs. M. Plumlee (D. Sabonis gains possession)
2:11.0,,,12-27,,M. Turner misses 2-pt shot from 20 ft
2:07.0,Defensive rebound by M. Muscala,,12-27,,
1:54.0,,,12-27,,T. Booker enters the game for M. Turner
1:45.0,M. Muscala makes 3-pt shot from 23 ft (assist by I. Taylor),3,15-27,,
1:23.0,,,15-29,2,D. Collison makes 2-pt shot from 1 ft (assist by G. Robinson)
