time,Detroit,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. A. Drummond (B. Griffin gains possession),,,,Jump ball: W. Cauley-Stein vs. A. Drummond (B. Griffin gains possession)
11:43.0,S. Johnson misses 2-pt shot from 4 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by B. Hield
11:22.0,,,0-0,,D. Fox misses 2-pt shot from 18 ft
11:19.0,,,0-0,,Offensive rebound by Team
11:07.0,,,0-2,2,D. Fox makes 2-pt shot from 7 ft (assist by Z. Randolph)
10:53.0,R. Bullock makes 2-pt shot from 8 ft (assist by A. Drummond),2,2-2,,
10:31.0,,,2-2,,Z. Randolph misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by A. Drummond,,2-2,,
10:25.0,B. Griffin makes 2-pt shot from 2 ft (assist by A. Drummond),2,4-2,,
10:03.0,,,4-2,,J. Jackson misses 2-pt shot from 12 ft
10:01.0,Defensive rebound by I. Smith,,4-2,,
9:56.0,I. Smith misses 2-pt shot from 4 ft,,4-2,,
9:54.0,,,4-2,,Defensive rebound by D. Fox
9:48.0,,,4-2,,B. Hield misses 2-pt shot from 5 ft
9:45.0,Defensive rebound by I. Smith,,4-2,,
9:38.0,B. Griffin misses 3-pt shot from 24 ft,,4-2,,
9:35.0,,,4-2,,Defensive rebound by J. Jackson
9:27.0,,,4-2,,J. Jackson misses 3-pt shot from 24 ft
9:25.0,,,4-2,,Offensive rebound by Team
9:13.0,,,4-2,,Turnover by B. Hield (bad pass; steal by S. Johnson)
8:54.0,,,4-2,,Personal foul by W. Cauley-Stein (drawn by A. Drummond)
8:47.0,I. Smith makes 2-pt shot at rim,2,6-2,,
8:39.0,,,6-2,,Sacramento full timeout
8:26.0,,,6-2,,Z. Randolph misses 2-pt shot from 4 ft (block by A. Drummond)
8:26.0,,,6-2,,Offensive rebound by Team
8:21.0,,,6-2,,B. Hield misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by A. Drummond,,6-2,,
8:11.0,B. Griffin makes 3-pt shot from 25 ft,3,9-2,,
7:56.0,,,9-2,,Z. Randolph misses 2-pt shot from 20 ft
7:53.0,Defensive rebound by A. Drummond,,9-2,,
7:36.0,S. Johnson misses 3-pt shot from 22 ft,,9-2,,
7:32.0,,,9-2,,Defensive rebound by W. Cauley-Stein
7:26.0,,,9-4,2,Z. Randolph makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
7:11.0,Shooting foul by W. Cauley-Stein (drawn by B. Griffin),,9-4,,
