time,Boston,pts.away,score,pts.home,Phoenix
8:28.0,,,9-7,2,J. Jackson makes 2-pt shot at rim (assist by E. Payton)
8:08.0,J. Tatum makes 2-pt shot from 21 ft (assist by A. Baynes),2,11-7,,
7:54.0,Personal foul by A. Baynes (drawn by M. Chriss),,11-7,,
7:50.0,,,11-7,,T. Daniels misses 2-pt shot from 16 ft
7:48.0,Defensive rebound by Team,,11-7,,
7:34.0,A. Horford misses 2-pt shot from 12 ft,,11-7,,
7:32.0,,,11-7,,Defensive rebound by M. Chriss
7:25.0,,,11-9,2,J. Jackson makes 2-pt shot from 15 ft
6:59.0,A. Horford misses 2-pt shot from 9 ft,,11-9,,
6:58.0,,,11-9,,Defensive rebound by D. Bender
6:50.0,,,11-9,,D. Bender misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by T. Rozier,,11-9,,
6:36.0,T. Rozier makes 3-pt shot from 26 ft (assist by J. Brown),3,14-9,,
6:35.0,,,14-9,,Phoenix full timeout
6:35.0,,,14-9,,A. Len enters the game for M. Chriss
6:35.0,M. Morris enters the game for J. Brown,,14-9,,
6:24.0,,,14-9,,Turnover by E. Payton (bad pass)
6:05.0,T. Rozier misses 3-pt shot from 28 ft,,14-9,,
6:01.0,Offensive rebound by A. Horford,,14-9,,
5:59.0,M. Morris makes 3-pt shot from 26 ft (assist by A. Horford),3,17-9,,
5:40.0,,,17-9,,J. Jackson misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by A. Baynes,,17-9,,
5:24.0,A. Horford makes 3-pt shot from 23 ft (assist by A. Baynes),3,20-9,,
4:57.0,,,20-9,,Turnover by Team (shot clock)
4:57.0,,,20-9,,T. Ulis enters the game for E. Payton
4:44.0,J. Tatum misses 2-pt shot from 18 ft,,20-9,,
4:41.0,,,20-9,,Defensive rebound by J. Jackson
4:35.0,,,20-9,,J. Jackson misses 2-pt shot from 1 ft (block by A. Horford)
4:34.0,,,20-9,,Offensive rebound by Team
4:34.0,,,20-9,,J. Dudley enters the game for D. Bender
4:31.0,,,20-9,,T. Daniels misses 3-pt shot from 28 ft
4:30.0,Defensive rebound by T. Rozier,,20-9,,
4:24.0,T. Rozier misses 3-pt shot from 27 ft,,20-9,,
4:21.0,,,20-9,,Defensive rebound by J. Jackson
4:14.0,,,20-11,2,J. Jackson makes 2-pt shot from 1 ft
4:04.0,Turnover by J. Tatum (bad pass; steal by A. Len),,20-11,,
3:48.0,,,20-11,,J. Jackson misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by A. Horford,,20-11,,
3:29.0,A. Baynes makes 2-pt shot from 6 ft,2,22-11,,
3:21.0,,,22-11,,T. Ulis misses 2-pt shot from 2 ft
3:19.0,,,22-11,,Offensive rebound by A. Len
3:19.0,,,22-11,,A. Len misses 2-pt shot at rim
3:16.0,Defensive rebound by A. Horford,,22-11,,
3:16.0,,,22-11,,Personal take foul by J. Dudley (drawn by T. Rozier)
3:16.0,Boston full timeout,,22-11,,
3:16.0,,,22-11,,D. Reed enters the game for J. Jackson
3:16.0,S. Ojeleye enters the game for A. Baynes,,22-11,,
3:09.0,J. Tatum misses 2-pt shot at rim,,22-11,,
3:09.0,,,22-11,,Defensive rebound by Team
2:47.0,,,22-11,,T. Daniels misses 2-pt shot from 22 ft
2:44.0,Defensive rebound by J. Tatum,,22-11,,
2:35.0,M. Morris makes 2-pt shot from 9 ft,2,24-11,,
2:23.0,,,24-11,,T. Daniels misses 3-pt shot from 28 ft
2:19.0,Defensive rebound by M. Morris,,24-11,,
2:13.0,A. Horford makes 2-pt shot from 21 ft (assist by T. Rozier),2,26-11,,
2:00.0,,,26-11,,D. Reed misses 3-pt shot from 27 ft
1:57.0,Defensive rebound by J. Tatum,,26-11,,
1:40.0,T. Rozier makes 3-pt shot from 27 ft (assist by A. Horford),3,29-11,,
1:21.0,,,29-13,2,A. Len makes 2-pt shot at rim (assist by J. Dudley)
1:04.0,T. Rozier misses 2-pt shot from 16 ft,,29-13,,
0:59.0,Offensive rebound by T. Rozier,,29-13,,
0:59.0,T. Rozier misses 2-pt shot at rim,,29-13,,
0:58.0,,,29-13,,Defensive rebound by J. Dudley
0:56.0,,,29-13,,Turnover by T. Daniels (bad pass; steal by J. Tatum)
0:54.0,Turnover by J. Tatum (step out of bounds),,29-13,,
0:54.0,,,29-13,,J. Jackson enters the game for T. Daniels
0:54.0,S. Larkin enters the game for T. Rozier,,29-13,,
0:54.0,G. Monroe enters the game for A. Horford,,29-13,,
0:49.0,,,29-13,,Shooting foul by S. Larkin (drawn by T. Ulis)
0:49.0,,,29-14,1,T. Ulis makes free throw 1 of 2
0:49.0,J. Brown enters the game for J. Tatum,,29-14,,
0:49.0,,,29-14,,T. Ulis misses free throw 2 of 2
0:47.0,Defensive rebound by M. Morris,,29-14,,
0:28.0,Shooting foul by A. Len (drawn by M. Morris),,29-14,,
0:28.0,M. Morris makes free throw 1 of 2,1,30-14,,
0:28.0,M. Morris makes free throw 2 of 2,1,31-14,,
0:08.0,,,31-14,,Shooting foul by G. Monroe (drawn by J. Jackson)
0:08.0,,,31-14,,J. Jackson misses free throw 1 of 2
0:08.0,,,31-14,,Offensive rebound by Team
0:08.0,T. Rozier enters the game for S. Ojeleye,,31-14,,
0:08.0,,,31-15,1,J. Jackson makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,G. Monroe makes 2-pt shot from 4 ft (assist by M. Morris),2,33-15,,
11:31.0,,,33-15,,J. Dudley misses 3-pt shot from 27 ft
11:29.0,Defensive rebound by J. Brown,,33-15,,
11:21.0,J. Brown misses 2-pt shot from 1 ft,,33-15,,
11:19.0,,,33-15,,Defensive rebound by J. Dudley
11:12.0,,,33-15,,A. Len misses 2-pt shot from 1 ft
11:08.0,,,33-15,,Offensive rebound by A. Len
11:08.0,,,33-17,2,A. Len makes 2-pt shot at rim
10:55.0,G. Monroe misses 2-pt shot from 17 ft,,33-17,,
10:52.0,,,33-17,,Defensive rebound by T. Ulis
10:48.0,,,33-17,,Turnover by D. Reed (step out of bounds)
10:36.0,J. Brown makes 3-pt shot from 27 ft (assist by G. Monroe),3,36-17,,
10:14.0,,,36-17,,Turnover by J. Jackson (lost ball; steal by J. Brown)
10:10.0,Turnover by J. Brown (lost ball; steal by J. Jackson),,36-17,,
10:10.0,,,36-17,,Shooting foul by G. Monroe (drawn by A. Len)
10:10.0,,,36-18,1,A. Len makes free throw 1 of 2
10:10.0,,,36-19,1,A. Len makes free throw 2 of 2
9:52.0,M. Morris makes 3-pt shot from 26 ft (assist by S. Ojeleye),3,39-19,,
9:35.0,,,39-21,2,J. Jackson makes 2-pt shot at rim (assist by T. Ulis)
9:17.0,,,39-21,,Personal foul by A. Len (drawn by G. Monroe)
9:17.0,,,39-21,,A. Williams enters the game for J. Dudley
9:17.0,,,39-21,,D. Bender enters the game for A. Len
9:11.0,S. Larkin misses 2-pt shot from 11 ft,,39-21,,
9:08.0,,,39-21,,Defensive rebound by D. Bender
8:55.0,,,39-24,3,D. Reed makes 3-pt shot from 28 ft (assist by T. Ulis)
8:32.0,J. Brown makes 2-pt shot from 1 ft,2,41-24,,
8:21.0,,,41-24,,Shooting foul by S. Larkin (drawn by T. Ulis)
8:21.0,,,41-25,1,T. Ulis makes free throw 1 of 2
8:21.0,,,41-25,,S. Harrison enters the game for J. Jackson
8:21.0,,,41-26,1,T. Ulis makes free throw 2 of 2
8:03.0,J. Brown misses 2-pt shot from 19 ft,,41-26,,
8:00.0,,,41-26,,Defensive rebound by D. Bender
7:51.0,,,41-26,,A. Williams misses 2-pt shot from 10 ft
7:48.0,Defensive rebound by G. Monroe,,41-26,,
7:29.0,G. Monroe misses 2-pt shot from 6 ft,,41-26,,
7:25.0,,,41-26,,Defensive rebound by S. Harrison
7:23.0,,,41-26,,Turnover by S. Harrison (out of bounds lost ball)
7:14.0,S. Larkin misses 2-pt shot from 1 ft (block by T. Ulis),,41-26,,
7:10.0,,,41-26,,Defensive rebound by T. Ulis
7:08.0,,,41-26,,D. Reed misses 3-pt shot from 24 ft
7:05.0,,,41-26,,Offensive rebound by D. Bender
7:01.0,,,41-26,,D. Reed misses 3-pt shot from 26 ft
6:58.0,Defensive rebound by J. Brown,,41-26,,
6:50.0,Turnover by J. Brown (bad pass; steal by S. Harrison),,41-26,,
6:37.0,,,41-26,,A. Williams misses 2-pt shot from 2 ft
6:34.0,Defensive rebound by M. Morris,,41-26,,
6:18.0,M. Morris misses 2-pt shot from 18 ft,,41-26,,
6:13.0,,,41-26,,Defensive rebound by A. Williams
6:05.0,,,41-28,2,S. Harrison makes 2-pt shot from 1 ft (assist by T. Ulis)
6:05.0,Boston full timeout,,41-28,,
6:05.0,,,41-28,,T. Daniels enters the game for D. Reed
5:48.0,S. Larkin misses 3-pt shot from 26 ft,,41-28,,
5:45.0,,,41-28,,Defensive rebound by T. Ulis
5:29.0,,,41-28,,S. Harrison misses 2-pt shot from 1 ft
5:24.0,,,41-28,,Offensive rebound by T. Ulis
5:16.0,,,41-30,2,T. Ulis makes 2-pt shot from 18 ft
5:06.0,,,41-30,,Personal foul by A. Williams (drawn by G. Monroe)
5:06.0,,,41-30,,M. Chriss enters the game for A. Williams
5:06.0,T. Rozier enters the game for J. Brown,,41-30,,
5:06.0,A. Horford enters the game for S. Larkin,,41-30,,
5:06.0,J. Tatum enters the game for M. Morris,,41-30,,
5:01.0,G. Monroe makes 2-pt shot from 1 ft (assist by T. Rozier),2,43-30,,
4:40.0,,,43-33,3,T. Daniels makes 3-pt shot from 24 ft (assist by T. Ulis)
4:23.0,,,43-33,,Personal foul by S. Harrison (drawn by J. Tatum)
4:23.0,,,43-33,,J. Jackson enters the game for T. Ulis
4:09.0,A. Horford misses 3-pt shot from 27 ft,,43-33,,
4:06.0,,,43-33,,Defensive rebound by J. Jackson
3:57.0,M. Morris enters the game for G. Monroe,,43-33,,
3:57.0,S. Larkin enters the game for S. Ojeleye,,43-33,,
3:45.0,,,43-35,2,M. Chriss makes 2-pt shot from 2 ft (assist by S. Harrison)
3:32.0,T. Rozier misses 3-pt shot from 23 ft,,43-35,,
3:28.0,,,43-35,,Defensive rebound by S. Harrison
3:12.0,,,43-35,,D. Bender misses 2-pt shot from 1 ft
3:09.0,Defensive rebound by A. Horford,,43-35,,
3:08.0,Turnover by A. Horford (bad pass),,43-35,,
3:08.0,,,43-35,,Phoenix full timeout
3:08.0,,,43-35,,T. Ulis enters the game for S. Harrison
2:48.0,,,43-37,2,M. Chriss makes 2-pt shot from 1 ft (assist by T. Ulis)
2:22.0,J. Tatum makes 3-pt shot from 23 ft (assist by A. Horford),3,46-37,,
2:04.0,,,46-37,,Turnover by T. Ulis (turnover)
1:41.0,M. Morris misses 3-pt shot from 27 ft,,46-37,,
1:35.0,Offensive rebound by T. Rozier,,46-37,,
1:26.0,A. Horford makes 2-pt shot from 5 ft,2,48-37,,
1:11.0,,,48-40,3,T. Ulis makes 3-pt shot from 27 ft
0:45.0,T. Rozier misses 3-pt shot from 25 ft,,48-40,,
0:40.0,,,48-40,,Defensive rebound by J. Jackson
0:36.0,,,48-43,3,T. Daniels makes 3-pt shot from 23 ft (assist by J. Jackson)
0:28.0,J. Tatum misses 2-pt shot from 20 ft,,48-43,,
0:26.0,,,48-43,,Defensive rebound by D. Bender
0:08.0,,,48-43,,T. Ulis misses 2-pt shot from 17 ft
0:05.0,,,48-43,,Offensive rebound by M. Chriss
0:05.0,,,48-45,2,M. Chriss makes 2-pt shot from 1 ft
0:05.0,,,48-45,,Shooting foul by J. Tatum (drawn by M. Chriss)
0:05.0,,,48-45,,M. Chriss misses free throw 1 of 1
0:05.0,Defensive rebound by A. Horford,,48-45,,
0:03.0,,,48-45,,Personal take foul by T. Ulis (drawn by T. Rozier)
0:00.0,T. Rozier misses 3-pt shot from 25 ft,,48-45,,
0:00.0,,,48-45,,Defensive rebound by T. Daniels
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,J. Brown misses 2-pt shot at rim,,48-45,,
11:44.0,,,48-45,,Defensive rebound by T. Daniels
11:26.0,,,48-47,2,J. Jackson makes 2-pt shot from 3 ft
11:08.0,J. Tatum misses 2-pt shot from 9 ft,,48-47,,
11:05.0,Offensive rebound by A. Baynes,,48-47,,
10:54.0,J. Tatum makes 2-pt shot from 2 ft,2,50-47,,
10:42.0,Personal foul by A. Baynes (drawn by M. Chriss),,50-47,,
10:36.0,,,50-47,,M. Chriss misses 3-pt shot from 23 ft
10:33.0,Defensive rebound by J. Tatum,,50-47,,
10:27.0,T. Rozier misses 2-pt shot from 15 ft,,50-47,,
10:26.0,,,50-47,,Defensive rebound by E. Payton
10:20.0,,,50-50,3,T. Daniels makes 3-pt shot from 26 ft (assist by E. Payton)
10:01.0,Turnover by J. Brown (bad pass; steal by E. Payton),,50-50,,
9:51.0,,,50-50,,M. Chriss misses 3-pt shot from 27 ft
9:49.0,Defensive rebound by T. Rozier,,50-50,,
9:49.0,Boston full timeout,,50-50,,
9:25.0,A. Horford misses 2-pt shot from 8 ft,,50-50,,
9:22.0,,,50-50,,Defensive rebound by T. Daniels
9:15.0,,,50-53,3,T. Daniels makes 3-pt shot from 26 ft
9:01.0,A. Horford makes 3-pt shot from 25 ft (assist by T. Rozier),3,53-53,,
8:43.0,Personal foul by J. Brown (drawn by T. Daniels),,53-53,,
8:39.0,,,53-53,,Turnover by D. Bender (bad pass; steal by J. Tatum)
8:15.0,J. Tatum misses 2-pt shot from 22 ft,,53-53,,
8:11.0,,,53-53,,Defensive rebound by M. Chriss
8:01.0,,,53-53,,Turnover by D. Bender (bad pass; steal by A. Horford)
7:50.0,J. Tatum misses 3-pt shot from 24 ft,,53-53,,
7:47.0,,,53-53,,Defensive rebound by T. Daniels
7:41.0,,,53-53,,D. Bender misses 3-pt shot from 27 ft
7:39.0,Defensive rebound by A. Baynes,,53-53,,
7:26.0,J. Tatum makes 2-pt shot at rim (assist by A. Baynes),2,55-53,,
7:26.0,Shooting foul by E. Payton (drawn by J. Tatum),,55-53,,
7:26.0,,,55-53,,A. Williams enters the game for D. Bender
7:26.0,J. Tatum makes free throw 1 of 1,1,56-53,,
7:12.0,Personal foul by A. Horford (drawn by M. Chriss),,56-53,,
7:07.0,Personal foul by J. Tatum (drawn by J. Jackson),,56-53,,
7:01.0,,,56-53,,T. Daniels misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by T. Rozier,,56-53,,
6:49.0,Turnover by A. Baynes (traveling),,56-53,,
6:39.0,,,56-56,3,M. Chriss makes 3-pt shot from 24 ft (assist by A. Williams)
6:09.0,J. Brown misses 2-pt shot from 1 ft,,56-56,,
6:07.0,Offensive rebound by A. Baynes,,56-56,,
6:02.0,T. Rozier makes 3-pt shot from 23 ft (assist by J. Brown),3,59-56,,
5:43.0,,,59-56,,Shooting foul by A. Baynes (drawn by A. Williams)
5:43.0,,,59-56,,A. Williams misses free throw 1 of 2
5:43.0,,,59-56,,Offensive rebound by Team
5:43.0,,,59-56,,D. Bender enters the game for M. Chriss
5:43.0,M. Morris enters the game for A. Horford,,59-56,,
5:43.0,,,59-57,1,A. Williams makes free throw 2 of 2
5:23.0,T. Rozier misses 3-pt shot from 26 ft,,59-57,,
5:21.0,Offensive rebound by Team,,59-57,,
5:21.0,A. Nader enters the game for J. Tatum,,59-57,,
5:12.0,J. Brown makes 2-pt shot from 1 ft,2,61-57,,
4:58.0,,,61-57,,T. Daniels misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by J. Brown,,61-57,,
4:47.0,A. Baynes makes 2-pt shot from 11 ft (assist by J. Brown),2,63-57,,
4:37.0,,,63-59,2,A. Williams makes 2-pt shot from 5 ft (assist by E. Payton)
4:22.0,M. Morris makes 3-pt shot from 25 ft (assist by A. Nader),3,66-59,,
4:20.0,,,66-59,,Phoenix full timeout
4:20.0,,,66-59,,S. Harrison enters the game for E. Payton
4:20.0,,,66-59,,T. Ulis enters the game for T. Daniels
4:02.0,,,66-59,,D. Bender misses 3-pt shot from 23 ft
4:00.0,Defensive rebound by J. Brown,,66-59,,
3:42.0,J. Brown misses 2-pt shot from 1 ft,,66-59,,
3:40.0,,,66-59,,Defensive rebound by A. Williams
3:37.0,,,66-59,,Turnover by J. Jackson (bad pass; steal by A. Nader)
3:16.0,T. Rozier misses 2-pt shot from 2 ft (block by D. Bender),,66-59,,
3:13.0,Offensive rebound by A. Baynes,,66-59,,
3:12.0,Turnover by A. Baynes (out of bounds lost ball),,66-59,,
2:54.0,,,66-59,,J. Jackson misses 2-pt shot from 2 ft
2:52.0,Defensive rebound by A. Baynes,,66-59,,
2:47.0,Turnover by J. Brown (lost ball; steal by T. Ulis),,66-59,,
2:40.0,,,66-59,,T. Ulis misses 2-pt shot from 10 ft (block by A. Nader)
2:36.0,Defensive rebound by T. Rozier,,66-59,,
2:35.0,Shooting foul by D. Bender (drawn by T. Rozier),,66-59,,
2:35.0,T. Rozier makes free throw 1 of 2,1,67-59,,
2:35.0,,,67-59,,A. Len enters the game for A. Williams
2:35.0,,,67-59,,D. Reed enters the game for J. Jackson
2:35.0,A. Horford enters the game for J. Brown,,67-59,,
2:35.0,G. Monroe enters the game for A. Baynes,,67-59,,
2:35.0,T. Rozier makes free throw 2 of 2,1,68-59,,
2:35.0,,,68-59,,M. Chriss enters the game for D. Bender
2:11.0,,,68-59,,S. Harrison misses 2-pt shot from 11 ft
2:10.0,,,68-59,,Offensive rebound by Team
2:10.0,,,68-59,,Turnover by Team (shot clock)
1:55.0,M. Morris makes 2-pt shot from 19 ft,2,70-59,,
1:47.0,,,70-61,2,M. Chriss makes 2-pt shot from 1 ft (assist by T. Ulis)
1:47.0,Personal block foul by G. Monroe (drawn by M. Chriss),,70-61,,
1:47.0,Turnover by G. Monroe (turnover),,70-61,,
1:47.0,,,70-61,,T. Daniels enters the game for S. Harrison
1:47.0,S. Larkin enters the game for T. Rozier,,70-61,,
1:47.0,,,70-61,,M. Chriss misses free throw 1 of 1
1:47.0,,,70-61,,Offensive rebound by A. Len
1:43.0,,,70-61,,A. Len misses 2-pt shot from 2 ft
1:41.0,Defensive rebound by A. Horford,,70-61,,
1:36.0,,,70-61,,Personal foul by D. Reed (drawn by M. Morris)
1:32.0,S. Larkin misses 2-pt shot from 19 ft,,70-61,,
1:30.0,,,70-61,,Defensive rebound by A. Len
1:24.0,,,70-64,3,T. Daniels makes 3-pt shot from 29 ft (assist by T. Ulis)
1:00.0,A. Nader misses 2-pt shot from 21 ft,,70-64,,
0:57.0,Offensive rebound by Team,,70-64,,
0:55.0,M. Morris makes 2-pt shot from 14 ft (assist by S. Larkin),2,72-64,,
0:47.0,,,72-64,,Turnover by T. Ulis (bad pass; steal by S. Larkin)
0:44.0,S. Larkin misses 2-pt shot from 1 ft (block by M. Chriss),,72-64,,
0:42.0,Offensive rebound by A. Horford,,72-64,,
0:41.0,S. Larkin makes 2-pt shot at rim (assist by A. Horford),2,74-64,,
0:25.0,,,74-64,,T. Daniels misses 3-pt shot from 25 ft
0:25.0,,,74-64,,Offensive rebound by A. Len
0:21.0,,,74-64,,A. Len misses 2-pt shot from 6 ft
0:21.0,,,74-64,,Offensive rebound by A. Len
0:16.0,,,74-64,,A. Len misses 2-pt shot at rim
0:15.0,,,74-64,,Offensive rebound by Team
0:15.0,,,74-64,,J. Jackson enters the game for M. Chriss
0:15.0,A. Baynes enters the game for G. Monroe,,74-64,,
0:15.0,,,74-64,,J. Dudley enters the game for A. Len
0:04.0,,,74-64,,Shooting foul by S. Larkin (drawn by J. Jackson)
0:04.0,,,74-64,,J. Jackson misses free throw 1 of 2
0:04.0,,,74-64,,Offensive rebound by Team
0:04.0,,,74-64,,A. Len enters the game for J. Dudley
0:04.0,T. Rozier enters the game for A. Baynes,,74-64,,
0:04.0,,,74-65,1,J. Jackson makes free throw 2 of 2
0:00.0,Shooting foul by T. Daniels (drawn by M. Morris),,74-65,,
0:00.0,M. Morris makes free throw 1 of 3,1,75-65,,
0:00.0,M. Morris makes free throw 2 of 3,1,76-65,,
0:00.0,M. Morris makes free throw 3 of 3,1,77-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,77-67,2,T. Ulis makes 2-pt shot from 9 ft
11:29.0,G. Monroe misses 2-pt shot from 1 ft,,77-67,,
11:28.0,,,77-67,,Defensive rebound by T. Ulis
11:23.0,,,77-69,2,T. Ulis makes 2-pt shot from 15 ft
11:04.0,,,77-69,,Personal foul by A. Len (drawn by G. Monroe)
10:52.0,A. Nader makes 3-pt shot from 24 ft (assist by S. Larkin),3,80-69,,
10:34.0,,,80-71,2,T. Ulis makes 2-pt shot from 4 ft
10:18.0,G. Monroe makes 2-pt shot from 1 ft,2,82-71,,
10:08.0,,,82-71,,Turnover by T. Ulis (bad pass)
9:59.0,A. Horford makes 3-pt shot from 25 ft (assist by G. Monroe),3,85-71,,
9:40.0,,,85-73,2,A. Len makes 2-pt shot at rim (assist by J. Jackson)
9:16.0,J. Tatum makes 2-pt shot from 19 ft,2,87-73,,
9:13.0,,,87-73,,Phoenix full timeout
9:13.0,,,87-73,,D. Bender enters the game for A. Len
9:13.0,,,87-73,,A. Williams enters the game for M. Chriss
9:13.0,S. Ojeleye enters the game for A. Horford,,87-73,,
9:00.0,,,87-73,,A. Williams misses 2-pt shot from 3 ft
8:57.0,Defensive rebound by S. Larkin,,87-73,,
8:41.0,Shooting foul by A. Williams (drawn by G. Monroe),,87-73,,
8:41.0,G. Monroe makes free throw 1 of 2,1,88-73,,
8:41.0,G. Monroe makes free throw 2 of 2,1,89-73,,
8:28.0,,,89-73,,D. Bender misses 3-pt shot from 28 ft
8:25.0,,,89-73,,Offensive rebound by A. Williams
8:21.0,,,89-73,,T. Ulis misses 2-pt shot from 13 ft
8:20.0,Defensive rebound by S. Ojeleye,,89-73,,
8:07.0,G. Monroe misses 2-pt shot from 2 ft,,89-73,,
8:04.0,,,89-73,,Defensive rebound by A. Williams
8:01.0,,,89-73,,T. Daniels misses 3-pt shot from 27 ft
7:59.0,Defensive rebound by S. Larkin,,89-73,,
7:53.0,J. Tatum misses 3-pt shot from 27 ft,,89-73,,
7:51.0,Offensive rebound by G. Monroe,,89-73,,
7:44.0,S. Larkin misses 2-pt shot from 1 ft (block by A. Williams),,89-73,,
7:43.0,,,89-73,,Defensive rebound by J. Jackson
7:38.0,,,89-75,2,J. Jackson makes 2-pt shot from 1 ft
7:38.0,,,89-75,,Shooting foul by J. Tatum (drawn by J. Jackson)
7:38.0,,,89-75,,J. Jackson misses free throw 1 of 1
7:35.0,Defensive rebound by G. Monroe,,89-75,,
7:21.0,A. Nader misses 3-pt shot from 28 ft,,89-75,,
7:17.0,,,89-75,,Defensive rebound by D. Bender
7:14.0,Personal foul by A. Nader (drawn by A. Williams),,89-75,,
7:14.0,,,89-75,,D. Reed enters the game for T. Daniels
7:10.0,,,89-77,2,J. Jackson makes 2-pt shot from 11 ft
6:57.0,J. Tatum makes 2-pt shot from 20 ft (assist by G. Monroe),2,91-77,,
6:41.0,,,91-77,,D. Reed misses 3-pt shot from 27 ft (block by A. Nader)
6:38.0,Defensive rebound by J. Tatum,,91-77,,
6:35.0,Turnover by J. Tatum (lost ball; steal by J. Jackson),,91-77,,
6:35.0,Personal foul by J. Tatum (drawn by J. Jackson),,91-77,,
6:35.0,,,91-77,,S. Harrison enters the game for T. Ulis
6:35.0,J. Brown enters the game for J. Tatum,,91-77,,
6:24.0,,,91-79,2,D. Reed makes 2-pt shot from 1 ft
6:00.0,J. Brown misses 2-pt shot from 1 ft,,91-79,,
5:58.0,,,91-79,,Defensive rebound by D. Bender
5:54.0,,,91-79,,Turnover by J. Jackson (bad pass; steal by G. Monroe)
5:38.0,A. Nader misses 3-pt shot from 26 ft,,91-79,,
5:35.0,,,91-79,,Defensive rebound by D. Bender
5:12.0,,,91-79,,Turnover by S. Harrison (lost ball; steal by J. Brown)
5:12.0,,,91-79,,Loose ball foul by A. Williams (drawn by J. Brown)
4:52.0,G. Monroe misses 2-pt shot from 7 ft,,91-79,,
4:49.0,,,91-79,,Defensive rebound by D. Bender
4:46.0,Personal foul by S. Ojeleye (drawn by A. Williams),,91-79,,
4:46.0,,,91-79,,T. Ulis enters the game for S. Harrison
4:46.0,T. Rozier enters the game for A. Nader,,91-79,,
4:43.0,,,91-79,,Turnover by A. Williams (bad pass; steal by S. Larkin)
4:43.0,,,91-79,,Personal foul by J. Jackson (drawn by S. Larkin)
4:43.0,,,91-79,,T. Daniels enters the game for D. Reed
4:29.0,S. Larkin misses 3-pt shot from 26 ft,,91-79,,
4:25.0,Offensive rebound by G. Monroe,,91-79,,
4:24.0,Turnover by G. Monroe (bad pass; steal by A. Williams),,91-79,,
4:19.0,,,91-81,2,J. Jackson makes 2-pt shot at rim
4:12.0,Boston full timeout,,91-81,,
4:12.0,A. Horford enters the game for S. Larkin,,91-81,,
4:12.0,J. Tatum enters the game for G. Monroe,,91-81,,
4:07.0,,,91-81,,Loose ball foul by A. Williams (drawn by A. Horford)
4:07.0,A. Horford makes free throw 1 of 2,1,92-81,,
4:07.0,A. Nader enters the game for J. Brown,,92-81,,
4:07.0,A. Horford makes free throw 2 of 2,1,93-81,,
3:49.0,,,93-83,2,T. Ulis makes 2-pt shot from 20 ft
3:35.0,T. Rozier misses 3-pt shot from 26 ft,,93-83,,
3:32.0,,,93-83,,Defensive rebound by D. Bender
3:24.0,,,93-83,,Turnover by T. Ulis (bad pass; steal by T. Rozier)
