time,Washington,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. M. Gortat (O. Porter gains possession),,,,Jump ball: R. Lopez vs. M. Gortat (O. Porter gains possession)
11:42.0,M. Gortat misses 2-pt shot from 2 ft (block by R. Lopez),,0-0,,
11:38.0,,,0-0,,Defensive rebound by D. Valentine
11:21.0,,,0-0,,D. Valentine misses 2-pt shot from 5 ft (block by K. Oubre)
11:17.0,,,0-0,,Offensive rebound by D. Valentine
11:16.0,,,0-2,2,R. Lopez makes 2-pt shot from 19 ft (assist by D. Valentine)
10:57.0,T. Satoransky misses 2-pt shot from 16 ft,,0-2,,
10:54.0,,,0-2,,Defensive rebound by D. Valentine
10:47.0,,,0-2,,D. Valentine misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by M. Gortat,,0-2,,
10:32.0,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal),2,2-2,,
10:19.0,,,2-2,,J. Holiday misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by K. Oubre,,2-2,,
10:06.0,T. Satoransky makes 3-pt shot from 23 ft (assist by K. Oubre),3,5-2,,
9:48.0,,,5-2,,J. Holiday misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by O. Porter,,5-2,,
9:40.0,Shooting foul by J. Holiday (drawn by O. Porter),,5-2,,
9:40.0,O. Porter makes free throw 1 of 2,1,6-2,,
9:40.0,O. Porter makes free throw 2 of 2,1,7-2,,
9:21.0,,,7-2,,R. Lopez misses 2-pt shot from 20 ft
9:17.0,Defensive rebound by O. Porter,,7-2,,
9:00.0,O. Porter misses 3-pt shot from 25 ft,,7-2,,
8:58.0,,,7-2,,Defensive rebound by D. Valentine
8:48.0,,,7-2,,Turnover by J. Grant (bad pass; steal by T. Satoransky)
8:43.0,O. Porter makes 2-pt shot at rim (assist by T. Satoransky),2,9-2,,
8:43.0,,,9-2,,Chicago full timeout
8:25.0,,,9-2,,Turnover by D. Valentine (bad pass; steal by T. Satoransky)
8:14.0,K. Oubre misses 3-pt shot from 25 ft,,9-2,,
8:10.0,,,9-2,,Defensive rebound by R. Lopez
8:03.0,,,9-5,3,J. Grant makes 3-pt shot from 25 ft
7:39.0,M. Gortat makes 2-pt shot from 1 ft,2,11-5,,
7:25.0,,,11-5,,J. Holiday misses 3-pt shot from 24 ft
7:21.0,,,11-5,,Offensive rebound by J. Grant
7:20.0,,,11-5,,Offensive charge foul by L. Markkanen (drawn by M. Gortat)
7:20.0,,,11-5,,Turnover by L. Markkanen (offensive foul)
6:53.0,O. Porter misses 3-pt shot from 25 ft,,11-5,,
6:51.0,,,11-5,,Defensive rebound by J. Holiday
6:46.0,,,11-5,,Turnover by J. Holiday (bad pass; steal by M. Gortat)
6:42.0,T. Satoransky makes 2-pt shot at rim (assist by O. Porter),2,13-5,,
6:20.0,,,13-5,,R. Lopez misses 2-pt shot from 3 ft
6:18.0,Defensive rebound by O. Porter,,13-5,,
6:06.0,T. Satoransky makes 3-pt shot from 22 ft (assist by M. Gortat),3,16-5,,
5:51.0,,,16-7,2,J. Holiday makes 2-pt shot from 15 ft (assist by R. Lopez)
5:33.0,T. Satoransky makes 3-pt shot from 25 ft (assist by M. Gortat),3,19-7,,
5:21.0,,,19-7,,Turnover by J. Grant (out of bounds lost ball)
5:21.0,,,19-7,,D. Nwaba enters the game for D. Valentine
5:05.0,B. Beal misses 3-pt shot from 25 ft,,19-7,,
5:01.0,,,19-7,,Defensive rebound by J. Grant
4:57.0,,,19-7,,Shooting foul by T. Satoransky (drawn by J. Grant)
4:57.0,,,19-8,1,J. Grant makes free throw 1 of 2
4:57.0,M. Scott enters the game for O. Porter,,19-8,,
4:57.0,,,19-9,1,J. Grant makes free throw 2 of 2
4:31.0,K. Oubre misses 2-pt shot from 22 ft,,19-9,,
4:28.0,,,19-9,,Defensive rebound by D. Nwaba
4:25.0,,,19-9,,L. Markkanen misses 3-pt shot from 24 ft
4:21.0,,,19-9,,Offensive rebound by J. Grant
4:18.0,,,19-11,2,D. Nwaba makes 2-pt shot at rim (assist by J. Grant)
3:59.0,Washington full timeout,,19-11,,
3:55.0,,,19-11,,Personal foul by D. Nwaba (drawn by K. Oubre)
3:50.0,K. Oubre makes 3-pt shot from 25 ft (assist by M. Gortat),3,22-11,,
3:33.0,,,22-11,,L. Markkanen misses 2-pt shot from 4 ft
3:31.0,Defensive rebound by M. Gortat,,22-11,,
3:21.0,M. Scott misses 3-pt shot from 23 ft,,22-11,,
3:16.0,Offensive rebound by M. Gortat,,22-11,,
3:13.0,K. Oubre misses 3-pt shot from 26 ft,,22-11,,
3:09.0,,,22-11,,Defensive rebound by L. Markkanen
3:05.0,,,22-11,,L. Markkanen misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by M. Gortat,,22-11,,
2:50.0,Turnover by B. Beal (bad pass; steal by J. Holiday),,22-11,,
2:46.0,,,22-11,,Shooting foul by M. Scott (drawn by J. Grant)
2:46.0,,,22-12,1,J. Grant makes free throw 1 of 2
2:46.0,,,22-12,,B. Portis enters the game for L. Markkanen
2:46.0,T. Frazier enters the game for B. Beal,,22-12,,
2:46.0,J. Meeks enters the game for T. Satoransky,,22-12,,
2:46.0,,,22-13,1,J. Grant makes free throw 2 of 2
2:33.0,T. Frazier misses 3-pt shot from 22 ft,,22-13,,
2:27.0,,,22-13,,Defensive rebound by B. Portis
2:16.0,,,22-13,,D. Nwaba misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by M. Gortat,,22-13,,
2:05.0,M. Scott misses 2-pt shot from 4 ft,,22-13,,
2:04.0,,,22-13,,Defensive rebound by J. Holiday
1:53.0,,,22-15,2,B. Portis makes 2-pt shot from 19 ft
1:34.0,J. Meeks misses 2-pt shot from 13 ft,,22-15,,
1:32.0,,,22-15,,Defensive rebound by R. Lopez
