time,Golden State,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. Z. Pachulia (J. Holiday gains possession),,,,Jump ball: A. Davis vs. Z. Pachulia (J. Holiday gains possession)
11:39.0,,,103-79,,A. Davis misses 2-pt shot from 10 ft
11:38.0,Defensive rebound by Z. Pachulia,,103-79,,
11:36.0,Turnover by K. Durant (bad pass),,103-79,,
11:28.0,,,103-79,,Turnover by J. Holiday (bad pass)
11:15.0,K. Durant misses 2-pt shot from 16 ft,,103-79,,
11:12.0,,,103-79,,Defensive rebound by J. Holiday
11:02.0,,,103-79,,E. Moore misses 3-pt shot from 22 ft
11:02.0,Defensive rebound by K. Durant,,103-79,,
10:53.0,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green),2,114-88,,
10:45.0,,,114-88,,D. Cousins misses 2-pt shot from 5 ft
10:45.0,,,114-88,,Offensive rebound by D. Cousins
10:43.0,,,114-88,,Turnover by D. Cousins (traveling)
10:33.0,,,114-88,,Personal foul by D. Cousins (drawn by K. Thompson)
10:23.0,Turnover by D. Green (bad pass; steal by J. Holiday),,114-88,,
10:20.0,,,114-88,,E. Moore misses 2-pt shot from 1 ft
10:20.0,,,114-88,,Offensive rebound by J. Holiday
10:20.0,,,124-105,2,J. Holiday makes 2-pt shot at rim
10:20.0,Turnover by K. Durant (bad pass),,124-105,,
10:20.0,,,124-108,3,D. Cousins makes 3-pt shot from 24 ft
9:34.0,S. Curry misses 3-pt shot from 22 ft,,124-108,,
9:34.0,,,124-108,,Defensive rebound by D. Cousins
9:25.0,,,124-110,2,A. Davis makes 2-pt shot from 6 ft
9:04.0,K. Durant makes 2-pt shot from 16 ft,2,126-110,,
8:54.0,,,126-110,,J. Holiday misses 2-pt shot from 3 ft
8:53.0,Defensive rebound by Z. Pachulia,,126-110,,
8:43.0,D. Green misses 3-pt shot from 25 ft,,126-110,,
8:42.0,,,126-110,,Defensive rebound by D. Cunningham
8:25.0,,,126-112,2,D. Cousins makes 2-pt shot from 20 ft (assist by J. Holiday)
8:17.0,Offensive foul by Z. Pachulia (drawn by E. Moore),,126-112,,
8:17.0,Turnover by Z. Pachulia (offensive foul),,126-112,,
8:08.0,,,126-112,,Turnover by A. Davis (lost ball; steal by Z. Pachulia)
8:03.0,D. Green makes 2-pt shot from 3 ft (assist by S. Curry),2,128-112,,
7:55.0,,,128-115,3,J. Holiday makes 3-pt shot from 24 ft (assist by D. Cousins)
7:40.0,D. Green misses 2-pt shot from 4 ft,,128-115,,
7:37.0,,,128-115,,Defensive rebound by D. Cunningham
7:32.0,,,128-118,3,D. Cunningham makes 3-pt shot from 24 ft (assist by J. Holiday)
7:16.0,Z. Pachulia misses 2-pt shot from 2 ft,,128-118,,
7:15.0,,,128-118,,Defensive rebound by D. Cunningham
7:10.0,,,128-118,,D. Cousins misses 2-pt shot from 2 ft
7:10.0,,,128-118,,Offensive rebound by A. Davis
7:09.0,,,128-120,2,A. Davis makes 2-pt shot at rim
6:54.0,D. Green misses 3-pt shot from 25 ft,,128-120,,
6:51.0,,,128-120,,Defensive rebound by J. Holiday
6:43.0,,,128-120,,D. Cousins misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by D. Green,,128-120,,
6:35.0,S. Curry misses 3-pt shot from 23 ft,,128-120,,
6:32.0,Offensive rebound by Z. Pachulia,,128-120,,
6:29.0,,,128-120,,New Orleans full timeout
6:29.0,K. Thompson misses 3-pt shot from 23 ft,,128-120,,
6:29.0,,,128-120,,Defensive rebound by A. Davis
6:27.0,K. Thompson misses 3-pt shot at rim,,128-120,,
6:27.0,,,128-120,,Defensive rebound by D. Cunningham
6:05.0,,,128-120,,D. Cunningham misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by Z. Pachulia,,128-120,,
5:57.0,K. Durant misses 2-pt shot from 3 ft (block by D. Cunningham),,128-120,,
5:57.0,,,128-120,,Defensive rebound by D. Cousins
5:51.0,,,0-2,2,A. Davis makes 2-pt shot from 2 ft (assist by D. Cousins)
5:40.0,Turnover by D. Green (bad pass; steal by A. Davis),,0-2,,
5:36.0,,,0-2,,D. Cousins misses 2-pt shot from 1 ft (block by K. Durant)
5:36.0,,,0-2,,Offensive rebound by D. Cunningham
5:36.0,,,0-4,2,D. Cunningham makes 2-pt shot at rim
5:18.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry),3,3-4,,
5:02.0,,,3-7,3,J. Holiday makes 3-pt shot from 24 ft
4:48.0,S. Curry makes 2-pt shot from 22 ft,2,5-7,,
4:42.0,,,5-7,,Shooting foul by D. Green (drawn by A. Davis)
4:42.0,,,5-8,1,A. Davis makes free throw 1 of 2
4:42.0,,,5-8,,D. Miller enters the game for D. Cousins
4:42.0,,,5-8,,I. Clark enters the game for E. Moore
