time,Philadelphia,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. J. Embiid (T. Gibson gains possession),,,,Jump ball: K. Towns vs. J. Embiid (T. Gibson gains possession)
11:40.0,,,0-2,2,A. Wiggins makes 2-pt shot from 19 ft (assist by T. Gibson)
11:21.0,Shooting foul by K. Towns (drawn by J. Embiid),,0-2,,
11:14.0,R. Holmes makes 2-pt shot from 11 ft (assist by D. Saric),2,2-2,,
10:51.0,,,2-2,,J. Butler misses 2-pt shot from 7 ft
10:51.0,Defensive rebound by R. Holmes,,2-2,,
10:39.0,J. Redick misses 3-pt shot from 25 ft,,2-2,,
10:37.0,,,2-2,,Defensive rebound by K. Towns
10:35.0,,,2-2,,Shooting foul by J. Redick (drawn by J. Butler)
10:35.0,,,2-3,1,J. Butler makes free throw 1 of 2
10:35.0,,,2-4,1,J. Butler makes free throw 2 of 2
10:25.0,Turnover by J. Redick (bad pass; steal by A. Wiggins),,2-4,,
10:21.0,,,2-4,,J. Teague misses 3-pt shot from 25 ft
10:20.0,,,2-4,,Offensive rebound by T. Gibson
10:14.0,,,2-4,,T. Gibson misses 2-pt shot at rim
10:13.0,Defensive rebound by D. Saric,,2-4,,
10:10.0,R. Holmes makes 2-pt shot at rim (assist by B. Simmons),2,4-4,,
9:52.0,,,4-6,2,J. Butler makes 2-pt shot at rim (assist by K. Towns)
9:37.0,Turnover by B. Simmons (offensive goaltending),,4-6,,
9:18.0,,,4-8,2,K. Towns makes 2-pt shot from 6 ft
9:08.0,Turnover by R. Holmes (bad pass; steal by K. Towns),,4-8,,
9:04.0,,,4-8,,A. Wiggins misses 2-pt shot from 2 ft
9:03.0,,,4-8,,Offensive rebound by J. Butler
9:03.0,,,4-10,2,J. Butler makes 2-pt shot at rim
9:03.0,Philadelphia full timeout,,4-10,,
8:51.0,J. Embiid makes 2-pt shot at rim (assist by R. Holmes),2,6-10,,
8:32.0,,,6-10,,A. Wiggins misses 3-pt shot from 22 ft
8:29.0,Defensive rebound by R. Holmes,,6-10,,
8:21.0,J. Embiid makes 2-pt shot from 11 ft,2,8-10,,
8:10.0,,,8-10,,K. Towns misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by R. Holmes,,8-10,,
7:55.0,R. Holmes misses 2-pt shot from 1 ft,,8-10,,
7:52.0,,,8-10,,Defensive rebound by T. Gibson
7:49.0,,,8-10,,Shooting foul by J. Redick (drawn by A. Wiggins)
7:49.0,,,8-11,1,A. Wiggins makes free throw 1 of 2
