time,Dallas,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Felicio vs. D. Powell (W. Matthews gains possession),,,,Jump ball: C. Felicio vs. D. Powell (W. Matthews gains possession)
11:41.0,H. Barnes makes 2-pt shot from 5 ft,2,2-0,,
11:25.0,,,2-0,,K. Dunn misses 2-pt shot from 18 ft
11:22.0,Defensive rebound by H. Barnes,,2-0,,
11:10.0,H. Barnes misses 2-pt shot from 18 ft,,2-0,,
11:06.0,,,2-0,,Defensive rebound by K. Dunn
10:48.0,,,2-0,,Z. LaVine misses 2-pt shot from 17 ft
10:44.0,Defensive rebound by W. Matthews,,2-0,,
10:30.0,D. Powell makes 2-pt shot at rim (assist by H. Barnes),2,4-0,,
10:12.0,,,4-0,,Shooting foul by D. Powell (drawn by C. Felicio)
10:12.0,,,4-0,,C. Felicio misses free throw 1 of 2
10:12.0,,,4-0,,Offensive rebound by Team
10:12.0,,,4-0,,C. Felicio misses free throw 2 of 2
10:09.0,Defensive rebound by D. Powell,,4-0,,
9:55.0,D. Smith makes 2-pt shot at rim,2,6-0,,
9:51.0,,,6-0,,K. Dunn misses 2-pt shot from 13 ft
9:48.0,,,6-0,,Offensive rebound by Team
9:42.0,,,6-0,,Turnover by Z. LaVine (bad pass)
9:24.0,D. Smith makes 2-pt shot from 1 ft,2,8-0,,
9:10.0,,,8-0,,Z. LaVine misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by D. Nowitzki,,8-0,,
8:48.0,H. Barnes makes 2-pt shot at rim (assist by D. Nowitzki),2,10-0,,
8:47.0,,,10-0,,Chicago full timeout
8:39.0,Personal foul by W. Matthews (drawn by D. Nwaba),,10-0,,
8:39.0,,,10-0,,B. Portis enters the game for C. Felicio
8:24.0,,,10-0,,D. Nwaba misses 2-pt shot from 6 ft
8:20.0,,,10-0,,Offensive rebound by B. Portis
8:20.0,,,10-0,,B. Portis misses 2-pt shot at rim
8:17.0,Defensive rebound by D. Nowitzki,,10-0,,
8:15.0,Turnover by D. Nowitzki (bad pass; steal by D. Nwaba),,10-0,,
8:10.0,,,10-2,2,B. Portis makes 2-pt shot at rim (assist by D. Nwaba)
8:04.0,,,10-2,,Personal foul by D. Nwaba (drawn by H. Barnes)
7:56.0,D. Smith makes 2-pt shot from 1 ft (assist by D. Powell),2,12-2,,
7:39.0,,,12-4,2,K. Dunn makes 2-pt shot from 3 ft
7:30.0,Shooting foul by K. Dunn (drawn by D. Smith),,12-4,,
7:30.0,D. Smith makes free throw 1 of 2,1,13-4,,
7:30.0,N. Noel enters the game for D. Powell,,13-4,,
7:30.0,Y. Ferrell enters the game for D. Nowitzki,,13-4,,
7:30.0,D. Smith makes free throw 2 of 2,1,14-4,,
7:13.0,Personal foul by H. Barnes (drawn by L. Markkanen),,14-4,,
7:04.0,,,14-6,2,L. Markkanen makes 2-pt shot from 21 ft (assist by K. Dunn)
6:48.0,Turnover by N. Noel (bad pass; steal by D. Nwaba),,14-6,,
6:26.0,,,14-8,2,D. Nwaba makes 2-pt shot at rim
6:21.0,H. Barnes makes 2-pt shot at rim,2,16-8,,
6:21.0,Shooting foul by D. Nwaba (drawn by H. Barnes),,16-8,,
6:21.0,,,16-8,,D. Valentine enters the game for D. Nwaba
6:21.0,H. Barnes makes free throw 1 of 1,1,17-8,,
5:58.0,,,17-8,,L. Markkanen misses 2-pt shot from 16 ft
5:54.0,Defensive rebound by Y. Ferrell,,17-8,,
5:44.0,H. Barnes makes 2-pt shot from 15 ft (assist by N. Noel),2,19-8,,
5:27.0,,,19-8,,Turnover by Z. LaVine (lost ball; steal by W. Matthews)
5:24.0,D. Smith misses 2-pt shot from 3 ft,,19-8,,
5:23.0,,,19-8,,Defensive rebound by L. Markkanen
5:18.0,,,19-10,2,Z. LaVine makes 2-pt shot at rim (assist by K. Dunn)
5:06.0,Y. Ferrell misses 3-pt shot from 25 ft,,19-10,,
5:06.0,,,19-10,,Defensive rebound by K. Dunn
5:00.0,,,19-10,,Z. LaVine misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by H. Barnes,,19-10,,
4:51.0,D. Smith makes 2-pt shot from 22 ft,2,21-10,,
4:37.0,,,21-13,3,K. Dunn makes 3-pt shot from 24 ft (assist by L. Markkanen)
4:26.0,D. Smith misses 2-pt shot from 10 ft,,21-13,,
4:26.0,Offensive rebound by H. Barnes,,21-13,,
4:21.0,H. Barnes makes 2-pt shot at rim,2,23-13,,
4:10.0,,,23-13,,Turnover by B. Portis (lost ball; steal by N. Noel)
3:48.0,H. Barnes misses 3-pt shot from 23 ft,,23-13,,
3:48.0,,,23-13,,Defensive rebound by D. Valentine
3:41.0,,,23-13,,B. Portis misses 2-pt shot from 16 ft
3:41.0,Defensive rebound by D. Smith,,23-13,,
3:30.0,N. Noel misses 2-pt shot at rim,,23-13,,
3:29.0,Offensive rebound by N. Noel,,23-13,,
3:29.0,Turnover by N. Noel (traveling),,23-13,,
3:29.0,Dallas full timeout,,23-13,,
3:29.0,,,23-13,,J. Grant enters the game for Z. LaVine
3:29.0,J. Barea enters the game for D. Smith,,23-13,,
3:29.0,D. McDermott enters the game for W. Matthews,,23-13,,
3:18.0,,,23-15,2,J. Grant makes 2-pt shot from 14 ft (assist by K. Dunn)
2:59.0,Turnover by H. Barnes (traveling),,23-15,,
2:59.0,,,23-15,,N. Vonleh enters the game for L. Markkanen
2:47.0,,,23-15,,D. Valentine misses 2-pt shot from 4 ft (block by N. Noel)
2:47.0,,,23-15,,Offensive rebound by Team
2:46.0,D. Nowitzki enters the game for N. Noel,,23-15,,
2:46.0,D. Powell enters the game for H. Barnes,,23-15,,
2:46.0,,,23-15,,Shooting foul by J. Barea (drawn by J. Grant)
2:46.0,,,23-16,1,J. Grant makes free throw 1 of 2
2:46.0,,,23-17,1,J. Grant makes free throw 2 of 2
2:36.0,D. Nowitzki misses 3-pt shot from 25 ft,,23-17,,
2:33.0,,,23-17,,Defensive rebound by B. Portis
2:28.0,,,23-20,3,B. Portis makes 3-pt shot from 25 ft (assist by K. Dunn)
2:08.0,Turnover by J. Barea (bad pass; steal by J. Grant),,23-20,,
2:04.0,,,23-20,,D. Valentine misses 2-pt shot from 4 ft
1:56.0,,,23-20,,Offensive rebound by N. Vonleh
1:56.0,,,23-22,2,N. Vonleh makes 2-pt shot at rim
1:49.0,J. Barea makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,26-22,,
1:41.0,,,26-22,,N. Vonleh misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by Y. Ferrell,,26-22,,
1:30.0,J. Barea misses 2-pt shot from 11 ft,,26-22,,
1:29.0,Offensive rebound by D. McDermott,,26-22,,
1:27.0,D. McDermott misses 2-pt shot at rim,,26-22,,
1:26.0,,,26-22,,Defensive rebound by J. Grant
1:19.0,,,26-22,,Turnover by K. Dunn (discontinued dribble)
1:19.0,,,26-22,,C. Payne enters the game for K. Dunn
1:02.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,29-22,,
0:48.0,,,29-22,,N. Vonleh misses 2-pt shot from 19 ft
0:48.0,Defensive rebound by D. Powell,,29-22,,
0:32.0,J. Barea misses 2-pt shot from 2 ft,,29-22,,
0:32.0,,,29-22,,Defensive rebound by Team
0:32.0,Loose ball foul by D. Powell (drawn by B. Portis),,29-22,,
0:32.0,,,29-23,1,B. Portis makes free throw 1 of 2
0:32.0,M. Kleber enters the game for D. Powell,,29-23,,
0:32.0,,,29-24,1,B. Portis makes free throw 2 of 2
0:12.0,D. McDermott makes 3-pt shot from 26 ft (assist by J. Barea),3,32-24,,
0:03.0,,,32-24,,D. Valentine misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by D. McDermott,,32-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,32-24,,Offensive foul by C. Felicio (drawn by J. Barea)
11:48.0,,,32-24,,Turnover by C. Felicio (offensive foul)
11:31.0,D. Nowitzki misses 3-pt shot from 26 ft,,32-24,,
11:28.0,,,32-24,,Defensive rebound by D. Valentine
11:15.0,,,32-24,,B. Portis misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by Team,,32-24,,
11:03.0,,,32-24,,Personal foul by D. Valentine (drawn by D. Powell)
10:52.0,D. Powell misses 2-pt shot from 6 ft,,32-24,,
10:49.0,,,32-24,,Defensive rebound by C. Payne
10:29.0,,,32-24,,C. Felicio misses 2-pt shot from 6 ft (block by D. Nowitzki)
10:26.0,Defensive rebound by D. McDermott,,32-24,,
10:12.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,35-24,,
9:57.0,,,35-24,,C. Payne misses 2-pt shot from 20 ft
9:57.0,Defensive rebound by D. Nowitzki,,35-24,,
9:47.0,Turnover by J. Barea (bad pass; steal by C. Payne),,35-24,,
9:40.0,,,35-26,2,C. Payne makes 2-pt shot at rim (assist by J. Grant)
9:25.0,D. Powell misses 2-pt shot from 20 ft,,35-26,,
9:25.0,Offensive rebound by D. McDermott,,35-26,,
9:23.0,D. McDermott misses 2-pt shot from 1 ft,,35-26,,
9:23.0,Offensive rebound by D. McDermott,,35-26,,
9:23.0,Shooting foul by C. Payne (drawn by D. McDermott),,35-26,,
9:23.0,D. McDermott makes free throw 1 of 2,1,36-26,,
9:23.0,,,36-26,,D. Nwaba enters the game for D. Valentine
9:23.0,D. McDermott makes free throw 2 of 2,1,37-26,,
