time,LA Clippers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. D. Jordan (M. Harkless gains possession),,,,Jump ball: J. Nurkic vs. D. Jordan (M. Harkless gains possession)
11:41.0,,,0-0,,A. Aminu misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by D. Jordan,,0-0,,
11:34.0,Turnover by P. Beverley (bad pass; steal by A. Aminu),,0-0,,
11:21.0,,,0-3,3,D. Lillard makes 3-pt shot from 28 ft (assist by J. Nurkic)
11:03.0,D. Gallinari makes 2-pt shot at rim (assist by B. Griffin),2,2-3,,
10:45.0,,,2-3,,C. McCollum misses 2-pt shot from 11 ft
10:43.0,,,2-3,,Offensive rebound by C. McCollum
10:41.0,,,2-3,,C. McCollum misses 2-pt shot from 6 ft
10:41.0,Defensive rebound by B. Griffin,,2-3,,
10:35.0,A. Rivers makes 2-pt shot from 5 ft,2,4-3,,
10:08.0,,,4-5,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
9:54.0,Shooting foul by A. Aminu (drawn by D. Gallinari),,4-5,,
9:54.0,D. Gallinari makes free throw 1 of 2,1,5-5,,
9:54.0,D. Gallinari makes free throw 2 of 2,1,6-5,,
9:42.0,,,6-5,,D. Lillard misses 2-pt shot at rim
9:40.0,,,6-5,,Offensive rebound by J. Nurkic
9:37.0,,,6-5,,M. Harkless misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by B. Griffin,,6-5,,
9:17.0,P. Beverley misses 3-pt shot from 22 ft,,6-5,,
9:17.0,,,6-5,,Defensive rebound by Team
9:01.0,,,6-5,,J. Nurkic misses 2-pt shot from 21 ft
8:57.0,Defensive rebound by D. Jordan,,6-5,,
8:50.0,P. Beverley misses 3-pt shot from 25 ft,,6-5,,
8:48.0,,,6-5,,Defensive rebound by A. Aminu
8:36.0,,,6-5,,M. Harkless misses 2-pt shot from 1 ft (block by D. Jordan)
8:31.0,,,6-5,,Offensive rebound by A. Aminu
8:31.0,,,6-7,2,A. Aminu makes 2-pt shot at rim
8:24.0,A. Rivers makes 2-pt shot from 13 ft,2,8-7,,
8:05.0,,,8-7,,Shooting foul by P. Beverley (drawn by M. Harkless)
8:05.0,,,8-8,1,M. Harkless makes free throw 1 of 2
8:05.0,,,8-9,1,M. Harkless makes free throw 2 of 2
7:43.0,B. Griffin makes 2-pt shot from 16 ft,2,10-9,,
7:29.0,,,10-9,,Turnover by J. Nurkic (bad pass; steal by A. Rivers)
7:16.0,A. Rivers misses 2-pt shot from 22 ft,,10-9,,
7:15.0,,,10-9,,Defensive rebound by Team
6:55.0,Personal foul by A. Rivers (drawn by J. Nurkic),,10-9,,
6:55.0,,,10-9,,Portland full timeout
6:53.0,,,10-9,,Turnover by J. Nurkic (bad pass)
6:39.0,D. Gallinari makes 2-pt shot from 16 ft,2,12-9,,
6:21.0,,,12-11,2,C. McCollum makes 2-pt shot at rim (assist by D. Lillard)
6:03.0,,,12-11,,Away from play foul by D. Lillard (drawn by D. Gallinari)
6:03.0,,,12-11,,P. Connaughton enters the game for M. Harkless
6:03.0,,,12-11,,E. Turner enters the game for C. McCollum
6:02.0,,,12-11,,Personal foul by A. Aminu (drawn by B. Griffin)
6:02.0,,,12-11,,E. Davis enters the game for A. Aminu
5:58.0,Turnover by B. Griffin (traveling),,12-11,,
5:45.0,,,12-11,,J. Nurkic misses 2-pt shot from 5 ft
5:41.0,,,12-11,,Offensive rebound by E. Davis
5:41.0,,,12-11,,E. Davis misses 2-pt shot at rim
5:41.0,,,12-11,,Offensive rebound by E. Davis
5:40.0,,,12-11,,E. Davis misses 2-pt shot at rim
5:40.0,,,12-11,,Offensive rebound by J. Nurkic
5:36.0,,,12-11,,J. Nurkic misses 2-pt shot at rim
5:36.0,Defensive rebound by D. Jordan,,12-11,,
5:24.0,D. Jordan misses 2-pt shot from 2 ft,,12-11,,
5:24.0,Offensive rebound by Team,,12-11,,
5:24.0,L. Williams enters the game for A. Rivers,,12-11,,
5:14.0,Shooting foul by E. Davis (drawn by B. Griffin),,12-11,,
5:14.0,B. Griffin misses free throw 1 of 2,,12-11,,
5:14.0,Offensive rebound by Team,,12-11,,
5:14.0,B. Griffin misses free throw 2 of 2,,12-11,,
5:12.0,,,12-11,,Defensive rebound by E. Turner
5:05.0,,,12-13,2,E. Turner makes 2-pt shot from 16 ft
4:42.0,D. Gallinari misses 3-pt shot from 22 ft,,12-13,,
4:40.0,,,12-13,,Defensive rebound by P. Connaughton
4:32.0,,,12-13,,E. Davis misses 2-pt shot from 4 ft (block by D. Jordan)
4:29.0,Defensive rebound by D. Jordan,,12-13,,
4:26.0,,,12-13,,Personal foul by E. Turner (drawn by D. Gallinari)
4:26.0,D. Gallinari makes free throw 1 of 2,1,13-13,,
4:26.0,D. Gallinari makes free throw 2 of 2,1,14-13,,
4:13.0,,,14-13,,P. Connaughton misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by D. Jordan,,14-13,,
4:01.0,L. Williams makes 3-pt shot from 23 ft (assist by D. Gallinari),3,17-13,,
3:47.0,,,17-13,,P. Connaughton misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by D. Jordan,,17-13,,
3:38.0,D. Gallinari misses 3-pt shot from 25 ft,,17-13,,
3:34.0,Offensive rebound by B. Griffin,,17-13,,
