time,Cleveland,pts.away,score,pts.home,Miami
1:19.0,,,16-22,,Defensive rebound by D. Wade
1:16.0,,,16-24,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Winslow)
0:59.0,Turnover by L. James (bad pass; steal by J. Winslow),,16-24,,
0:55.0,,,16-27,3,W. Ellington makes 3-pt shot from 26 ft (assist by J. Winslow)
0:35.0,R. Hood makes 2-pt shot from 10 ft,2,18-27,,
0:23.0,Shooting block foul by L. Nance (drawn by D. Wade),,18-27,,
0:23.0,,,18-28,1,D. Wade makes free throw 1 of 2
0:23.0,,,18-29,1,D. Wade makes free throw 2 of 2
0:04.0,R. Hood misses 3-pt shot from 26 ft,,18-29,,
0:01.0,Offensive rebound by L. Nance,,18-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,18-32,3,K. Olynyk makes 3-pt shot from 25 ft (assist by D. Wade)
11:23.0,J. Smith misses 2-pt shot from 20 ft,,18-32,,
11:22.0,,,18-32,,Defensive rebound by J. Richardson
11:12.0,,,18-34,2,K. Olynyk makes 2-pt shot from 1 ft
11:12.0,,,18-34,,Shooting foul by K. Love (drawn by K. Olynyk)
11:12.0,,,18-34,,K. Olynyk misses free throw 1 of 1
11:12.0,Defensive rebound by R. Hood,,18-34,,
10:58.0,,,18-34,,Personal foul by J. Winslow (drawn by K. Love)
10:52.0,R. Hood misses 2-pt shot from 9 ft,,18-34,,
10:51.0,Offensive rebound by Team,,18-34,,
10:50.0,,,18-34,,Loose ball foul by D. Wade (drawn by T. Thompson)
10:33.0,Turnover by K. Love (lost ball; steal by D. Wade),,18-34,,
10:23.0,,,18-34,,K. Olynyk misses 3-pt shot from 25 ft
10:20.0,Defensive rebound by T. Thompson,,18-34,,
10:13.0,J. Clarkson misses 2-pt shot from 19 ft,,18-34,,
10:11.0,,,18-34,,Defensive rebound by J. Winslow
9:59.0,,,18-36,2,K. Olynyk makes 2-pt shot from 1 ft
9:58.0,Cleveland full timeout,,18-36,,
9:58.0,J. Green enters the game for R. Hood,,18-36,,
9:42.0,,,18-36,,Shooting block foul by K. Olynyk (drawn by T. Thompson)
9:42.0,T. Thompson makes free throw 1 of 2,1,19-36,,
9:42.0,T. Thompson makes free throw 2 of 2,1,20-36,,
9:24.0,,,20-36,,J. Winslow misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by K. Love,,20-36,,
9:17.0,K. Love misses 3-pt shot from 26 ft,,20-36,,
9:16.0,,,20-36,,Defensive rebound by Team
9:16.0,L. James enters the game for T. Thompson,,20-36,,
8:58.0,,,20-36,,Turnover by D. Wade (bad pass; steal by J. Clarkson)
8:52.0,K. Love misses 3-pt shot from 25 ft,,20-36,,
8:50.0,,,20-36,,Defensive rebound by J. Winslow
8:44.0,,,20-38,2,J. Winslow makes 2-pt shot from 1 ft
8:24.0,L. James misses 2-pt shot from 5 ft (block by D. Wade),,20-38,,
8:23.0,Offensive rebound by Team,,20-38,,
8:22.0,Turnover by J. Clarkson (step out of bounds),,20-38,,
8:22.0,J. Calderon enters the game for J. Clarkson,,20-38,,
7:59.0,,,20-38,,J. Winslow misses 3-pt shot from 22 ft
7:58.0,,,20-38,,Offensive rebound by K. Olynyk
7:57.0,Personal foul by J. Calderon (drawn by D. Wade),,20-38,,
7:57.0,G. Hill enters the game for J. Smith,,20-38,,
7:49.0,,,20-38,,Turnover by D. Wade (bad pass; steal by J. Green)
7:44.0,G. Hill misses 3-pt shot from 22 ft,,20-38,,
7:43.0,,,20-38,,Defensive rebound by W. Ellington
7:30.0,,,20-40,2,D. Wade makes 2-pt shot from 18 ft
7:12.0,,,20-40,,Def 3 sec tech foul by D. Wade
7:12.0,K. Love makes technical free throw,1,21-40,,
7:00.0,J. Calderon misses 2-pt shot from 19 ft,,21-40,,
6:58.0,,,21-40,,Defensive rebound by J. Richardson
6:53.0,,,21-40,,D. Wade misses 3-pt shot from 26 ft
6:49.0,,,21-40,,Offensive rebound by J. Winslow
6:38.0,,,21-42,2,D. Wade makes 2-pt shot from 5 ft (assist by K. Olynyk)
6:22.0,G. Hill misses 2-pt shot from 5 ft,,21-42,,
6:22.0,Offensive rebound by Team,,21-42,,
6:22.0,,,21-42,,G. Dragic enters the game for D. Wade
6:22.0,,,21-42,,T. Johnson enters the game for J. Richardson
6:22.0,L. Nance enters the game for K. Love,,21-42,,
6:11.0,L. Nance misses 2-pt shot at rim,,21-42,,
6:08.0,,,21-42,,Defensive rebound by K. Olynyk
5:57.0,,,21-42,,Shooting foul by L. Nance (drawn by K. Olynyk)
5:57.0,,,21-42,,K. Olynyk misses free throw 1 of 2
5:57.0,,,21-42,,Offensive rebound by Team
5:57.0,,,21-43,1,K. Olynyk makes free throw 2 of 2
5:41.0,T. Thompson enters the game for L. Nance,,21-43,,
5:35.0,L. James misses 3-pt shot from 25 ft,,21-43,,
5:32.0,,,21-43,,Defensive rebound by Team
5:16.0,,,21-43,,W. Ellington misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by J. Green,,21-43,,
5:06.0,Shooting foul by J. Winslow (drawn by L. James),,21-43,,
5:06.0,L. James makes 2-pt shot from 1 ft,2,23-43,,
5:06.0,,,23-43,,Violation by J. Winslow (def goaltending)
5:06.0,L. James makes free throw 1 of 1,1,24-43,,
4:46.0,,,24-45,2,K. Olynyk makes 2-pt shot from 1 ft (assist by G. Dragic)
4:33.0,L. James makes 2-pt shot from 1 ft (assist by J. Green),2,26-45,,
4:11.0,,,26-45,,Turnover by K. Olynyk (bad pass; steal by G. Hill)
3:55.0,Turnover by T. Thompson (lost ball; steal by K. Olynyk),,26-45,,
3:44.0,,,26-45,,Turnover by G. Dragic (lost ball; steal by T. Thompson)
3:39.0,L. James makes 2-pt shot from 1 ft (assist by J. Calderon),2,28-45,,
3:39.0,,,28-45,,Miami full timeout
3:39.0,,,28-45,,J. Johnson enters the game for J. Winslow
3:39.0,R. Hood enters the game for G. Hill,,28-45,,
3:16.0,,,28-45,,J. Johnson misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by T. Thompson,,28-45,,
3:05.0,L. James misses 2-pt shot from 16 ft,,28-45,,
3:04.0,,,28-45,,Defensive rebound by T. Johnson
2:52.0,,,28-45,,T. Johnson misses 2-pt shot from 12 ft
2:49.0,Defensive rebound by R. Hood,,28-45,,
2:44.0,R. Hood misses 2-pt shot from 7 ft,,28-45,,
2:43.0,Offensive rebound by T. Thompson,,28-45,,
2:40.0,T. Thompson misses 2-pt shot at rim,,28-45,,
2:39.0,,,28-45,,Defensive rebound by J. Johnson
2:30.0,,,28-47,2,J. Johnson makes 2-pt shot from 1 ft
2:14.0,,,28-47,,J. Richardson enters the game for W. Ellington
2:14.0,J. Clarkson enters the game for J. Calderon,,28-47,,
2:06.0,L. James misses 3-pt shot from 25 ft,,28-47,,
2:04.0,Offensive rebound by R. Hood,,28-47,,
1:52.0,T. Thompson makes 2-pt shot from 1 ft (assist by L. James),2,30-47,,
1:40.0,,,30-47,,K. Olynyk misses 2-pt shot from 21 ft
1:38.0,Defensive rebound by L. James,,30-47,,
1:26.0,Turnover by T. Thompson (bad pass; steal by K. Olynyk),,30-47,,
1:24.0,,,30-49,2,J. Johnson makes 2-pt shot at rim (assist by T. Johnson)
1:24.0,,,30-49,,Shooting foul by R. Hood (drawn by J. Johnson)
1:24.0,,,30-50,1,J. Johnson makes free throw 1 of 1
1:12.0,R. Hood misses 2-pt shot from 14 ft,,30-50,,
1:12.0,Offensive rebound by Team,,30-50,,
1:12.0,,,30-50,,Loose ball foul by K. Olynyk (drawn by T. Thompson)
1:12.0,T. Thompson makes free throw 1 of 2,1,31-50,,
1:12.0,,,31-50,,J. Mickey enters the game for K. Olynyk
1:12.0,T. Thompson misses free throw 2 of 2,,31-50,,
1:11.0,,,31-50,,Defensive rebound by J. Richardson
0:58.0,,,31-52,2,G. Dragic makes 2-pt shot from 1 ft
0:46.0,Turnover by L. James (bad pass; steal by J. Richardson),,31-52,,
0:43.0,,,31-54,2,J. Richardson makes 2-pt shot from 1 ft
0:31.0,R. Hood makes 3-pt shot from 25 ft (assist by L. James),3,34-54,,
0:12.0,,,34-54,,G. Dragic misses 3-pt shot from 26 ft
0:06.0,,,34-54,,Offensive rebound by J. Mickey
