time,Cleveland,pts.away,score,pts.home,Miami
2:29.0,J. Holland misses 2-pt shot from 18 ft,,73-94,,
2:28.0,Offensive rebound by T. Thompson,,73-94,,
2:18.0,Turnover by J. Calderon (bad pass; steal by K. Olynyk),,73-94,,
2:13.0,,,73-96,2,J. Richardson makes 2-pt shot from 1 ft (assist by J. Johnson)
1:57.0,J. Calderon makes 2-pt shot from 21 ft,2,75-96,,
1:40.0,,,75-96,,T. Johnson misses 2-pt shot from 21 ft
1:37.0,Defensive rebound by T. Thompson,,75-96,,
1:36.0,,,75-96,,Personal foul by J. Winslow (drawn by J. Calderon)
1:36.0,J. Calderon makes free throw 1 of 2,1,76-96,,
1:36.0,,,76-96,,L. Babbitt enters the game for J. Richardson
1:36.0,,,76-96,,R. McGruder enters the game for K. Olynyk
1:36.0,,,76-96,,D. Jones enters the game for J. Johnson
1:36.0,,,76-96,,J. Mickey enters the game for T. Johnson
1:36.0,J. Calderon makes free throw 2 of 2,1,77-96,,
1:24.0,,,77-96,,R. McGruder misses 2-pt shot from 19 ft
1:22.0,Defensive rebound by J. Holland,,77-96,,
1:14.0,A. Zizic makes 2-pt shot from 6 ft (assist by J. Calderon),2,79-96,,
1:05.0,,,79-96,,Turnover by J. Winslow (step out of bounds)
0:53.0,T. Thompson misses 2-pt shot from 22 ft,,79-96,,
0:52.0,,,79-96,,Defensive rebound by J. Winslow
0:41.0,,,79-96,,Shooting foul by J. Holland (drawn by J. Winslow)
0:41.0,,,79-97,1,J. Winslow makes free throw 1 of 2
0:41.0,,,79-98,1,J. Winslow makes free throw 2 of 2
0:32.0,J. Holland misses 3-pt shot from 25 ft,,79-98,,
0:29.0,,,79-98,,Defensive rebound by D. Jones
0:08.0,,,79-98,,Turnover by Team (shot clock)
