time,Houston,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. C. Capela (R. Anderson gains possession),,,,Jump ball: B. Biyombo vs. C. Capela (R. Anderson gains possession)
11:46.0,R. Anderson misses 2-pt shot from 10 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by A. Gordon
11:23.0,,,0-0,,A. Gordon misses 3-pt shot from 27 ft
11:20.0,,,0-0,,Offensive rebound by Team
11:08.0,,,0-0,,E. Fournier misses 2-pt shot from 11 ft
11:04.0,,,0-0,,Offensive rebound by E. Fournier
11:01.0,,,0-0,,A. Gordon misses 2-pt shot from 22 ft
11:01.0,Defensive rebound by E. Gordon,,0-0,,
10:46.0,C. Capela misses 2-pt shot from 8 ft,,0-0,,
10:44.0,,,0-0,,Defensive rebound by A. Gordon
10:38.0,,,0-0,,A. Gordon misses 2-pt shot from 2 ft
10:35.0,,,0-0,,Offensive rebound by E. Payton
10:32.0,,,0-0,,Turnover by B. Biyombo (lost ball; steal by E. Gordon)
10:26.0,E. Gordon makes 3-pt shot from 22 ft (assist by T. Ariza),3,3-0,,
10:18.0,,,3-2,2,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Payton)
10:02.0,Turnover by E. Gordon (lost ball; steal by E. Payton),,3-2,,
9:55.0,,,3-2,,E. Payton misses 2-pt shot from 2 ft
9:52.0,Defensive rebound by C. Paul,,3-2,,
9:46.0,C. Paul misses 2-pt shot from 6 ft,,3-2,,
9:41.0,,,3-2,,Defensive rebound by A. Gordon
9:38.0,,,3-2,,J. Simmons misses 3-pt shot from 22 ft
9:33.0,Defensive rebound by C. Capela,,3-2,,
9:28.0,R. Anderson misses 3-pt shot from 24 ft,,3-2,,
9:23.0,,,3-2,,Defensive rebound by B. Biyombo
9:19.0,,,3-2,,E. Payton misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by C. Capela,,3-2,,
9:08.0,,,3-2,,Personal foul by J. Simmons (drawn by C. Paul)
9:01.0,T. Ariza misses 3-pt shot from 25 ft,,3-2,,
8:58.0,,,3-2,,Defensive rebound by A. Gordon
8:45.0,,,3-2,,J. Simmons misses 3-pt shot from 26 ft
8:41.0,Defensive rebound by T. Ariza,,3-2,,
8:30.0,C. Capela makes 2-pt shot from 6 ft (assist by C. Paul),2,5-2,,
8:15.0,,,5-2,,E. Fournier misses 3-pt shot from 22 ft
8:14.0,,,5-2,,Offensive rebound by E. Fournier
8:13.0,,,5-4,2,E. Fournier makes 2-pt shot from 1 ft
8:13.0,Violation by C. Capela (def goaltending),,5-4,,
7:58.0,C. Paul misses 2-pt shot from 3 ft,,5-4,,
7:58.0,Offensive rebound by C. Paul,,5-4,,
7:50.0,T. Ariza misses 3-pt shot from 24 ft,,5-4,,
7:46.0,Offensive rebound by R. Anderson,,5-4,,
7:41.0,,,5-4,,Personal foul by E. Fournier (drawn by R. Anderson)
7:34.0,E. Gordon misses 2-pt shot from 4 ft,,5-4,,
7:28.0,Offensive rebound by R. Anderson,,5-4,,
7:28.0,R. Anderson misses 2-pt shot at rim,,5-4,,
7:27.0,,,5-4,,Defensive rebound by J. Simmons
7:25.0,,,5-4,,A. Gordon misses 3-pt shot from 26 ft
7:22.0,Defensive rebound by R. Anderson,,5-4,,
7:06.0,R. Anderson makes 3-pt shot from 23 ft (assist by C. Paul),3,8-4,,
6:51.0,,,8-4,,Turnover by E. Payton (bad pass; steal by R. Anderson)
6:50.0,,,8-4,,Personal foul by E. Payton (drawn by C. Paul)
6:50.0,,,8-4,,Orlando full timeout
6:50.0,G. Green enters the game for E. Gordon,,8-4,,
6:39.0,Shooting foul by J. Simmons (drawn by C. Capela),,8-4,,
6:39.0,C. Capela makes free throw 1 of 2,1,9-4,,
6:39.0,,,9-4,,W. Iwundu enters the game for J. Simmons
6:39.0,C. Capela misses free throw 2 of 2,,9-4,,
6:35.0,,,9-4,,Defensive rebound by B. Biyombo
6:15.0,,,9-4,,E. Payton misses 2-pt shot from 12 ft
6:11.0,Defensive rebound by G. Green,,9-4,,
5:58.0,C. Capela makes 2-pt shot from 4 ft (assist by C. Paul),2,11-4,,
5:34.0,,,11-4,,A. Gordon misses 2-pt shot from 5 ft
5:34.0,Defensive rebound by Team,,11-4,,
5:34.0,,,11-4,,Loose ball foul by B. Biyombo (drawn by R. Anderson)
5:34.0,R. Anderson makes free throw 1 of 2,1,12-4,,
5:34.0,R. Anderson makes free throw 2 of 2,1,13-4,,
5:16.0,,,13-4,,A. Gordon misses 2-pt shot from 18 ft
5:12.0,Defensive rebound by C. Capela,,13-4,,
5:04.0,Shooting foul by A. Gordon (drawn by R. Anderson),,13-4,,
5:04.0,R. Anderson makes free throw 1 of 2,1,14-4,,
5:04.0,N. Hilario enters the game for C. Capela,,14-4,,
5:04.0,,,14-4,,Orlando full timeout
5:04.0,R. Anderson makes free throw 2 of 2,1,15-4,,
4:45.0,,,15-4,,E. Fournier misses 3-pt shot from 26 ft
4:44.0,,,15-4,,Offensive rebound by Team
4:44.0,Loose ball foul by T. Ariza (drawn by B. Biyombo),,15-4,,
4:44.0,P. Tucker enters the game for R. Anderson,,15-4,,
4:35.0,,,15-4,,Shooting foul by P. Tucker (drawn by W. Iwundu)
4:35.0,,,15-5,1,W. Iwundu makes free throw 1 of 2
4:35.0,,,15-6,1,W. Iwundu makes free throw 2 of 2
4:11.0,C. Paul misses 3-pt shot from 25 ft,,15-6,,
4:07.0,,,15-6,,Defensive rebound by B. Biyombo
3:54.0,,,15-6,,E. Fournier misses 2-pt shot from 6 ft
3:51.0,Defensive rebound by N. Hilario,,15-6,,
3:43.0,G. Green makes 3-pt shot from 22 ft (assist by C. Paul),3,18-6,,
3:33.0,,,18-6,,Turnover by E. Payton (bad pass; steal by T. Ariza)
3:26.0,G. Green misses 2-pt shot from 17 ft,,18-6,,
3:24.0,,,18-6,,Defensive rebound by B. Biyombo
3:15.0,,,18-6,,W. Iwundu misses 3-pt shot from 22 ft
3:15.0,Defensive rebound by G. Green,,18-6,,
3:07.0,C. Paul misses 2-pt shot from 3 ft,,18-6,,
3:07.0,,,18-6,,Defensive rebound by E. Payton
3:01.0,,,18-8,2,E. Payton makes 2-pt shot from 19 ft
2:36.0,N. Hilario misses 2-pt shot from 15 ft,,18-8,,
2:33.0,,,18-8,,Defensive rebound by E. Payton
2:16.0,,,18-10,2,E. Payton makes 2-pt shot from 2 ft
2:10.0,Houston full timeout,,18-10,,
2:10.0,,,18-10,,M. Speights enters the game for A. Gordon
2:10.0,,,18-10,,A. Afflalo enters the game for E. Payton
2:10.0,,,18-10,,D. Augustin enters the game for E. Fournier
2:10.0,,,18-10,,M. Hezonja enters the game for B. Biyombo
2:10.0,B. Weber enters the game for T. Ariza,,18-10,,
2:10.0,E. Gordon enters the game for C. Paul,,18-10,,
2:01.0,N. Hilario makes 2-pt shot from 1 ft (assist by E. Gordon),2,20-10,,
1:32.0,,,20-10,,M. Speights misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by E. Gordon,,20-10,,
1:23.0,G. Green makes 3-pt shot from 25 ft (assist by E. Gordon),3,23-10,,
0:56.0,,,23-10,,M. Hezonja misses 2-pt shot from 14 ft
0:54.0,Defensive rebound by B. Weber,,23-10,,
0:45.0,N. Hilario makes 2-pt shot from 15 ft (assist by B. Weber),2,25-10,,
0:33.0,,,25-12,2,A. Afflalo makes 2-pt shot from 1 ft
0:23.0,G. Green misses 2-pt shot from 13 ft,,25-12,,
0:19.0,,,25-12,,Defensive rebound by M. Hezonja
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,25-14,2,D. Augustin makes 2-pt shot from 3 ft (assist by M. Speights)
11:38.0,,,25-14,,Shooting foul by E. Gordon (drawn by D. Augustin)
11:38.0,,,25-15,1,D. Augustin makes free throw 1 of 1
11:21.0,Turnover by E. Gordon (bad pass),,25-15,,
11:11.0,,,25-15,,D. Augustin misses 2-pt shot from 2 ft
11:08.0,Defensive rebound by N. Hilario,,25-15,,
11:05.0,Turnover by G. Green (step out of bounds),,25-15,,
10:41.0,,,25-15,,A. Afflalo misses 3-pt shot from 26 ft
10:40.0,Defensive rebound by Team,,25-15,,
10:34.0,,,25-15,,Personal foul by W. Iwundu (drawn by G. Green)
10:34.0,,,25-15,,J. Simmons enters the game for W. Iwundu
10:29.0,N. Hilario makes 2-pt shot from 2 ft (assist by E. Gordon),2,27-15,,
10:15.0,,,27-15,,M. Speights misses 3-pt shot from 29 ft
10:11.0,Defensive rebound by P. Tucker,,27-15,,
10:04.0,N. Hilario makes 2-pt shot from 1 ft (assist by G. Green),2,29-15,,
10:04.0,,,29-15,,Orlando full timeout
9:42.0,,,29-15,,M. Hezonja misses 3-pt shot from 22 ft
9:38.0,Defensive rebound by B. Weber,,29-15,,
9:28.0,N. Hilario misses 2-pt shot from 15 ft,,29-15,,
9:25.0,Offensive rebound by P. Tucker,,29-15,,
9:21.0,E. Gordon makes 3-pt shot from 25 ft,3,32-15,,
9:00.0,,,32-17,2,M. Hezonja makes 2-pt shot from 2 ft
8:50.0,E. Gordon misses 3-pt shot from 25 ft,,32-17,,
8:46.0,,,32-17,,Defensive rebound by M. Hezonja
8:42.0,,,32-20,3,M. Hezonja makes 3-pt shot from 26 ft
8:24.0,B. Weber misses 2-pt shot from 15 ft,,32-20,,
8:22.0,,,32-20,,Defensive rebound by M. Hezonja
8:18.0,,,32-20,,M. Speights misses 3-pt shot from 29 ft
8:13.0,Defensive rebound by B. Weber,,32-20,,
8:10.0,E. Gordon misses 2-pt shot from 2 ft,,32-20,,
