time,Orlando,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. N. Vucevic (A. Gordon gains possession),,,,Jump ball: M. Turner vs. N. Vucevic (A. Gordon gains possession)
11:34.0,E. Payton makes 2-pt shot at rim (assist by N. Vucevic),2,2-0,,
11:16.0,,,2-0,,Turnover by M. Turner (bad pass; steal by E. Payton)
11:09.0,Turnover by E. Payton (bad pass; steal by T. Young),,2-0,,
11:05.0,,,2-3,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by T. Young)
10:53.0,E. Fournier makes 2-pt shot from 20 ft,2,4-3,,
10:44.0,,,4-3,,T. Young misses 2-pt shot from 18 ft
10:42.0,Defensive rebound by N. Vucevic,,4-3,,
10:27.0,N. Vucevic misses 2-pt shot from 6 ft,,4-3,,
10:25.0,,,4-3,,Defensive rebound by B. Bogdanovic
10:19.0,Jump ball: V. Oladipo vs.,,,,Jump ball: V. Oladipo vs.
10:06.0,A. Gordon misses 3-pt shot from 27 ft,,4-3,,
10:03.0,,,4-3,,Defensive rebound by V. Oladipo
10:01.0,,,4-3,,Turnover by V. Oladipo (bad pass)
9:50.0,Turnover by E. Payton (lost ball; steal by D. Collison),,4-3,,
9:48.0,,,4-3,,Turnover by V. Oladipo (bad pass)
9:34.0,Turnover by J. Simmons (bad pass; steal by V. Oladipo),,4-3,,
9:29.0,,,4-3,,D. Collison misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by N. Vucevic,,4-3,,
9:13.0,Offensive foul by N. Vucevic (drawn by M. Turner),,4-3,,
9:13.0,Turnover by N. Vucevic (offensive foul),,4-3,,
8:57.0,,,4-6,3,M. Turner makes 3-pt shot from 27 ft (assist by V. Oladipo)
8:44.0,E. Fournier misses 2-pt shot from 16 ft,,4-6,,
8:42.0,,,4-6,,Defensive rebound by B. Bogdanovic
8:37.0,,,4-6,,M. Turner misses 3-pt shot from 26 ft
8:34.0,,,4-6,,Offensive rebound by D. Collison
8:26.0,,,4-6,,M. Turner misses 2-pt shot from 2 ft (block by N. Vucevic)
8:23.0,Defensive rebound by E. Payton,,4-6,,
8:19.0,A. Gordon makes 3-pt shot from 22 ft (assist by E. Fournier),3,7-6,,
7:53.0,,,7-6,,T. Young misses 2-pt shot from 16 ft
7:51.0,Defensive rebound by N. Vucevic,,7-6,,
7:42.0,J. Simmons misses 2-pt shot at rim,,7-6,,
7:39.0,,,7-6,,Defensive rebound by T. Young
7:33.0,,,7-6,,D. Collison misses 2-pt shot from 1 ft
7:31.0,Defensive rebound by N. Vucevic,,7-6,,
7:23.0,E. Payton makes 3-pt shot from 23 ft (assist by E. Fournier),3,10-6,,
7:01.0,,,10-8,2,M. Turner makes 2-pt shot from 2 ft (assist by T. Young)
6:38.0,J. Simmons makes 3-pt shot from 28 ft (assist by E. Fournier),3,13-8,,
