time,Orlando,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Vucevic (D. Augustin gains possession),,,,Jump ball: M. Gasol vs. N. Vucevic (D. Augustin gains possession)
11:41.0,E. Fournier makes 3-pt shot from 24 ft (assist by A. Gordon),3,3-0,,
11:20.0,,,3-0,,Turnover by A. Harrison (bad pass; steal by N. Vucevic)
11:11.0,N. Vucevic misses 2-pt shot from 13 ft,,3-0,,
11:08.0,,,3-0,,Defensive rebound by J. Ennis
11:04.0,,,3-2,2,A. Harrison makes 2-pt shot at rim (assist by M. Chalmers)
11:04.0,,,3-2,,Shooting foul by T. Ross (drawn by A. Harrison)
11:04.0,,,3-3,1,A. Harrison makes free throw 1 of 1
10:48.0,E. Fournier makes 3-pt shot from 26 ft (assist by N. Vucevic),3,6-3,,
10:37.0,,,6-5,2,M. Gasol makes 2-pt shot from 15 ft (assist by J. Ennis)
10:25.0,A. Gordon makes 3-pt shot from 22 ft (assist by N. Vucevic),3,9-5,,
10:11.0,,,9-5,,J. Ennis misses 2-pt shot from 11 ft
10:08.0,Defensive rebound by T. Ross,,9-5,,
10:00.0,D. Augustin makes 2-pt shot from 5 ft,2,11-5,,
10:00.0,Shooting foul by M. Chalmers (drawn by D. Augustin),,11-5,,
10:00.0,D. Augustin makes free throw 1 of 1,1,12-5,,
9:51.0,Personal foul by E. Fournier (drawn by M. Gasol),,12-5,,
9:38.0,,,12-5,,M. Gasol misses 2-pt shot from 16 ft
9:31.0,,,12-5,,Offensive rebound by J. Martin
9:31.0,,,12-5,,J. Martin misses 2-pt shot at rim
9:31.0,Defensive rebound by A. Gordon,,12-5,,
9:17.0,,,12-5,,Personal foul by A. Harrison (drawn by A. Gordon)
9:04.0,T. Ross misses 3-pt shot from 25 ft,,12-5,,
9:01.0,Offensive rebound by Team,,12-5,,
8:56.0,T. Ross makes 2-pt shot from 10 ft (assist by N. Vucevic),2,14-5,,
8:49.0,,,14-5,,Memphis full timeout
8:31.0,,,14-7,2,M. Gasol makes 2-pt shot from 7 ft
8:17.0,E. Fournier misses 2-pt shot from 16 ft,,14-7,,
8:16.0,,,14-7,,Defensive rebound by Team
8:05.0,,,14-7,,J. Ennis misses 3-pt shot from 22 ft
8:01.0,Defensive rebound by A. Gordon,,14-7,,
7:52.0,T. Ross misses 3-pt shot from 25 ft,,14-7,,
7:49.0,Offensive rebound by N. Vucevic,,14-7,,
7:47.0,A. Gordon misses 3-pt shot from 25 ft,,14-7,,
7:44.0,,,14-7,,Defensive rebound by J. Martin
7:28.0,,,14-7,,M. Chalmers misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by E. Fournier,,14-7,,
7:18.0,E. Fournier makes 2-pt shot from 5 ft,2,16-7,,
6:55.0,,,16-9,2,M. Gasol makes 2-pt shot from 10 ft
6:37.0,T. Ross makes 2-pt shot from 16 ft (assist by N. Vucevic),2,18-9,,
6:21.0,,,18-9,,M. Chalmers misses 2-pt shot from 2 ft
6:20.0,Defensive rebound by Team,,18-9,,
6:20.0,,,18-9,,D. Brooks enters the game for A. Harrison
6:20.0,,,18-9,,T. Evans enters the game for J. Ennis
6:01.0,Turnover by N. Vucevic (bad pass; steal by M. Chalmers),,18-9,,
6:01.0,Personal foul by T. Ross (drawn by J. Martin),,18-9,,
6:01.0,J. Simmons enters the game for T. Ross,,18-9,,
5:45.0,,,18-9,,T. Evans misses 2-pt shot from 2 ft
5:39.0,Defensive rebound by E. Fournier,,18-9,,
5:29.0,A. Gordon makes 2-pt shot from 3 ft,2,20-9,,
5:15.0,,,20-9,,Turnover by D. Brooks (traveling)
5:15.0,,,20-9,,C. Parsons enters the game for J. Martin
5:04.0,N. Vucevic misses 2-pt shot from 18 ft,,20-9,,
4:58.0,,,20-9,,Defensive rebound by M. Chalmers
4:50.0,,,20-12,3,M. Chalmers makes 3-pt shot from 24 ft (assist by C. Parsons)
4:33.0,N. Vucevic misses 2-pt shot from 2 ft,,20-12,,
4:31.0,,,20-12,,Defensive rebound by M. Gasol
4:26.0,,,20-12,,C. Parsons misses 3-pt shot from 25 ft
4:22.0,,,20-12,,Offensive rebound by D. Brooks
4:13.0,,,20-14,2,T. Evans makes 2-pt shot from 4 ft (assist by C. Parsons)
4:12.0,Orlando full timeout,,20-14,,
3:49.0,D. Augustin misses 2-pt shot from 3 ft,,20-14,,
3:49.0,,,20-14,,Defensive rebound by M. Gasol
3:43.0,,,20-16,2,T. Evans makes 2-pt shot from 2 ft (assist by C. Parsons)
3:35.0,Turnover by E. Fournier (traveling),,20-16,,
3:14.0,,,20-16,,C. Parsons misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by Team,,20-16,,
3:12.0,,,20-16,,J. Ennis enters the game for M. Chalmers
3:12.0,,,20-16,,B. Wright enters the game for M. Gasol
2:54.0,Turnover by N. Vucevic (lost ball; steal by T. Evans),,20-16,,
2:51.0,,,20-18,2,T. Evans makes 2-pt shot from 1 ft
2:34.0,Shooting foul by B. Wright (drawn by A. Gordon),,20-18,,
2:34.0,A. Gordon misses free throw 1 of 2,,20-18,,
2:34.0,Offensive rebound by Team,,20-18,,
2:34.0,S. Mack enters the game for N. Vucevic,,20-18,,
2:34.0,B. Biyombo enters the game for D. Augustin,,20-18,,
2:34.0,A. Gordon makes free throw 2 of 2,1,21-18,,
2:22.0,,,21-18,,J. Ennis misses 3-pt shot from 22 ft
2:20.0,Defensive rebound by A. Gordon,,21-18,,
2:15.0,J. Simmons makes 2-pt shot from 16 ft,2,23-18,,
2:00.0,,,23-18,,D. Brooks misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by J. Simmons,,23-18,,
1:48.0,A. Gordon misses 3-pt shot from 25 ft,,23-18,,
1:42.0,,,23-18,,Defensive rebound by B. Wright
1:37.0,,,23-21,3,T. Evans makes 3-pt shot from 25 ft (assist by C. Parsons)
1:28.0,Turnover by S. Mack (traveling),,23-21,,
1:28.0,J. Isaac enters the game for A. Gordon,,23-21,,
1:12.0,,,23-24,3,D. Brooks makes 3-pt shot from 24 ft (assist by C. Parsons)
0:59.0,Turnover by J. Simmons (step out of bounds),,23-24,,
0:52.0,Personal foul by J. Simmons (drawn by T. Evans),,23-24,,
0:43.0,,,23-24,,Turnover by T. Evans (bad pass; steal by J. Simmons)
0:26.0,J. Simmons misses 2-pt shot from 7 ft,,23-24,,
0:25.0,Offensive rebound by J. Isaac,,23-24,,
0:25.0,,,23-24,,Personal foul by D. Brooks (drawn by J. Isaac)
0:17.0,E. Fournier misses 3-pt shot from 25 ft,,23-24,,
0:13.0,,,23-24,,Defensive rebound by B. Wright
0:00.0,,,23-26,2,T. Evans makes 2-pt shot from 6 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-28,2,T. Evans makes 2-pt shot from 2 ft
11:33.0,Turnover by J. Simmons (bad pass; steal by J. Ennis),,23-28,,
11:31.0,,,23-28,,Shooting foul by J. Isaac (drawn by J. Ennis)
11:31.0,,,23-29,1,J. Ennis makes free throw 1 of 2
11:31.0,,,23-30,1,J. Ennis makes free throw 2 of 2
11:09.0,J. Isaac misses 2-pt shot from 23 ft,,23-30,,
11:06.0,,,23-30,,Defensive rebound by T. Evans
10:49.0,,,23-30,,C. Parsons misses 2-pt shot from 6 ft (block by J. Isaac)
10:47.0,Defensive rebound by S. Mack,,23-30,,
10:47.0,,,23-30,,Personal take foul by T. Evans (drawn by S. Mack)
10:33.0,J. Simmons misses 3-pt shot from 26 ft,,23-30,,
10:31.0,Offensive rebound by Team,,23-30,,
10:25.0,M. Hezonja misses 3-pt shot from 24 ft,,23-30,,
10:21.0,,,23-30,,Defensive rebound by C. Parsons
10:01.0,,,23-30,,D. Brooks misses 2-pt shot from 12 ft
9:58.0,Defensive rebound by J. Isaac,,23-30,,
9:45.0,Offensive foul by B. Biyombo (drawn by D. Brooks),,23-30,,
9:45.0,Turnover by B. Biyombo (offensive foul),,23-30,,
9:31.0,,,23-33,3,J. Ennis makes 3-pt shot from 23 ft (assist by T. Evans)
9:17.0,Shooting foul by C. Parsons (drawn by J. Simmons),,23-33,,
9:17.0,J. Simmons makes free throw 1 of 2,1,24-33,,
9:17.0,J. Simmons makes free throw 2 of 2,1,25-33,,
8:56.0,,,25-36,3,T. Evans makes 3-pt shot from 24 ft
8:48.0,S. Mack makes 2-pt shot from 5 ft,2,27-36,,
8:38.0,,,27-36,,Shooting foul by B. Biyombo (drawn by B. Wright)
8:38.0,,,27-36,,B. Wright misses free throw 1 of 2
8:38.0,,,27-36,,Offensive rebound by Team
8:38.0,,,27-36,,J. Martin enters the game for T. Evans
8:38.0,,,27-36,,M. Chalmers enters the game for C. Parsons
8:38.0,,,27-37,1,B. Wright makes free throw 2 of 2
8:30.0,Shooting foul by J. Ennis (drawn by S. Mack),,27-37,,
8:30.0,S. Mack makes free throw 1 of 2,1,28-37,,
8:30.0,S. Mack makes free throw 2 of 2,1,29-37,,
8:18.0,,,29-37,,M. Chalmers misses 2-pt shot from 11 ft
8:14.0,Defensive rebound by B. Biyombo,,29-37,,
8:04.0,Turnover by M. Hezonja (lost ball; steal by J. Ennis),,29-37,,
8:02.0,,,29-37,,Shooting foul by J. Isaac (drawn by J. Ennis)
8:02.0,,,29-38,1,J. Ennis makes free throw 1 of 2
8:02.0,,,29-38,,A. Harrison enters the game for D. Brooks
8:02.0,,,29-39,1,J. Ennis makes free throw 2 of 2
7:53.0,J. Simmons misses 3-pt shot from 24 ft,,29-39,,
7:50.0,,,29-39,,Defensive rebound by J. Ennis
7:41.0,,,29-39,,J. Ennis misses 3-pt shot from 27 ft
7:39.0,Defensive rebound by Team,,29-39,,
