time,Denver,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Bender vs. N. Jokic (W. Chandler gains possession),,,,Jump ball: D. Bender vs. N. Jokic (W. Chandler gains possession)
11:44.0,N. Jokic misses 2-pt shot from 5 ft (block by J. Jackson),,0-0,,
11:39.0,,,0-0,,Defensive rebound by T. Daniels
11:26.0,,,0-0,,T. Daniels misses 2-pt shot from 18 ft
11:21.0,Defensive rebound by N. Jokic,,0-0,,
11:10.0,J. Murray makes 2-pt shot from 17 ft,2,2-0,,
10:54.0,,,2-0,,E. Payton misses 2-pt shot from 1 ft
10:51.0,Defensive rebound by G. Harris,,2-0,,
10:46.0,G. Harris makes 3-pt shot from 24 ft (assist by W. Barton),3,5-0,,
10:28.0,,,5-0,,J. Jackson misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by N. Jokic,,5-0,,
10:06.0,N. Jokic makes 2-pt shot from 3 ft,2,7-0,,
9:53.0,,,7-3,3,D. Bender makes 3-pt shot from 26 ft (assist by E. Payton)
9:36.0,Turnover by G. Harris (bad pass; steal by J. Jackson),,7-3,,
9:27.0,,,7-3,,J. Jackson misses 2-pt shot from 3 ft
9:23.0,,,7-3,,Offensive rebound by J. Jackson
9:23.0,,,7-5,2,J. Jackson makes 2-pt shot at rim
9:10.0,W. Barton makes 2-pt shot at rim,2,9-5,,
9:05.0,,,9-5,,Technical foul by T. Daniels
9:05.0,Technical foul by W. Barton,,9-5,,
8:49.0,,,9-7,2,T. Warren makes 2-pt shot from 14 ft (assist by J. Jackson)
8:28.0,,,9-7,,Personal foul by T. Warren (drawn by N. Jokic)
8:18.0,N. Jokic misses 2-pt shot from 14 ft,,9-7,,
8:16.0,,,9-7,,Defensive rebound by T. Daniels
8:09.0,,,9-10,3,D. Bender makes 3-pt shot from 26 ft (assist by T. Daniels)
7:43.0,W. Chandler makes 2-pt shot from 17 ft,2,11-10,,
7:15.0,,,11-10,,J. Jackson misses 2-pt shot from 11 ft
7:13.0,,,11-10,,Offensive rebound by J. Jackson
7:11.0,,,11-10,,T. Daniels misses 3-pt shot from 27 ft
7:11.0,Defensive rebound by Team,,11-10,,
7:02.0,W. Barton misses 3-pt shot from 24 ft,,11-10,,
7:02.0,Offensive rebound by Team,,11-10,,
7:02.0,,,11-10,,Loose ball foul by T. Daniels (drawn by N. Jokic)
6:50.0,J. Murray makes 3-pt shot from 25 ft (assist by N. Jokic),3,14-10,,
6:37.0,,,14-12,2,J. Jackson makes 2-pt shot at rim (assist by E. Payton)
6:21.0,Shooting foul by J. Jackson (drawn by N. Jokic),,14-12,,
6:21.0,,,14-12,,Phoenix full timeout
6:21.0,,,14-12,,A. Len enters the game for J. Jackson
6:21.0,N. Jokic makes free throw 1 of 2,1,15-12,,
6:21.0,N. Jokic makes free throw 2 of 2,1,16-12,,
6:06.0,,,16-14,2,T. Warren makes 2-pt shot from 19 ft (assist by D. Bender)
5:42.0,Turnover by J. Murray (bad pass; steal by A. Len),,16-14,,
5:32.0,,,16-14,,T. Daniels misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by W. Barton,,16-14,,
5:28.0,,,16-14,,Personal foul by T. Daniels (drawn by W. Barton)
5:28.0,,,16-14,,J. Jackson enters the game for T. Daniels
5:21.0,W. Barton misses 2-pt shot at rim,,16-14,,
5:16.0,Offensive rebound by W. Barton,,16-14,,
5:16.0,W. Barton makes 2-pt shot at rim,2,18-14,,
5:02.0,,,18-14,,D. Bender misses 3-pt shot from 22 ft
5:01.0,,,18-14,,Offensive rebound by Team
5:01.0,,,18-14,,M. Chriss enters the game for D. Bender
5:01.0,T. Craig enters the game for W. Barton,,18-14,,
4:57.0,,,18-14,,Turnover by M. Chriss (bad pass)
4:46.0,G. Harris misses 2-pt shot from 5 ft,,18-14,,
4:42.0,,,18-14,,Defensive rebound by M. Chriss
4:38.0,,,18-14,,M. Chriss misses 3-pt shot from 26 ft
4:38.0,,,18-14,,Offensive rebound by Team
4:38.0,Personal foul by T. Craig (drawn by A. Len),,18-14,,
4:29.0,,,18-16,2,T. Warren makes 2-pt shot from 14 ft (assist by M. Chriss)
4:27.0,Denver full timeout,,18-16,,
4:02.0,T. Craig makes 2-pt shot at rim (assist by W. Chandler),2,20-16,,
3:48.0,,,20-18,2,T. Warren makes 2-pt shot from 16 ft
