time,Golden State,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. McGee (J. Bell gains possession),,,,Jump ball: B. Lopez vs. J. McGee (J. Bell gains possession)
11:45.0,J. McGee makes 2-pt shot from 1 ft (assist by K. Durant),2,2-0,,
11:33.0,,,2-2,2,L. Nance makes 2-pt shot at rim (assist by L. Ball)
11:14.0,K. Durant misses 3-pt shot from 25 ft,,2-2,,
11:09.0,,,2-2,,Defensive rebound by K. Caldwell-Pope
11:06.0,Personal foul by K. Thompson (drawn by L. Nance),,2-2,,
10:58.0,,,2-2,,L. Ball misses 2-pt shot from 3 ft (block by J. Bell)
10:55.0,Defensive rebound by P. McCaw,,2-2,,
10:52.0,K. Thompson misses 3-pt shot from 25 ft,,2-2,,
10:49.0,,,2-2,,Defensive rebound by B. Ingram
10:41.0,,,2-2,,B. Lopez misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by K. Thompson,,2-2,,
10:34.0,Turnover by K. Thompson (bad pass; steal by B. Lopez),,2-2,,
10:30.0,,,2-2,,Shooting foul by K. Thompson (drawn by L. Nance)
10:30.0,,,2-3,1,L. Nance makes free throw 1 of 2
10:30.0,,,2-3,,L. Nance misses free throw 2 of 2
10:27.0,Defensive rebound by K. Durant,,2-3,,
10:22.0,,,2-3,,Personal foul by L. Ball (drawn by J. Bell)
10:16.0,K. Durant misses 2-pt shot from 12 ft,,2-3,,
10:12.0,,,2-3,,Defensive rebound by B. Ingram
10:06.0,,,2-5,2,B. Ingram makes 2-pt shot from 1 ft
9:49.0,J. Bell makes 2-pt shot from 1 ft,2,4-5,,
9:39.0,,,4-7,2,B. Lopez makes 2-pt shot from 15 ft (assist by L. Ball)
9:24.0,J. McGee makes 2-pt shot from 1 ft (assist by P. McCaw),2,6-7,,
9:10.0,,,6-9,2,B. Lopez makes 2-pt shot from 10 ft (assist by L. Ball)
8:51.0,K. Thompson makes 2-pt shot from 16 ft,2,8-9,,
8:36.0,,,8-12,3,L. Ball makes 3-pt shot from 26 ft (assist by B. Lopez)
8:27.0,Golden State full timeout,,8-12,,
8:27.0,Q. Cook enters the game for K. Thompson,,8-12,,
8:14.0,K. Durant misses 2-pt shot from 11 ft,,8-12,,
8:11.0,,,8-12,,Defensive rebound by K. Caldwell-Pope
