time,New Orleans,pts.away,score,pts.home,Brooklyn
6:16.0,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Holiday),3,108-101,,
6:01.0,,,108-103,2,D. Carroll makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
5:49.0,N. Mirotic misses 2-pt shot from 6 ft (block by D. Cunningham),,108-103,,
5:47.0,,,108-103,,Defensive rebound by D. Russell
5:47.0,Personal foul by R. Rondo (drawn by D. Russell),,108-103,,
5:47.0,,,108-103,,A. Crabbe enters the game for D. Cunningham
5:29.0,,,108-103,,Turnover by D. Russell (bad pass; steal by A. Davis)
5:24.0,,,108-103,,Violation by D. Carroll (kicked ball)
5:19.0,R. Rondo misses 2-pt shot from 19 ft,,108-103,,
5:16.0,,,108-103,,Defensive rebound by D. Russell
5:07.0,,,108-106,3,D. Russell makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
4:50.0,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo),2,110-106,,
4:41.0,,,110-106,,S. Dinwiddie misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by J. Holiday,,110-106,,
4:30.0,Jump ball: D. Russell vs. J. Holiday (R. Rondo gains possession),,,,Jump ball: D. Russell vs. J. Holiday (R. Rondo gains possession)
4:29.0,Offensive foul by E. Moore (drawn by S. Dinwiddie),,110-106,,
4:29.0,Turnover by E. Moore (offensive foul),,110-106,,
4:17.0,,,110-106,,Shooting foul by J. Holiday (drawn by S. Dinwiddie)
4:17.0,,,110-107,1,S. Dinwiddie makes free throw 1 of 2
4:17.0,,,110-108,1,S. Dinwiddie makes free throw 2 of 2
4:17.0,New Orleans full timeout,,110-108,,
4:09.0,A. Davis misses 2-pt shot from 15 ft,,110-108,,
4:06.0,,,110-108,,Defensive rebound by D. Russell
3:55.0,,,110-108,,S. Dinwiddie misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by J. Holiday,,110-108,,
3:43.0,N. Mirotic misses 3-pt shot from 27 ft,,110-108,,
3:41.0,,,110-108,,Defensive rebound by Team
3:24.0,,,110-108,,D. Russell misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by A. Davis,,110-108,,
3:17.0,New Orleans full timeout,,110-108,,
3:10.0,R. Rondo makes 2-pt shot from 1 ft,2,112-108,,
2:46.0,,,112-108,,S. Dinwiddie misses 2-pt shot from 3 ft
2:45.0,Defensive rebound by R. Rondo,,112-108,,
2:45.0,,,112-108,,Personal foul by S. Dinwiddie (drawn by R. Rondo)
2:45.0,R. Rondo misses free throw 1 of 2,,112-108,,
2:45.0,Offensive rebound by Team,,112-108,,
2:45.0,R. Rondo misses free throw 2 of 2,,112-108,,
2:40.0,,,112-108,,Defensive rebound by D. Russell
2:31.0,,,112-108,,D. Carroll misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by A. Davis,,112-108,,
2:13.0,Turnover by A. Davis (lost ball; steal by A. Crabbe),,112-108,,
2:12.0,Personal foul by J. Holiday (drawn by Q. Acy),,112-108,,
2:12.0,,,112-109,1,Q. Acy makes free throw 1 of 2
2:12.0,,,112-110,1,Q. Acy makes free throw 2 of 2
2:12.0,D. Miller enters the game for R. Rondo,,112-110,,
1:59.0,N. Mirotic makes 2-pt shot from 2 ft (assist by E. Moore),2,114-110,,
1:50.0,,,114-110,,A. Crabbe misses 3-pt shot from 25 ft
1:49.0,,,114-110,,Offensive rebound by Q. Acy
1:46.0,,,114-112,2,S. Dinwiddie makes 2-pt shot from 1 ft
1:46.0,,,114-112,,Shooting foul by N. Mirotic (drawn by S. Dinwiddie)
1:46.0,,,114-113,1,S. Dinwiddie makes free throw 1 of 1
1:22.0,J. Holiday misses 2-pt shot from 3 ft,,114-113,,
1:20.0,,,114-113,,Defensive rebound by A. Crabbe
1:06.0,,,114-113,,D. Carroll misses 2-pt shot from 4 ft
1:04.0,Defensive rebound by J. Holiday,,114-113,,
0:53.0,,,114-113,,Personal foul by S. Dinwiddie (drawn by A. Davis)
0:53.0,A. Davis makes free throw 1 of 2,1,115-113,,
0:53.0,A. Davis makes free throw 2 of 2,1,116-113,,
0:38.0,,,116-113,,Turnover by D. Russell (turnover)
0:38.0,,,116-113,,J. Harris enters the game for D. Russell
0:38.0,New Orleans full timeout,,116-113,,
0:29.0,A. Davis misses 2-pt shot from 6 ft,,116-113,,
0:26.0,,,116-113,,Defensive rebound by S. Dinwiddie
0:14.0,,,116-113,,S. Dinwiddie misses 2-pt shot at rim (block by N. Mirotic)
0:14.0,,,116-113,,Offensive rebound by Team
0:14.0,,,116-113,,Brooklyn full timeout
0:12.0,,,116-116,3,A. Crabbe makes 3-pt shot from 22 ft (assist by D. Carroll)
0:12.0,New Orleans full timeout,,116-116,,
0:01.0,A. Davis misses 2-pt shot from 21 ft,,116-116,,
0:00.0,,,116-116,,Defensive rebound by S. Dinwiddie
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: Q. Acy vs. A. Davis (D. Carroll gains possession),,,,Jump ball: Q. Acy vs. A. Davis (D. Carroll gains possession)
4:34.0,,,116-116,,S. Dinwiddie misses 2-pt shot from 2 ft (block by A. Davis)
4:32.0,Defensive rebound by N. Mirotic,,116-116,,
4:13.0,J. Holiday misses 2-pt shot from 6 ft,,116-116,,
4:10.0,,,116-116,,Defensive rebound by A. Crabbe
4:02.0,,,116-116,,A. Crabbe misses 2-pt shot from 15 ft
4:01.0,,,116-116,,Offensive rebound by A. Crabbe
3:45.0,,,116-119,3,A. Crabbe makes 3-pt shot from 24 ft (assist by J. Harris)
3:34.0,J. Holiday makes 2-pt shot from 6 ft,2,118-119,,
3:28.0,Personal foul by E. Moore (drawn by A. Crabbe),,118-119,,
3:15.0,,,118-119,,S. Dinwiddie misses 3-pt shot from 25 ft
3:12.0,,,118-119,,Offensive rebound by D. Carroll
2:54.0,,,118-119,,Turnover by D. Carroll (bad pass; steal by A. Davis)
2:49.0,A. Davis misses 2-pt shot from 1 ft,,118-119,,
2:45.0,,,118-119,,Defensive rebound by J. Harris
2:28.0,,,118-122,3,A. Crabbe makes 3-pt shot from 28 ft
2:20.0,,,118-122,,Personal foul by A. Crabbe (drawn by E. Moore)
2:10.0,A. Davis misses 2-pt shot from 2 ft,,118-122,,
2:07.0,,,118-122,,Defensive rebound by J. Harris
1:51.0,,,118-122,,A. Crabbe misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by N. Mirotic,,118-122,,
1:43.0,D. Miller misses 3-pt shot from 22 ft,,118-122,,
1:42.0,Offensive rebound by N. Mirotic,,118-122,,
1:41.0,Shooting foul by D. Carroll (drawn by N. Mirotic),,118-122,,
1:41.0,N. Mirotic misses free throw 1 of 2,,118-122,,
1:41.0,Offensive rebound by Team,,118-122,,
1:41.0,R. Rondo enters the game for D. Miller,,118-122,,
1:41.0,N. Mirotic makes free throw 2 of 2,1,119-122,,
1:32.0,,,119-122,,S. Dinwiddie misses 2-pt shot from 2 ft
1:30.0,Defensive rebound by N. Mirotic,,119-122,,
1:15.0,J. Holiday makes 2-pt shot from 5 ft,2,121-122,,
1:15.0,Shooting foul by A. Crabbe (drawn by J. Holiday),,121-122,,
1:15.0,J. Holiday makes free throw 1 of 1,1,122-122,,
0:58.0,,,122-122,,Q. Acy misses 3-pt shot from 22 ft (block by A. Davis)
0:58.0,,,122-122,,Offensive rebound by Team
0:58.0,,,122-122,,Brooklyn full timeout
0:55.0,,,122-122,,A. Crabbe misses 2-pt shot from 1 ft (block by E. Moore)
0:55.0,,,122-122,,Offensive rebound by Team
0:54.0,,,122-124,2,J. Harris makes 2-pt shot from 2 ft (assist by A. Crabbe)
0:54.0,New Orleans full timeout,,122-124,,
0:47.0,J. Holiday makes 2-pt shot from 15 ft,2,124-124,,
0:26.0,,,124-124,,S. Dinwiddie misses 2-pt shot from 2 ft
0:24.0,,,124-124,,Offensive rebound by S. Dinwiddie
0:06.0,,,124-124,,D. Carroll misses 2-pt shot from 4 ft (block by R. Rondo)
0:06.0,Defensive rebound by N. Mirotic,,124-124,,
0:03.0,New Orleans full timeout,,124-124,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
5:00.0,Jump ball: Q. Acy vs. A. Davis (R. Rondo gains possession),,,,Jump ball: Q. Acy vs. A. Davis (R. Rondo gains possession)
4:42.0,J. Holiday misses 2-pt shot from 18 ft,,124-124,,
4:41.0,,,124-124,,Defensive rebound by J. Harris
4:27.0,,,124-124,,Turnover by S. Dinwiddie (bad pass; steal by A. Davis)
4:27.0,,,124-124,,Personal foul by S. Dinwiddie (drawn by A. Davis)
4:15.0,A. Davis makes 2-pt shot from 23 ft,2,126-124,,
3:50.0,,,126-124,,Q. Acy misses 3-pt shot from 24 ft
3:49.0,,,126-124,,Offensive rebound by D. Carroll
3:48.0,,,126-124,,D. Carroll misses 2-pt shot at rim
3:47.0,,,126-124,,Offensive rebound by D. Carroll
3:46.0,,,126-124,,D. Carroll misses 2-pt shot from 1 ft
3:46.0,Defensive rebound by Team,,126-124,,
3:46.0,,,126-124,,Loose ball foul by J. Harris (drawn by N. Mirotic)
3:31.0,N. Mirotic makes 2-pt shot from 18 ft (assist by J. Holiday),2,128-124,,
3:06.0,,,128-124,,S. Dinwiddie misses 2-pt shot from 1 ft
3:04.0,Defensive rebound by A. Davis,,128-124,,
2:50.0,Shooting foul by D. Carroll (drawn by A. Davis),,128-124,,
2:50.0,,,128-124,,D. Russell enters the game for D. Carroll
2:50.0,A. Davis makes free throw 1 of 2,1,129-124,,
2:50.0,A. Davis makes free throw 2 of 2,1,130-124,,
2:41.0,,,130-124,,Q. Acy misses 3-pt shot from 25 ft
2:39.0,,,130-124,,Offensive rebound by J. Harris
2:39.0,,,130-124,,Shooting foul by A. Davis (drawn by J. Harris)
2:39.0,,,130-125,1,J. Harris makes free throw 1 of 2
2:39.0,,,130-126,1,J. Harris makes free throw 2 of 2
2:37.0,,,130-126,,Personal take foul by D. Russell (drawn by R. Rondo)
2:37.0,R. Rondo makes free throw 1 of 2,1,131-126,,
2:37.0,R. Rondo misses free throw 2 of 2,,131-126,,
2:35.0,,,131-126,,Defensive rebound by Team
2:25.0,,,131-126,,D. Russell misses 2-pt shot from 20 ft
2:22.0,Defensive rebound by A. Davis,,131-126,,
2:16.0,,,131-126,,Personal take foul by D. Russell (drawn by R. Rondo)
2:16.0,R. Rondo makes free throw 1 of 2,1,132-126,,
2:16.0,R. Rondo makes free throw 2 of 2,1,133-126,,
2:00.0,,,133-126,,D. Russell misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by A. Davis,,133-126,,
1:47.0,N. Mirotic misses 3-pt shot from 26 ft,,133-126,,
1:45.0,,,133-126,,Defensive rebound by Q. Acy
1:38.0,,,133-126,,S. Dinwiddie misses 2-pt shot from 1 ft
1:35.0,Defensive rebound by A. Davis,,133-126,,
1:18.0,A. Davis makes 2-pt shot from 11 ft (assist by E. Moore),2,135-126,,
1:18.0,,,135-126,,Brooklyn full timeout
1:18.0,D. Miller enters the game for R. Rondo,,135-126,,
1:13.0,,,135-126,,A. Crabbe misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by N. Mirotic,,135-126,,
1:04.0,,,135-126,,Personal take foul by A. Crabbe (drawn by J. Holiday)
1:04.0,J. Holiday misses free throw 1 of 2,,135-126,,
1:04.0,Offensive rebound by Team,,135-126,,
1:04.0,J. Holiday makes free throw 2 of 2,1,136-126,,
0:55.0,,,136-128,2,Q. Acy makes 2-pt shot from 1 ft (assist by D. Russell)
0:52.0,,,136-128,,Personal take foul by J. Harris (drawn by J. Holiday)
0:52.0,,,136-128,,N. Stauskas enters the game for J. Harris
0:52.0,J. Holiday makes free throw 1 of 2,1,137-128,,
0:52.0,J. Holiday makes free throw 2 of 2,1,138-128,,
0:43.0,,,138-128,,S. Dinwiddie misses 3-pt shot from 27 ft
0:40.0,Defensive rebound by A. Davis,,138-128,,
0:22.0,A. Davis misses 3-pt shot from 26 ft,,138-128,,
0:18.0,,,138-128,,Defensive rebound by N. Stauskas
