time,New Orleans,pts.away,score,pts.home,Brooklyn
1:50.0,I. Clark enters the game for E. Moore,,26-16,,
1:35.0,Turnover by R. Rondo (bad pass; steal by S. Dinwiddie),,26-16,,
1:28.0,,,26-19,3,N. Stauskas makes 3-pt shot from 23 ft (assist by J. Webb)
1:13.0,D. Miller misses 2-pt shot from 11 ft,,26-19,,
1:12.0,Offensive rebound by D. Miller,,26-19,,
1:12.0,Shooting foul by J. Webb (drawn by C. Diallo),,26-19,,
1:12.0,C. Diallo makes free throw 1 of 2,1,27-19,,
1:12.0,C. Diallo makes free throw 2 of 2,1,28-19,,
0:55.0,,,28-19,,Q. Acy misses 2-pt shot from 2 ft (block by A. Davis)
0:51.0,Defensive rebound by D. Miller,,28-19,,
0:43.0,Turnover by I. Clark (bad pass; steal by S. Dinwiddie),,28-19,,
0:39.0,Personal foul by D. Miller (drawn by D. Russell),,28-19,,
0:35.0,,,28-19,,D. Russell misses 2-pt shot from 18 ft
0:32.0,Defensive rebound by A. Davis,,28-19,,
0:12.0,A. Davis makes 3-pt shot from 25 ft (assist by R. Rondo),3,31-19,,
0:02.0,,,31-22,3,S. Dinwiddie makes 3-pt shot from 26 ft
0:00.0,A. Davis makes 3-pt shot from 40 ft,3,34-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,34-22,,J. Okafor misses 2-pt shot from 1 ft
11:47.0,Defensive rebound by C. Diallo,,34-22,,
11:42.0,D. Miller makes 3-pt shot from 22 ft (assist by N. Mirotic),3,37-22,,
11:18.0,,,37-22,,Shooting foul by D. Miller (drawn by S. Dinwiddie)
11:18.0,,,37-23,1,S. Dinwiddie makes free throw 1 of 3
11:18.0,,,37-24,1,S. Dinwiddie makes free throw 2 of 3
11:18.0,,,37-25,1,S. Dinwiddie makes free throw 3 of 3
10:57.0,I. Clark makes 2-pt shot from 8 ft,2,39-25,,
10:42.0,,,39-27,2,J. Okafor makes 2-pt shot from 5 ft (assist by S. Dinwiddie)
10:31.0,R. Rondo makes 2-pt shot from 1 ft,2,41-27,,
10:05.0,,,41-29,2,J. Okafor makes 2-pt shot from 8 ft (assist by N. Stauskas)
9:53.0,C. Diallo makes 2-pt shot from 5 ft (assist by R. Rondo),2,43-29,,
9:43.0,,,43-29,,S. Dinwiddie misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by C. Diallo,,43-29,,
9:29.0,R. Rondo makes 2-pt shot from 5 ft,2,45-29,,
9:13.0,,,45-29,,D. Russell misses 3-pt shot from 24 ft
9:12.0,Defensive rebound by R. Rondo,,45-29,,
9:00.0,N. Mirotic misses 2-pt shot from 14 ft,,45-29,,
8:57.0,,,45-29,,Defensive rebound by J. Okafor
8:49.0,,,45-31,2,N. Stauskas makes 2-pt shot from 1 ft
8:31.0,C. Diallo makes 2-pt shot from 8 ft,2,47-31,,
8:17.0,,,47-31,,D. Russell misses 2-pt shot from 15 ft
8:15.0,Defensive rebound by C. Diallo,,47-31,,
8:04.0,R. Rondo makes 2-pt shot from 1 ft,2,49-31,,
8:04.0,,,49-31,,Brooklyn full timeout
8:04.0,,,49-31,,J. Harris enters the game for D. Russell
8:04.0,E. Moore enters the game for D. Miller,,49-31,,
7:48.0,,,49-31,,Turnover by S. Dinwiddie (bad pass; steal by I. Clark)
7:41.0,R. Rondo makes 2-pt shot from 1 ft,2,51-31,,
7:26.0,,,51-31,,J. Webb misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by C. Diallo,,51-31,,
7:18.0,R. Rondo misses 3-pt shot from 24 ft,,51-31,,
7:14.0,,,51-31,,Defensive rebound by J. Harris
7:06.0,,,51-33,2,J. Okafor makes 2-pt shot from 4 ft (assist by S. Dinwiddie)
6:52.0,,,51-33,,Def 3 sec tech foul by J. Okafor
6:52.0,,,51-33,,Q. Acy enters the game for J. Webb
6:52.0,,,51-33,,D. Cunningham enters the game for J. Okafor
6:52.0,J. Holiday enters the game for R. Rondo,,51-33,,
6:52.0,I. Clark makes technical free throw,1,52-33,,
6:46.0,,,52-33,,Personal foul by Q. Acy (drawn by N. Mirotic)
6:32.0,I. Clark misses 2-pt shot from 7 ft,,52-33,,
6:30.0,,,52-33,,Defensive rebound by J. Harris
6:13.0,,,52-33,,J. Harris misses 2-pt shot from 4 ft
6:11.0,Defensive rebound by N. Mirotic,,52-33,,
6:04.0,Turnover by E. Moore (bad pass; steal by S. Dinwiddie),,52-33,,
5:54.0,,,52-35,2,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Harris)
5:41.0,I. Clark misses 2-pt shot from 20 ft,,52-35,,
5:37.0,,,52-35,,Defensive rebound by D. Cunningham
5:32.0,,,52-35,,Turnover by D. Cunningham (out of bounds lost ball)
5:32.0,A. Davis enters the game for C. Diallo,,52-35,,
5:11.0,A. Davis makes 2-pt shot from 1 ft,2,54-35,,
5:11.0,Shooting foul by D. Cunningham (drawn by A. Davis),,54-35,,
5:11.0,,,54-35,,A. Crabbe enters the game for N. Stauskas
5:11.0,R. Rondo enters the game for I. Clark,,54-35,,
5:11.0,,,54-35,,D. Carroll enters the game for J. Harris
5:11.0,A. Davis makes free throw 1 of 1,1,55-35,,
4:52.0,,,55-38,3,Q. Acy makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
4:29.0,A. Davis misses 2-pt shot from 9 ft,,55-38,,
4:27.0,,,55-38,,Defensive rebound by D. Carroll
4:14.0,,,55-38,,D. Cunningham misses 3-pt shot from 22 ft
4:11.0,Defensive rebound by A. Davis,,55-38,,
4:07.0,,,55-38,,Personal foul by Q. Acy (drawn by J. Holiday)
4:06.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,57-38,,
3:47.0,,,57-38,,Shooting foul by A. Davis (drawn by D. Carroll)
3:47.0,,,57-38,,D. Carroll misses free throw 1 of 2
3:47.0,,,57-38,,Offensive rebound by Team
3:47.0,,,57-38,,J. Allen enters the game for S. Dinwiddie
3:47.0,,,57-38,,D. Russell enters the game for Q. Acy
3:47.0,,,57-39,1,D. Carroll makes free throw 2 of 2
3:38.0,J. Holiday makes 2-pt shot from 1 ft,2,59-39,,
3:38.0,Shooting foul by A. Crabbe (drawn by J. Holiday),,59-39,,
3:38.0,J. Holiday misses free throw 1 of 1,,59-39,,
3:36.0,,,59-39,,Defensive rebound by J. Allen
3:29.0,,,59-39,,A. Crabbe misses 3-pt shot from 24 ft
3:26.0,Defensive rebound by N. Mirotic,,59-39,,
3:19.0,R. Rondo makes 2-pt shot from 2 ft,2,61-39,,
2:53.0,,,61-42,3,A. Crabbe makes 3-pt shot from 22 ft (assist by D. Russell)
2:41.0,Turnover by R. Rondo (bad pass),,61-42,,
2:41.0,New Orleans full timeout,,61-42,,
2:41.0,D. Miller enters the game for E. Moore,,61-42,,
2:31.0,,,61-42,,A. Crabbe misses 3-pt shot from 25 ft
2:27.0,,,61-42,,Offensive rebound by D. Carroll
2:26.0,,,61-45,3,D. Russell makes 3-pt shot from 25 ft (assist by D. Carroll)
2:12.0,A. Davis misses 2-pt shot from 1 ft,,61-45,,
2:09.0,Offensive rebound by N. Mirotic,,61-45,,
2:06.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,63-45,,
1:49.0,,,63-45,,A. Crabbe misses 3-pt shot from 23 ft
1:47.0,,,63-45,,Offensive rebound by D. Russell
1:47.0,Personal foul by D. Miller (drawn by D. Russell),,63-45,,
1:47.0,E. Moore enters the game for D. Miller,,63-45,,
1:42.0,,,63-45,,D. Russell misses 3-pt shot from 27 ft
1:38.0,Defensive rebound by J. Holiday,,63-45,,
1:35.0,Shooting foul by D. Carroll (drawn by N. Mirotic),,63-45,,
1:35.0,N. Mirotic makes free throw 1 of 2,1,64-45,,
1:35.0,N. Mirotic makes free throw 2 of 2,1,65-45,,
1:27.0,,,65-45,,Shooting foul by E. Moore (drawn by D. Carroll)
1:27.0,,,65-46,1,D. Carroll makes free throw 1 of 2
1:27.0,,,65-47,1,D. Carroll makes free throw 2 of 2
1:14.0,A. Davis misses 2-pt shot from 1 ft,,65-47,,
1:12.0,,,65-47,,Defensive rebound by J. Allen
1:08.0,,,65-50,3,D. Russell makes 3-pt shot from 25 ft (assist by D. Carroll)
0:51.0,E. Moore makes 3-pt shot from 21 ft (assist by J. Holiday),3,68-50,,
0:30.0,,,68-50,,D. Carroll misses 2-pt shot from 14 ft
0:28.0,Defensive rebound by J. Holiday,,68-50,,
0:25.0,J. Holiday makes 2-pt shot from 1 ft,2,70-50,,
0:25.0,,,70-50,,Personal foul by D. Carroll (drawn by A. Davis)
0:25.0,,,70-50,,J. Harris enters the game for D. Carroll
0:25.0,,,70-50,,Q. Acy enters the game for D. Cunningham
0:25.0,A. Davis misses free throw 1 of 1,,70-50,,
0:22.0,,,70-50,,Defensive rebound by Q. Acy
0:07.0,Personal foul by J. Holiday (drawn by D. Russell),,70-50,,
0:07.0,,,70-51,1,D. Russell makes free throw 1 of 2
0:07.0,,,70-51,,S. Dinwiddie enters the game for J. Harris
0:07.0,,,70-52,1,D. Russell makes free throw 2 of 2
0:00.0,R. Rondo makes 2-pt shot from 11 ft,2,72-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,72-52,,S. Dinwiddie misses 2-pt shot at rim
11:41.0,Defensive rebound by A. Davis,,72-52,,
11:30.0,A. Davis makes 2-pt shot from 2 ft (assist by R. Rondo),2,74-52,,
11:04.0,,,74-52,,S. Dinwiddie misses 2-pt shot from 10 ft (block by N. Mirotic)
11:03.0,,,74-52,,Offensive rebound by Team
11:03.0,,,74-52,,Turnover by Team (shot clock)
10:53.0,N. Mirotic misses 3-pt shot from 23 ft,,74-52,,
10:48.0,Offensive rebound by R. Rondo,,74-52,,
10:44.0,A. Davis makes 3-pt shot from 25 ft (assist by R. Rondo),3,77-52,,
10:18.0,,,77-52,,J. Allen misses 2-pt shot from 1 ft
10:12.0,Defensive rebound by R. Rondo,,77-52,,
10:02.0,N. Mirotic misses 3-pt shot from 23 ft,,77-52,,
9:59.0,,,77-52,,Defensive rebound by D. Carroll
9:36.0,,,77-52,,D. Carroll misses 2-pt shot from 21 ft
9:35.0,Defensive rebound by R. Rondo,,77-52,,
9:25.0,Shooting foul by S. Dinwiddie (drawn by J. Holiday),,77-52,,
9:25.0,J. Holiday makes free throw 1 of 2,1,78-52,,
9:25.0,J. Holiday misses free throw 2 of 2,,78-52,,
9:23.0,,,78-52,,Defensive rebound by Q. Acy
9:11.0,,,78-52,,Turnover by S. Dinwiddie (bad pass; steal by A. Davis)
9:05.0,J. Holiday misses 3-pt shot from 22 ft,,78-52,,
9:03.0,,,78-52,,Defensive rebound by J. Allen
8:52.0,,,78-54,2,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie)
8:41.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,80-54,,
8:29.0,,,80-54,,Shooting foul by N. Mirotic (drawn by S. Dinwiddie)
8:29.0,,,80-55,1,S. Dinwiddie makes free throw 1 of 2
8:29.0,,,80-55,,J. Harris enters the game for J. Allen
8:29.0,,,80-56,1,S. Dinwiddie makes free throw 2 of 2
8:17.0,Turnover by J. Holiday (bad pass; steal by Q. Acy),,80-56,,
8:11.0,Personal foul by E. Moore (drawn by Q. Acy),,80-56,,
7:53.0,,,80-56,,Turnover by Team (shot clock)
7:44.0,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo),2,82-56,,
7:33.0,,,82-59,3,J. Harris makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
7:14.0,R. Rondo makes 2-pt shot from 2 ft,2,84-59,,
7:06.0,,,84-59,,S. Dinwiddie misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by J. Holiday,,84-59,,
6:59.0,E. Moore makes 2-pt shot at rim (assist by J. Holiday),2,86-59,,
6:59.0,,,86-59,,Brooklyn full timeout
6:59.0,,,86-59,,D. Russell enters the game for S. Dinwiddie
6:59.0,,,86-59,,D. Cunningham enters the game for D. Carroll
6:59.0,D. Miller enters the game for N. Mirotic,,86-59,,
6:59.0,I. Clark enters the game for R. Rondo,,86-59,,
6:43.0,,,86-59,,Turnover by D. Cunningham (bad pass; steal by A. Davis)
6:27.0,Turnover by E. Moore (bad pass; steal by D. Cunningham),,86-59,,
6:21.0,,,86-61,2,J. Harris makes 2-pt shot at rim (assist by D. Cunningham)
6:00.0,A. Davis makes 2-pt shot from 2 ft,2,88-61,,
6:00.0,Shooting foul by J. Harris (drawn by A. Davis),,88-61,,
6:00.0,A. Davis makes free throw 1 of 1,1,89-61,,
5:51.0,,,89-64,3,D. Russell makes 3-pt shot from 24 ft (assist by Q. Acy)
5:42.0,E. Moore makes 2-pt shot from 1 ft (assist by J. Holiday),2,91-64,,
5:32.0,,,91-64,,Q. Acy misses 3-pt shot from 25 ft
5:32.0,,,91-64,,Offensive rebound by D. Russell
