time,New Orleans,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. A. Davis (T. Harris gains possession),,,,Jump ball: D. Jordan vs. A. Davis (T. Harris gains possession)
11:42.0,,,0-0,,Turnover by T. Wallace (bad pass; steal by N. Mirotic)
11:37.0,A. Davis misses 2-pt shot from 16 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by D. Jordan
11:26.0,,,0-0,,T. Harris misses 2-pt shot from 1 ft (block by A. Davis)
11:23.0,Defensive rebound by R. Rondo,,0-0,,
11:19.0,E. Moore misses 3-pt shot from 22 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by D. Jordan
11:09.0,,,0-0,,W. Johnson misses 2-pt shot from 21 ft
11:09.0,Defensive rebound by E. Moore,,0-0,,
10:56.0,R. Rondo misses 2-pt shot from 15 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by Team
10:42.0,,,0-0,,Turnover by T. Harris (traveling)
10:24.0,N. Mirotic misses 3-pt shot from 23 ft,,0-0,,
10:20.0,,,0-0,,Defensive rebound by W. Johnson
10:12.0,,,0-2,2,T. Harris makes 2-pt shot from 12 ft
9:58.0,Turnover by J. Holiday (bad pass; steal by D. Jordan),,0-2,,
9:56.0,Personal take foul by E. Moore (drawn by T. Wallace),,0-2,,
9:51.0,,,0-2,,T. Wallace misses 2-pt shot from 18 ft
9:44.0,,,0-2,,Offensive rebound by T. Wallace
9:31.0,,,0-4,2,C. Williams makes 2-pt shot from 22 ft (assist by T. Harris)
9:21.0,E. Moore makes 3-pt shot from 23 ft (assist by J. Holiday),3,3-4,,
9:07.0,,,3-4,,T. Harris misses 3-pt shot from 24 ft
9:03.0,Defensive rebound by N. Mirotic,,3-4,,
8:57.0,Shooting foul by T. Wallace (drawn by A. Davis),,3-4,,
8:57.0,A. Davis makes free throw 1 of 2,1,4-4,,
8:57.0,A. Davis makes free throw 2 of 2,1,5-4,,
8:41.0,,,5-6,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Williams)
8:30.0,E. Moore makes 3-pt shot from 24 ft (assist by J. Holiday),3,8-6,,
8:12.0,,,8-8,2,C. Williams makes 2-pt shot from 2 ft (assist by D. Jordan)
8:02.0,N. Mirotic makes 3-pt shot from 23 ft,3,11-8,,
7:45.0,,,11-10,2,T. Harris makes 2-pt shot from 2 ft
7:40.0,,,11-10,,Violation by W. Johnson (kicked ball)
7:36.0,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo),2,13-10,,
7:29.0,,,13-10,,Shooting foul by A. Davis (drawn by D. Jordan)
7:29.0,,,13-10,,D. Jordan misses free throw 1 of 2
7:29.0,,,13-10,,Offensive rebound by Team
7:29.0,,,13-10,,D. Jordan misses free throw 2 of 2
7:27.0,Defensive rebound by N. Mirotic,,13-10,,
7:19.0,A. Davis misses 2-pt shot from 14 ft,,13-10,,
7:16.0,,,13-10,,Defensive rebound by D. Jordan
7:08.0,,,13-12,2,D. Jordan makes 2-pt shot from 1 ft (assist by T. Wallace)
7:08.0,,,13-12,,Shooting foul by N. Mirotic (drawn by D. Jordan)
7:08.0,,,13-13,1,D. Jordan makes free throw 1 of 1
7:00.0,R. Rondo misses 2-pt shot from 2 ft (block by D. Jordan),,13-13,,
6:56.0,,,13-13,,Defensive rebound by D. Jordan
6:53.0,,,13-13,,D. Jordan misses 2-pt shot from 1 ft
6:49.0,Defensive rebound by N. Mirotic,,13-13,,
6:42.0,J. Holiday misses 3-pt shot from 25 ft,,13-13,,
6:39.0,Offensive rebound by R. Rondo,,13-13,,
6:35.0,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo),2,15-13,,
6:14.0,,,15-13,,T. Harris misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by A. Davis,,15-13,,
5:59.0,R. Rondo makes 3-pt shot from 27 ft (assist by J. Holiday),3,18-13,,
5:45.0,,,18-13,,C. Williams misses 3-pt shot from 27 ft
5:42.0,Defensive rebound by N. Mirotic,,18-13,,
5:39.0,,,18-13,,Personal foul by C. Williams (drawn by A. Davis)
5:39.0,,,18-13,,LA Clippers full timeout
5:39.0,,,18-13,,M. Harrell enters the game for W. Johnson
5:39.0,I. Clark enters the game for N. Mirotic,,18-13,,
5:39.0,S. Hill enters the game for R. Rondo,,18-13,,
5:29.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,20-13,,
5:17.0,,,20-13,,Shooting foul by S. Hill (drawn by M. Harrell)
5:17.0,,,20-13,,M. Harrell misses free throw 1 of 2
5:17.0,,,20-13,,Offensive rebound by Team
5:17.0,,,20-13,,M. Harrell misses free throw 2 of 2
5:15.0,Defensive rebound by S. Hill,,20-13,,
5:05.0,I. Clark makes 2-pt shot from 11 ft,2,22-13,,
4:50.0,,,22-13,,T. Harris misses 2-pt shot from 12 ft
4:45.0,Defensive rebound by J. Holiday,,22-13,,
4:39.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,24-13,,
4:16.0,,,24-13,,M. Harrell misses 2-pt shot from 10 ft (block by J. Holiday)
4:13.0,Defensive rebound by I. Clark,,24-13,,
4:12.0,E. Moore makes 2-pt shot at rim (assist by A. Davis),2,26-13,,
3:51.0,,,26-13,,T. Wallace misses 2-pt shot from 16 ft
3:47.0,Defensive rebound by S. Hill,,26-13,,
3:42.0,S. Hill misses 2-pt shot from 20 ft,,26-13,,
3:40.0,,,26-13,,Defensive rebound by D. Jordan
3:27.0,,,26-13,,C. Williams misses 3-pt shot from 25 ft
