time,Minnesota,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. K. Towns (T. Gibson gains possession),,,,Jump ball: A. Drummond vs. K. Towns (T. Gibson gains possession)
11:46.0,J. Teague makes 2-pt shot from 2 ft,2,2-0,,
11:23.0,,,2-0,,A. Bradley misses 2-pt shot from 22 ft
11:20.0,Defensive rebound by K. Towns,,2-0,,
11:12.0,,,2-0,,Personal foul by A. Drummond (drawn by T. Gibson)
11:04.0,,,2-0,,Personal foul by R. Jackson (drawn by J. Teague)
10:58.0,A. Wiggins makes 2-pt shot from 16 ft,2,4-0,,
10:44.0,,,4-0,,T. Harris misses 2-pt shot from 16 ft
10:42.0,Defensive rebound by S. Muhammad,,4-0,,
10:27.0,J. Teague makes 3-pt shot from 26 ft (assist by S. Muhammad),3,7-0,,
10:01.0,,,7-0,,T. Harris misses 2-pt shot from 7 ft (block by T. Gibson)
9:58.0,Defensive rebound by K. Towns,,7-0,,
9:50.0,A. Wiggins misses 2-pt shot from 13 ft,,7-0,,
9:47.0,,,7-0,,Defensive rebound by A. Drummond
9:39.0,,,7-0,,S. Johnson misses 3-pt shot from 23 ft
9:37.0,Defensive rebound by K. Towns,,7-0,,
9:25.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,9-0,,
9:15.0,,,9-0,,Detroit full timeout
9:06.0,,,9-0,,A. Bradley misses 2-pt shot from 14 ft
9:01.0,,,9-0,,Offensive rebound by A. Drummond
9:01.0,,,9-2,2,A. Drummond makes 2-pt shot at rim
8:50.0,K. Towns misses 2-pt shot from 9 ft,,9-2,,
8:50.0,,,9-2,,Defensive rebound by A. Drummond
8:35.0,,,9-4,2,A. Bradley makes 2-pt shot from 21 ft
8:28.0,J. Teague misses 2-pt shot from 6 ft (block by A. Drummond),,9-4,,
8:27.0,Offensive rebound by Team,,9-4,,
8:18.0,Shooting foul by T. Harris (drawn by A. Wiggins),,9-4,,
8:18.0,A. Wiggins misses free throw 1 of 2,,9-4,,
8:18.0,Offensive rebound by Team,,9-4,,
8:18.0,A. Wiggins makes free throw 2 of 2,1,10-4,,
8:08.0,,,10-4,,R. Jackson misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by A. Wiggins,,10-4,,
7:57.0,T. Gibson misses 2-pt shot from 7 ft,,10-4,,
7:53.0,,,10-4,,Defensive rebound by S. Johnson
7:46.0,,,10-4,,T. Harris misses 2-pt shot from 13 ft
7:45.0,,,10-4,,Offensive rebound by A. Drummond
7:43.0,,,10-6,2,A. Drummond makes 2-pt shot from 1 ft
7:33.0,T. Gibson misses 2-pt shot from 10 ft,,10-6,,
7:31.0,,,10-6,,Defensive rebound by A. Drummond
7:26.0,,,10-6,,A. Bradley misses 3-pt shot from 22 ft
7:24.0,Defensive rebound by K. Towns,,10-6,,
7:15.0,S. Muhammad misses 3-pt shot from 25 ft,,10-6,,
7:11.0,,,10-6,,Defensive rebound by A. Bradley
7:07.0,,,10-6,,A. Bradley misses 2-pt shot from 14 ft
7:07.0,,,10-6,,Offensive rebound by A. Drummond
7:00.0,,,10-6,,T. Harris misses 3-pt shot from 26 ft
6:57.0,Defensive rebound by S. Muhammad,,10-6,,
6:50.0,A. Wiggins makes 2-pt shot from 13 ft,2,12-6,,
6:50.0,Shooting foul by S. Johnson (drawn by A. Wiggins),,12-6,,
6:50.0,A. Wiggins makes free throw 1 of 1,1,13-6,,
6:30.0,,,13-8,2,T. Harris makes 2-pt shot from 8 ft
6:14.0,,,13-8,,Violation by T. Harris (kicked ball)
6:04.0,A. Wiggins misses 2-pt shot from 9 ft,,13-8,,
6:00.0,,,13-8,,Defensive rebound by A. Drummond
5:43.0,,,13-8,,A. Bradley misses 2-pt shot from 19 ft
5:41.0,Defensive rebound by A. Wiggins,,13-8,,
5:37.0,Turnover by A. Wiggins (bad pass; steal by S. Johnson),,13-8,,
5:34.0,,,13-10,2,S. Johnson makes 2-pt shot at rim
5:22.0,J. Teague makes 2-pt shot from 9 ft,2,15-10,,
5:00.0,,,15-13,3,R. Jackson makes 3-pt shot from 23 ft (assist by T. Harris)
4:44.0,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague),3,18-13,,
4:25.0,,,18-13,,Turnover by A. Drummond (bad pass; steal by J. Teague)
4:12.0,T. Gibson misses 2-pt shot from 5 ft,,18-13,,
4:10.0,Offensive rebound by Team,,18-13,,
4:10.0,,,18-13,,I. Smith enters the game for R. Jackson
4:06.0,A. Wiggins misses 2-pt shot from 8 ft,,18-13,,
4:04.0,,,18-13,,Defensive rebound by A. Drummond
4:00.0,,,18-13,,Turnover by A. Drummond (lost ball; steal by A. Wiggins)
3:56.0,K. Towns makes 2-pt shot from 1 ft (assist by A. Wiggins),2,20-13,,
3:36.0,,,20-15,2,S. Johnson makes 2-pt shot from 21 ft (assist by A. Drummond)
3:28.0,,,20-15,,Personal foul by A. Drummond (drawn by T. Gibson)
3:28.0,T. Gibson makes free throw 1 of 2,1,21-15,,
3:28.0,,,21-15,,J. Leuer enters the game for A. Drummond
3:28.0,G. Dieng enters the game for S. Muhammad,,21-15,,
3:28.0,J. Crawford enters the game for K. Towns,,21-15,,
3:28.0,T. Gibson makes free throw 2 of 2,1,22-15,,
3:13.0,,,22-17,2,J. Leuer makes 2-pt shot from 10 ft (assist by A. Bradley)
3:13.0,,,22-17,,Shooting foul by T. Gibson (drawn by J. Leuer)
3:13.0,,,22-18,1,J. Leuer makes free throw 1 of 1
3:07.0,Turnover by A. Wiggins (traveling),,22-18,,
2:50.0,,,22-18,,T. Harris misses 2-pt shot from 8 ft
2:48.0,Defensive rebound by T. Gibson,,22-18,,
2:43.0,J. Teague misses 2-pt shot from 4 ft,,22-18,,
2:40.0,,,22-18,,Defensive rebound by J. Leuer
2:37.0,,,22-20,2,S. Johnson makes 2-pt shot at rim (assist by I. Smith)
2:21.0,A. Wiggins misses 3-pt shot from 25 ft,,22-20,,
2:19.0,,,22-20,,Defensive rebound by Team
2:19.0,Minnesota full timeout,,22-20,,
2:19.0,,,22-20,,H. Ellenson enters the game for T. Harris
2:19.0,T. Jones enters the game for J. Teague,,22-20,,
2:19.0,N. Bjelica enters the game for T. Gibson,,22-20,,
2:10.0,,,22-20,,Turnover by I. Smith (lost ball; steal by T. Jones)
1:56.0,J. Crawford misses 2-pt shot from 6 ft,,22-20,,
1:53.0,,,22-20,,Defensive rebound by J. Leuer
1:48.0,,,22-20,,H. Ellenson misses 2-pt shot from 9 ft
1:46.0,Defensive rebound by T. Jones,,22-20,,
1:29.0,A. Wiggins makes 2-pt shot from 1 ft (assist by T. Jones),2,24-20,,
1:14.0,,,24-23,3,S. Johnson makes 3-pt shot from 24 ft (assist by I. Smith)
0:54.0,T. Jones makes 2-pt shot from 9 ft,2,26-23,,
0:50.0,,,26-23,,Offensive charge foul by I. Smith (drawn by T. Jones)
0:50.0,,,26-23,,Turnover by I. Smith (offensive foul)
0:40.0,Turnover by G. Dieng (traveling),,26-23,,
0:21.0,Personal foul by G. Dieng (drawn by I. Smith),,26-23,,
0:13.0,,,26-23,,H. Ellenson misses 3-pt shot from 26 ft
0:11.0,Defensive rebound by G. Dieng,,26-23,,
0:00.0,G. Dieng misses 3-pt shot from 25 ft,,26-23,,
0:00.0,Offensive rebound by Team,,26-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,26-23,,Offensive foul by I. Smith (drawn by S. Muhammad)
11:51.0,,,26-23,,Turnover by I. Smith (offensive foul)
11:26.0,J. Crawford misses 3-pt shot from 28 ft,,26-23,,
11:23.0,,,26-23,,Defensive rebound by T. Harris
11:03.0,,,26-25,2,I. Smith makes 2-pt shot from 1 ft (assist by H. Ellenson)
10:44.0,G. Dieng misses 2-pt shot from 3 ft (block by T. Harris),,26-25,,
10:42.0,,,26-25,,Defensive rebound by J. Leuer
10:30.0,,,26-28,3,L. Galloway makes 3-pt shot from 28 ft (assist by I. Smith)
10:09.0,T. Jones misses 3-pt shot from 26 ft,,26-28,,
10:06.0,,,26-28,,Defensive rebound by T. Harris
10:00.0,,,26-28,,J. Leuer misses 2-pt shot from 18 ft
