time,Indiana,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Turner (K. Walker gains possession),,,,Jump ball: D. Howard vs. M. Turner (K. Walker gains possession)
11:44.0,,,0-0,,K. Walker misses 3-pt shot from 23 ft
11:39.0,Defensive rebound by M. Turner,,0-0,,
11:22.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young),2,2-0,,
11:06.0,,,2-2,2,D. Howard makes 2-pt shot at rim (assist by K. Walker)
10:53.0,Shooting foul by N. Batum (drawn by B. Bogdanovic),,2-2,,
10:53.0,B. Bogdanovic makes free throw 1 of 2,1,3-2,,
10:53.0,B. Bogdanovic makes free throw 2 of 2,1,4-2,,
10:34.0,,,4-2,,F. Kaminsky misses 3-pt shot from 26 ft
10:28.0,,,4-2,,Offensive rebound by N. Batum
10:28.0,,,4-4,2,N. Batum makes 2-pt shot at rim
10:07.0,Turnover by M. Turner (bad pass),,4-4,,
10:01.0,,,4-7,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
9:45.0,M. Turner misses 2-pt shot from 18 ft,,4-7,,
9:42.0,,,4-7,,Defensive rebound by D. Howard
9:33.0,,,4-10,3,N. Batum makes 3-pt shot from 25 ft (assist by F. Kaminsky)
9:12.0,M. Turner makes 2-pt shot from 16 ft (assist by B. Bogdanovic),2,6-10,,
8:58.0,,,6-13,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
8:42.0,T. Young misses 2-pt shot from 7 ft,,6-13,,
8:40.0,,,6-13,,Defensive rebound by D. Howard
8:36.0,,,6-13,,N. Batum misses 3-pt shot from 27 ft
8:32.0,,,6-13,,Offensive rebound by K. Walker
8:29.0,,,6-16,3,K. Walker makes 3-pt shot from 22 ft (assist by F. Kaminsky)
8:22.0,Indiana full timeout,,6-16,,
8:17.0,V. Oladipo misses 2-pt shot from 19 ft,,6-16,,
8:14.0,,,6-16,,Defensive rebound by N. Batum
8:04.0,,,6-18,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
7:48.0,V. Oladipo misses 3-pt shot from 25 ft,,6-18,,
7:46.0,,,6-18,,Defensive rebound by D. Howard
7:36.0,,,6-21,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker)
7:18.0,M. Turner makes 2-pt shot at rim (assist by V. Oladipo),2,8-21,,
