time,Portland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Nurkic (K. Bazemore gains possession),,,,Jump ball: M. Plumlee vs. J. Nurkic (K. Bazemore gains possession)
11:44.0,,,0-0,,T. Waller-Prince misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by Team,,0-0,,
11:29.0,Turnover by A. Aminu (bad pass; steal by M. Plumlee),,0-0,,
11:25.0,,,0-0,,D. Schroder misses 2-pt shot at rim (block by S. Napier)
11:25.0,Defensive rebound by Team,,0-0,,
11:09.0,A. Aminu makes 2-pt shot from 1 ft (assist by S. Napier),2,2-0,,
10:52.0,,,2-3,3,E. Ilyasova makes 3-pt shot from 22 ft (assist by T. Waller-Prince)
10:37.0,E. Turner makes 2-pt shot from 13 ft (assist by J. Nurkic),2,4-3,,
10:16.0,,,4-5,2,M. Plumlee makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
10:00.0,Turnover by J. Nurkic (out of bounds lost ball),,4-5,,
9:49.0,,,4-7,2,D. Schroder makes 2-pt shot from 18 ft
9:37.0,S. Napier misses 2-pt shot from 3 ft,,4-7,,
9:33.0,,,4-7,,Defensive rebound by M. Plumlee
9:31.0,,,4-7,,D. Schroder misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by E. Turner,,4-7,,
9:19.0,J. Nurkic misses 2-pt shot from 18 ft,,4-7,,
9:19.0,,,4-7,,Defensive rebound by M. Plumlee
9:07.0,,,4-7,,Turnover by K. Bazemore (lost ball; steal by C. McCollum)
8:55.0,C. McCollum misses 2-pt shot from 1 ft,,4-7,,
8:51.0,Offensive rebound by J. Nurkic,,4-7,,
8:49.0,J. Nurkic misses 2-pt shot from 1 ft,,4-7,,
8:49.0,,,4-7,,Defensive rebound by E. Ilyasova
8:48.0,,,4-7,,Turnover by T. Waller-Prince (bad pass)
8:32.0,E. Turner misses 2-pt shot from 16 ft,,4-7,,
8:30.0,Offensive rebound by A. Aminu,,4-7,,
8:30.0,Shooting foul by E. Ilyasova (drawn by A. Aminu),,4-7,,
8:30.0,A. Aminu makes free throw 1 of 2,1,5-7,,
8:30.0,A. Aminu misses free throw 2 of 2,,5-7,,
8:27.0,,,5-7,,Defensive rebound by E. Ilyasova
8:18.0,,,5-7,,Turnover by M. Plumlee (bad pass; steal by S. Napier)
8:04.0,J. Nurkic misses 2-pt shot from 20 ft,,5-7,,
8:00.0,,,5-7,,Defensive rebound by T. Waller-Prince
7:55.0,,,5-7,,D. Schroder misses 2-pt shot from 3 ft (block by S. Napier)
7:55.0,,,5-7,,Offensive rebound by Team
7:49.0,,,5-10,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder)
7:31.0,C. McCollum misses 2-pt shot from 12 ft,,5-10,,
7:28.0,,,5-10,,Defensive rebound by K. Bazemore
7:20.0,,,5-10,,K. Bazemore misses 2-pt shot from 16 ft
7:14.0,,,5-10,,Offensive rebound by E. Ilyasova
7:14.0,,,5-12,2,E. Ilyasova makes 2-pt shot at rim
7:03.0,C. McCollum makes 3-pt shot from 25 ft (assist by E. Turner),3,8-12,,
6:41.0,,,8-14,2,E. Ilyasova makes 2-pt shot from 12 ft (assist by T. Waller-Prince)
6:31.0,C. McCollum makes 2-pt shot from 19 ft,2,10-14,,
6:18.0,,,10-14,,Shooting foul by J. Nurkic (drawn by M. Plumlee)
6:18.0,,,10-14,,Atlanta full timeout
6:18.0,,,10-14,,M. Plumlee misses free throw 1 of 2
6:18.0,,,10-14,,Offensive rebound by Team
6:18.0,,,10-14,,M. Plumlee misses free throw 2 of 2
6:16.0,Defensive rebound by A. Aminu,,10-14,,
6:06.0,C. McCollum misses 3-pt shot from 25 ft,,10-14,,
6:00.0,Offensive rebound by J. Nurkic,,10-14,,
6:00.0,J. Nurkic makes 2-pt shot at rim,2,12-14,,
5:46.0,,,12-14,,E. Ilyasova misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by J. Nurkic,,12-14,,
5:33.0,Turnover by A. Aminu (bad pass; steal by D. Schroder),,12-14,,
5:29.0,,,12-17,3,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder)
5:15.0,J. Nurkic misses 2-pt shot from 20 ft,,12-17,,
5:14.0,,,12-17,,Defensive rebound by Team
5:14.0,Loose ball foul by A. Aminu (drawn by E. Ilyasova),,12-17,,
5:14.0,,,12-17,,J. Collins enters the game for M. Plumlee
5:14.0,P. Connaughton enters the game for S. Napier,,12-17,,
5:01.0,,,12-17,,J. Collins misses 2-pt shot at rim (block by J. Nurkic)
4:57.0,Defensive rebound by E. Turner,,12-17,,
4:52.0,A. Aminu misses 3-pt shot from 25 ft,,12-17,,
4:49.0,Offensive rebound by J. Nurkic,,12-17,,
4:49.0,J. Nurkic makes 2-pt shot from 1 ft,2,14-17,,
4:49.0,Shooting foul by J. Collins (drawn by J. Nurkic),,14-17,,
4:49.0,,,14-17,,M. Belinelli enters the game for K. Bazemore
4:49.0,J. Nurkic makes free throw 1 of 1,1,15-17,,
4:39.0,,,15-17,,D. Schroder misses 2-pt shot from 11 ft
4:31.0,Defensive rebound by A. Aminu,,15-17,,
4:29.0,A. Aminu makes 2-pt shot from 2 ft,2,17-17,,
4:14.0,,,17-17,,Turnover by T. Waller-Prince (lost ball; steal by P. Connaughton)
4:06.0,C. McCollum makes 2-pt shot from 2 ft,2,19-17,,
3:51.0,,,19-17,,D. Schroder misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by E. Turner,,19-17,,
3:33.0,J. Nurkic misses 2-pt shot from 11 ft,,19-17,,
3:31.0,,,19-17,,Defensive rebound by T. Waller-Prince
3:23.0,,,19-17,,Shooting foul by P. Connaughton (drawn by E. Ilyasova)
3:23.0,,,19-17,,E. Ilyasova misses free throw 1 of 2
3:23.0,,,19-17,,Offensive rebound by Team
3:23.0,,,19-17,,M. Delaney enters the game for T. Waller-Prince
3:23.0,,,19-17,,I. Taylor enters the game for D. Schroder
3:23.0,Z. Collins enters the game for A. Aminu,,19-17,,
3:23.0,E. Davis enters the game for J. Nurkic,,19-17,,
3:23.0,,,19-18,1,E. Ilyasova makes free throw 2 of 2
3:04.0,Offensive charge foul by E. Davis (drawn by J. Collins),,19-18,,
3:04.0,Turnover by E. Davis (offensive foul),,19-18,,
3:04.0,,,19-18,,T. Cavanaugh enters the game for E. Ilyasova
2:55.0,,,19-18,,Turnover by J. Collins (traveling)
2:55.0,Portland full timeout,,19-18,,
2:55.0,M. Harkless enters the game for E. Turner,,19-18,,
2:32.0,,,19-18,,Personal foul by M. Belinelli (drawn by Z. Collins)
2:32.0,S. Napier enters the game for C. McCollum,,19-18,,
2:25.0,S. Napier makes 2-pt shot from 19 ft (assist by P. Connaughton),2,21-18,,
2:05.0,,,21-18,,T. Cavanaugh misses 3-pt shot from 22 ft
2:02.0,,,21-18,,Offensive rebound by J. Collins
1:57.0,,,21-18,,Turnover by I. Taylor (bad pass; steal by M. Harkless)
1:50.0,Z. Collins misses 3-pt shot from 25 ft,,21-18,,
1:45.0,,,21-18,,Defensive rebound by M. Belinelli
