time,Miami,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Millsap vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: P. Millsap vs. H. Whiteside (G. Dragic gains possession)
11:45.0,H. Whiteside makes 2-pt shot from 5 ft,2,2-0,,
11:19.0,,,2-2,2,G. Harris makes 2-pt shot from 5 ft
11:01.0,H. Whiteside makes 2-pt shot from 1 ft,2,4-2,,
10:50.0,,,4-2,,J. Murray misses 2-pt shot from 4 ft (block by H. Whiteside)
10:47.0,Defensive rebound by D. Waiters,,4-2,,
10:46.0,G. Dragic makes 2-pt shot from 1 ft (assist by D. Waiters),2,6-2,,
10:34.0,,,6-2,,Turnover by G. Harris (turnover)
10:21.0,D. Waiters misses 3-pt shot from 23 ft,,6-2,,
10:19.0,,,6-2,,Defensive rebound by Team
10:12.0,Personal foul by G. Dragic (drawn by J. Murray),,6-2,,
10:05.0,,,6-4,2,N. Jokic makes 2-pt shot from 5 ft
9:43.0,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Waiters),2,8-4,,
9:27.0,,,8-6,2,N. Jokic makes 2-pt shot from 3 ft (assist by G. Harris)
9:27.0,,,8-6,,Shooting foul by H. Whiteside (drawn by N. Jokic)
9:27.0,,,8-7,1,N. Jokic makes free throw 1 of 1
9:17.0,,,8-7,,Personal foul by W. Chandler (drawn by O. White)
9:06.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. Richardson),3,11-7,,
8:44.0,,,11-7,,W. Chandler misses 2-pt shot from 3 ft
8:38.0,,,11-7,,Offensive rebound by N. Jokic
8:38.0,,,11-9,2,N. Jokic makes 2-pt shot at rim
8:21.0,G. Dragic makes 3-pt shot from 22 ft (assist by D. Waiters),3,14-9,,
7:54.0,,,14-11,2,P. Millsap makes 2-pt shot from 4 ft (assist by W. Chandler)
7:33.0,O. White makes 3-pt shot from 22 ft (assist by G. Dragic),3,17-11,,
7:16.0,,,17-13,2,P. Millsap makes 2-pt shot from 2 ft (assist by N. Jokic)
6:56.0,H. Whiteside makes 2-pt shot from 12 ft (assist by G. Dragic),2,19-13,,
6:55.0,,,19-13,,Denver full timeout
6:49.0,Personal foul by J. Richardson (drawn by G. Harris),,19-13,,
6:43.0,,,19-15,2,W. Chandler makes 2-pt shot from 2 ft (assist by P. Millsap)
6:23.0,J. Richardson makes 2-pt shot from 13 ft,2,21-15,,
6:08.0,,,21-15,,W. Chandler misses 3-pt shot from 25 ft
6:04.0,,,21-15,,Offensive rebound by P. Millsap
6:02.0,,,21-18,3,N. Jokic makes 3-pt shot from 25 ft (assist by P. Millsap)
5:51.0,Turnover by D. Waiters (lost ball; steal by P. Millsap),,21-18,,
5:50.0,Personal foul by D. Waiters (drawn by P. Millsap),,21-18,,
5:50.0,,,21-18,,W. Barton enters the game for N. Jokic
5:50.0,,,21-18,,M. Plumlee enters the game for W. Chandler
5:50.0,T. Johnson enters the game for J. Richardson,,21-18,,
5:29.0,,,21-18,,Turnover by J. Murray (traveling)
5:14.0,O. White makes 2-pt shot from 12 ft (assist by G. Dragic),2,23-18,,
4:47.0,,,23-20,2,P. Millsap makes 2-pt shot from 10 ft
4:37.0,Miami full timeout,,23-20,,
4:37.0,,,23-20,,E. Mudiay enters the game for J. Murray
4:37.0,J. Johnson enters the game for O. White,,23-20,,
4:37.0,K. Olynyk enters the game for H. Whiteside,,23-20,,
4:29.0,J. Johnson misses 3-pt shot from 23 ft,,23-20,,
4:29.0,Offensive rebound by K. Olynyk,,23-20,,
4:29.0,Turnover by K. Olynyk (out of bounds lost ball),,23-20,,
4:12.0,,,23-20,,Turnover by G. Harris (bad pass; steal by J. Johnson)
3:55.0,,,23-20,,Personal foul by P. Millsap (drawn by G. Dragic)
3:46.0,G. Dragic makes 2-pt shot from 4 ft,2,25-20,,
3:39.0,,,25-22,2,M. Plumlee makes 2-pt shot from 3 ft (assist by E. Mudiay)
3:24.0,D. Waiters makes 3-pt shot from 25 ft (assist by G. Dragic),3,28-22,,
3:07.0,,,28-24,2,P. Millsap makes 2-pt shot from 3 ft (assist by W. Barton)
2:48.0,D. Waiters misses 2-pt shot from 2 ft,,28-24,,
2:46.0,,,28-24,,Defensive rebound by M. Plumlee
2:44.0,,,28-24,,Offensive charge foul by M. Plumlee (drawn by T. Johnson)
2:44.0,,,28-24,,Turnover by M. Plumlee (offensive foul)
2:44.0,,,28-24,,N. Jokic enters the game for P. Millsap
2:44.0,,,28-24,,W. Chandler enters the game for G. Harris
2:44.0,J. Richardson enters the game for G. Dragic,,28-24,,
2:44.0,J. Winslow enters the game for D. Waiters,,28-24,,
2:24.0,J. Winslow makes 3-pt shot from 22 ft (assist by J. Richardson),3,31-24,,
2:01.0,,,31-24,,N. Jokic misses 2-pt shot from 4 ft
1:59.0,,,31-24,,Offensive rebound by N. Jokic
1:58.0,,,31-24,,M. Plumlee misses 2-pt shot from 4 ft (block by T. Johnson)
1:52.0,,,31-24,,Offensive rebound by N. Jokic
1:52.0,,,31-26,2,N. Jokic makes 2-pt shot at rim
1:39.0,T. Johnson misses 3-pt shot from 24 ft,,31-26,,
1:36.0,,,31-26,,Defensive rebound by N. Jokic
1:33.0,,,31-26,,Turnover by E. Mudiay (bad pass; steal by K. Olynyk)
1:21.0,Turnover by J. Winslow (lost ball; steal by N. Jokic),,31-26,,
1:12.0,,,31-26,,W. Barton misses 3-pt shot from 23 ft
1:09.0,Defensive rebound by K. Olynyk,,31-26,,
0:59.0,Turnover by K. Olynyk (bad pass; steal by N. Jokic),,31-26,,
0:55.0,,,31-26,,Turnover by M. Plumlee (turnover)
0:41.0,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Johnson),3,34-26,,
0:30.0,,,34-28,2,E. Mudiay makes 2-pt shot from 12 ft
0:11.0,J. Johnson makes 3-pt shot from 25 ft (assist by K. Olynyk),3,37-28,,
0:02.0,,,37-28,,N. Jokic misses 3-pt shot from 27 ft
0:02.0,Defensive rebound by J. Winslow,,37-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,37-28,,Shooting foul by T. Johnson (drawn by M. Beasley)
11:37.0,,,37-28,,M. Beasley misses free throw 1 of 2
11:37.0,,,37-28,,Offensive rebound by Team
11:37.0,,,37-28,,M. Beasley misses free throw 2 of 2
11:34.0,Defensive rebound by J. Johnson,,37-28,,
11:25.0,Turnover by J. Winslow (bad pass),,37-28,,
11:06.0,,,37-28,,K. Faried misses 2-pt shot from 7 ft
11:02.0,,,37-28,,Offensive rebound by N. Jokic
11:00.0,,,37-31,3,W. Barton makes 3-pt shot from 24 ft (assist by N. Jokic)
10:34.0,K. Olynyk makes 2-pt shot from 2 ft,2,39-31,,
10:09.0,,,39-33,2,E. Mudiay makes 2-pt shot from 14 ft
9:54.0,Turnover by T. Johnson (bad pass; steal by W. Barton),,39-33,,
9:52.0,,,39-33,,Shooting foul by J. Johnson (drawn by W. Barton)
9:52.0,,,39-33,,W. Barton misses free throw 1 of 2
9:52.0,,,39-33,,Offensive rebound by Team
9:52.0,,,39-34,1,W. Barton makes free throw 2 of 2
9:34.0,Turnover by J. Winslow (traveling),,39-34,,
9:19.0,,,39-34,,W. Barton misses 2-pt shot from 4 ft
