time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. M. Turner (K. Love gains possession),,,,Jump ball: T. Thompson vs. M. Turner (K. Love gains possession)
11:43.0,Violation by T. Young (kicked ball),,0-0,,
11:37.0,,,0-0,,K. Love misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by V. Oladipo,,0-0,,
11:14.0,V. Oladipo misses 3-pt shot from 25 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by T. Thompson
10:53.0,,,0-0,,J. Smith misses 2-pt shot from 6 ft
10:51.0,Defensive rebound by V. Oladipo,,0-0,,
10:46.0,B. Bogdanovic misses 3-pt shot from 25 ft,,0-0,,
10:43.0,,,0-0,,Defensive rebound by K. Korver
10:35.0,,,0-2,2,L. James makes 2-pt shot at rim
10:17.0,Shooting foul by K. Love (drawn by D. Collison),,0-2,,
10:17.0,D. Collison makes free throw 1 of 2,1,1-2,,
10:17.0,D. Collison makes free throw 2 of 2,1,2-2,,
10:02.0,,,2-2,,K. Love misses 2-pt shot from 10 ft
10:00.0,Defensive rebound by T. Young,,2-2,,
9:49.0,D. Collison misses 3-pt shot from 26 ft,,2-2,,
9:44.0,,,2-2,,Defensive rebound by T. Thompson
9:27.0,Personal foul by V. Oladipo (drawn by J. Smith),,2-2,,
9:17.0,,,2-2,,J. Smith misses 3-pt shot from 23 ft
9:14.0,,,2-2,,Offensive rebound by K. Love
9:10.0,,,2-2,,K. Love misses 3-pt shot from 23 ft
9:06.0,,,2-2,,Offensive rebound by J. Smith
9:04.0,,,2-2,,K. Korver misses 3-pt shot from 22 ft
9:01.0,Defensive rebound by M. Turner,,2-2,,
9:01.0,Turnover by D. Collison (out of bounds lost ball),,2-2,,
8:45.0,,,2-4,2,L. James makes 2-pt shot at rim
8:29.0,V. Oladipo misses 3-pt shot from 24 ft,,2-4,,
8:25.0,,,2-4,,Defensive rebound by T. Thompson
8:13.0,,,2-6,2,T. Thompson makes 2-pt shot from 7 ft (assist by L. James)
7:59.0,B. Bogdanovic misses 3-pt shot from 24 ft,,2-6,,
7:55.0,,,2-6,,Defensive rebound by K. Love
7:51.0,Violation by M. Turner (kicked ball),,2-6,,
7:43.0,,,2-9,3,K. Love makes 3-pt shot from 23 ft (assist by K. Korver)
7:43.0,Indiana full timeout,,2-9,,
7:33.0,V. Oladipo misses 2-pt shot from 17 ft,,2-9,,
7:30.0,,,2-9,,Defensive rebound by T. Thompson
7:18.0,,,2-9,,K. Korver misses 3-pt shot from 23 ft
7:15.0,Defensive rebound by T. Young,,2-9,,
7:12.0,,,2-9,,Personal foul by K. Korver (drawn by D. Collison)
7:05.0,D. Collison makes 3-pt shot from 23 ft (assist by V. Oladipo),3,5-9,,
6:43.0,,,5-9,,K. Korver misses 2-pt shot from 16 ft
6:41.0,Defensive rebound by M. Turner,,5-9,,
6:32.0,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo),2,7-9,,
6:15.0,,,7-12,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Love)
5:57.0,V. Oladipo misses 2-pt shot from 2 ft,,7-12,,
5:55.0,,,7-12,,Defensive rebound by T. Thompson
5:53.0,Personal foul by B. Bogdanovic (drawn by L. James),,7-12,,
5:38.0,,,7-12,,K. Love misses 2-pt shot from 6 ft
5:37.0,,,7-12,,Offensive rebound by T. Thompson
