time,Washington,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gortat (T. Satoransky gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (T. Satoransky gains possession)
11:44.0,M. Gortat misses 2-pt shot from 13 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by S. Johnson
11:35.0,,,0-0,,A. Tolliver misses 3-pt shot from 26 ft
11:32.0,,,0-0,,Offensive rebound by A. Drummond
11:31.0,,,0-0,,A. Drummond misses 2-pt shot from 1 ft
11:31.0,,,0-0,,Offensive rebound by Team
11:28.0,,,0-0,,S. Johnson misses 2-pt shot from 5 ft
11:21.0,,,0-0,,Offensive rebound by S. Johnson
11:21.0,,,0-2,2,S. Johnson makes 2-pt shot at rim
11:12.0,M. Gortat misses 2-pt shot from 8 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by R. Jackson
10:58.0,,,0-2,,R. Bullock misses 3-pt shot from 26 ft
10:56.0,Defensive rebound by M. Gortat,,0-2,,
10:47.0,M. Morris misses 3-pt shot from 23 ft,,0-2,,
10:43.0,,,0-2,,Defensive rebound by A. Drummond
10:34.0,,,0-4,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
10:10.0,O. Porter misses 2-pt shot from 6 ft,,0-4,,
10:06.0,Offensive rebound by M. Gortat,,0-4,,
10:04.0,M. Gortat makes 2-pt shot from 4 ft,2,2-4,,
9:50.0,,,2-4,,S. Johnson misses 2-pt shot from 14 ft
9:48.0,Defensive rebound by M. Morris,,2-4,,
9:36.0,M. Gortat makes 2-pt shot from 9 ft (assist by O. Porter),2,4-4,,
9:14.0,,,4-4,,Turnover by R. Bullock (bad pass; steal by M. Gortat)
9:08.0,B. Beal makes 2-pt shot from 2 ft,2,6-4,,
8:54.0,,,6-4,,R. Jackson misses 2-pt shot from 14 ft
8:53.0,Defensive rebound by M. Gortat,,6-4,,
8:53.0,,,6-4,,Loose ball foul by A. Drummond (drawn by M. Gortat)
8:40.0,B. Beal misses 2-pt shot from 17 ft,,6-4,,
8:36.0,,,6-4,,Defensive rebound by A. Drummond
8:16.0,,,6-6,2,R. Jackson makes 2-pt shot from 11 ft
8:03.0,M. Gortat makes 2-pt shot from 7 ft (assist by O. Porter),2,8-6,,
7:50.0,,,8-8,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
7:29.0,O. Porter misses 3-pt shot from 25 ft,,8-8,,
7:26.0,,,8-8,,Defensive rebound by A. Drummond
7:18.0,Personal foul by M. Morris (drawn by R. Jackson),,8-8,,
7:13.0,,,8-8,,R. Jackson misses 2-pt shot from 9 ft
7:10.0,Defensive rebound by O. Porter,,8-8,,
7:02.0,Shooting foul by A. Tolliver (drawn by O. Porter),,8-8,,
7:02.0,O. Porter makes free throw 1 of 2,1,9-8,,
7:02.0,O. Porter makes free throw 2 of 2,1,10-8,,
6:45.0,,,10-10,2,S. Johnson makes 2-pt shot from 2 ft (assist by R. Jackson)
6:28.0,O. Porter makes 3-pt shot from 25 ft (assist by T. Satoransky),3,13-10,,
6:01.0,,,13-10,,A. Drummond misses 2-pt shot from 6 ft
6:00.0,,,13-10,,Offensive rebound by S. Johnson
5:59.0,,,13-12,2,S. Johnson makes 2-pt shot at rim
5:59.0,Washington full timeout,,13-12,,
5:59.0,,,13-12,,I. Smith enters the game for R. Jackson
5:49.0,Turnover by M. Morris (bad pass; steal by S. Johnson),,13-12,,
5:42.0,,,13-12,,Turnover by S. Johnson (out of bounds lost ball)
5:22.0,B. Beal makes 2-pt shot from 15 ft,2,15-12,,
5:04.0,,,15-12,,Turnover by A. Tolliver (bad pass; steal by M. Morris)
5:00.0,T. Satoransky misses 2-pt shot from 4 ft (block by A. Tolliver),,15-12,,
4:57.0,Offensive rebound by O. Porter,,15-12,,
4:49.0,B. Beal makes 2-pt shot from 8 ft,2,17-12,,
4:20.0,,,17-12,,I. Smith misses 2-pt shot from 3 ft (block by M. Morris)
4:20.0,,,17-12,,Offensive rebound by Team
4:20.0,,,17-12,,Turnover by Team (shot clock)
4:20.0,,,17-12,,H. Ellenson enters the game for A. Tolliver
4:20.0,K. Oubre enters the game for O. Porter,,17-12,,
4:14.0,,,17-12,,Personal foul by I. Smith (drawn by T. Satoransky)
4:14.0,I. Mahinmi enters the game for M. Gortat,,17-12,,
4:05.0,B. Beal makes 2-pt shot from 8 ft (assist by M. Morris),2,19-12,,
3:45.0,,,19-14,2,A. Drummond makes 2-pt shot from 5 ft (assist by R. Bullock)
3:29.0,M. Morris misses 2-pt shot from 15 ft,,19-14,,
3:27.0,,,19-14,,Defensive rebound by S. Johnson
3:23.0,,,19-16,2,H. Ellenson makes 2-pt shot from 1 ft (assist by S. Johnson)
2:56.0,M. Morris misses 3-pt shot from 22 ft,,19-16,,
2:52.0,Offensive rebound by T. Satoransky,,19-16,,
2:50.0,M. Morris misses 2-pt shot from 5 ft,,19-16,,
2:50.0,Offensive rebound by I. Mahinmi,,19-16,,
2:44.0,I. Mahinmi makes 2-pt shot at rim,2,21-16,,
2:31.0,,,21-16,,Offensive foul by S. Johnson
2:31.0,,,21-16,,Turnover by S. Johnson (offensive foul)
2:31.0,,,21-16,,Technical foul by S. Johnson
2:31.0,,,21-16,,Detroit full timeout
2:31.0,,,21-16,,L. Kennard enters the game for R. Bullock
2:31.0,R. Sessions enters the game for M. Morris,,21-16,,
2:31.0,M. Scott enters the game for T. Satoransky,,21-16,,
2:31.0,B. Beal misses technical free throw,,21-16,,
2:31.0,Offensive rebound by Team,,21-16,,
2:15.0,R. Sessions misses 3-pt shot from 25 ft,,21-16,,
2:13.0,,,21-16,,Defensive rebound by A. Drummond
2:06.0,,,21-16,,I. Smith misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by K. Oubre,,21-16,,
1:50.0,M. Scott misses 2-pt shot from 10 ft,,21-16,,
1:48.0,Offensive rebound by R. Sessions,,21-16,,
1:46.0,B. Beal misses 3-pt shot from 24 ft,,21-16,,
1:42.0,,,21-16,,Defensive rebound by A. Drummond
1:36.0,,,21-16,,H. Ellenson misses 2-pt shot from 6 ft
1:36.0,,,21-16,,Offensive rebound by H. Ellenson
1:36.0,,,21-16,,Shooting foul by I. Mahinmi (drawn by H. Ellenson)
1:36.0,,,21-17,1,H. Ellenson makes free throw 1 of 2
1:36.0,,,21-17,,J. Ennis enters the game for S. Johnson
1:36.0,J. Meeks enters the game for B. Beal,,21-17,,
1:36.0,,,21-18,1,H. Ellenson makes free throw 2 of 2
1:24.0,K. Oubre misses 2-pt shot from 5 ft,,21-18,,
1:19.0,,,21-18,,Defensive rebound by H. Ellenson
1:16.0,,,21-18,,Shooting foul by M. Scott (drawn by A. Drummond)
1:16.0,,,21-19,1,A. Drummond makes free throw 1 of 2
1:16.0,,,21-19,,A. Drummond misses free throw 2 of 2
1:14.0,Defensive rebound by M. Scott,,21-19,,
1:01.0,R. Sessions makes 2-pt shot from 8 ft (assist by M. Scott),2,23-19,,
1:01.0,Shooting foul by L. Kennard (drawn by R. Sessions),,23-19,,
1:01.0,R. Sessions makes free throw 1 of 1,1,24-19,,
0:49.0,,,24-21,2,L. Kennard makes 2-pt shot from 2 ft (assist by A. Drummond)
0:41.0,K. Oubre misses 3-pt shot from 25 ft,,24-21,,
0:38.0,,,24-21,,Defensive rebound by A. Drummond
0:32.0,,,24-21,,Turnover by I. Smith (bad pass; steal by R. Sessions)
0:25.0,I. Mahinmi misses 2-pt shot from 2 ft (block by A. Drummond),,24-21,,
0:21.0,,,24-21,,Defensive rebound by H. Ellenson
0:19.0,,,24-23,2,J. Ennis makes 2-pt shot from 1 ft
0:00.0,J. Meeks misses 3-pt shot from 22 ft,,24-23,,
0:00.0,Offensive rebound by Team,,24-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-23,,Turnover by J. Ennis (traveling)
11:35.0,M. Scott makes 2-pt shot from 10 ft (assist by R. Sessions),2,26-23,,
11:21.0,,,26-23,,H. Ellenson misses 2-pt shot from 14 ft
11:19.0,Defensive rebound by R. Sessions,,26-23,,
11:06.0,M. Scott makes 2-pt shot from 14 ft (assist by R. Sessions),2,28-23,,
10:52.0,,,28-26,3,H. Ellenson makes 3-pt shot from 25 ft (assist by R. Jackson)
10:35.0,I. Mahinmi misses 2-pt shot from 3 ft (block by E. Moreland),,28-26,,
10:32.0,Offensive rebound by M. Scott,,28-26,,
10:30.0,M. Scott misses 2-pt shot from 11 ft,,28-26,,
10:28.0,,,28-26,,Defensive rebound by E. Moreland
10:19.0,,,28-26,,Shooting foul by I. Mahinmi (drawn by R. Jackson)
10:19.0,,,28-27,1,R. Jackson makes free throw 1 of 2
10:19.0,,,28-27,,R. Jackson misses free throw 2 of 2
10:16.0,Defensive rebound by I. Mahinmi,,28-27,,
10:04.0,K. Oubre misses 2-pt shot from 14 ft,,28-27,,
10:02.0,,,28-27,,Defensive rebound by L. Kennard
9:53.0,,,28-27,,H. Ellenson misses 2-pt shot from 3 ft
9:51.0,Defensive rebound by K. Oubre,,28-27,,
9:35.0,I. Mahinmi makes 2-pt shot from 8 ft (assist by K. Oubre),2,30-27,,
9:18.0,,,30-27,,J. Ennis misses 2-pt shot at rim (block by K. Oubre)
9:18.0,,,30-27,,Offensive rebound by Team
9:12.0,,,30-30,3,L. Kennard makes 3-pt shot from 27 ft (assist by H. Ellenson)
8:50.0,Turnover by I. Mahinmi (bad pass; steal by E. Moreland),,30-30,,
8:41.0,,,30-32,2,R. Jackson makes 2-pt shot from 20 ft
8:39.0,Washington full timeout,,30-32,,
8:39.0,T. Satoransky enters the game for J. Meeks,,30-32,,
8:27.0,M. Scott makes 2-pt shot from 7 ft (assist by T. Satoransky),2,32-32,,
8:08.0,,,32-32,,L. Kennard misses 2-pt shot from 10 ft
8:08.0,Defensive rebound by T. Satoransky,,32-32,,
8:01.0,Shooting foul by E. Moreland (drawn by R. Sessions),,32-32,,
