time,Portland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Nurkic (C. McCollum gains possession),,,,Jump ball: A. Davis vs. J. Nurkic (C. McCollum gains possession)
11:40.0,Turnover by S. Napier (out of bounds lost ball),,0-0,,
11:29.0,,,0-2,2,J. Holiday makes 2-pt shot from 2 ft
11:14.0,S. Napier misses 2-pt shot at rim,,0-2,,
11:12.0,,,0-2,,Defensive rebound by A. Davis
11:04.0,,,0-2,,D. Cousins misses 2-pt shot at rim (block by J. Nurkic)
11:01.0,,,0-2,,Offensive rebound by A. Davis
10:59.0,,,0-2,,A. Davis misses 2-pt shot from 2 ft
10:57.0,,,0-2,,Offensive rebound by D. Cousins
10:56.0,,,0-2,,D. Cousins misses 2-pt shot from 1 ft
10:56.0,Defensive rebound by C. McCollum,,0-2,,
10:49.0,D. Lillard misses 3-pt shot from 25 ft,,0-2,,
10:46.0,,,0-2,,Defensive rebound by D. Cousins
10:42.0,,,0-2,,R. Rondo misses 2-pt shot from 1 ft (block by C. McCollum)
10:42.0,,,0-2,,Offensive rebound by Team
10:39.0,,,0-5,3,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo)
10:14.0,A. Aminu makes 3-pt shot from 26 ft (assist by C. McCollum),3,3-5,,
10:05.0,,,3-5,,A. Davis misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by J. Nurkic,,3-5,,
9:59.0,C. McCollum makes 2-pt shot from 19 ft,2,5-5,,
9:43.0,,,5-5,,D. Cousins misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by S. Napier,,5-5,,
9:33.0,D. Lillard misses 2-pt shot from 22 ft,,5-5,,
9:33.0,,,5-5,,Defensive rebound by E. Moore
9:23.0,,,5-5,,D. Cousins misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by D. Lillard,,5-5,,
9:09.0,A. Aminu misses 2-pt shot from 7 ft,,5-5,,
9:06.0,,,5-5,,Defensive rebound by D. Cousins
9:05.0,,,5-7,2,J. Holiday makes 2-pt shot from 1 ft (assist by D. Cousins)
8:47.0,J. Nurkic makes 2-pt shot from 6 ft,2,7-7,,
8:37.0,,,7-7,,Turnover by J. Holiday (lost ball; steal by S. Napier)
8:21.0,J. Nurkic makes 2-pt shot from 9 ft (assist by S. Napier),2,9-7,,
7:57.0,,,9-7,,E. Moore misses 2-pt shot from 7 ft
7:55.0,Defensive rebound by J. Nurkic,,9-7,,
7:41.0,D. Lillard misses 3-pt shot from 31 ft,,9-7,,
7:38.0,,,9-7,,Defensive rebound by D. Cousins
7:36.0,,,9-7,,Turnover by D. Cousins (bad pass; steal by D. Lillard)
7:31.0,J. Nurkic makes 2-pt shot from 10 ft (assist by D. Lillard),2,11-7,,
7:24.0,,,11-9,2,J. Holiday makes 2-pt shot at rim
7:11.0,J. Nurkic makes 2-pt shot from 2 ft (assist by C. McCollum),2,13-9,,
7:11.0,Shooting foul by J. Holiday (drawn by J. Nurkic),,13-9,,
7:11.0,J. Nurkic makes free throw 1 of 1,1,14-9,,
7:00.0,,,14-11,2,A. Davis makes 2-pt shot from 7 ft
6:41.0,S. Napier makes 3-pt shot from 26 ft (assist by J. Nurkic),3,17-11,,
6:22.0,,,17-11,,E. Moore misses 2-pt shot from 22 ft
6:19.0,Defensive rebound by A. Aminu,,17-11,,
6:13.0,C. McCollum misses 3-pt shot from 25 ft,,17-11,,
6:11.0,,,17-11,,Defensive rebound by D. Cousins
6:02.0,,,17-11,,A. Davis misses 2-pt shot from 2 ft
6:00.0,Defensive rebound by A. Aminu,,17-11,,
5:45.0,C. McCollum misses 2-pt shot from 5 ft,,17-11,,
5:43.0,,,17-11,,Defensive rebound by A. Davis
5:33.0,,,17-11,,D. Cousins misses 2-pt shot from 1 ft
5:32.0,Defensive rebound by J. Nurkic,,17-11,,
5:32.0,,,17-11,,Personal foul by D. Cousins (drawn by J. Nurkic)
5:32.0,,,17-11,,New Orleans full timeout
5:32.0,P. Connaughton enters the game for C. McCollum,,17-11,,
5:21.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,19-11,,
5:21.0,Shooting foul by R. Rondo (drawn by J. Nurkic),,19-11,,
5:21.0,J. Nurkic misses free throw 1 of 1,,19-11,,
5:18.0,,,19-11,,Defensive rebound by D. Cousins
5:06.0,Personal foul by P. Connaughton (drawn by A. Davis),,19-11,,
5:06.0,,,19-11,,D. Miller enters the game for R. Rondo
4:59.0,,,19-13,2,E. Moore makes 2-pt shot from 2 ft (assist by D. Cousins)
4:33.0,A. Aminu misses 3-pt shot from 24 ft,,19-13,,
4:29.0,,,19-13,,Defensive rebound by J. Holiday
4:19.0,,,19-15,2,D. Cousins makes 2-pt shot from 2 ft (assist by E. Moore)
4:03.0,D. Lillard misses 3-pt shot from 26 ft,,19-15,,
3:59.0,,,19-15,,Defensive rebound by D. Cousins
3:52.0,,,19-17,2,J. Holiday makes 2-pt shot from 5 ft
3:38.0,Turnover by J. Nurkic (bad pass; steal by J. Holiday),,19-17,,
3:30.0,,,19-19,2,J. Holiday makes 2-pt shot at rim (assist by D. Cousins)
3:30.0,Portland full timeout,,19-19,,
3:30.0,,,19-19,,I. Clark enters the game for D. Cousins
3:30.0,,,19-19,,D. Cunningham enters the game for E. Moore
3:30.0,E. Davis enters the game for S. Napier,,19-19,,
3:30.0,Z. Collins enters the game for A. Aminu,,19-19,,
3:30.0,M. Harkless enters the game for J. Nurkic,,19-19,,
3:11.0,P. Connaughton misses 3-pt shot from 25 ft,,19-19,,
3:09.0,,,19-19,,Defensive rebound by J. Holiday
3:01.0,,,19-21,2,J. Holiday makes 2-pt shot at rim
2:39.0,Turnover by M. Harkless (lost ball; steal by I. Clark),,19-21,,
2:34.0,,,19-21,,I. Clark misses 2-pt shot from 3 ft
2:29.0,Defensive rebound by Z. Collins,,19-21,,
2:24.0,,,19-21,,Personal foul by I. Clark (drawn by P. Connaughton)
2:11.0,M. Harkless misses 3-pt shot from 26 ft,,19-21,,
2:07.0,Offensive rebound by P. Connaughton,,19-21,,
1:59.0,D. Lillard makes 2-pt shot from 16 ft,2,21-21,,
1:41.0,,,21-23,2,D. Miller makes 2-pt shot from 17 ft
1:41.0,,,21-23,,Shooting foul by M. Harkless (drawn by D. Miller)
1:41.0,C. McCollum enters the game for D. Lillard,,21-23,,
1:41.0,,,21-24,1,D. Miller makes free throw 1 of 1
1:23.0,P. Connaughton misses 3-pt shot from 23 ft,,21-24,,
1:23.0,,,21-24,,Defensive rebound by A. Davis
1:13.0,,,21-26,2,A. Davis makes 2-pt shot from 6 ft (assist by J. Holiday)
1:13.0,,,21-26,,Shooting foul by Z. Collins (drawn by A. Davis)
1:13.0,,,21-27,1,A. Davis makes free throw 1 of 1
1:00.0,E. Davis makes 2-pt shot from 5 ft (assist by M. Harkless),2,23-27,,
0:50.0,,,23-29,2,D. Miller makes 2-pt shot from 22 ft (assist by J. Holiday)
0:35.0,C. McCollum misses 2-pt shot from 2 ft (block by A. Davis),,23-29,,
0:35.0,Offensive rebound by Team,,23-29,,
0:29.0,C. McCollum makes 2-pt shot from 1 ft,2,25-29,,
0:09.0,,,25-31,2,I. Clark makes 2-pt shot from 1 ft (assist by A. Davis)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-31,,I. Clark misses 2-pt shot from 1 ft
11:46.0,Defensive rebound by Team,,25-31,,
11:27.0,Z. Collins makes 2-pt shot from 5 ft,2,27-31,,
11:15.0,,,27-31,,Turnover by D. Cousins (out of bounds lost ball)
10:59.0,Z. Collins misses 2-pt shot from 17 ft,,27-31,,
10:56.0,,,27-31,,Defensive rebound by I. Clark
10:49.0,,,27-33,2,D. Cunningham makes 2-pt shot from 1 ft (assist by I. Clark)
10:30.0,C. McCollum misses 3-pt shot from 25 ft,,27-33,,
10:30.0,,,27-33,,Defensive rebound by D. Cunningham
10:30.0,Loose ball foul by Z. Collins (drawn by D. Cunningham),,27-33,,
10:30.0,S. Napier enters the game for P. Connaughton,,27-33,,
10:13.0,,,27-35,2,J. Nelson makes 2-pt shot from 1 ft (assist by D. Cousins)
10:00.0,Turnover by M. Harkless (traveling),,27-35,,
9:42.0,,,27-37,2,J. Nelson makes 2-pt shot from 23 ft
9:16.0,E. Davis misses 2-pt shot from 9 ft,,27-37,,
9:12.0,Offensive rebound by M. Harkless,,27-37,,
9:12.0,M. Harkless makes 2-pt shot at rim,2,29-37,,
9:04.0,,,29-37,,J. Nelson misses 3-pt shot from 23 ft
9:01.0,Defensive rebound by Z. Collins,,29-37,,
8:45.0,Z. Collins misses 2-pt shot from 10 ft,,29-37,,
8:45.0,,,29-37,,Defensive rebound by Team
8:45.0,Loose ball foul by Z. Collins (drawn by J. Nelson),,29-37,,
8:27.0,,,29-37,,Shooting foul by M. Harkless (drawn by D. Miller)
8:27.0,,,29-38,1,D. Miller makes free throw 1 of 3
8:27.0,,,29-39,1,D. Miller makes free throw 2 of 3
8:27.0,,,29-40,1,D. Miller makes free throw 3 of 3
8:12.0,Turnover by C. McCollum (bad pass),,29-40,,
7:53.0,,,29-40,,D. Miller misses 3-pt shot from 27 ft
7:50.0,,,29-40,,Offensive rebound by D. Cousins
7:47.0,,,29-42,2,D. Cousins makes 2-pt shot from 9 ft
7:47.0,Portland full timeout,,29-42,,
7:47.0,P. Connaughton enters the game for C. McCollum,,29-42,,
7:47.0,A. Aminu enters the game for M. Harkless,,29-42,,
7:47.0,J. Nurkic enters the game for E. Davis,,29-42,,
7:47.0,D. Lillard enters the game for Z. Collins,,29-42,,
7:31.0,S. Napier misses 2-pt shot from 21 ft,,29-42,,
7:28.0,,,29-42,,Defensive rebound by I. Clark
7:07.0,,,29-45,2,D. Cousins makes 3-pt shot from 23 ft (assist by J. Nelson)
6:50.0,D. Lillard makes 2-pt shot from 19 ft,2,31-45,,
6:50.0,Shooting foul by I. Clark (drawn by D. Lillard),,31-45,,
6:50.0,,,31-45,,A. Davis enters the game for D. Cunningham
6:50.0,D. Lillard misses free throw 1 of 1,,31-45,,
6:46.0,,,31-45,,Defensive rebound by D. Cousins
6:40.0,,,31-47,2,I. Clark makes 2-pt shot from 3 ft
6:23.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,33-47,,
6:13.0,,,33-47,,Turnover by I. Clark (bad pass; steal by S. Napier)
6:09.0,S. Napier misses 2-pt shot from 2 ft (block by D. Cousins),,33-47,,
6:08.0,Offensive rebound by Team,,33-47,,
6:03.0,D. Lillard misses 3-pt shot from 25 ft,,33-47,,
5:59.0,,,33-47,,Defensive rebound by J. Nelson
5:51.0,,,33-47,,D. Miller misses 3-pt shot from 25 ft (block by P. Connaughton)
5:47.0,Defensive rebound by P. Connaughton,,33-47,,
5:47.0,P. Connaughton makes 2-pt shot at rim,2,35-47,,
5:32.0,,,35-47,,Turnover by J. Nelson (bad pass; steal by A. Aminu)
5:27.0,,,35-47,,Personal foul by I. Clark (drawn by A. Aminu)
5:27.0,,,35-47,,J. Holiday enters the game for I. Clark
5:27.0,,,35-47,,E. Moore enters the game for D. Miller
5:23.0,,,35-47,,Personal foul by E. Moore (drawn by S. Napier)
5:23.0,,,35-47,,R. Rondo enters the game for J. Nelson
5:18.0,S. Napier makes 2-pt shot from 17 ft,2,37-47,,
