time,Brooklyn,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. J. Allen (J. Jackson gains possession),,,,Jump ball: S. Labissiere vs. J. Allen (J. Jackson gains possession)
11:43.0,,,0-0,,S. Labissiere misses 2-pt shot from 19 ft
11:40.0,Defensive rebound by A. Crabbe,,0-0,,
11:27.0,,,0-0,,Personal foul by B. Bogdanovic (drawn by D. Russell)
11:12.0,J. Allen makes 2-pt shot from 2 ft (assist by A. Crabbe),2,2-0,,
10:53.0,Personal foul by S. Dinwiddie (drawn by D. Fox),,2-0,,
10:45.0,,,2-0,,Shooting foul by A. Crabbe (drawn by W. Cauley-Stein)
10:45.0,,,2-1,1,W. Cauley-Stein makes free throw 1 of 2
10:45.0,,,2-2,1,W. Cauley-Stein makes free throw 2 of 2
10:34.0,D. Russell misses 2-pt shot from 15 ft,,2-2,,
10:31.0,,,2-2,,Defensive rebound by W. Cauley-Stein
10:22.0,,,2-4,2,D. Fox makes 2-pt shot from 14 ft
10:16.0,S. Dinwiddie makes 2-pt shot from 22 ft (assist by D. Russell),2,4-4,,
9:51.0,,,4-4,,D. Fox misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by J. Allen,,4-4,,
9:41.0,D. Carroll misses 2-pt shot from 13 ft (block by D. Fox),,4-4,,
9:37.0,Offensive rebound by D. Carroll,,4-4,,
9:35.0,A. Crabbe makes 3-pt shot from 26 ft (assist by D. Carroll),3,7-4,,
9:24.0,,,7-4,,W. Cauley-Stein misses 2-pt shot from 2 ft
9:22.0,Defensive rebound by J. Allen,,7-4,,
9:15.0,D. Carroll misses 3-pt shot from 24 ft,,7-4,,
9:11.0,,,7-4,,Defensive rebound by J. Jackson
8:55.0,,,7-4,,B. Bogdanovic misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by S. Dinwiddie,,7-4,,
8:41.0,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Russell),3,10-4,,
8:22.0,,,10-6,2,S. Labissiere makes 2-pt shot from 10 ft
8:08.0,A. Crabbe misses 3-pt shot from 26 ft,,10-6,,
8:05.0,,,10-6,,Defensive rebound by Team
7:53.0,,,10-8,2,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by S. Labissiere)
7:35.0,Turnover by D. Russell (bad pass; steal by B. Bogdanovic),,10-8,,
7:17.0,,,10-8,,W. Cauley-Stein misses 2-pt shot from 3 ft
7:14.0,,,10-8,,Offensive rebound by W. Cauley-Stein
7:13.0,,,10-10,2,W. Cauley-Stein makes 2-pt shot from 3 ft
6:59.0,D. Russell misses 2-pt shot from 1 ft,,10-10,,
6:56.0,,,10-10,,Defensive rebound by W. Cauley-Stein
6:50.0,,,10-12,2,W. Cauley-Stein makes 2-pt shot from 17 ft (assist by B. Bogdanovic)
6:35.0,S. Dinwiddie misses 3-pt shot from 25 ft,,10-12,,
6:31.0,,,10-12,,Defensive rebound by B. Bogdanovic
6:22.0,,,10-14,2,B. Bogdanovic makes 2-pt shot from 6 ft
6:21.0,Brooklyn full timeout,,10-14,,
6:21.0,,,10-14,,B. Hield enters the game for J. Jackson
6:11.0,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,12-14,,
5:51.0,,,12-14,,B. Bogdanovic misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by D. Carroll,,12-14,,
5:45.0,J. Allen makes 2-pt shot at rim (assist by D. Carroll),2,14-14,,
5:30.0,,,14-16,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox)
5:13.0,D. Russell misses 3-pt shot from 27 ft,,14-16,,
5:09.0,Offensive rebound by J. Allen,,14-16,,
5:09.0,J. Allen makes 2-pt shot at rim,2,16-16,,
4:59.0,,,16-16,,Turnover by D. Fox (bad pass)
4:59.0,,,16-16,,F. Mason enters the game for D. Fox
4:59.0,J. Harris enters the game for D. Russell,,16-16,,
4:59.0,D. Cunningham enters the game for J. Allen,,16-16,,
4:42.0,A. Crabbe makes 3-pt shot from 25 ft (assist by J. Harris),3,19-16,,
4:29.0,,,19-16,,B. Hield misses 2-pt shot from 18 ft
4:22.0,Defensive rebound by A. Crabbe,,19-16,,
4:19.0,D. Carroll makes 2-pt shot from 7 ft,2,21-16,,
4:19.0,Shooting foul by S. Labissiere (drawn by D. Carroll),,21-16,,
4:19.0,C. LeVert enters the game for A. Crabbe,,21-16,,
4:19.0,D. Carroll makes free throw 1 of 1,1,22-16,,
4:05.0,,,22-16,,S. Labissiere misses 2-pt shot from 10 ft
3:58.0,Defensive rebound by D. Carroll,,22-16,,
3:50.0,D. Cunningham misses 3-pt shot from 22 ft,,22-16,,
3:46.0,,,22-16,,Defensive rebound by B. Hield
3:37.0,,,22-18,2,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by B. Bogdanovic)
3:11.0,Turnover by S. Dinwiddie (lost ball; steal by F. Mason),,22-18,,
3:06.0,,,22-18,,F. Mason misses 2-pt shot from 2 ft
3:03.0,Defensive rebound by S. Dinwiddie,,22-18,,
2:58.0,C. LeVert makes 2-pt shot from 10 ft,2,24-18,,
2:58.0,Shooting foul by B. Hield (drawn by C. LeVert),,24-18,,
2:58.0,,,24-18,,Sacramento full timeout
2:58.0,,,24-18,,G. Temple enters the game for S. Labissiere
2:58.0,,,24-18,,K. Koufos enters the game for B. Bogdanovic
2:58.0,D. Russell enters the game for S. Dinwiddie,,24-18,,
2:58.0,R. Hollis-Jefferson enters the game for D. Carroll,,24-18,,
2:58.0,C. LeVert misses free throw 1 of 1,,24-18,,
2:56.0,,,24-18,,Defensive rebound by W. Cauley-Stein
2:42.0,,,24-20,2,B. Hield makes 2-pt shot from 17 ft
2:19.0,D. Russell misses 3-pt shot from 22 ft,,24-20,,
2:16.0,Offensive rebound by C. LeVert,,24-20,,
2:01.0,D. Cunningham makes 2-pt shot from 1 ft (assist by D. Russell),2,26-20,,
1:45.0,,,26-20,,F. Mason misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by D. Cunningham,,26-20,,
1:36.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft,,26-20,,
1:33.0,Offensive rebound by D. Cunningham,,26-20,,
1:26.0,Turnover by C. LeVert (bad pass),,26-20,,
1:15.0,,,26-20,,Turnover by W. Cauley-Stein (bad pass)
1:15.0,,,26-20,,J. Jackson enters the game for W. Cauley-Stein
0:56.0,J. Harris makes 3-pt shot from 26 ft (assist by C. LeVert),3,29-20,,
0:40.0,,,29-22,2,J. Jackson makes 2-pt shot from 19 ft (assist by K. Koufos)
0:31.0,Turnover by D. Russell (lost ball; steal by K. Koufos),,29-22,,
0:31.0,Personal foul by D. Russell (drawn by F. Mason),,29-22,,
0:31.0,S. Dinwiddie enters the game for D. Russell,,29-22,,
0:22.0,,,29-22,,G. Temple misses 3-pt shot from 25 ft
0:18.0,,,29-22,,Offensive rebound by K. Koufos
0:18.0,,,29-22,,Turnover by K. Koufos (step out of bounds)
0:03.0,C. LeVert misses 2-pt shot from 4 ft,,29-22,,
0:03.0,,,29-22,,Defensive rebound by K. Koufos
0:00.0,,,29-22,,Turnover by K. Koufos (lost ball; steal by C. LeVert)
0:00.0,C. LeVert makes 2-pt shot at rim,2,31-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,C. LeVert misses 3-pt shot from 24 ft,,31-22,,
11:42.0,Offensive rebound by J. Harris,,31-22,,
11:31.0,R. Hollis-Jefferson misses 2-pt shot from 17 ft,,31-22,,
11:28.0,,,31-22,,Defensive rebound by K. Koufos
11:15.0,,,31-25,3,F. Mason makes 3-pt shot from 26 ft
11:02.0,,,31-25,,Personal foul by F. Mason (drawn by D. Russell)
10:55.0,Turnover by R. Hollis-Jefferson (lost ball; steal by B. Hield),,31-25,,
10:55.0,,,31-27,2,B. Hield makes 2-pt shot from 1 ft
10:55.0,,,31-27,,Shooting foul by C. LeVert (drawn by B. Hield)
10:55.0,,,31-28,1,B. Hield makes free throw 1 of 1
10:44.0,J. Harris misses 3-pt shot from 25 ft,,31-28,,
10:42.0,,,31-28,,Defensive rebound by K. Koufos
10:26.0,,,31-28,,F. Mason misses 2-pt shot from 10 ft
10:24.0,Defensive rebound by R. Hollis-Jefferson,,31-28,,
10:19.0,J. Harris makes 3-pt shot from 24 ft (assist by D. Russell),3,34-28,,
9:58.0,,,34-28,,Turnover by K. Koufos (lost ball; steal by D. Cunningham)
9:51.0,D. Russell misses 3-pt shot from 24 ft,,34-28,,
9:47.0,,,34-28,,Defensive rebound by K. Koufos
9:41.0,,,34-28,,F. Mason misses 2-pt shot from 19 ft (block by D. Russell)
9:37.0,,,34-28,,Offensive rebound by F. Mason
9:31.0,,,34-28,,Turnover by J. Jackson (lost ball; steal by D. Cunningham)
9:26.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Russell),2,36-28,,
9:26.0,,,36-28,,Sacramento full timeout
9:26.0,,,36-28,,D. Fox enters the game for F. Mason
9:17.0,,,36-28,,D. Fox misses 2-pt shot from 17 ft
9:13.0,Defensive rebound by J. Harris,,36-28,,
9:06.0,D. Russell misses 2-pt shot from 2 ft,,36-28,,
9:03.0,,,36-28,,Defensive rebound by G. Temple
8:57.0,Personal foul by D. Cunningham (drawn by D. Fox),,36-28,,
8:57.0,Violation by J. Harris (kicked ball),,36-28,,
8:52.0,,,36-28,,B. Hield misses 2-pt shot from 19 ft
8:50.0,Defensive rebound by D. Cunningham,,36-28,,
8:41.0,J. Harris misses 3-pt shot from 25 ft,,36-28,,
8:37.0,,,36-28,,Defensive rebound by J. Jackson
8:25.0,,,36-28,,Turnover by J. Jackson (bad pass; steal by R. Hollis-Jefferson)
8:22.0,Turnover by R. Hollis-Jefferson (bad pass; steal by G. Temple),,36-28,,
8:19.0,,,36-30,2,D. Fox makes 2-pt shot from 1 ft
8:05.0,J. Harris misses 2-pt shot from 3 ft (block by D. Fox),,36-30,,
8:05.0,,,36-30,,Defensive rebound by Team
7:55.0,,,36-30,,K. Koufos misses 2-pt shot from 2 ft
7:55.0,,,36-30,,Offensive rebound by K. Koufos
7:54.0,,,36-30,,K. Koufos misses 2-pt shot from 2 ft
7:54.0,Defensive rebound by D. Cunningham,,36-30,,
7:43.0,C. LeVert makes 2-pt shot from 1 ft (assist by J. Harris),2,38-30,,
7:24.0,,,38-32,2,K. Koufos makes 2-pt shot from 2 ft
7:08.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft,,38-32,,
7:05.0,,,38-32,,Defensive rebound by J. Jackson
7:00.0,,,38-35,3,G. Temple makes 3-pt shot from 25 ft (assist by B. Hield)
6:58.0,Brooklyn full timeout,,38-35,,
6:58.0,,,38-35,,S. Labissiere enters the game for J. Jackson
6:58.0,A. Crabbe enters the game for D. Russell,,38-35,,
6:58.0,J. Allen enters the game for R. Hollis-Jefferson,,38-35,,
6:44.0,C. LeVert misses 2-pt shot from 6 ft,,38-35,,
6:42.0,Offensive rebound by C. LeVert,,38-35,,
6:42.0,C. LeVert misses 2-pt shot from 2 ft (block by K. Koufos),,38-35,,
6:42.0,Offensive rebound by Team,,38-35,,
6:35.0,C. LeVert misses 3-pt shot from 25 ft,,38-35,,
6:31.0,,,38-35,,Defensive rebound by B. Hield
6:20.0,,,38-37,2,D. Fox makes 2-pt shot from 19 ft (assist by B. Hield)
5:50.0,Turnover by J. Allen (bad pass; steal by S. Labissiere),,38-37,,
5:36.0,,,38-39,2,K. Koufos makes 2-pt shot from 2 ft (assist by S. Labissiere)
5:16.0,J. Harris misses 2-pt shot from 17 ft,,38-39,,
5:12.0,,,38-39,,Defensive rebound by B. Hield
5:07.0,,,38-39,,B. Hield misses 2-pt shot from 5 ft
5:06.0,,,38-39,,Offensive rebound by K. Koufos
5:04.0,,,38-41,2,S. Labissiere makes 2-pt shot from 9 ft (assist by K. Koufos)
4:44.0,C. LeVert misses 2-pt shot from 9 ft,,38-41,,
4:42.0,,,38-41,,Defensive rebound by S. Labissiere
4:38.0,,,38-43,2,D. Fox makes 2-pt shot from 1 ft
4:37.0,Brooklyn full timeout,,38-43,,
4:37.0,,,38-43,,W. Cauley-Stein enters the game for B. Hield
4:37.0,,,38-43,,B. Bogdanovic enters the game for K. Koufos
4:37.0,S. Dinwiddie enters the game for C. LeVert,,38-43,,
4:37.0,D. Carroll enters the game for D. Cunningham,,38-43,,
4:27.0,D. Carroll makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,41-43,,
4:05.0,,,41-45,2,S. Labissiere makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
3:51.0,Turnover by D. Carroll (traveling),,41-45,,
3:39.0,Def 3 sec tech foul by J. Allen,,41-45,,
3:39.0,,,41-46,1,B. Bogdanovic makes technical free throw
3:35.0,R. Hollis-Jefferson enters the game for J. Harris,,41-46,,
3:29.0,,,41-49,3,D. Fox makes 3-pt shot from 25 ft
3:16.0,A. Crabbe misses 2-pt shot from 2 ft,,41-49,,
3:12.0,Offensive rebound by J. Allen,,41-49,,
3:12.0,J. Allen misses 2-pt shot at rim,,41-49,,
3:12.0,,,41-49,,Defensive rebound by Team
2:55.0,,,41-49,,W. Cauley-Stein misses 2-pt shot from 2 ft
2:51.0,Defensive rebound by D. Carroll,,41-49,,
2:46.0,Turnover by D. Carroll (bad pass; steal by D. Fox),,41-49,,
2:40.0,,,41-49,,B. Bogdanovic misses 2-pt shot from 2 ft
2:37.0,,,41-49,,Offensive rebound by S. Labissiere
2:37.0,,,41-49,,S. Labissiere misses 2-pt shot at rim
2:37.0,Defensive rebound by S. Dinwiddie,,41-49,,
2:16.0,Shooting foul by D. Fox (drawn by J. Allen),,41-49,,
2:16.0,J. Allen makes free throw 1 of 2,1,42-49,,
2:16.0,,,42-49,,F. Mason enters the game for G. Temple
2:16.0,J. Allen makes free throw 2 of 2,1,43-49,,
2:03.0,,,43-49,,D. Fox misses 2-pt shot from 4 ft
2:01.0,Defensive rebound by J. Allen,,43-49,,
1:57.0,A. Crabbe misses 3-pt shot from 24 ft,,43-49,,
1:53.0,Offensive rebound by D. Carroll,,43-49,,
1:51.0,D. Carroll makes 2-pt shot from 2 ft,2,45-49,,
1:30.0,,,45-51,2,B. Bogdanovic makes 2-pt shot from 1 ft
1:19.0,A. Crabbe misses 3-pt shot from 24 ft,,45-51,,
1:15.0,Offensive rebound by J. Allen,,45-51,,
1:06.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Carroll),2,47-51,,
1:06.0,,,47-51,,Violation by S. Labissiere (def goaltending)
0:51.0,,,47-51,,B. Bogdanovic misses 2-pt shot from 9 ft
0:51.0,Defensive rebound by J. Allen,,47-51,,
0:33.0,Shooting foul by S. Labissiere (drawn by D. Carroll),,47-51,,
0:33.0,D. Carroll makes free throw 1 of 2,1,48-51,,
0:33.0,D. Carroll makes free throw 2 of 2,1,49-51,,
0:24.0,,,49-51,,D. Fox misses 2-pt shot from 23 ft
0:21.0,,,49-51,,Offensive rebound by W. Cauley-Stein
0:21.0,,,49-53,2,S. Labissiere makes 2-pt shot from 4 ft (assist by W. Cauley-Stein)
0:00.0,D. Carroll makes 2-pt shot from 19 ft,2,51-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,S. Dinwiddie makes 2-pt shot from 3 ft (assist by D. Carroll),2,53-53,,
11:47.0,,,53-53,,Violation by D. Fox (def goaltending)
11:27.0,,,53-55,2,S. Labissiere makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
11:11.0,D. Carroll misses 3-pt shot from 23 ft,,53-55,,
11:08.0,,,53-55,,Defensive rebound by B. Bogdanovic
11:04.0,,,53-57,2,B. Bogdanovic makes 2-pt shot from 2 ft
10:54.0,J. Allen misses 2-pt shot from 5 ft,,53-57,,
10:52.0,,,53-57,,Defensive rebound by B. Bogdanovic
10:50.0,,,53-59,2,J. Jackson makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
10:21.0,S. Dinwiddie misses 3-pt shot from 25 ft,,53-59,,
10:18.0,,,53-59,,Defensive rebound by W. Cauley-Stein
10:13.0,,,53-59,,B. Bogdanovic misses 3-pt shot from 27 ft
10:09.0,Defensive rebound by S. Dinwiddie,,53-59,,
9:57.0,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Russell),3,56-59,,
9:41.0,,,56-61,2,D. Fox makes 2-pt shot from 5 ft
9:32.0,D. Carroll makes 3-pt shot from 25 ft (assist by D. Russell),3,59-61,,
9:16.0,,,59-61,,W. Cauley-Stein misses 2-pt shot from 17 ft
9:13.0,Defensive rebound by S. Dinwiddie,,59-61,,
9:08.0,,,59-61,,Personal foul by D. Fox (drawn by D. Carroll)
9:04.0,A. Crabbe misses 3-pt shot from 25 ft,,59-61,,
9:00.0,,,59-61,,Defensive rebound by W. Cauley-Stein
8:52.0,,,59-61,,W. Cauley-Stein misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by J. Allen,,59-61,,
8:49.0,Turnover by J. Allen (bad pass; steal by D. Fox),,59-61,,
8:45.0,,,59-61,,Shooting foul by D. Carroll (drawn by S. Labissiere)
8:45.0,,,59-62,1,S. Labissiere makes free throw 1 of 2
8:45.0,,,59-62,,S. Labissiere misses free throw 2 of 2
8:42.0,Defensive rebound by D. Carroll,,59-62,,
8:24.0,J. Allen misses 2-pt shot from 4 ft,,59-62,,
8:22.0,Offensive rebound by J. Allen,,59-62,,
8:20.0,A. Crabbe misses 3-pt shot from 24 ft,,59-62,,
8:18.0,,,59-62,,Defensive rebound by D. Fox
8:18.0,,,59-62,,Turnover by D. Fox (bad pass)
8:08.0,A. Crabbe misses 2-pt shot from 3 ft (block by S. Labissiere),,59-62,,
8:04.0,Offensive rebound by J. Allen,,59-62,,
8:04.0,J. Allen makes 2-pt shot from 1 ft,2,61-62,,
7:53.0,,,61-62,,Turnover by D. Fox (lost ball; steal by D. Russell)
7:49.0,D. Carroll misses 3-pt shot from 23 ft,,61-62,,
7:45.0,,,61-62,,Defensive rebound by B. Bogdanovic
7:35.0,,,61-62,,Turnover by S. Labissiere (bad pass; steal by S. Dinwiddie)
7:30.0,D. Russell makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,64-62,,
7:21.0,,,64-62,,Sacramento full timeout
7:09.0,,,64-62,,S. Labissiere misses 2-pt shot from 5 ft (block by J. Allen)
7:06.0,Defensive rebound by D. Carroll,,64-62,,
6:54.0,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,67-62,,
6:33.0,,,67-64,2,W. Cauley-Stein makes 2-pt shot from 6 ft
6:22.0,,,67-64,,G. Temple enters the game for S. Labissiere
6:06.0,A. Crabbe misses 2-pt shot from 21 ft,,67-64,,
6:03.0,,,67-64,,Defensive rebound by Team
5:49.0,,,67-64,,W. Cauley-Stein misses 2-pt shot from 14 ft
5:46.0,Defensive rebound by D. Russell,,67-64,,
5:38.0,J. Allen makes 2-pt shot from 1 ft (assist by D. Russell),2,69-64,,
5:25.0,,,69-64,,Turnover by J. Jackson (bad pass; steal by A. Crabbe)
5:17.0,Offensive foul by J. Allen (drawn by W. Cauley-Stein),,69-64,,
5:17.0,Turnover by J. Allen (offensive foul),,69-64,,
5:17.0,D. Cunningham enters the game for D. Russell,,69-64,,
5:17.0,J. Harris enters the game for J. Allen,,69-64,,
5:02.0,,,69-66,2,B. Bogdanovic makes 2-pt shot from 4 ft
4:53.0,Shooting foul by W. Cauley-Stein (drawn by D. Cunningham),,69-66,,
