time,Sacramento,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. S. Labissiere (D. Fox gains possession),,,,Jump ball: R. Lopez vs. S. Labissiere (D. Fox gains possession)
11:47.0,D. Fox makes 2-pt shot from 1 ft (assist by S. Labissiere),2,2-0,,
11:26.0,,,2-2,2,D. Valentine makes 2-pt shot from 20 ft (assist by K. Dunn)
11:10.0,Z. Randolph makes 2-pt shot from 21 ft (assist by G. Hill),2,4-2,,
10:43.0,,,4-2,,D. Valentine misses 2-pt shot from 12 ft
10:43.0,Defensive rebound by Z. Randolph,,4-2,,
10:28.0,S. Labissiere misses 2-pt shot from 12 ft,,4-2,,
10:24.0,,,4-2,,Defensive rebound by L. Markkanen
10:18.0,,,4-2,,K. Dunn misses 2-pt shot from 3 ft
10:18.0,Defensive rebound by Z. Randolph,,4-2,,
10:06.0,Z. Randolph misses 2-pt shot from 6 ft,,4-2,,
10:02.0,Offensive rebound by Z. Randolph,,4-2,,
9:57.0,Z. Randolph makes 2-pt shot at rim,2,6-2,,
9:51.0,,,6-4,2,R. Lopez makes 2-pt shot from 5 ft (assist by K. Dunn)
9:35.0,Z. Randolph misses 2-pt shot from 17 ft,,6-4,,
9:31.0,Offensive rebound by S. Labissiere,,6-4,,
9:22.0,D. Fox misses 3-pt shot from 23 ft,,6-4,,
9:20.0,,,6-4,,Defensive rebound by D. Valentine
9:11.0,,,6-7,3,K. Dunn makes 3-pt shot from 22 ft (assist by J. Holiday)
8:47.0,Z. Randolph makes 2-pt shot from 2 ft (assist by G. Hill),2,8-7,,
8:38.0,,,8-7,,K. Dunn misses 2-pt shot from 2 ft (block by D. Fox)
8:38.0,,,8-7,,Offensive rebound by Team
8:35.0,Personal foul by S. Labissiere (drawn by L. Markkanen),,8-7,,
8:29.0,,,8-7,,L. Markkanen misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by Z. Randolph,,8-7,,
8:19.0,G. Hill makes 2-pt shot from 1 ft (assist by S. Labissiere),2,10-7,,
7:56.0,,,10-9,2,J. Holiday makes 2-pt shot from 14 ft (assist by R. Lopez)
7:44.0,,,10-9,,Personal foul by D. Valentine (drawn by Z. Randolph)
7:30.0,S. Labissiere makes 2-pt shot from 6 ft,2,12-9,,
7:13.0,,,12-11,2,R. Lopez makes 2-pt shot from 3 ft (assist by K. Dunn)
7:00.0,Turnover by S. Labissiere (lost ball; steal by R. Lopez),,12-11,,
6:56.0,,,12-14,3,D. Valentine makes 3-pt shot from 25 ft (assist by K. Dunn)
6:43.0,Turnover by S. Labissiere (bad pass; steal by J. Holiday),,12-14,,
