time,Sacramento,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. K. Koufos (K. Walker gains possession),,,,Jump ball: D. Howard vs. K. Koufos (K. Walker gains possession)
11:46.0,,,0-0,,Turnover by K. Walker (bad pass; steal by K. Koufos)
11:26.0,V. Carter makes 3-pt shot from 28 ft (assist by B. Bogdanovic),3,3-0,,
11:03.0,,,3-0,,K. Walker misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by K. Koufos,,3-0,,
10:53.0,D. Fox makes 2-pt shot at rim,2,5-0,,
10:48.0,,,5-3,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
10:48.0,,,5-3,,Shooting foul by D. Fox (drawn by M. Williams)
10:48.0,,,5-4,1,M. Williams makes free throw 1 of 1
10:38.0,D. Fox misses 2-pt shot from 9 ft,,5-4,,
10:36.0,Offensive rebound by K. Koufos,,5-4,,
10:35.0,B. Bogdanovic misses 3-pt shot from 25 ft,,5-4,,
10:32.0,,,5-4,,Defensive rebound by D. Howard
10:25.0,,,5-4,,M. Williams misses 3-pt shot from 22 ft
10:23.0,Defensive rebound by B. Bogdanovic,,5-4,,
10:15.0,K. Koufos misses 2-pt shot from 9 ft,,5-4,,
10:12.0,,,5-4,,Defensive rebound by N. Batum
10:03.0,,,5-6,2,N. Batum makes 2-pt shot from 9 ft (assist by K. Walker)
9:56.0,V. Carter misses 3-pt shot from 26 ft,,5-6,,
9:53.0,,,5-6,,Defensive rebound by D. Howard
9:44.0,,,5-6,,N. Batum misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by V. Carter,,5-6,,
9:37.0,Shooting foul by T. Graham (drawn by D. Fox),,5-6,,
9:37.0,D. Fox misses free throw 1 of 2,,5-6,,
9:37.0,Offensive rebound by Team,,5-6,,
9:37.0,D. Fox makes free throw 2 of 2,1,6-6,,
9:25.0,,,6-6,,Turnover by D. Howard (traveling)
9:17.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Fox),3,9-6,,
8:54.0,,,9-8,2,N. Batum makes 2-pt shot from 19 ft (assist by K. Walker)
8:38.0,B. Bogdanovic misses 2-pt shot from 12 ft,,9-8,,
8:36.0,Offensive rebound by K. Koufos,,9-8,,
8:33.0,W. Cauley-Stein misses 2-pt shot from 5 ft (block by D. Howard),,9-8,,
8:29.0,,,9-8,,Defensive rebound by D. Howard
8:23.0,,,9-8,,D. Howard misses 2-pt shot from 2 ft
8:19.0,,,9-8,,Offensive rebound by D. Howard
8:19.0,,,9-10,2,D. Howard makes 2-pt shot at rim
7:55.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by D. Fox),2,11-10,,
7:45.0,,,11-13,3,K. Walker makes 3-pt shot from 25 ft
7:31.0,Turnover by D. Fox (bad pass; steal by K. Walker),,11-13,,
7:25.0,,,11-13,,Turnover by K. Walker (bad pass; steal by W. Cauley-Stein)
7:18.0,K. Koufos makes 2-pt shot from 2 ft (assist by V. Carter),2,13-13,,
6:59.0,,,13-13,,T. Graham misses 3-pt shot from 22 ft
6:56.0,Defensive rebound by D. Fox,,13-13,,
6:51.0,Turnover by B. Bogdanovic (bad pass; steal by T. Graham),,13-13,,
6:51.0,,,13-13,,Turnover by T. Graham (bad pass)
6:51.0,,,13-13,,Charlotte full timeout
6:35.0,K. Koufos makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,15-13,,
6:17.0,,,15-13,,Turnover by D. Howard (lost ball; steal by W. Cauley-Stein)
6:11.0,D. Fox makes 2-pt shot at rim,2,17-13,,
5:50.0,,,17-15,2,D. Howard makes 2-pt shot at rim (assist by M. Williams)
5:35.0,K. Koufos makes 2-pt shot from 11 ft (assist by B. Bogdanovic),2,19-15,,
5:22.0,,,19-18,3,K. Walker makes 3-pt shot from 23 ft
5:03.0,B. Bogdanovic makes 2-pt shot from 21 ft,2,21-18,,
4:44.0,S. Labissiere enters the game for K. Koufos,,21-18,,
4:44.0,B. Hield enters the game for V. Carter,,21-18,,
4:39.0,,,21-18,,Shooting foul by B. Bogdanovic (drawn by K. Walker)
4:39.0,,,21-19,1,K. Walker makes free throw 1 of 2
4:39.0,,,21-20,1,K. Walker makes free throw 2 of 2
4:30.0,W. Cauley-Stein misses 2-pt shot from 19 ft,,21-20,,
4:26.0,,,21-20,,Defensive rebound by D. Howard
4:20.0,,,21-20,,K. Walker misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by S. Labissiere,,21-20,,
4:03.0,Turnover by S. Labissiere (bad pass; steal by D. Howard),,21-20,,
3:53.0,,,21-20,,Shooting foul by B. Bogdanovic (drawn by D. Howard)
3:53.0,,,21-20,,D. Howard misses free throw 1 of 2
3:53.0,,,21-20,,Offensive rebound by Team
3:53.0,,,21-20,,F. Kaminsky enters the game for M. Williams
3:53.0,,,21-20,,J. Lamb enters the game for T. Graham
3:53.0,G. Hill enters the game for D. Fox,,21-20,,
3:53.0,,,21-21,1,D. Howard makes free throw 2 of 2
3:53.0,Sacramento full timeout,,21-21,,
3:38.0,S. Labissiere makes 2-pt shot from 4 ft,2,23-21,,
3:30.0,Personal foul by B. Hield (drawn by N. Batum),,23-21,,
3:25.0,,,23-24,3,N. Batum makes 3-pt shot from 26 ft (assist by F. Kaminsky)
3:08.0,S. Labissiere makes 2-pt shot from 1 ft (assist by G. Hill),2,25-24,,
2:53.0,,,25-24,,D. Howard misses 2-pt shot from 3 ft (block by S. Labissiere)
2:49.0,Defensive rebound by W. Cauley-Stein,,25-24,,
2:37.0,B. Hield misses 3-pt shot from 24 ft,,25-24,,
2:34.0,,,25-24,,Defensive rebound by F. Kaminsky
2:26.0,,,25-27,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum)
2:07.0,S. Labissiere misses 2-pt shot from 15 ft,,25-27,,
2:05.0,,,25-27,,Defensive rebound by D. Howard
2:01.0,,,25-27,,N. Batum misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by W. Cauley-Stein,,25-27,,
1:45.0,B. Hield makes 2-pt shot from 15 ft (assist by B. Bogdanovic),2,27-27,,
1:25.0,,,27-27,,J. Lamb misses 3-pt shot from 25 ft
