time,Miami,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. K. Olynyk (D. Brooks gains possession),,,,Jump ball: M. Gasol vs. K. Olynyk (D. Brooks gains possession)
11:43.0,,,0-2,2,M. Gasol makes 2-pt shot from 2 ft (assist by T. Evans)
11:43.0,,,0-2,,Shooting foul by K. Olynyk (drawn by M. Gasol)
11:43.0,,,0-3,1,M. Gasol makes free throw 1 of 1
11:28.0,K. Olynyk misses 3-pt shot from 26 ft,,0-3,,
11:25.0,,,0-3,,Defensive rebound by D. Brooks
11:15.0,,,0-5,2,J. Green makes 2-pt shot from 1 ft (assist by A. Harrison)
11:03.0,D. Waiters makes 2-pt shot at rim,2,2-5,,
10:43.0,,,2-5,,T. Evans misses 2-pt shot from 3 ft
10:43.0,Defensive rebound by Team,,2-5,,
10:43.0,,,2-5,,Loose ball foul by M. Gasol (drawn by J. Richardson)
10:19.0,J. Richardson misses 2-pt shot from 19 ft,,2-5,,
10:19.0,Offensive rebound by Team,,2-5,,
10:19.0,Turnover by Team (shot clock),,2-5,,
10:04.0,,,2-5,,M. Gasol misses 2-pt shot from 7 ft
10:02.0,Defensive rebound by G. Dragic,,2-5,,
9:53.0,G. Dragic misses 2-pt shot from 16 ft,,2-5,,
9:51.0,,,2-5,,Defensive rebound by T. Evans
9:41.0,,,2-8,3,A. Harrison makes 3-pt shot from 25 ft (assist by M. Gasol)
9:23.0,J. Richardson makes 3-pt shot from 23 ft (assist by J. Johnson),3,5-8,,
9:02.0,,,5-8,,T. Evans misses 3-pt shot from 27 ft
9:01.0,,,5-8,,Offensive rebound by M. Gasol
9:01.0,Personal foul by K. Olynyk (drawn by M. Gasol),,5-8,,
9:01.0,B. Adebayo enters the game for K. Olynyk,,5-8,,
8:42.0,,,5-10,2,J. Green makes 2-pt shot from 5 ft (assist by A. Harrison)
8:25.0,B. Adebayo makes 2-pt shot at rim (assist by J. Johnson),2,7-10,,
8:15.0,,,7-10,,Turnover by T. Evans (bad pass; steal by B. Adebayo)
8:10.0,G. Dragic makes 2-pt shot at rim (assist by B. Adebayo),2,9-10,,
7:54.0,,,9-10,,D. Brooks misses 3-pt shot from 26 ft
7:52.0,Defensive rebound by J. Richardson,,9-10,,
7:46.0,J. Richardson misses 2-pt shot from 7 ft,,9-10,,
7:43.0,,,9-10,,Defensive rebound by T. Evans
7:31.0,,,9-10,,J. Green misses 2-pt shot at rim
7:28.0,Defensive rebound by G. Dragic,,9-10,,
7:22.0,G. Dragic misses 2-pt shot from 10 ft,,9-10,,
7:22.0,Offensive rebound by Team,,9-10,,
7:22.0,,,9-10,,Loose ball foul by D. Brooks (drawn by B. Adebayo)
7:22.0,,,9-10,,M. Chalmers enters the game for T. Evans
7:04.0,Turnover by J. Johnson (bad pass; steal by J. Green),,9-10,,
6:57.0,,,9-10,,M. Chalmers misses 3-pt shot from 22 ft
6:54.0,,,9-10,,Offensive rebound by J. Green
6:35.0,,,9-10,,M. Gasol misses 2-pt shot from 8 ft
6:31.0,,,9-10,,Offensive rebound by Team
6:31.0,,,9-10,,Memphis full timeout
6:26.0,,,9-10,,Shooting foul by B. Adebayo (drawn by M. Gasol)
6:26.0,,,9-11,1,M. Gasol makes free throw 1 of 2
6:26.0,,,9-12,1,M. Gasol makes free throw 2 of 2
6:02.0,J. Richardson makes 3-pt shot from 22 ft (assist by G. Dragic),3,12-12,,
5:52.0,,,12-12,,Offensive foul by A. Harrison (drawn by J. Richardson)
5:52.0,,,12-12,,Turnover by A. Harrison (offensive foul)
5:52.0,,,12-12,,B. McLemore enters the game for J. Green
5:52.0,,,12-12,,C. Parsons enters the game for A. Harrison
5:52.0,T. Johnson enters the game for J. Richardson,,12-12,,
5:36.0,G. Dragic misses 3-pt shot from 26 ft,,12-12,,
5:33.0,,,12-12,,Defensive rebound by B. McLemore
5:27.0,,,12-12,,Turnover by M. Gasol (out of bounds lost ball)
5:05.0,G. Dragic makes 2-pt shot at rim (assist by D. Waiters),2,14-12,,
4:47.0,,,14-12,,Turnover by D. Brooks (lost ball; steal by D. Waiters)
4:44.0,Shooting foul by D. Brooks (drawn by B. Adebayo),,14-12,,
4:44.0,B. Adebayo makes free throw 1 of 2,1,15-12,,
4:44.0,,,15-12,,J. Ennis enters the game for D. Brooks
4:44.0,W. Ellington enters the game for G. Dragic,,15-12,,
4:44.0,B. Adebayo makes free throw 2 of 2,1,16-12,,
4:28.0,,,16-12,,B. McLemore misses 2-pt shot from 19 ft (block by J. Johnson)
4:24.0,Defensive rebound by B. Adebayo,,16-12,,
4:13.0,Shooting foul by C. Parsons (drawn by D. Waiters),,16-12,,
4:13.0,D. Waiters makes free throw 1 of 2,1,17-12,,
4:13.0,D. Waiters misses free throw 2 of 2,,17-12,,
4:11.0,,,17-12,,Defensive rebound by M. Gasol
3:54.0,,,17-14,2,M. Gasol makes 2-pt shot at rim (assist by C. Parsons)
3:39.0,T. Johnson misses 3-pt shot from 23 ft,,17-14,,
3:35.0,,,17-14,,Defensive rebound by B. McLemore
3:26.0,,,17-16,2,B. McLemore makes 2-pt shot at rim (assist by M. Gasol)
3:16.0,B. Adebayo makes 2-pt shot at rim (assist by D. Waiters),2,19-16,,
3:09.0,,,19-16,,Memphis full timeout
3:09.0,,,19-16,,T. Evans enters the game for M. Chalmers
3:09.0,,,19-16,,D. Davis enters the game for M. Gasol
3:09.0,J. Winslow enters the game for J. Johnson,,19-16,,
3:01.0,,,19-19,3,C. Parsons makes 3-pt shot from 26 ft (assist by B. McLemore)
2:36.0,B. Adebayo makes 2-pt shot at rim (assist by W. Ellington),2,21-19,,
2:15.0,,,21-19,,C. Parsons misses 2-pt shot from 7 ft (block by B. Adebayo)
2:11.0,Defensive rebound by D. Waiters,,21-19,,
2:10.0,T. Johnson misses 2-pt shot from 1 ft,,21-19,,
2:09.0,Offensive rebound by Team,,21-19,,
2:09.0,Turnover by T. Johnson (traveling),,21-19,,
1:59.0,,,21-21,2,D. Davis makes 2-pt shot at rim (assist by C. Parsons)
1:44.0,W. Ellington misses 3-pt shot from 25 ft,,21-21,,
1:41.0,,,21-21,,Defensive rebound by D. Davis
1:28.0,,,21-21,,B. McLemore misses 2-pt shot from 3 ft (block by D. Waiters)
1:24.0,Defensive rebound by W. Ellington,,21-21,,
1:19.0,Turnover by D. Waiters (bad pass; steal by C. Parsons),,21-21,,
1:15.0,,,21-23,2,C. Parsons makes 2-pt shot at rim (assist by T. Evans)
0:54.0,T. Johnson misses 2-pt shot from 13 ft,,21-23,,
0:52.0,,,21-23,,Defensive rebound by D. Davis
0:35.0,Personal foul by D. Waiters (drawn by T. Evans),,21-23,,
