time,New York,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. K. Porzingis (A. Baynes gains possession),,,,Jump ball: A. Horford vs. K. Porzingis (A. Baynes gains possession)
11:48.0,,,0-0,,Turnover by A. Horford (bad pass; steal by C. Lee)
11:30.0,K. Porzingis misses 3-pt shot from 27 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by J. Brown
11:15.0,,,0-0,,J. Tatum misses 3-pt shot from 23 ft
11:12.0,Defensive rebound by R. Sessions,,0-0,,
11:06.0,R. Sessions makes 2-pt shot from 4 ft,2,2-0,,
10:48.0,,,2-0,,A. Baynes misses 2-pt shot from 13 ft
10:48.0,,,2-0,,Offensive rebound by J. Tatum
10:43.0,,,2-2,2,J. Tatum makes 2-pt shot at rim
10:24.0,T. Hardaway misses 2-pt shot from 19 ft,,2-2,,
10:20.0,,,2-2,,Defensive rebound by A. Horford
10:10.0,,,2-2,,K. Irving misses 2-pt shot from 11 ft
10:08.0,Defensive rebound by E. Kanter,,2-2,,
10:00.0,Turnover by E. Kanter (lost ball; steal by K. Irving),,2-2,,
9:57.0,,,2-4,2,K. Irving makes 2-pt shot at rim
9:41.0,K. Porzingis misses 2-pt shot from 3 ft,,2-4,,
9:41.0,Offensive rebound by E. Kanter,,2-4,,
9:37.0,Jump ball: A. Baynes vs. E. Kanter (K. Irving gains possession),,,,Jump ball: A. Baynes vs. E. Kanter (K. Irving gains possession)
9:37.0,Turnover by E. Kanter (turnover; steal by A. Baynes),,2-4,,
9:33.0,,,2-4,,J. Tatum misses 2-pt shot from 3 ft
9:30.0,Defensive rebound by E. Kanter,,2-4,,
9:21.0,C. Lee makes 2-pt shot from 1 ft (assist by R. Sessions),2,4-4,,
9:12.0,,,4-4,,Offensive foul by J. Tatum (drawn by R. Sessions)
9:12.0,,,4-4,,Turnover by J. Tatum (offensive foul)
8:58.0,E. Kanter misses 2-pt shot from 3 ft (block by J. Brown),,4-4,,
8:54.0,Offensive rebound by E. Kanter,,4-4,,
8:53.0,E. Kanter misses 2-pt shot from 2 ft (block by A. Horford),,4-4,,
8:53.0,,,4-4,,Defensive rebound by A. Horford
8:48.0,,,4-6,2,A. Baynes makes 2-pt shot at rim (assist by A. Horford)
8:32.0,K. Porzingis makes 2-pt shot from 14 ft (assist by R. Sessions),2,6-6,,
8:10.0,,,6-6,,J. Brown misses 3-pt shot from 22 ft
8:07.0,Defensive rebound by E. Kanter,,6-6,,
7:59.0,R. Sessions misses 2-pt shot from 5 ft,,6-6,,
7:52.0,Offensive rebound by E. Kanter,,6-6,,
