time,Indiana,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. M. Turner (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. M. Turner (G. Antetokounmpo gains possession)
11:37.0,Violation by M. Turner (kicked ball),,0-0,,
11:27.0,,,0-0,,K. Middleton misses 2-pt shot from 17 ft
11:23.0,Defensive rebound by T. Young,,0-0,,
11:09.0,M. Turner makes 2-pt shot from 19 ft (assist by V. Oladipo),2,2-0,,
10:58.0,,,2-2,2,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe)
10:41.0,T. Young misses 2-pt shot from 17 ft,,2-2,,
10:39.0,,,2-2,,Defensive rebound by E. Bledsoe
10:27.0,,,2-4,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
10:13.0,B. Bogdanovic misses 2-pt shot from 5 ft,,2-4,,
10:10.0,,,2-4,,Defensive rebound by E. Bledsoe
10:01.0,,,2-4,,E. Bledsoe misses 2-pt shot from 19 ft
9:58.0,Defensive rebound by V. Oladipo,,2-4,,
9:39.0,C. Joseph makes 2-pt shot from 16 ft,2,4-4,,
9:11.0,,,4-4,,E. Bledsoe misses 2-pt shot from 9 ft
9:09.0,,,4-4,,Offensive rebound by G. Antetokounmpo
9:08.0,,,4-6,2,G. Antetokounmpo makes 2-pt shot from 1 ft
8:54.0,Turnover by V. Oladipo (lost ball; steal by E. Bledsoe),,4-6,,
8:46.0,,,4-6,,J. Terry misses 3-pt shot from 22 ft
8:44.0,Defensive rebound by V. Oladipo,,4-6,,
8:42.0,,,4-6,,Personal foul by E. Bledsoe (drawn by V. Oladipo)
8:36.0,Turnover by B. Bogdanovic (bad pass; steal by K. Middleton),,4-6,,
8:21.0,,,4-6,,J. Henson misses 2-pt shot at rim
8:20.0,,,4-6,,Offensive rebound by J. Henson
8:16.0,,,4-6,,J. Henson misses 2-pt shot from 3 ft
8:16.0,Defensive rebound by C. Joseph,,4-6,,
8:12.0,T. Young misses 2-pt shot from 3 ft (block by J. Terry),,4-6,,
8:09.0,,,4-6,,Defensive rebound by E. Bledsoe
7:55.0,,,4-8,2,K. Middleton makes 2-pt shot from 14 ft (assist by E. Bledsoe)
