time,Detroit,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. A. Drummond (D. DeRozan gains possession),,,,Jump ball: J. Valanciunas vs. A. Drummond (D. DeRozan gains possession)
11:40.0,Def 3 sec tech foul by T. Harris,,0-0,,
11:40.0,,,0-1,1,D. DeRozan makes technical free throw
11:38.0,,,0-1,,Shooting foul by A. Bradley (drawn by D. DeRozan)
11:38.0,,,0-2,1,D. DeRozan makes free throw 1 of 2
11:38.0,,,0-2,,D. DeRozan misses free throw 2 of 2
11:36.0,Defensive rebound by A. Drummond,,0-2,,
11:27.0,R. Bullock misses 2-pt shot from 3 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by J. Valanciunas
11:21.0,,,0-2,,Turnover by K. Lowry (lost ball; steal by R. Bullock)
11:11.0,A. Bradley misses 3-pt shot from 26 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by J. Valanciunas
10:57.0,,,0-4,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
10:41.0,Turnover by A. Bradley (turnover),,0-4,,
10:33.0,,,0-4,,J. Valanciunas misses 2-pt shot from 5 ft (block by T. Harris)
10:30.0,Defensive rebound by A. Drummond,,0-4,,
10:27.0,A. Bradley makes 2-pt shot at rim,2,2-4,,
10:17.0,,,2-6,2,D. DeRozan makes 2-pt shot from 4 ft
10:11.0,Detroit full timeout,,2-6,,
10:02.0,,,2-6,,Personal foul by K. Lowry (drawn by T. Harris)
9:52.0,A. Drummond misses 2-pt shot from 8 ft,,2-6,,
9:49.0,,,2-6,,Defensive rebound by D. DeRozan
9:33.0,,,2-6,,Shooting foul by R. Bullock (drawn by K. Lowry)
9:33.0,,,2-7,1,K. Lowry makes free throw 1 of 3
9:33.0,,,2-7,,K. Lowry misses free throw 2 of 3
9:33.0,,,2-7,,Offensive rebound by Team
9:33.0,,,2-8,1,K. Lowry makes free throw 3 of 3
9:25.0,I. Smith misses 2-pt shot from 19 ft,,2-8,,
9:22.0,,,2-8,,Defensive rebound by O. Anunoby
9:06.0,,,2-8,,K. Lowry misses 3-pt shot from 24 ft
9:02.0,,,2-8,,Offensive rebound by J. Valanciunas
9:02.0,,,2-8,,J. Valanciunas misses 2-pt shot from 1 ft (block by T. Harris)
9:02.0,Defensive rebound by Team,,2-8,,
9:02.0,,,2-8,,Loose ball foul by J. Valanciunas (drawn by A. Drummond)
8:43.0,T. Harris misses 3-pt shot from 23 ft,,2-8,,
8:41.0,Offensive rebound by A. Drummond,,2-8,,
8:39.0,A. Drummond makes 2-pt shot at rim,2,4-8,,
8:25.0,,,4-8,,K. Lowry misses 2-pt shot from 3 ft (block by I. Smith)
8:25.0,,,4-8,,Offensive rebound by Team
8:23.0,,,4-10,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
8:08.0,I. Smith misses 2-pt shot from 12 ft,,4-10,,
8:05.0,,,4-10,,Defensive rebound by J. Valanciunas
7:56.0,,,4-10,,K. Lowry misses 2-pt shot from 19 ft
7:56.0,Defensive rebound by Team,,4-10,,
7:41.0,A. Bradley makes 3-pt shot from 26 ft,3,7-10,,
7:18.0,,,7-10,,S. Ibaka misses 2-pt shot from 10 ft
7:17.0,Defensive rebound by I. Smith,,7-10,,
7:10.0,R. Bullock misses 3-pt shot from 26 ft,,7-10,,
7:08.0,,,7-10,,Defensive rebound by S. Ibaka
6:56.0,,,7-10,,S. Ibaka misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by Team,,7-10,,
6:38.0,T. Harris misses 2-pt shot from 2 ft,,7-10,,
6:36.0,,,7-10,,Defensive rebound by J. Valanciunas
6:31.0,,,7-10,,O. Anunoby misses 2-pt shot from 2 ft (block by R. Bullock)
6:25.0,,,7-10,,Offensive rebound by O. Anunoby
6:25.0,,,7-12,2,O. Anunoby makes 2-pt shot at rim
6:17.0,T. Harris misses 2-pt shot from 6 ft,,7-12,,
6:17.0,,,7-12,,Defensive rebound by K. Lowry
6:09.0,,,7-14,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
5:47.0,I. Smith misses 3-pt shot from 23 ft,,7-14,,
5:45.0,,,7-14,,Defensive rebound by O. Anunoby
5:42.0,,,7-14,,Shooting foul by R. Bullock (drawn by K. Lowry)
5:42.0,,,7-15,1,K. Lowry makes free throw 1 of 2
5:42.0,A. Tolliver enters the game for R. Bullock,,7-15,,
5:42.0,,,7-16,1,K. Lowry makes free throw 2 of 2
5:31.0,A. Bradley misses 2-pt shot from 3 ft (block by J. Valanciunas),,7-16,,
5:27.0,,,7-16,,Defensive rebound by S. Ibaka
5:23.0,,,7-16,,K. Lowry misses 3-pt shot from 23 ft
5:18.0,,,7-16,,Offensive rebound by J. Valanciunas
5:16.0,,,7-18,2,J. Valanciunas makes 2-pt shot from 4 ft
