time,Portland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Nurkic (M. Harkless gains possession),,,,Jump ball: M. Gasol vs. J. Nurkic (M. Harkless gains possession)
11:35.0,N. Vonleh misses 2-pt shot from 12 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by C. Parsons
11:23.0,,,0-0,,M. Chalmers misses 2-pt shot from 4 ft (block by J. Nurkic)
11:22.0,Defensive rebound by Team,,0-0,,
11:06.0,Turnover by N. Vonleh (traveling),,0-0,,
10:50.0,,,0-2,2,J. Green makes 2-pt shot from 2 ft (assist by D. Brooks)
10:50.0,,,0-2,,Shooting foul by N. Vonleh (drawn by J. Green)
10:50.0,,,0-3,1,J. Green makes free throw 1 of 1
10:41.0,D. Lillard misses 3-pt shot from 25 ft,,0-3,,
10:38.0,,,0-3,,Defensive rebound by M. Chalmers
10:32.0,,,0-3,,Shooting foul by D. Lillard (drawn by M. Chalmers)
10:32.0,,,0-4,1,M. Chalmers makes free throw 1 of 2
10:32.0,,,0-5,1,M. Chalmers makes free throw 2 of 2
10:21.0,C. McCollum misses 2-pt shot from 16 ft,,0-5,,
10:19.0,,,0-5,,Defensive rebound by M. Chalmers
10:06.0,,,0-5,,Turnover by M. Gasol (traveling)
9:48.0,,,0-5,,Personal foul by M. Gasol (drawn by J. Nurkic)
9:43.0,J. Nurkic misses 2-pt shot from 10 ft,,0-5,,
9:40.0,Offensive rebound by M. Harkless,,0-5,,
9:37.0,Shooting foul by C. Parsons (drawn by J. Nurkic),,0-5,,
9:37.0,J. Nurkic makes free throw 1 of 2,1,1-5,,
9:37.0,J. Nurkic misses free throw 2 of 2,,1-5,,
9:35.0,,,1-5,,Defensive rebound by M. Gasol
9:24.0,,,1-5,,M. Gasol misses 2-pt shot from 12 ft
9:21.0,Defensive rebound by C. McCollum,,1-5,,
9:15.0,D. Lillard misses 2-pt shot from 12 ft,,1-5,,
9:13.0,,,1-5,,Defensive rebound by J. Green
8:59.0,,,1-5,,C. Parsons misses 3-pt shot from 25 ft
8:56.0,Defensive rebound by D. Lillard,,1-5,,
8:53.0,Offensive charge foul by M. Harkless (drawn by C. Parsons),,1-5,,
8:53.0,Turnover by M. Harkless (offensive foul),,1-5,,
8:35.0,,,1-5,,M. Gasol misses 2-pt shot from 20 ft
8:32.0,Defensive rebound by C. McCollum,,1-5,,
8:26.0,C. McCollum makes 2-pt shot from 16 ft,2,3-5,,
8:10.0,,,3-5,,M. Chalmers misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by N. Vonleh,,3-5,,
8:00.0,D. Lillard misses 2-pt shot from 1 ft,,3-5,,
7:57.0,,,3-5,,Defensive rebound by J. Green
7:55.0,,,3-7,2,D. Brooks makes 2-pt shot from 1 ft (assist by M. Chalmers)
7:43.0,J. Nurkic misses 2-pt shot from 14 ft,,3-7,,
7:42.0,,,3-7,,Defensive rebound by M. Chalmers
7:34.0,,,3-9,2,M. Gasol makes 2-pt shot from 21 ft (assist by M. Chalmers)
7:16.0,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard),3,6-9,,
7:01.0,,,6-9,,M. Gasol misses 2-pt shot from 10 ft
6:58.0,Defensive rebound by N. Vonleh,,6-9,,
6:54.0,,,6-9,,Personal foul by M. Chalmers (drawn by D. Lillard)
6:54.0,,,6-9,,Memphis full timeout
6:43.0,Offensive foul by J. Nurkic (drawn by D. Brooks),,6-9,,
6:43.0,Turnover by J. Nurkic (offensive foul),,6-9,,
6:30.0,,,6-12,3,M. Gasol makes 3-pt shot from 25 ft (assist by C. Parsons)
6:14.0,D. Lillard makes 2-pt shot from 1 ft,2,8-12,,
5:44.0,,,8-14,2,M. Gasol makes 2-pt shot from 11 ft
5:26.0,J. Nurkic misses 2-pt shot from 6 ft,,8-14,,
5:23.0,Offensive rebound by N. Vonleh,,8-14,,
5:23.0,N. Vonleh misses 2-pt shot at rim,,8-14,,
5:23.0,Offensive rebound by N. Vonleh,,8-14,,
5:19.0,C. McCollum misses 2-pt shot from 16 ft (block by D. Brooks),,8-14,,
5:18.0,Offensive rebound by J. Nurkic,,8-14,,
5:17.0,Turnover by Team (shot clock),,8-14,,
5:17.0,P. Connaughton enters the game for M. Harkless,,8-14,,
5:17.0,E. Turner enters the game for C. McCollum,,8-14,,
5:06.0,,,8-17,3,C. Parsons makes 3-pt shot from 25 ft (assist by D. Brooks)
5:04.0,Portland full timeout,,8-17,,
5:04.0,,,8-17,,J. Ennis enters the game for D. Brooks
5:04.0,,,8-17,,T. Evans enters the game for C. Parsons
5:04.0,M. Leonard enters the game for J. Nurkic,,8-17,,
4:42.0,P. Connaughton misses 2-pt shot from 11 ft,,8-17,,
4:38.0,Offensive rebound by M. Leonard,,8-17,,
4:38.0,M. Leonard makes 2-pt shot at rim,2,10-17,,
4:20.0,,,10-19,2,T. Evans makes 2-pt shot from 20 ft (assist by M. Gasol)
4:10.0,D. Lillard makes 2-pt shot from 1 ft,2,12-19,,
3:58.0,,,12-19,,M. Chalmers misses 2-pt shot from 11 ft
3:55.0,Defensive rebound by N. Vonleh,,12-19,,
3:43.0,M. Leonard makes 2-pt shot from 10 ft (assist by P. Connaughton),2,14-19,,
3:42.0,,,14-19,,Memphis full timeout
3:42.0,E. Davis enters the game for N. Vonleh,,14-19,,
3:30.0,,,14-19,,M. Gasol misses 2-pt shot from 4 ft
3:26.0,Defensive rebound by E. Davis,,14-19,,
3:24.0,,,14-19,,Personal foul by J. Ennis (drawn by D. Lillard)
3:24.0,,,14-19,,J. Martin enters the game for J. Green
3:14.0,Turnover by P. Connaughton (bad pass),,14-19,,
2:58.0,,,14-19,,J. Ennis misses 3-pt shot from 24 ft (block by P. Connaughton)
2:53.0,Defensive rebound by M. Leonard,,14-19,,
2:43.0,Turnover by D. Lillard (lost ball; steal by M. Chalmers),,14-19,,
2:38.0,,,14-19,,Shooting foul by P. Connaughton (drawn by M. Chalmers)
2:38.0,,,14-20,1,M. Chalmers makes free throw 1 of 2
2:38.0,C. McCollum enters the game for D. Lillard,,14-20,,
2:38.0,,,14-21,1,M. Chalmers makes free throw 2 of 2
