time,Atlanta,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Plumlee,,,,Jump ball: M. Gasol vs. M. Plumlee
11:41.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Schroder),3,3-0,,
11:20.0,,,3-2,2,D. Brooks makes 2-pt shot from 22 ft (assist by M. Gasol)
10:57.0,K. Bazemore makes 2-pt shot from 19 ft (assist by E. Ilyasova),2,5-2,,
10:40.0,,,5-2,,Turnover by M. Gasol (bad pass; steal by D. Schroder)
10:37.0,Turnover by T. Waller-Prince (bad pass),,5-2,,
10:24.0,,,5-4,2,T. Evans makes 2-pt shot from 19 ft (assist by A. Harrison)
10:08.0,T. Waller-Prince misses 2-pt shot from 11 ft,,5-4,,
10:08.0,,,5-4,,Defensive rebound by J. Green
9:57.0,,,5-4,,T. Evans misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by E. Ilyasova,,5-4,,
9:48.0,D. Schroder misses 3-pt shot from 25 ft,,5-4,,
9:45.0,,,5-4,,Defensive rebound by Team
9:45.0,Loose ball foul by M. Plumlee (drawn by M. Gasol),,5-4,,
9:35.0,,,5-4,,D. Brooks misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by D. Schroder,,5-4,,
9:24.0,Turnover by E. Ilyasova (bad pass),,5-4,,
9:12.0,,,5-6,2,J. Green makes 2-pt shot at rim (assist by T. Evans)
8:53.0,K. Bazemore misses 3-pt shot from 25 ft,,5-6,,
8:51.0,,,5-6,,Defensive rebound by T. Evans
8:41.0,,,5-6,,J. Green misses 3-pt shot from 23 ft
8:37.0,Defensive rebound by T. Waller-Prince,,5-6,,
8:34.0,,,5-6,,Personal foul by J. Green (drawn by D. Schroder)
8:21.0,Shooting foul by T. Evans (drawn by D. Schroder),,5-6,,
8:21.0,D. Schroder makes free throw 1 of 2,1,6-6,,
8:21.0,D. Schroder makes free throw 2 of 2,1,7-6,,
7:59.0,,,7-6,,M. Gasol misses 2-pt shot from 11 ft
7:53.0,Defensive rebound by E. Ilyasova,,7-6,,
7:42.0,M. Plumlee misses 2-pt shot at rim (block by M. Gasol),,7-6,,
7:37.0,,,7-6,,Defensive rebound by M. Gasol
7:33.0,,,7-6,,Turnover by A. Harrison (lost ball; steal by E. Ilyasova)
7:28.0,T. Waller-Prince misses 2-pt shot from 9 ft,,7-6,,
7:26.0,,,7-6,,Defensive rebound by J. Green
7:24.0,,,7-6,,Turnover by J. Green (bad pass; steal by K. Bazemore)
7:21.0,K. Bazemore misses 2-pt shot from 1 ft,,7-6,,
7:21.0,Offensive rebound by E. Ilyasova,,7-6,,
7:21.0,E. Ilyasova makes 2-pt shot at rim,2,9-6,,
7:21.0,,,9-6,,Memphis full timeout
7:21.0,,,9-6,,M. Chalmers enters the game for T. Evans
7:21.0,J. Collins enters the game for M. Plumlee,,9-6,,
7:08.0,Personal foul by E. Ilyasova (drawn by M. Gasol),,9-6,,
6:59.0,,,9-6,,Turnover by M. Gasol (turnover)
6:50.0,E. Ilyasova misses 3-pt shot from 25 ft,,9-6,,
6:47.0,,,9-6,,Defensive rebound by D. Brooks
6:41.0,,,9-6,,D. Brooks misses 2-pt shot from 1 ft (block by J. Collins)
6:38.0,Defensive rebound by E. Ilyasova,,9-6,,
6:29.0,E. Ilyasova misses 3-pt shot from 24 ft,,9-6,,
6:26.0,,,9-6,,Defensive rebound by M. Gasol
6:15.0,,,9-6,,M. Gasol misses 2-pt shot from 20 ft
6:15.0,,,9-6,,Offensive rebound by A. Harrison
6:08.0,Personal foul by K. Bazemore (drawn by M. Gasol),,9-6,,
6:08.0,,,9-6,,C. Parsons enters the game for D. Brooks
5:55.0,,,9-6,,Turnover by A. Harrison (bad pass; steal by D. Schroder)
5:51.0,K. Bazemore makes 3-pt shot from 26 ft (assist by D. Schroder),3,12-6,,
5:29.0,,,12-9,3,M. Chalmers makes 3-pt shot from 26 ft (assist by C. Parsons)
5:13.0,K. Bazemore makes 2-pt shot from 21 ft (assist by D. Schroder),2,14-9,,
4:54.0,,,14-9,,A. Harrison misses 2-pt shot from 2 ft
