time,Portland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Nurkic (M. Harkless gains possession),,,,Jump ball: A. Davis vs. J. Nurkic (M. Harkless gains possession)
11:49.0,,,0-0,,Personal foul by R. Rondo (drawn by M. Harkless)
11:39.0,Turnover by A. Aminu (step out of bounds),,0-0,,
11:23.0,,,0-3,3,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Holiday)
11:08.0,D. Lillard makes 3-pt shot from 24 ft (assist by J. Nurkic),3,3-3,,
10:57.0,,,3-3,,N. Mirotic misses 2-pt shot from 18 ft
10:53.0,Defensive rebound by D. Lillard,,3-3,,
10:46.0,M. Harkless misses 3-pt shot from 25 ft,,3-3,,
10:44.0,,,3-3,,Defensive rebound by A. Davis
10:33.0,,,3-5,2,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo)
10:20.0,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum),3,6-5,,
9:58.0,,,6-5,,Turnover by R. Rondo (bad pass; steal by A. Aminu)
9:49.0,Turnover by D. Lillard (bad pass; steal by A. Davis),,6-5,,
9:45.0,Personal foul by C. McCollum (drawn by E. Moore),,6-5,,
9:42.0,,,6-5,,A. Davis misses 2-pt shot from 1 ft
9:39.0,,,6-5,,Offensive rebound by N. Mirotic
9:32.0,,,6-7,2,R. Rondo makes 2-pt shot from 1 ft
9:17.0,A. Aminu makes 3-pt shot from 25 ft (assist by M. Harkless),3,9-7,,
8:59.0,,,9-10,3,N. Mirotic makes 3-pt shot from 25 ft (assist by E. Moore)
8:46.0,Turnover by C. McCollum (lost ball; steal by N. Mirotic),,9-10,,
8:36.0,,,9-12,2,R. Rondo makes 2-pt shot from 1 ft
8:17.0,J. Nurkic makes 2-pt shot at rim,2,11-12,,
8:00.0,,,11-12,,E. Moore misses 3-pt shot from 22 ft
7:57.0,Defensive rebound by A. Aminu,,11-12,,
7:47.0,J. Nurkic misses 2-pt shot from 20 ft,,11-12,,
7:43.0,,,11-12,,Defensive rebound by N. Mirotic
7:37.0,,,11-14,2,J. Holiday makes 2-pt shot from 1 ft (assist by N. Mirotic)
7:37.0,Portland full timeout,,11-14,,
7:24.0,D. Lillard makes 3-pt shot from 26 ft (assist by M. Harkless),3,14-14,,
7:14.0,Personal foul by J. Nurkic (drawn by A. Davis),,14-14,,
7:08.0,,,14-16,2,A. Davis makes 2-pt shot from 3 ft (assist by R. Rondo)
6:52.0,A. Aminu misses 3-pt shot from 25 ft,,14-16,,
6:48.0,Offensive rebound by M. Harkless,,14-16,,
6:47.0,M. Harkless makes 2-pt shot from 1 ft,2,16-16,,
6:29.0,,,16-18,2,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo)
6:02.0,J. Nurkic misses 2-pt shot from 4 ft (block by A. Davis),,16-18,,
5:59.0,,,16-18,,Defensive rebound by A. Davis
5:53.0,,,16-21,3,J. Holiday makes 3-pt shot from 23 ft (assist by R. Rondo)
5:32.0,J. Nurkic misses 2-pt shot from 16 ft,,16-21,,
5:30.0,Offensive rebound by A. Aminu,,16-21,,
5:28.0,A. Aminu misses 2-pt shot from 5 ft,,16-21,,
5:26.0,,,16-21,,Defensive rebound by R. Rondo
5:19.0,,,16-21,,J. Holiday misses 2-pt shot from 4 ft
5:18.0,Defensive rebound by J. Nurkic,,16-21,,
5:18.0,,,16-21,,Personal foul by N. Mirotic (drawn by D. Lillard)
5:18.0,Z. Collins enters the game for J. Nurkic,,16-21,,
5:03.0,C. McCollum misses 3-pt shot from 24 ft,,16-21,,
5:01.0,,,16-21,,Defensive rebound by E. Moore
4:57.0,,,16-23,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
4:39.0,C. McCollum misses 3-pt shot from 28 ft,,16-23,,
4:36.0,Offensive rebound by A. Aminu,,16-23,,
4:30.0,A. Aminu makes 2-pt shot from 3 ft,2,18-23,,
4:18.0,Personal foul by M. Harkless (drawn by A. Davis),,18-23,,
4:18.0,,,18-23,,I. Clark enters the game for R. Rondo
4:18.0,,,18-23,,D. Miller enters the game for E. Moore
4:11.0,,,18-23,,Shooting foul by Z. Collins (drawn by A. Davis)
4:11.0,,,18-24,1,A. Davis makes free throw 1 of 2
4:11.0,P. Connaughton enters the game for C. McCollum,,18-24,,
4:11.0,,,18-25,1,A. Davis makes free throw 2 of 2
3:58.0,A. Aminu misses 3-pt shot from 26 ft,,18-25,,
3:53.0,,,18-25,,Defensive rebound by D. Miller
3:39.0,,,18-25,,A. Davis misses 2-pt shot from 15 ft
3:35.0,Defensive rebound by D. Lillard,,18-25,,
3:26.0,Turnover by D. Lillard (bad pass; steal by A. Davis),,18-25,,
3:19.0,,,18-25,,J. Holiday misses 2-pt shot from 16 ft
3:16.0,Defensive rebound by A. Aminu,,18-25,,
3:07.0,Z. Collins misses 3-pt shot from 25 ft,,18-25,,
3:02.0,Offensive rebound by P. Connaughton,,18-25,,
3:01.0,D. Lillard misses 3-pt shot from 29 ft,,18-25,,
2:59.0,,,18-25,,Defensive rebound by A. Davis
2:45.0,,,18-27,2,N. Mirotic makes 2-pt shot from 16 ft
2:18.0,M. Harkless misses 3-pt shot from 27 ft,,18-27,,
2:15.0,,,18-27,,Defensive rebound by N. Mirotic
2:11.0,Personal foul by Z. Collins (drawn by N. Mirotic),,18-27,,
2:11.0,,,18-27,,New Orleans full timeout
2:11.0,,,18-27,,S. Hill enters the game for A. Davis
2:11.0,J. Nurkic enters the game for A. Aminu,,18-27,,
2:11.0,,,18-28,1,N. Mirotic makes free throw 1 of 2
2:11.0,,,18-29,1,N. Mirotic makes free throw 2 of 2
1:59.0,D. Lillard misses 3-pt shot from 27 ft,,18-29,,
1:57.0,,,18-29,,Defensive rebound by N. Mirotic
1:45.0,,,18-29,,D. Miller misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by D. Lillard,,18-29,,
1:36.0,D. Lillard misses 2-pt shot from 14 ft,,18-29,,
1:36.0,Offensive rebound by Team,,18-29,,
1:36.0,,,18-29,,Loose ball foul by D. Miller (drawn by J. Nurkic)
1:30.0,Offensive foul by J. Nurkic (drawn by J. Holiday),,18-29,,
