time,Washington,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Gortat (M. Morris gains possession),,,,Jump ball: C. Capela vs. M. Gortat (M. Morris gains possession)
11:46.0,Turnover by B. Beal (bad pass; steal by L. Mbah a Moute),,0-0,,
11:39.0,,,0-2,2,C. Capela makes 2-pt shot at rim (assist by P. Tucker)
11:26.0,J. Wall makes 2-pt shot from 18 ft,2,2-2,,
11:03.0,,,2-4,2,J. Harden makes 2-pt shot from 2 ft
10:42.0,B. Beal misses 2-pt shot from 16 ft,,2-4,,
10:40.0,,,2-4,,Defensive rebound by P. Tucker
10:34.0,,,2-6,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
10:17.0,J. Wall misses 2-pt shot from 2 ft (block by C. Capela),,2-6,,
10:14.0,,,2-6,,Defensive rebound by J. Harden
10:11.0,,,2-8,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Harden)
10:10.0,Washington full timeout,,2-8,,
9:56.0,O. Porter makes 3-pt shot from 24 ft (assist by M. Morris),3,5-8,,
9:38.0,,,5-8,,C. Capela misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by M. Morris,,5-8,,
9:29.0,M. Morris misses 2-pt shot from 9 ft,,5-8,,
9:27.0,,,5-8,,Defensive rebound by C. Capela
9:13.0,,,5-8,,C. Paul misses 2-pt shot from 17 ft
9:11.0,Defensive rebound by J. Wall,,5-8,,
9:03.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,8-8,,
8:38.0,,,8-8,,J. Harden misses 2-pt shot from 16 ft
8:36.0,Defensive rebound by O. Porter,,8-8,,
8:28.0,B. Beal misses 2-pt shot from 21 ft,,8-8,,
8:24.0,,,8-8,,Defensive rebound by J. Harden
8:23.0,Personal take foul by M. Morris (drawn by J. Harden),,8-8,,
8:15.0,,,8-11,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by C. Paul)
7:59.0,O. Porter misses 3-pt shot from 24 ft,,8-11,,
7:56.0,,,8-11,,Defensive rebound by C. Paul
7:38.0,,,8-13,2,L. Mbah a Moute makes 2-pt shot from 7 ft (assist by C. Paul)
7:23.0,M. Gortat makes 2-pt shot from 9 ft (assist by M. Morris),2,10-13,,
7:13.0,,,10-15,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:48.0,Shooting foul by L. Mbah a Moute (drawn by J. Wall),,10-15,,
6:48.0,J. Wall makes free throw 1 of 2,1,11-15,,
6:48.0,,,11-15,,E. Gordon enters the game for C. Paul
6:48.0,J. Wall makes free throw 2 of 2,1,12-15,,
6:38.0,,,12-15,,E. Gordon misses 2-pt shot from 1 ft
6:36.0,,,12-15,,Offensive rebound by P. Tucker
6:28.0,,,12-17,2,J. Harden makes 2-pt shot at rim
6:20.0,O. Porter misses 2-pt shot from 1 ft,,12-17,,
6:18.0,,,12-17,,Defensive rebound by C. Capela
6:12.0,,,12-17,,J. Harden misses 2-pt shot from 1 ft
6:09.0,Defensive rebound by B. Beal,,12-17,,
6:05.0,O. Porter makes 3-pt shot from 25 ft (assist by M. Morris),3,15-17,,
5:47.0,,,15-19,2,C. Capela makes 2-pt shot from 1 ft (assist by E. Gordon)
5:35.0,Turnover by J. Wall (bad pass; steal by C. Capela),,15-19,,
5:26.0,,,15-19,,Turnover by J. Harden (bad pass; steal by M. Gortat)
5:24.0,Turnover by O. Porter (bad pass; steal by E. Gordon),,15-19,,
5:21.0,,,15-19,,P. Tucker misses 3-pt shot from 23 ft
5:21.0,,,15-19,,Offensive rebound by Team
5:21.0,,,15-19,,N. Hilario enters the game for C. Capela
5:14.0,,,15-19,,Shooting foul by J. Wall (drawn by J. Harden)
5:14.0,,,15-20,1,J. Harden makes free throw 1 of 3
5:14.0,,,15-21,1,J. Harden makes free throw 2 of 3
5:14.0,,,15-22,1,J. Harden makes free throw 3 of 3
5:03.0,,,15-22,,Def 3 sec tech foul by P. Tucker
5:03.0,B. Beal makes technical free throw,1,16-22,,
5:03.0,,,16-22,,R. Anderson enters the game for P. Tucker
4:50.0,B. Beal makes 2-pt shot from 15 ft,2,18-22,,
4:42.0,,,18-22,,Shooting foul by B. Beal (drawn by N. Hilario)
4:42.0,,,18-22,,N. Hilario misses free throw 1 of 2
4:42.0,,,18-22,,Offensive rebound by Team
4:42.0,,,18-22,,G. Green enters the game for L. Mbah a Moute
4:42.0,K. Oubre enters the game for O. Porter,,18-22,,
4:42.0,,,18-23,1,N. Hilario makes free throw 2 of 2
4:29.0,Turnover by M. Gortat (traveling),,18-23,,
4:25.0,,,18-23,,Turnover by E. Gordon (out of bounds lost ball)
4:25.0,M. Scott enters the game for M. Gortat,,18-23,,
4:11.0,M. Morris makes 2-pt shot from 15 ft (assist by J. Wall),2,20-23,,
3:51.0,,,20-25,2,N. Hilario makes 2-pt shot from 1 ft (assist by G. Green)
3:34.0,Shooting foul by R. Anderson (drawn by M. Morris),,20-25,,
3:34.0,M. Morris makes free throw 1 of 2,1,21-25,,
3:34.0,M. Morris makes free throw 2 of 2,1,22-25,,
3:19.0,,,22-28,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
2:59.0,J. Wall misses 3-pt shot from 25 ft,,22-28,,
2:57.0,,,22-28,,Defensive rebound by E. Gordon
2:44.0,,,22-28,,E. Gordon misses 2-pt shot from 13 ft (block by B. Beal)
2:40.0,,,22-28,,Offensive rebound by E. Gordon
2:35.0,,,22-31,3,J. Harden makes 3-pt shot from 26 ft
2:27.0,K. Oubre misses 3-pt shot from 22 ft,,22-31,,
2:24.0,,,22-31,,Defensive rebound by R. Anderson
2:10.0,,,22-31,,J. Harden misses 2-pt shot from 1 ft
2:08.0,Defensive rebound by K. Oubre,,22-31,,
2:03.0,Turnover by J. Wall (bad pass),,22-31,,
2:03.0,,,22-31,,Houston full timeout
2:03.0,,,22-31,,C. Paul enters the game for J. Harden
2:03.0,T. Satoransky enters the game for J. Wall,,22-31,,
1:51.0,,,22-31,,Shooting foul by B. Beal (drawn by E. Gordon)
1:51.0,,,22-31,,E. Gordon misses free throw 1 of 2
1:51.0,,,22-31,,Offensive rebound by Team
1:51.0,J. Meeks enters the game for B. Beal,,22-31,,
1:51.0,,,22-32,1,E. Gordon makes free throw 2 of 2
1:29.0,K. Oubre misses 3-pt shot from 25 ft,,22-32,,
1:26.0,,,22-32,,Defensive rebound by N. Hilario
1:06.0,,,22-32,,C. Paul misses 3-pt shot from 25 ft
1:04.0,,,22-32,,Offensive rebound by N. Hilario
1:04.0,,,22-32,,Shooting foul by M. Scott (drawn by N. Hilario)
1:04.0,,,22-32,,N. Hilario misses free throw 1 of 2
1:04.0,,,22-32,,Offensive rebound by Team
1:04.0,I. Mahinmi enters the game for M. Morris,,22-32,,
1:04.0,,,22-32,,N. Hilario misses free throw 2 of 2
1:04.0,Defensive rebound by I. Mahinmi,,22-32,,
0:50.0,Turnover by M. Scott (lost ball; steal by N. Hilario),,22-32,,
0:43.0,,,22-35,3,G. Green makes 3-pt shot from 25 ft (assist by C. Paul)
0:32.0,J. Meeks makes 2-pt shot from 17 ft (assist by T. Satoransky),2,24-35,,
0:26.0,,,24-35,,C. Paul misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by J. Meeks,,24-35,,
0:04.0,J. Meeks misses 2-pt shot from 7 ft,,24-35,,
0:01.0,,,24-35,,Defensive rebound by R. Anderson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,24-35,,R. Anderson misses 3-pt shot from 23 ft
11:48.0,Defensive rebound by T. Satoransky,,24-35,,
11:38.0,Shooting foul by R. Anderson (drawn by K. Oubre),,24-35,,
11:38.0,K. Oubre makes free throw 1 of 2,1,25-35,,
11:38.0,,,25-35,,P. Tucker enters the game for R. Anderson
11:38.0,K. Oubre makes free throw 2 of 2,1,26-35,,
11:17.0,,,26-35,,Shooting foul by K. Oubre (drawn by C. Capela)
11:17.0,,,26-35,,C. Capela misses free throw 1 of 2
11:17.0,,,26-35,,Offensive rebound by Team
11:17.0,,,26-36,1,C. Capela makes free throw 2 of 2
11:01.0,M. Scott makes 2-pt shot from 1 ft (assist by T. Satoransky),2,28-36,,
10:48.0,,,28-36,,G. Green misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by J. Meeks,,28-36,,
10:30.0,M. Scott misses 2-pt shot from 17 ft,,28-36,,
10:26.0,,,28-36,,Defensive rebound by G. Green
10:19.0,,,28-36,,C. Paul misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by J. Meeks,,28-36,,
10:05.0,K. Oubre misses 2-pt shot from 10 ft,,28-36,,
10:03.0,,,28-36,,Defensive rebound by C. Capela
9:46.0,,,28-39,3,G. Green makes 3-pt shot from 25 ft
9:24.0,K. Oubre misses 3-pt shot from 23 ft,,28-39,,
9:21.0,,,28-39,,Defensive rebound by C. Capela
9:17.0,,,28-39,,E. Gordon misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by M. Scott,,28-39,,
9:04.0,Turnover by I. Mahinmi (bad pass; steal by P. Tucker),,28-39,,
9:01.0,,,28-39,,E. Gordon misses 3-pt shot from 26 ft
8:59.0,Defensive rebound by I. Mahinmi,,28-39,,
8:38.0,Turnover by T. Satoransky (bad pass; steal by G. Green),,28-39,,
8:36.0,,,28-39,,Shooting foul by T. Satoransky (drawn by G. Green)
8:36.0,,,28-40,1,G. Green makes free throw 1 of 2
8:36.0,O. Porter enters the game for J. Meeks,,28-40,,
8:36.0,J. Wall enters the game for I. Mahinmi,,28-40,,
8:36.0,,,28-41,1,G. Green makes free throw 2 of 2
8:22.0,M. Scott makes 2-pt shot from 14 ft (assist by J. Wall),2,30-41,,
8:08.0,,,30-41,,G. Green misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by T. Satoransky,,30-41,,
7:55.0,M. Scott makes 3-pt shot from 23 ft (assist by J. Wall),3,33-41,,
7:36.0,,,33-44,3,P. Tucker makes 3-pt shot from 22 ft (assist by E. Gordon)
7:22.0,,,33-44,,L. Mbah a Moute enters the game for G. Green
7:13.0,T. Satoransky misses 2-pt shot from 16 ft,,33-44,,
7:11.0,,,33-44,,Defensive rebound by C. Capela
7:08.0,,,33-44,,Shooting foul by O. Porter (drawn by C. Capela)
7:08.0,,,33-44,,Houston full timeout
7:08.0,,,33-44,,J. Harden enters the game for C. Paul
7:08.0,B. Beal enters the game for M. Scott,,33-44,,
7:08.0,M. Morris enters the game for T. Satoransky,,33-44,,
7:08.0,,,33-45,1,C. Capela makes free throw 1 of 2
7:08.0,,,33-45,,C. Capela misses free throw 2 of 2
7:08.0,Defensive rebound by M. Morris,,33-45,,
6:52.0,B. Beal misses 3-pt shot from 24 ft,,33-45,,
6:49.0,,,33-45,,Defensive rebound by J. Harden
6:45.0,,,33-45,,E. Gordon misses 3-pt shot from 25 ft
6:43.0,,,33-45,,Offensive rebound by C. Capela
6:27.0,,,33-45,,Turnover by J. Harden (bad pass; steal by J. Wall)
6:22.0,K. Oubre misses 2-pt shot from 1 ft (block by J. Harden),,33-45,,
6:18.0,,,33-45,,Defensive rebound by J. Harden
6:17.0,,,33-48,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
5:56.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,36-48,,
5:47.0,,,36-50,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Harden)
5:30.0,J. Wall misses 2-pt shot from 16 ft,,36-50,,
5:27.0,,,36-50,,Defensive rebound by C. Capela
5:17.0,,,36-52,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
5:17.0,Washington full timeout,,36-52,,
5:17.0,,,36-52,,C. Paul enters the game for E. Gordon
5:05.0,M. Morris makes 2-pt shot from 8 ft (assist by B. Beal),2,38-52,,
4:38.0,,,38-54,2,J. Harden makes 2-pt shot from 15 ft
4:29.0,Turnover by J. Wall (bad pass; steal by L. Mbah a Moute),,38-54,,
4:28.0,Personal foul by O. Porter (drawn by L. Mbah a Moute),,38-54,,
4:11.0,,,38-56,2,J. Harden makes 2-pt shot from 3 ft
4:11.0,,,38-56,,Shooting foul by J. Wall (drawn by J. Harden)
4:11.0,,,38-56,,J. Harden misses free throw 1 of 1
4:11.0,Defensive rebound by O. Porter,,38-56,,
3:57.0,B. Beal makes 2-pt shot from 13 ft (assist by J. Wall),2,40-56,,
3:35.0,,,40-56,,Shooting foul by M. Morris (drawn by J. Harden)
3:35.0,,,40-57,1,J. Harden makes free throw 1 of 3
3:35.0,,,40-58,1,J. Harden makes free throw 2 of 3
3:35.0,,,40-58,,E. Gordon enters the game for C. Capela
3:35.0,,,40-59,1,J. Harden makes free throw 3 of 3
3:25.0,,,40-59,,Personal foul by C. Paul (drawn by B. Beal)
3:15.0,M. Morris misses 2-pt shot from 3 ft,,40-59,,
3:13.0,,,40-59,,Defensive rebound by P. Tucker
2:54.0,,,40-62,3,J. Harden makes 3-pt shot from 25 ft
2:35.0,O. Porter makes 2-pt shot from 16 ft,2,42-62,,
2:35.0,Shooting foul by E. Gordon (drawn by O. Porter),,42-62,,
2:35.0,O. Porter makes free throw 1 of 1,1,43-62,,
2:10.0,,,43-65,3,C. Paul makes 3-pt shot from 26 ft
1:57.0,,,43-65,,Personal foul by P. Tucker (drawn by M. Morris)
1:48.0,M. Morris makes 3-pt shot from 23 ft (assist by B. Beal),3,46-65,,
1:33.0,,,46-67,2,J. Harden makes 2-pt shot from 1 ft
1:17.0,Turnover by J. Wall (bad pass; steal by L. Mbah a Moute),,46-67,,
1:12.0,,,46-67,,Turnover by L. Mbah a Moute (bad pass; steal by B. Beal)
