time,Brooklyn,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Zeller (C. Anthony gains possession),,,,Jump ball: S. Adams vs. T. Zeller (C. Anthony gains possession)
11:47.0,,,0-0,,S. Adams misses 2-pt shot from 5 ft
11:44.0,Defensive rebound by A. Crabbe,,0-0,,
11:22.0,A. Crabbe misses 3-pt shot from 24 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by C. Anthony
11:16.0,,,0-0,,S. Adams misses 2-pt shot from 1 ft (block by T. Zeller)
11:12.0,,,0-0,,Offensive rebound by S. Adams
11:08.0,,,0-2,2,P. George makes 2-pt shot from 10 ft
10:48.0,D. Carroll misses 2-pt shot from 12 ft,,0-2,,
10:44.0,,,0-2,,Defensive rebound by P. George
10:42.0,,,0-2,,Shooting foul by S. Dinwiddie (drawn by R. Westbrook)
10:42.0,,,0-3,1,R. Westbrook makes free throw 1 of 2
10:42.0,,,0-4,1,R. Westbrook makes free throw 2 of 2
10:33.0,A. Crabbe makes 2-pt shot from 1 ft,2,2-4,,
10:21.0,,,2-4,,P. George misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by T. Zeller,,2-4,,
10:03.0,S. Dinwiddie makes 3-pt shot from 22 ft (assist by D. Carroll),3,5-4,,
9:53.0,Personal foul by A. Crabbe (drawn by P. George),,5-4,,
9:47.0,,,5-6,2,P. George makes 2-pt shot from 12 ft (assist by R. Westbrook)
9:37.0,,,5-6,,Personal foul by R. Westbrook (drawn by R. Hollis-Jefferson)
9:32.0,D. Carroll misses 3-pt shot from 24 ft,,5-6,,
9:29.0,,,5-6,,Defensive rebound by A. Roberson
9:24.0,,,5-8,2,R. Westbrook makes 2-pt shot from 19 ft
9:02.0,T. Zeller makes 2-pt shot from 7 ft (assist by A. Crabbe),2,7-8,,
8:52.0,,,7-8,,R. Westbrook misses 2-pt shot from 19 ft
8:48.0,,,7-8,,Offensive rebound by S. Adams
8:46.0,,,7-8,,S. Adams misses 2-pt shot from 1 ft
8:46.0,,,7-8,,Offensive rebound by S. Adams
8:44.0,,,7-8,,S. Adams misses 2-pt shot at rim
8:44.0,,,7-8,,Offensive rebound by Team
8:42.0,,,7-8,,S. Adams misses 2-pt shot from 9 ft
8:42.0,Defensive rebound by R. Hollis-Jefferson,,7-8,,
8:35.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft,,7-8,,
8:35.0,,,7-8,,Defensive rebound by S. Adams
8:26.0,,,7-8,,C. Anthony misses 2-pt shot from 17 ft
8:26.0,Defensive rebound by A. Crabbe,,7-8,,
8:01.0,S. Dinwiddie misses 3-pt shot from 24 ft,,7-8,,
8:01.0,Offensive rebound by Team,,7-8,,
8:00.0,Turnover by Team (shot clock),,7-8,,
7:52.0,,,7-8,,P. George misses 2-pt shot from 9 ft
7:46.0,Defensive rebound by R. Hollis-Jefferson,,7-8,,
7:45.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,9-8,,
7:33.0,,,9-8,,Shooting foul by T. Zeller (drawn by S. Adams)
7:33.0,,,9-8,,S. Adams misses free throw 1 of 2
7:33.0,,,9-8,,Offensive rebound by Team
7:33.0,,,9-8,,S. Adams misses free throw 2 of 2
7:30.0,Defensive rebound by R. Hollis-Jefferson,,9-8,,
7:20.0,A. Crabbe misses 3-pt shot from 24 ft (block by A. Roberson),,9-8,,
7:17.0,,,9-8,,Defensive rebound by A. Roberson
7:14.0,,,9-10,2,A. Roberson makes 2-pt shot from 1 ft (assist by P. George)
6:46.0,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,12-10,,
6:36.0,,,12-10,,R. Westbrook misses 2-pt shot from 11 ft
6:33.0,Defensive rebound by R. Hollis-Jefferson,,12-10,,
6:28.0,A. Crabbe misses 3-pt shot from 26 ft,,12-10,,
6:28.0,,,12-10,,Defensive rebound by R. Westbrook
6:19.0,,,12-12,2,R. Westbrook makes 2-pt shot from 14 ft
6:19.0,Brooklyn full timeout,,12-12,,
5:57.0,T. Zeller makes 2-pt shot from 5 ft (assist by S. Dinwiddie),2,14-12,,
5:29.0,,,14-14,2,C. Anthony makes 2-pt shot from 7 ft
5:11.0,D. Carroll misses 2-pt shot from 5 ft,,14-14,,
5:10.0,,,14-14,,Defensive rebound by C. Anthony
4:53.0,,,14-14,,Turnover by R. Westbrook (bad pass; steal by A. Crabbe)
4:47.0,T. Zeller misses 2-pt shot from 1 ft,,14-14,,
4:46.0,,,14-14,,Defensive rebound by S. Adams
4:40.0,,,14-14,,P. George misses 3-pt shot from 26 ft
4:37.0,Defensive rebound by T. Zeller,,14-14,,
4:21.0,A. Crabbe makes 3-pt shot from 22 ft (assist by T. Zeller),3,17-14,,
4:04.0,,,17-16,2,P. George makes 2-pt shot from 22 ft
3:40.0,A. Crabbe misses 2-pt shot at rim,,17-16,,
3:40.0,,,17-16,,Defensive rebound by P. George
3:32.0,,,17-16,,R. Westbrook misses 2-pt shot from 1 ft
3:32.0,Defensive rebound by R. Hollis-Jefferson,,17-16,,
3:26.0,S. Dinwiddie makes 3-pt shot from 25 ft,3,20-16,,
3:02.0,,,20-16,,C. Anthony misses 2-pt shot from 14 ft
3:02.0,Defensive rebound by S. Dinwiddie,,20-16,,
2:51.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by C. Anthony),,20-16,,
2:51.0,,,20-16,,Defensive rebound by S. Adams
2:46.0,,,20-18,2,P. George makes 2-pt shot from 1 ft
2:46.0,,,20-18,,Shooting foul by T. Zeller (drawn by P. George)
2:46.0,,,20-18,,J. Grant enters the game for R. Westbrook
2:46.0,,,20-18,,T. Ferguson enters the game for C. Anthony
2:46.0,,,20-18,,R. Felton enters the game for A. Roberson
2:46.0,J. Harris enters the game for D. Carroll,,20-18,,
2:46.0,D. Russell enters the game for R. Hollis-Jefferson,,20-18,,
2:46.0,Q. Acy enters the game for T. Zeller,,20-18,,
2:46.0,J. Allen enters the game for A. Crabbe,,20-18,,
2:46.0,C. LeVert enters the game for S. Dinwiddie,,20-18,,
2:46.0,,,20-19,1,P. George makes free throw 1 of 1
2:28.0,Turnover by D. Russell (bad pass; steal by S. Adams),,20-19,,
2:19.0,,,20-19,,P. George misses 2-pt shot from 2 ft (block by J. Harris)
2:16.0,,,20-19,,Offensive rebound by S. Adams
2:15.0,,,20-21,2,S. Adams makes 2-pt shot from 1 ft
2:00.0,Turnover by J. Harris (bad pass; steal by S. Adams),,20-21,,
2:00.0,Loose ball foul by J. Allen (drawn by P. George),,20-21,,
2:00.0,,,20-22,1,P. George makes free throw 1 of 2
2:00.0,,,20-22,,P. Patterson enters the game for S. Adams
2:00.0,,,20-23,1,P. George makes free throw 2 of 2
1:40.0,D. Russell misses 3-pt shot from 24 ft,,20-23,,
1:37.0,,,20-23,,Defensive rebound by J. Grant
1:31.0,,,20-23,,R. Felton misses 2-pt shot from 13 ft
1:31.0,Defensive rebound by C. LeVert,,20-23,,
1:10.0,J. Allen makes 2-pt shot from 10 ft (assist by C. LeVert),2,22-23,,
0:56.0,,,22-26,3,P. George makes 3-pt shot from 22 ft (assist by R. Felton)
0:37.0,J. Harris makes 3-pt shot from 24 ft (assist by D. Russell),3,25-26,,
0:33.0,,,25-28,2,R. Felton makes 2-pt shot from 16 ft
0:15.0,Shooting foul by J. Grant (drawn by J. Allen),,25-28,,
0:15.0,J. Allen makes free throw 1 of 2,1,26-28,,
0:15.0,R. Hollis-Jefferson enters the game for D. Russell,,26-28,,
0:15.0,J. Allen misses free throw 2 of 2,,26-28,,
0:14.0,,,26-28,,Defensive rebound by P. George
0:01.0,,,26-30,2,P. George makes 2-pt shot from 15 ft (assist by R. Felton)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Harris makes 2-pt shot from 12 ft (assist by C. LeVert),2,28-30,,
11:19.0,,,28-30,,T. Ferguson misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by J. Allen,,28-30,,
10:54.0,D. Russell misses 2-pt shot from 11 ft,,28-30,,
10:52.0,Offensive rebound by J. Allen,,28-30,,
10:51.0,J. Harris makes 3-pt shot from 25 ft (assist by J. Allen),3,31-30,,
10:34.0,,,31-30,,Turnover by R. Felton (bad pass)
10:24.0,J. Allen misses 2-pt shot from 1 ft,,31-30,,
10:22.0,Offensive rebound by Q. Acy,,31-30,,
10:11.0,J. Harris misses 2-pt shot from 5 ft (block by T. Ferguson),,31-30,,
10:09.0,,,31-30,,Defensive rebound by J. Grant
10:00.0,,,31-32,2,J. Grant makes 2-pt shot from 2 ft (assist by R. Felton)
9:39.0,C. LeVert makes 2-pt shot from 1 ft,2,33-32,,
9:25.0,,,33-34,2,R. Felton makes 2-pt shot from 18 ft
9:09.0,J. Harris makes 3-pt shot from 24 ft (assist by D. Russell),3,36-34,,
8:52.0,,,36-34,,J. Grant misses 2-pt shot from 18 ft
8:50.0,Defensive rebound by Q. Acy,,36-34,,
8:31.0,Turnover by D. Russell (lost ball; steal by P. Patterson),,36-34,,
8:21.0,,,36-37,3,T. Ferguson makes 3-pt shot from 25 ft (assist by R. Felton)
8:20.0,Brooklyn full timeout,,36-37,,
8:20.0,,,36-37,,R. Westbrook enters the game for T. Ferguson
8:20.0,J. Okafor enters the game for J. Allen,,36-37,,
7:57.0,C. LeVert misses 2-pt shot from 22 ft,,36-37,,
7:54.0,,,36-37,,Defensive rebound by P. Patterson
7:49.0,,,36-37,,R. Westbrook misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by C. LeVert,,36-37,,
7:38.0,J. Okafor makes 2-pt shot at rim (assist by C. LeVert),2,38-37,,
7:22.0,,,38-37,,J. Huestis misses 3-pt shot from 23 ft
7:18.0,Defensive rebound by Team,,38-37,,
7:18.0,,,38-37,,C. Anthony enters the game for J. Grant
6:56.0,Q. Acy makes 3-pt shot from 24 ft (assist by D. Russell),3,41-37,,
6:40.0,,,41-37,,R. Felton misses 2-pt shot from 19 ft
6:38.0,Defensive rebound by Q. Acy,,41-37,,
6:33.0,Shooting foul by J. Huestis (drawn by J. Okafor),,41-37,,
6:33.0,J. Okafor makes free throw 1 of 2,1,42-37,,
6:33.0,,,42-37,,S. Adams enters the game for R. Felton
6:33.0,,,42-37,,P. George enters the game for J. Huestis
6:33.0,,,42-37,,A. Roberson enters the game for P. Patterson
6:33.0,J. Okafor makes free throw 2 of 2,1,43-37,,
6:19.0,,,43-37,,Shooting foul by J. Harris (drawn by P. George)
6:19.0,,,43-38,1,P. George makes free throw 1 of 2
6:19.0,A. Crabbe enters the game for D. Russell,,43-38,,
6:19.0,R. Hollis-Jefferson enters the game for Q. Acy,,43-38,,
6:19.0,,,43-38,,P. George misses free throw 2 of 2
6:16.0,,,43-38,,Offensive rebound by S. Adams
6:16.0,,,43-38,,S. Adams misses 2-pt shot at rim
6:15.0,,,43-38,,Offensive rebound by S. Adams
6:14.0,,,43-38,,S. Adams misses 2-pt shot from 5 ft
6:14.0,,,43-38,,Offensive rebound by S. Adams
6:06.0,,,43-38,,R. Westbrook misses 2-pt shot from 10 ft
6:03.0,Defensive rebound by C. LeVert,,43-38,,
5:50.0,S. Dinwiddie enters the game for J. Harris,,43-38,,
5:50.0,D. Carroll enters the game for C. LeVert,,43-38,,
5:44.0,S. Dinwiddie makes 3-pt shot from 24 ft (assist by J. Okafor),3,46-38,,
5:29.0,,,46-40,2,R. Westbrook makes 2-pt shot at rim
5:04.0,Shooting foul by A. Roberson (drawn by R. Hollis-Jefferson),,46-40,,
5:04.0,R. Hollis-Jefferson misses free throw 1 of 2,,46-40,,
5:04.0,Offensive rebound by Team,,46-40,,
5:04.0,R. Hollis-Jefferson makes free throw 2 of 2,1,47-40,,
4:52.0,,,47-40,,Shooting foul by A. Crabbe (drawn by P. George)
4:52.0,,,47-40,,P. George misses free throw 1 of 2
4:52.0,,,47-40,,Offensive rebound by Team
4:52.0,,,47-41,1,P. George makes free throw 2 of 2
4:44.0,Shooting foul by P. George (drawn by S. Dinwiddie),,47-41,,
4:44.0,S. Dinwiddie makes free throw 1 of 2,1,48-41,,
4:44.0,S. Dinwiddie makes free throw 2 of 2,1,49-41,,
4:33.0,,,49-41,,R. Westbrook misses 2-pt shot from 2 ft (block by J. Okafor)
4:31.0,Defensive rebound by S. Dinwiddie,,49-41,,
4:25.0,J. Okafor misses 2-pt shot from 7 ft,,49-41,,
4:22.0,,,49-41,,Defensive rebound by C. Anthony
4:20.0,Personal foul by J. Okafor (drawn by S. Adams),,49-41,,
4:14.0,,,49-41,,C. Anthony misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by S. Dinwiddie,,49-41,,
3:49.0,Shooting foul by C. Anthony (drawn by D. Carroll),,49-41,,
3:49.0,D. Carroll makes free throw 1 of 2,1,50-41,,
3:49.0,J. Allen enters the game for J. Okafor,,50-41,,
3:49.0,,,50-41,,Oklahoma City full timeout
3:49.0,D. Carroll misses free throw 2 of 2,,50-41,,
3:48.0,,,50-41,,Defensive rebound by R. Westbrook
3:29.0,,,50-41,,R. Westbrook misses 2-pt shot from 19 ft
3:26.0,Defensive rebound by J. Allen,,50-41,,
3:19.0,Turnover by S. Dinwiddie (bad pass; steal by R. Westbrook),,50-41,,
3:16.0,,,50-41,,P. George misses 2-pt shot at rim
3:12.0,,,50-41,,Offensive rebound by R. Westbrook
3:12.0,,,50-41,,R. Westbrook misses 2-pt shot at rim
3:12.0,Defensive rebound by J. Allen,,50-41,,
3:06.0,A. Crabbe misses 3-pt shot from 24 ft,,50-41,,
3:01.0,,,50-41,,Defensive rebound by S. Adams
2:53.0,,,50-41,,C. Anthony misses 2-pt shot from 13 ft
2:49.0,,,50-41,,Offensive rebound by A. Roberson
2:40.0,,,50-43,2,R. Westbrook makes 2-pt shot from 18 ft
2:17.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft,,50-43,,
2:14.0,Offensive rebound by J. Allen,,50-43,,
2:11.0,,,50-43,,Personal foul by P. George (drawn by D. Carroll)
2:11.0,D. Carroll makes free throw 1 of 2,1,51-43,,
2:11.0,D. Carroll makes free throw 2 of 2,1,52-43,,
1:58.0,,,52-43,,P. George misses 2-pt shot from 20 ft
1:53.0,Defensive rebound by D. Carroll,,52-43,,
1:40.0,D. Carroll misses 3-pt shot from 24 ft,,52-43,,
1:38.0,,,52-43,,Defensive rebound by C. Anthony
1:33.0,,,52-43,,R. Westbrook misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by J. Allen,,52-43,,
1:14.0,D. Carroll makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,55-43,,
1:02.0,,,55-45,2,R. Westbrook makes 2-pt shot from 16 ft
0:47.0,A. Crabbe makes 2-pt shot from 9 ft (assist by R. Hollis-Jefferson),2,57-45,,
