time,Denver,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. M. Plumlee (K. Thompson gains possession),,,,Jump ball: Z. Pachulia vs. M. Plumlee (K. Thompson gains possession)
11:46.0,,,0-2,2,K. Thompson makes 2-pt shot from 20 ft (assist by D. Green)
11:30.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,3-2,,
11:20.0,,,3-5,3,D. Green makes 3-pt shot from 27 ft (assist by Z. Pachulia)
10:56.0,N. Jokic misses 2-pt shot from 10 ft,,3-5,,
10:53.0,,,3-5,,Defensive rebound by D. Green
10:49.0,,,3-5,,Z. Pachulia misses 2-pt shot from 1 ft
10:47.0,Defensive rebound by N. Jokic,,3-5,,
10:42.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Chandler),3,6-5,,
10:24.0,,,6-7,2,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green)
10:09.0,N. Jokic makes 2-pt shot from 6 ft (assist by G. Harris),2,8-7,,
9:56.0,,,8-9,2,D. Green makes 2-pt shot from 10 ft (assist by S. Curry)
9:37.0,N. Jokic misses 2-pt shot from 18 ft,,8-9,,
9:34.0,,,8-9,,Defensive rebound by S. Curry
9:34.0,Personal foul by N. Jokic (drawn by S. Curry),,8-9,,
9:25.0,,,8-9,,A. Iguodala misses 3-pt shot from 25 ft
9:20.0,,,8-9,,Offensive rebound by S. Curry
9:18.0,,,8-11,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Green)
8:57.0,J. Murray misses 2-pt shot from 10 ft,,8-11,,
8:55.0,Offensive rebound by N. Jokic,,8-11,,
8:55.0,N. Jokic makes 2-pt shot at rim,2,10-11,,
8:41.0,,,10-14,3,A. Iguodala makes 3-pt shot from 23 ft (assist by D. Green)
8:40.0,Denver full timeout,,10-14,,
8:27.0,G. Harris makes 2-pt shot from 10 ft (assist by J. Murray),2,12-14,,
8:14.0,,,12-14,,S. Curry misses 3-pt shot from 27 ft
8:11.0,,,12-14,,Offensive rebound by Z. Pachulia
8:10.0,,,12-17,3,K. Thompson makes 3-pt shot from 25 ft (assist by Z. Pachulia)
7:53.0,N. Jokic misses 2-pt shot from 7 ft,,12-17,,
7:51.0,,,12-17,,Defensive rebound by Z. Pachulia
7:47.0,,,12-19,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
7:29.0,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,14-19,,
7:19.0,,,14-22,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
7:02.0,Turnover by J. Murray (bad pass; steal by A. Iguodala),,14-22,,
6:57.0,,,14-24,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
6:48.0,M. Plumlee makes 2-pt shot from 10 ft (assist by J. Murray),2,16-24,,
6:34.0,,,16-24,,K. Thompson misses 2-pt shot from 9 ft
6:32.0,Defensive rebound by N. Jokic,,16-24,,
6:32.0,Turnover by N. Jokic (bad pass),,16-24,,
6:17.0,,,16-24,,S. Curry misses 3-pt shot from 22 ft
6:13.0,Defensive rebound by M. Plumlee,,16-24,,
6:06.0,G. Harris misses 2-pt shot from 20 ft,,16-24,,
6:04.0,Offensive rebound by Team,,16-24,,
6:04.0,,,16-24,,Loose ball foul by Z. Pachulia (drawn by M. Plumlee)
