time,Denver,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. M. Plumlee (M. Richardson gains possession),,,,Jump ball: S. Labissiere vs. M. Plumlee (M. Richardson gains possession)
11:42.0,,,0-0,,W. Cauley-Stein misses 2-pt shot from 15 ft
11:36.0,,,0-0,,Offensive rebound by S. Labissiere
11:36.0,,,0-0,,S. Labissiere misses 2-pt shot at rim
11:35.0,Defensive rebound by M. Plumlee,,0-0,,
11:20.0,Turnover by W. Chandler (traveling),,0-0,,
11:12.0,,,0-2,2,S. Labissiere makes 2-pt shot from 1 ft
10:53.0,Turnover by M. Plumlee (bad pass; steal by W. Cauley-Stein),,0-2,,
10:47.0,,,0-2,,D. Fox misses 2-pt shot from 11 ft (block by M. Plumlee)
10:46.0,,,0-2,,Offensive rebound by D. Fox
10:41.0,,,0-2,,M. Richardson misses 3-pt shot from 22 ft
10:38.0,Defensive rebound by W. Chandler,,0-2,,
10:30.0,Turnover by W. Chandler (bad pass; steal by W. Cauley-Stein),,0-2,,
10:20.0,,,0-4,2,M. Richardson makes 2-pt shot from 12 ft (assist by D. Fox)
10:02.0,G. Harris misses 2-pt shot from 2 ft,,0-4,,
9:59.0,,,0-4,,Defensive rebound by S. Labissiere
9:56.0,,,0-4,,B. Hield misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by W. Chandler,,0-4,,
9:53.0,Turnover by W. Chandler (step out of bounds),,0-4,,
9:41.0,,,0-4,,S. Labissiere misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by M. Plumlee,,0-4,,
9:30.0,M. Plumlee makes 2-pt shot from 2 ft (assist by N. Jokic),2,2-4,,
9:30.0,Shooting foul by W. Cauley-Stein (drawn by N. Jokic),,2-4,,
9:30.0,M. Plumlee makes free throw 1 of 1,1,3-4,,
9:22.0,,,3-6,2,D. Fox makes 2-pt shot from 1 ft
9:11.0,Turnover by G. Harris (bad pass; steal by M. Richardson),,3-6,,
9:06.0,,,3-6,,D. Fox misses 2-pt shot from 2 ft
9:04.0,Defensive rebound by W. Chandler,,3-6,,
8:53.0,,,3-6,,Personal foul by M. Richardson (drawn by M. Plumlee)
8:43.0,N. Jokic misses 3-pt shot from 26 ft,,3-6,,
8:39.0,,,3-6,,Defensive rebound by M. Richardson
8:23.0,,,3-8,2,W. Cauley-Stein makes 2-pt shot from 12 ft (assist by B. Hield)
8:07.0,J. Murray makes 2-pt shot from 16 ft,2,5-8,,
7:53.0,,,5-10,2,S. Labissiere makes 2-pt shot from 19 ft
7:32.0,N. Jokic misses 2-pt shot from 6 ft,,5-10,,
7:29.0,,,5-10,,Defensive rebound by S. Labissiere
7:25.0,,,5-10,,B. Hield misses 2-pt shot from 4 ft
7:22.0,Defensive rebound by N. Jokic,,5-10,,
7:19.0,Turnover by W. Chandler (bad pass; steal by W. Cauley-Stein),,5-10,,
7:11.0,,,5-12,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by D. Fox)
7:11.0,Denver full timeout,,5-12,,
6:58.0,G. Harris misses 2-pt shot from 18 ft,,5-12,,
6:57.0,,,5-12,,Defensive rebound by W. Cauley-Stein
6:57.0,Personal foul by M. Plumlee (drawn by W. Cauley-Stein),,5-12,,
6:45.0,,,5-12,,S. Labissiere misses 2-pt shot from 5 ft
6:41.0,Defensive rebound by N. Jokic,,5-12,,
6:31.0,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Jokic),2,7-12,,
6:17.0,,,7-14,2,S. Labissiere makes 2-pt shot from 4 ft
6:05.0,W. Chandler misses 3-pt shot from 25 ft,,7-14,,
6:03.0,Offensive rebound by Team,,7-14,,
5:52.0,M. Plumlee misses 2-pt shot from 16 ft,,7-14,,
5:52.0,Offensive rebound by J. Murray,,7-14,,
5:52.0,Turnover by Team (shot clock),,7-14,,
5:37.0,,,7-16,2,W. Cauley-Stein makes 2-pt shot from 16 ft (assist by B. Hield)
5:21.0,Shooting foul by W. Cauley-Stein (drawn by W. Chandler),,7-16,,
5:21.0,W. Chandler makes free throw 1 of 2,1,8-16,,
5:21.0,T. Lyles enters the game for M. Plumlee,,8-16,,
5:21.0,W. Chandler makes free throw 2 of 2,1,9-16,,
5:08.0,,,9-16,,M. Richardson misses 2-pt shot from 4 ft
5:04.0,Defensive rebound by J. Murray,,9-16,,
4:57.0,Turnover by N. Jokic (bad pass; steal by S. Labissiere),,9-16,,
4:49.0,,,9-18,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by M. Richardson)
4:49.0,,,9-18,,Shooting foul by W. Chandler (drawn by W. Cauley-Stein)
4:49.0,,,9-18,,K. Koufos enters the game for S. Labissiere
4:49.0,W. Barton enters the game for W. Chandler,,9-18,,
4:49.0,,,9-18,,B. Bogdanovic enters the game for B. Hield
4:49.0,,,9-18,,W. Cauley-Stein misses free throw 1 of 1
4:44.0,Defensive rebound by W. Barton,,9-18,,
4:28.0,J. Murray makes 2-pt shot from 2 ft (assist by N. Jokic),2,11-18,,
4:16.0,,,11-20,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by K. Koufos)
4:02.0,Turnover by W. Barton (lost ball; steal by W. Cauley-Stein),,11-20,,
3:55.0,,,11-23,3,M. Richardson makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
3:53.0,Denver full timeout,,11-23,,
3:53.0,,,11-23,,V. Carter enters the game for W. Cauley-Stein
3:53.0,,,11-23,,G. Temple enters the game for M. Richardson
3:36.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,14-23,,
3:18.0,,,14-23,,G. Temple misses 2-pt shot from 8 ft
3:16.0,,,14-23,,Offensive rebound by G. Temple
3:14.0,,,14-23,,Turnover by G. Temple (lost ball; steal by G. Harris)
3:07.0,T. Lyles makes 3-pt shot from 25 ft (assist by G. Harris),3,17-23,,
2:55.0,,,17-23,,Shooting foul by W. Barton (drawn by D. Fox)
2:55.0,,,17-24,1,D. Fox makes free throw 1 of 2
2:55.0,M. Beasley enters the game for G. Harris,,17-24,,
2:55.0,,,17-25,1,D. Fox makes free throw 2 of 2
2:38.0,J. Murray misses 3-pt shot from 25 ft,,17-25,,
2:38.0,,,17-25,,Defensive rebound by G. Temple
2:23.0,,,17-25,,Shooting foul by T. Lyles (drawn by D. Fox)
2:23.0,,,17-26,1,D. Fox makes free throw 1 of 2
2:23.0,W. Chandler enters the game for J. Murray,,17-26,,
2:23.0,,,17-27,1,D. Fox makes free throw 2 of 2
2:05.0,M. Beasley makes 3-pt shot from 26 ft (assist by W. Barton),3,20-27,,
1:52.0,,,20-27,,V. Carter misses 3-pt shot from 22 ft
1:51.0,Defensive rebound by Team,,20-27,,
1:51.0,,,20-27,,B. Hield enters the game for D. Fox
1:51.0,T. Craig enters the game for N. Jokic,,20-27,,
1:39.0,T. Lyles makes 2-pt shot from 11 ft (assist by W. Barton),2,22-27,,
1:28.0,,,22-27,,G. Temple misses 2-pt shot from 18 ft
1:27.0,Defensive rebound by Team,,22-27,,
1:27.0,,,22-27,,Loose ball foul by V. Carter (drawn by T. Lyles)
1:13.0,Shooting foul by V. Carter (drawn by W. Chandler),,22-27,,
1:13.0,W. Chandler makes free throw 1 of 2,1,23-27,,
1:13.0,W. Chandler makes free throw 2 of 2,1,24-27,,
0:55.0,,,24-27,,K. Koufos misses 2-pt shot from 7 ft
0:52.0,Defensive rebound by T. Lyles,,24-27,,
0:46.0,T. Lyles makes 3-pt shot from 25 ft (assist by W. Barton),3,27-27,,
0:38.0,,,27-29,2,K. Koufos makes 2-pt shot from 1 ft (assist by G. Temple)
0:26.0,Turnover by W. Barton (bad pass),,27-29,,
0:03.0,,,27-29,,B. Bogdanovic misses 2-pt shot from 17 ft
0:03.0,,,27-29,,Offensive rebound by K. Koufos
0:00.0,End of 1st quarter,,,,End of 1st quarter
