time,Brooklyn,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Allen (M. Teodosic gains possession),,,,Jump ball: D. Jordan vs. J. Allen (M. Teodosic gains possession)
11:37.0,,,0-2,2,M. Teodosic makes 2-pt shot from 16 ft
11:15.0,A. Crabbe misses 3-pt shot from 26 ft,,0-2,,
11:11.0,Offensive rebound by J. Allen,,0-2,,
11:09.0,Turnover by J. Allen (lost ball; steal by W. Johnson),,0-2,,
11:07.0,,,0-4,2,T. Harris makes 2-pt shot from 1 ft (assist by M. Teodosic)
10:51.0,D. Russell misses 2-pt shot from 12 ft,,0-4,,
10:49.0,,,0-4,,Defensive rebound by D. Jordan
10:35.0,,,0-4,,T. Harris misses 2-pt shot from 18 ft
10:32.0,Defensive rebound by S. Dinwiddie,,0-4,,
10:22.0,Turnover by J. Allen (bad pass; steal by W. Johnson),,0-4,,
10:18.0,,,0-4,,W. Johnson misses 2-pt shot at rim
10:14.0,,,0-4,,Offensive rebound by T. Harris
10:14.0,,,0-6,2,T. Harris makes 2-pt shot at rim
10:07.0,Turnover by J. Allen (bad pass; steal by W. Johnson),,0-6,,
10:03.0,,,0-6,,D. Jordan misses 2-pt shot from 1 ft
10:00.0,Defensive rebound by A. Crabbe,,0-6,,
9:42.0,S. Dinwiddie misses 3-pt shot from 26 ft,,0-6,,
9:38.0,,,0-6,,Defensive rebound by W. Johnson
9:29.0,Personal foul by D. Carroll (drawn by D. Jordan),,0-6,,
9:22.0,,,0-8,2,D. Jordan makes 2-pt shot from 2 ft (assist by A. Rivers)
8:54.0,A. Crabbe misses 2-pt shot from 20 ft,,0-8,,
8:52.0,,,0-8,,Defensive rebound by D. Jordan
8:46.0,,,0-10,2,A. Rivers makes 2-pt shot at rim
8:45.0,Brooklyn full timeout,,0-10,,
8:32.0,D. Carroll misses 3-pt shot from 24 ft,,0-10,,
8:27.0,Offensive rebound by D. Russell,,0-10,,
8:24.0,A. Crabbe misses 3-pt shot from 27 ft,,0-10,,
8:22.0,Offensive rebound by D. Carroll,,0-10,,
8:20.0,D. Russell makes 3-pt shot from 26 ft (assist by A. Crabbe),3,3-10,,
8:02.0,,,3-10,,A. Rivers misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by D. Russell,,3-10,,
7:55.0,,,3-10,,Personal foul by W. Johnson (drawn by D. Russell)
7:48.0,A. Crabbe misses 2-pt shot from 2 ft (block by T. Harris),,3-10,,
7:45.0,,,3-10,,Defensive rebound by A. Rivers
7:38.0,,,3-13,3,M. Teodosic makes 3-pt shot from 26 ft
7:19.0,D. Carroll misses 2-pt shot from 5 ft,,3-13,,
7:17.0,,,3-13,,Defensive rebound by T. Harris
7:11.0,,,3-13,,Turnover by A. Rivers (bad pass)
6:57.0,J. Allen makes 2-pt shot from 2 ft (assist by A. Crabbe),2,5-13,,
6:57.0,Shooting foul by W. Johnson (drawn by J. Allen),,5-13,,
6:57.0,J. Allen makes free throw 1 of 1,1,6-13,,
6:46.0,,,6-13,,T. Harris misses 3-pt shot from 24 ft
6:43.0,Defensive rebound by S. Dinwiddie,,6-13,,
6:38.0,,,6-13,,Personal foul by T. Harris (drawn by D. Russell)
6:38.0,,,6-13,,S. Thornwell enters the game for W. Johnson
6:33.0,D. Carroll makes 3-pt shot from 23 ft (assist by D. Russell),3,9-13,,
6:23.0,,,9-16,3,M. Teodosic makes 3-pt shot from 25 ft
6:10.0,D. Russell misses 3-pt shot from 26 ft,,9-16,,
6:08.0,,,9-16,,Defensive rebound by A. Rivers
6:00.0,,,9-18,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
5:45.0,Turnover by S. Dinwiddie (step out of bounds),,9-18,,
5:45.0,D. Cunningham enters the game for D. Russell,,9-18,,
5:45.0,J. Harris enters the game for J. Allen,,9-18,,
5:32.0,,,9-18,,Shooting foul by D. Carroll (drawn by D. Jordan)
5:32.0,,,9-19,1,D. Jordan makes free throw 1 of 2
5:32.0,,,9-19,,L. Williams enters the game for M. Teodosic
5:32.0,,,9-20,1,D. Jordan makes free throw 2 of 2
5:11.0,A. Crabbe makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,12-20,,
4:43.0,,,12-22,2,T. Harris makes 2-pt shot from 4 ft
4:26.0,J. Harris misses 3-pt shot from 25 ft,,12-22,,
4:24.0,,,12-22,,Defensive rebound by Team
4:24.0,C. LeVert enters the game for D. Carroll,,12-22,,
4:24.0,R. Hollis-Jefferson enters the game for A. Crabbe,,12-22,,
4:08.0,,,12-22,,L. Williams misses 2-pt shot from 13 ft
4:05.0,Defensive rebound by R. Hollis-Jefferson,,12-22,,
3:59.0,D. Cunningham makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,14-22,,
3:41.0,,,14-24,2,A. Rivers makes 2-pt shot from 11 ft
3:29.0,D. Cunningham misses 3-pt shot from 24 ft,,14-24,,
3:26.0,,,14-24,,Defensive rebound by L. Williams
3:20.0,,,14-24,,L. Williams misses 2-pt shot from 19 ft
3:16.0,Defensive rebound by D. Cunningham,,14-24,,
3:11.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft (block by T. Harris),,14-24,,
3:11.0,Offensive rebound by Team,,14-24,,
3:09.0,C. LeVert misses 2-pt shot from 2 ft (block by L. Williams),,14-24,,
3:05.0,Offensive rebound by C. LeVert,,14-24,,
3:02.0,C. LeVert makes 2-pt shot from 2 ft,2,16-24,,
2:45.0,,,16-24,,Turnover by A. Rivers (lost ball; steal by C. LeVert)
2:42.0,Shooting foul by S. Thornwell (drawn by D. Cunningham),,16-24,,
2:42.0,,,16-24,,LA Clippers full timeout
2:42.0,D. Russell enters the game for S. Dinwiddie,,16-24,,
2:42.0,D. Cunningham makes free throw 1 of 2,1,17-24,,
2:42.0,D. Cunningham makes free throw 2 of 2,1,18-24,,
2:29.0,,,18-26,2,T. Harris makes 2-pt shot from 2 ft
2:12.0,C. LeVert makes 3-pt shot from 25 ft (assist by D. Cunningham),3,21-26,,
1:55.0,,,21-28,2,L. Williams makes 2-pt shot from 1 ft
1:50.0,Shooting foul by D. Jordan (drawn by J. Harris),,21-28,,
