time,Golden State,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. Z. Pachulia (Q. Cook gains possession),,,,Jump ball: D. Howard vs. Z. Pachulia (Q. Cook gains possession)
11:47.0,K. Durant misses 3-pt shot from 25 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by M. Kidd-Gilchrist
11:29.0,,,0-0,,D. Howard misses 2-pt shot from 8 ft
11:29.0,Defensive rebound by Team,,0-0,,
11:17.0,K. Thompson misses 3-pt shot from 25 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by K. Walker
11:05.0,,,0-0,,M. Williams misses 2-pt shot from 8 ft
11:02.0,Defensive rebound by J. Bell,,0-0,,
10:53.0,Turnover by Z. Pachulia (bad pass),,0-0,,
10:29.0,,,0-0,,K. Walker misses 2-pt shot from 2 ft (block by K. Durant)
10:25.0,Defensive rebound by Z. Pachulia,,0-0,,
10:22.0,K. Thompson makes 3-pt shot from 25 ft (assist by J. Bell),3,3-0,,
10:03.0,,,3-0,,N. Batum misses 2-pt shot from 15 ft
10:00.0,Defensive rebound by K. Durant,,3-0,,
9:57.0,Turnover by K. Durant (bad pass; steal by K. Walker),,3-0,,
9:54.0,,,3-2,2,K. Walker makes 2-pt shot from 1 ft
9:33.0,Q. Cook misses 2-pt shot from 1 ft (block by D. Howard),,3-2,,
9:26.0,Offensive rebound by Q. Cook,,3-2,,
9:26.0,K. Thompson misses 3-pt shot from 22 ft,,3-2,,
9:21.0,Offensive rebound by Z. Pachulia,,3-2,,
9:19.0,Z. Pachulia misses 2-pt shot from 3 ft (block by M. Kidd-Gilchrist),,3-2,,
9:19.0,,,3-2,,Defensive rebound by K. Walker
9:17.0,,,3-2,,M. Williams misses 3-pt shot from 26 ft
9:17.0,Defensive rebound by Z. Pachulia,,3-2,,
9:03.0,K. Durant makes 2-pt shot from 19 ft,2,5-2,,
8:48.0,Personal foul by Z. Pachulia (drawn by N. Batum),,5-2,,
8:40.0,,,5-4,2,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker)
8:26.0,K. Durant makes 3-pt shot from 25 ft (assist by Q. Cook),3,8-4,,
8:10.0,,,8-6,2,M. Williams makes 2-pt shot from 2 ft (assist by D. Howard)
7:54.0,Q. Cook misses 2-pt shot from 20 ft,,8-6,,
7:52.0,,,8-6,,Defensive rebound by D. Howard
7:46.0,,,8-6,,N. Batum misses 3-pt shot from 26 ft
7:42.0,Defensive rebound by K. Durant,,8-6,,
7:29.0,Golden State full timeout,,8-6,,
7:29.0,J. McGee enters the game for Z. Pachulia,,8-6,,
7:24.0,K. Thompson makes 2-pt shot from 13 ft (assist by J. Bell),2,10-6,,
7:02.0,,,10-8,2,M. Kidd-Gilchrist makes 2-pt shot from 20 ft (assist by D. Howard)
6:39.0,Turnover by Q. Cook (bad pass),,10-8,,
6:27.0,,,10-8,,N. Batum misses 2-pt shot from 2 ft (block by J. McGee)
6:23.0,Defensive rebound by J. Bell,,10-8,,
6:16.0,Q. Cook misses 3-pt shot from 28 ft,,10-8,,
6:13.0,,,10-8,,Defensive rebound by M. Williams
6:05.0,,,10-10,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft
5:41.0,Q. Cook makes 3-pt shot from 23 ft (assist by K. Durant),3,13-10,,
5:26.0,,,13-10,,K. Walker misses 2-pt shot from 1 ft
5:22.0,,,13-10,,Offensive rebound by D. Howard
5:22.0,,,13-12,2,D. Howard makes 2-pt shot at rim
5:17.0,Shooting foul by D. Howard (drawn by K. Durant),,13-12,,
5:17.0,K. Durant makes free throw 1 of 2,1,14-12,,
5:17.0,O. Casspi enters the game for J. Bell,,14-12,,
5:17.0,A. Iguodala enters the game for Q. Cook,,14-12,,
5:17.0,K. Durant makes free throw 2 of 2,1,15-12,,
5:07.0,,,15-12,,K. Walker misses 2-pt shot from 16 ft
5:03.0,Defensive rebound by O. Casspi,,15-12,,
4:57.0,K. Durant makes 2-pt shot from 11 ft,2,17-12,,
4:46.0,,,17-12,,D. Howard misses 2-pt shot from 15 ft
4:46.0,Defensive rebound by K. Durant,,17-12,,
4:39.0,K. Durant misses 3-pt shot from 24 ft,,17-12,,
4:37.0,,,17-12,,Defensive rebound by D. Howard
4:22.0,,,17-12,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
4:18.0,,,17-12,,Offensive rebound by M. Kidd-Gilchrist
4:17.0,,,17-12,,M. Williams misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by K. Durant,,17-12,,
4:03.0,K. Durant makes 3-pt shot from 25 ft (assist by O. Casspi),3,20-12,,
3:49.0,,,20-12,,K. Walker misses 3-pt shot from 25 ft
3:48.0,,,20-12,,Offensive rebound by Team
3:48.0,Loose ball foul by J. McGee (drawn by D. Howard),,20-12,,
3:48.0,,,20-12,,F. Kaminsky enters the game for M. Williams
3:48.0,,,20-12,,M. Carter-Williams enters the game for K. Walker
3:48.0,S. Livingston enters the game for K. Thompson,,20-12,,
3:42.0,,,20-12,,N. Batum misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by O. Casspi,,20-12,,
3:30.0,S. Livingston misses 2-pt shot at rim,,20-12,,
3:28.0,,,20-12,,Defensive rebound by F. Kaminsky
3:21.0,,,20-12,,D. Howard misses 2-pt shot from 2 ft (block by A. Iguodala)
3:19.0,Defensive rebound by J. McGee,,20-12,,
3:12.0,K. Durant makes 2-pt shot from 12 ft,2,22-12,,
3:01.0,,,22-12,,Charlotte full timeout
3:01.0,,,22-12,,J. Lamb enters the game for M. Kidd-Gilchrist
3:01.0,D. West enters the game for J. McGee,,22-12,,
2:48.0,,,22-14,2,N. Batum makes 2-pt shot from 21 ft (assist by J. Lamb)
2:30.0,A. Iguodala misses 3-pt shot from 26 ft,,22-14,,
2:26.0,,,22-14,,Defensive rebound by M. Carter-Williams
2:20.0,,,22-16,2,J. Lamb makes 2-pt shot from 2 ft
2:08.0,D. West makes 2-pt shot from 1 ft,2,24-16,,
1:45.0,,,24-16,,F. Kaminsky misses 2-pt shot from 8 ft
1:40.0,Defensive rebound by A. Iguodala,,24-16,,
1:39.0,,,24-16,,Violation by M. Carter-Williams (kicked ball)
1:39.0,,,24-16,,C. Zeller enters the game for D. Howard
1:21.0,K. Durant makes 2-pt shot from 2 ft,2,26-16,,
1:02.0,,,26-16,,M. Carter-Williams misses 2-pt shot from 19 ft
0:58.0,,,26-16,,Offensive rebound by N. Batum
0:55.0,,,26-16,,M. Carter-Williams misses 2-pt shot from 2 ft
0:54.0,,,26-16,,Offensive rebound by C. Zeller
0:54.0,,,26-18,2,C. Zeller makes 2-pt shot at rim
0:33.0,K. Durant misses 2-pt shot from 11 ft,,26-18,,
0:29.0,,,26-18,,Defensive rebound by C. Zeller
0:22.0,,,26-18,,M. Carter-Williams misses 2-pt shot from 9 ft
0:21.0,,,26-18,,Offensive rebound by Team
0:21.0,Loose ball foul by D. West (drawn by C. Zeller),,26-18,,
0:21.0,K. Looney enters the game for K. Durant,,26-18,,
0:00.0,,,26-18,,N. Batum misses 2-pt shot from 19 ft
0:00.0,,,26-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,26-18,,D. Bacon misses 2-pt shot from 16 ft
11:46.0,Defensive rebound by A. Iguodala,,26-18,,
11:31.0,,,26-18,,Personal foul by C. Zeller (drawn by D. West)
11:25.0,K. Thompson misses 2-pt shot from 16 ft,,26-18,,
11:21.0,,,26-18,,Defensive rebound by D. Bacon
11:12.0,,,26-18,,J. Lamb misses 2-pt shot from 4 ft
11:09.0,Defensive rebound by K. Thompson,,26-18,,
11:00.0,A. Iguodala makes 2-pt shot from 2 ft (assist by D. West),2,28-18,,
10:44.0,,,28-20,2,M. Carter-Williams makes 2-pt shot at rim
10:33.0,S. Livingston makes 2-pt shot at rim (assist by D. West),2,30-20,,
10:11.0,,,30-20,,J. Lamb misses 2-pt shot from 9 ft
10:07.0,,,30-20,,Offensive rebound by C. Zeller
