time,Utah,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. R. Gobert (D. Favors gains possession),,,,Jump ball: M. Plumlee vs. R. Gobert (D. Favors gains possession)
11:43.0,R. Gobert misses 2-pt shot from 3 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by T. Waller-Prince
11:21.0,,,0-0,,K. Bazemore misses 2-pt shot from 18 ft
11:18.0,Defensive rebound by R. Gobert,,0-0,,
11:13.0,R. Gobert misses 2-pt shot from 1 ft (block by M. Plumlee),,0-0,,
11:11.0,Offensive rebound by R. Rubio,,0-0,,
11:06.0,R. Rubio misses 2-pt shot from 16 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by E. Ilyasova
10:57.0,,,0-2,2,D. Schroder makes 2-pt shot from 15 ft
10:41.0,R. Rubio misses 3-pt shot from 23 ft,,0-2,,
10:38.0,,,0-2,,Defensive rebound by E. Ilyasova
10:22.0,,,0-2,,Turnover by D. Schroder (lost ball; steal by R. Rubio)
10:18.0,Turnover by R. Rubio (bad pass; steal by K. Bazemore),,0-2,,
10:11.0,,,0-2,,Shooting foul by R. Rubio (drawn by D. Schroder)
10:11.0,,,0-3,1,D. Schroder makes free throw 1 of 2
10:11.0,,,0-4,1,D. Schroder makes free throw 2 of 2
9:49.0,R. Rubio misses 3-pt shot from 25 ft,,0-4,,
9:46.0,,,0-4,,Defensive rebound by M. Plumlee
9:36.0,,,0-4,,D. Schroder misses 2-pt shot from 14 ft
9:33.0,Defensive rebound by D. Favors,,0-4,,
9:26.0,R. Rubio misses 2-pt shot from 15 ft,,0-4,,
9:22.0,Offensive rebound by R. Gobert,,0-4,,
9:22.0,R. Gobert misses 2-pt shot at rim,,0-4,,
9:22.0,,,0-4,,Defensive rebound by Team
9:09.0,,,0-4,,M. Plumlee misses 2-pt shot from 7 ft
9:06.0,Defensive rebound by R. Rubio,,0-4,,
8:59.0,D. Mitchell misses 2-pt shot from 12 ft,,0-4,,
8:55.0,,,0-4,,Defensive rebound by E. Ilyasova
8:43.0,,,0-4,,M. Plumlee misses 2-pt shot from 6 ft
8:40.0,Defensive rebound by D. Mitchell,,0-4,,
8:35.0,R. Rubio misses 2-pt shot from 2 ft,,0-4,,
8:32.0,,,0-4,,Defensive rebound by M. Plumlee
8:20.0,R. Neto enters the game for D. Favors,,0-4,,
8:20.0,J. Jerebko enters the game for R. Rubio,,0-4,,
8:13.0,,,0-6,2,D. Schroder makes 2-pt shot from 12 ft
7:59.0,,,0-6,,Personal foul by T. Waller-Prince (drawn by J. Ingles)
7:50.0,R. Neto misses 3-pt shot from 25 ft,,0-6,,
7:48.0,,,0-6,,Defensive rebound by E. Ilyasova
7:35.0,,,0-6,,Atlanta full timeout
7:35.0,R. Rubio enters the game for R. Neto,,0-6,,
7:33.0,,,0-6,,Turnover by K. Bazemore (bad pass; steal by J. Ingles)
7:28.0,Turnover by J. Ingles (traveling),,0-6,,
7:13.0,,,0-6,,T. Waller-Prince misses 2-pt shot from 1 ft
7:08.0,,,0-6,,Offensive rebound by M. Plumlee
7:07.0,,,0-8,2,M. Plumlee makes 2-pt shot from 1 ft
6:48.0,J. Ingles makes 3-pt shot from 25 ft (assist by R. Rubio),3,3-8,,
6:48.0,Shooting foul by T. Waller-Prince (drawn by J. Ingles),,3-8,,
6:48.0,,,3-8,,D. Dedmon enters the game for M. Plumlee
6:48.0,,,3-8,,M. Belinelli enters the game for T. Waller-Prince
6:48.0,J. Ingles makes free throw 1 of 1,1,4-8,,
6:35.0,,,4-8,,Turnover by D. Dedmon (bad pass; steal by R. Gobert)
6:25.0,J. Jerebko makes 2-pt shot at rim (assist by J. Ingles),2,6-8,,
6:06.0,,,6-8,,D. Schroder misses 2-pt shot at rim
6:02.0,Defensive rebound by R. Gobert,,6-8,,
5:53.0,D. Mitchell misses 2-pt shot from 2 ft,,6-8,,
5:50.0,,,6-8,,Defensive rebound by D. Schroder
5:47.0,,,6-8,,K. Bazemore misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by J. Jerebko,,6-8,,
5:29.0,J. Ingles misses 3-pt shot from 24 ft,,6-8,,
5:23.0,Offensive rebound by J. Jerebko,,6-8,,
5:23.0,J. Jerebko misses 2-pt shot at rim,,6-8,,
5:21.0,Offensive rebound by R. Rubio,,6-8,,
5:18.0,J. Jerebko misses 2-pt shot from 19 ft,,6-8,,
5:17.0,Offensive rebound by R. Gobert,,6-8,,
5:17.0,Shooting foul by D. Schroder (drawn by R. Gobert),,6-8,,
5:17.0,R. Gobert misses free throw 1 of 2,,6-8,,
5:17.0,Offensive rebound by Team,,6-8,,
5:17.0,,,6-8,,J. Collins enters the game for E. Ilyasova
5:17.0,,,6-8,,M. Delaney enters the game for K. Bazemore
5:17.0,A. Burks enters the game for R. Rubio,,6-8,,
5:17.0,R. Gobert makes free throw 2 of 2,1,7-8,,
5:09.0,,,7-8,,D. Schroder misses 2-pt shot from 18 ft
5:04.0,Defensive rebound by D. Mitchell,,7-8,,
4:57.0,Turnover by J. Ingles (bad pass; steal by M. Delaney),,7-8,,
4:52.0,,,7-10,2,M. Belinelli makes 2-pt shot at rim (assist by M. Delaney)
4:26.0,A. Burks makes 2-pt shot from 1 ft,2,9-10,,
4:07.0,,,9-10,,D. Dedmon misses 2-pt shot from 19 ft
4:05.0,Defensive rebound by R. Gobert,,9-10,,
3:55.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,11-10,,
3:42.0,,,11-12,2,D. Schroder makes 2-pt shot from 1 ft
3:33.0,Utah full timeout,,11-12,,
3:33.0,,,11-12,,L. Babbitt enters the game for D. Schroder
3:33.0,J. Johnson enters the game for J. Jerebko,,11-12,,
3:33.0,D. Favors enters the game for R. Gobert,,11-12,,
3:17.0,D. Favors misses 2-pt shot from 2 ft,,11-12,,
3:14.0,,,11-12,,Defensive rebound by L. Babbitt
2:57.0,R. Neto enters the game for D. Mitchell,,11-12,,
2:57.0,R. O'Neale enters the game for J. Ingles,,11-12,,
2:55.0,,,11-14,2,D. Dedmon makes 2-pt shot from 17 ft (assist by M. Belinelli)
2:39.0,R. O'Neale makes 2-pt shot from 7 ft,2,13-14,,
2:27.0,,,13-16,2,M. Belinelli makes 2-pt shot from 1 ft (assist by M. Delaney)
2:02.0,R. Neto misses 2-pt shot from 16 ft,,13-16,,
1:58.0,,,13-16,,Defensive rebound by M. Belinelli
1:51.0,,,13-16,,M. Belinelli misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by R. O'Neale,,13-16,,
1:47.0,R. O'Neale makes 2-pt shot from 2 ft,2,15-16,,
1:47.0,,,15-16,,Shooting block foul by L. Babbitt (drawn by R. O'Neale)
1:47.0,R. O'Neale misses free throw 1 of 1,,15-16,,
1:44.0,,,15-16,,Defensive rebound by D. Dedmon
1:34.0,,,15-19,3,L. Babbitt makes 3-pt shot from 22 ft (assist by M. Delaney)
1:16.0,A. Burks makes 2-pt shot from 16 ft (assist by R. O'Neale),2,17-19,,
0:58.0,,,17-19,,Turnover by M. Delaney (bad pass; steal by D. Favors)
0:48.0,J. Johnson makes 2-pt shot from 20 ft,2,19-19,,
0:32.0,,,19-19,,D. Dedmon misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by D. Favors,,19-19,,
0:08.0,Shooting foul by L. Babbitt (drawn by A. Burks),,19-19,,
0:08.0,A. Burks misses free throw 1 of 2,,19-19,,
0:08.0,Offensive rebound by Team,,19-19,,
0:08.0,,,19-19,,M. Muscala enters the game for D. Dedmon
0:08.0,A. Burks makes free throw 2 of 2,1,20-19,,
0:01.0,Personal foul by R. Neto (drawn by M. Delaney),,20-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,20-21,2,L. Babbitt makes 2-pt shot from 19 ft
11:11.0,R. O'Neale makes 2-pt shot from 14 ft (assist by R. Neto),2,22-21,,
10:50.0,,,22-24,3,M. Delaney makes 3-pt shot from 24 ft
10:33.0,Shooting foul by L. Babbitt (drawn by R. Neto),,22-24,,
10:33.0,R. Neto makes free throw 1 of 2,1,23-24,,
10:33.0,,,23-24,,E. Ilyasova enters the game for J. Collins
10:33.0,R. Neto misses free throw 2 of 2,,23-24,,
10:31.0,,,23-24,,Defensive rebound by E. Ilyasova
10:14.0,,,23-24,,M. Delaney misses 2-pt shot from 6 ft (block by D. Favors)
10:10.0,Defensive rebound by D. Favors,,23-24,,
9:54.0,J. Johnson misses 2-pt shot from 14 ft,,23-24,,
9:52.0,,,23-24,,Defensive rebound by T. Dorsey
9:40.0,,,23-26,2,E. Ilyasova makes 2-pt shot from 17 ft (assist by M. Delaney)
9:40.0,,,23-26,,Shooting foul by A. Burks (drawn by E. Ilyasova)
9:40.0,,,23-27,1,E. Ilyasova makes free throw 1 of 1
9:29.0,R. Neto misses 3-pt shot from 23 ft,,23-27,,
9:26.0,,,23-27,,Defensive rebound by L. Babbitt
9:09.0,,,23-29,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by M. Delaney)
8:46.0,A. Burks misses 2-pt shot from 2 ft,,23-29,,
8:43.0,,,23-29,,Defensive rebound by L. Babbitt
8:33.0,,,23-29,,Turnover by M. Delaney (bad pass; steal by A. Burks)
8:33.0,,,23-29,,Personal foul by M. Delaney (drawn by A. Burks)
8:33.0,R. Gobert enters the game for D. Favors,,23-29,,
8:15.0,Shooting foul by M. Muscala (drawn by A. Burks),,23-29,,
8:15.0,A. Burks makes free throw 1 of 2,1,24-29,,
8:15.0,,,24-29,,K. Bazemore enters the game for L. Babbitt
8:15.0,R. Rubio enters the game for R. Neto,,24-29,,
8:15.0,A. Burks makes free throw 2 of 2,1,25-29,,
8:00.0,,,25-29,,K. Bazemore misses 2-pt shot from 2 ft
7:53.0,,,25-29,,Offensive rebound by M. Muscala
7:53.0,,,25-31,2,M. Muscala makes 2-pt shot at rim
7:46.0,R. O'Neale makes 2-pt shot from 10 ft (assist by R. Rubio),2,27-31,,
7:32.0,,,27-34,3,K. Bazemore makes 3-pt shot from 23 ft (assist by M. Delaney)
7:30.0,Utah full timeout,,27-34,,
7:28.0,,,27-34,,D. Schroder enters the game for M. Delaney
7:28.0,D. Mitchell enters the game for A. Burks,,27-34,,
7:15.0,R. Gobert misses 2-pt shot from 4 ft,,27-34,,
7:08.0,,,27-34,,Defensive rebound by M. Muscala
6:59.0,,,27-34,,Atlanta full timeout
6:59.0,,,27-34,,M. Plumlee enters the game for M. Muscala
6:59.0,J. Ingles enters the game for J. Johnson,,27-34,,
6:59.0,D. Favors enters the game for R. O'Neale,,27-34,,
6:52.0,,,27-34,,D. Schroder misses 2-pt shot from 1 ft (block by R. Gobert)
6:48.0,Defensive rebound by R. Gobert,,27-34,,
6:36.0,D. Mitchell makes 3-pt shot from 26 ft (assist by R. Rubio),3,30-34,,
6:23.0,,,30-34,,Turnover by K. Bazemore (bad pass)
6:23.0,,,30-34,,M. Belinelli enters the game for T. Dorsey
6:11.0,D. Mitchell misses 2-pt shot from 21 ft,,30-34,,
6:08.0,,,30-34,,Defensive rebound by E. Ilyasova
6:00.0,,,30-34,,Turnover by M. Belinelli (bad pass)
5:44.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Rubio),2,32-34,,
5:24.0,,,32-34,,D. Schroder misses 2-pt shot from 15 ft (block by R. Gobert)
5:20.0,Defensive rebound by R. Gobert,,32-34,,
5:14.0,D. Favors makes 2-pt shot at rim (assist by R. Rubio),2,34-34,,
5:14.0,,,34-34,,Atlanta full timeout
5:14.0,,,34-34,,D. Dedmon enters the game for M. Plumlee
4:50.0,,,34-34,,D. Schroder misses 3-pt shot from 59 ft
4:50.0,,,34-34,,Offensive rebound by Team
4:50.0,,,34-34,,Turnover by Team (shot clock)
4:50.0,,,34-34,,M. Delaney enters the game for D. Schroder
4:36.0,J. Ingles misses 2-pt shot from 4 ft,,34-34,,
4:34.0,,,34-34,,Defensive rebound by E. Ilyasova
4:21.0,,,34-37,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Dedmon)
4:07.0,D. Favors misses 3-pt shot from 23 ft,,34-37,,
4:04.0,,,34-37,,Defensive rebound by D. Dedmon
3:54.0,,,34-37,,K. Bazemore misses 2-pt shot from 13 ft
3:51.0,Defensive rebound by D. Mitchell,,34-37,,
3:43.0,Turnover by R. Gobert (traveling),,34-37,,
3:43.0,,,34-37,,T. Waller-Prince enters the game for E. Ilyasova
3:43.0,,,34-37,,J. Collins enters the game for K. Bazemore
3:22.0,,,34-37,,Turnover by T. Waller-Prince (turnover)
3:14.0,,,34-37,,Personal foul by M. Belinelli (drawn by D. Favors)
