time,Sacramento,pts.away,score,pts.home,Utah
4:57.0,Turnover by D. Fox (out of bounds lost ball),,86-85,,
4:44.0,,,86-87,2,J. Crowder makes 2-pt shot from 2 ft (assist by R. Rubio)
4:27.0,B. Hield misses 2-pt shot from 14 ft,,86-87,,
4:24.0,,,86-87,,Defensive rebound by R. Gobert
4:01.0,,,86-87,,R. O'Neale misses 2-pt shot from 5 ft
3:59.0,Defensive rebound by W. Cauley-Stein,,86-87,,
3:51.0,D. Fox makes 2-pt shot from 2 ft,2,88-87,,
3:51.0,,,88-87,,Utah full timeout
3:51.0,,,88-87,,J. Ingles enters the game for R. O'Neale
3:51.0,B. Bogdanovic enters the game for J. Sampson,,88-87,,
3:38.0,,,88-89,2,D. Mitchell makes 2-pt shot from 2 ft
3:20.0,,,88-89,,Personal foul by J. Ingles (drawn by W. Cauley-Stein)
3:08.0,B. Bogdanovic misses 2-pt shot from 12 ft,,88-89,,
3:06.0,,,88-89,,Defensive rebound by R. Gobert
2:52.0,,,88-89,,D. Mitchell misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by D. Fox,,88-89,,
2:35.0,B. Bogdanovic misses 2-pt shot from 12 ft,,88-89,,
2:29.0,,,88-89,,Defensive rebound by R. Gobert
2:23.0,,,88-92,3,J. Ingles makes 3-pt shot from 25 ft (assist by J. Crowder)
1:55.0,B. Hield makes 3-pt shot from 25 ft,3,91-92,,
1:43.0,,,91-94,2,D. Mitchell makes 2-pt shot from 1 ft (assist by J. Ingles)
1:30.0,Shooting foul by R. Gobert (drawn by D. Fox),,91-94,,
1:30.0,D. Fox misses free throw 1 of 2,,91-94,,
1:30.0,Offensive rebound by Team,,91-94,,
1:30.0,D. Fox makes free throw 2 of 2,1,92-94,,
1:15.0,,,92-94,,Turnover by J. Ingles (bad pass; steal by W. Cauley-Stein)
1:11.0,D. Fox makes 2-pt shot from 2 ft (assist by G. Temple),2,94-94,,
0:56.0,,,94-94,,D. Mitchell misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
0:54.0,Defensive rebound by W. Cauley-Stein,,94-94,,
0:48.0,D. Fox misses 2-pt shot from 21 ft,,94-94,,
0:42.0,,,94-94,,Defensive rebound by J. Ingles
0:40.0,Personal block foul by B. Hield (drawn by J. Ingles),,94-94,,
0:40.0,,,94-95,1,J. Ingles makes free throw 1 of 2
0:40.0,K. Koufos enters the game for B. Bogdanovic,,94-95,,
0:40.0,,,94-96,1,J. Ingles makes free throw 2 of 2
0:40.0,Sacramento full timeout,,94-96,,
0:40.0,B. Bogdanovic enters the game for K. Koufos,,94-96,,
0:33.0,B. Bogdanovic misses 2-pt shot from 4 ft (block by R. Gobert),,94-96,,
0:31.0,,,94-96,,Defensive rebound by R. Rubio
0:31.0,Personal foul by B. Bogdanovic (drawn by R. Rubio),,94-96,,
0:31.0,,,94-97,1,R. Rubio makes free throw 1 of 2
0:31.0,K. Koufos enters the game for B. Bogdanovic,,94-97,,
0:31.0,,,94-98,1,R. Rubio makes free throw 2 of 2
0:31.0,Sacramento full timeout,,94-98,,
0:31.0,B. Bogdanovic enters the game for K. Koufos,,94-98,,
0:26.0,B. Hield misses 2-pt shot from 23 ft,,94-98,,
0:24.0,,,94-98,,Defensive rebound by Team
0:24.0,,,94-98,,Utah full timeout
0:23.0,Personal foul by W. Cauley-Stein (drawn by R. Gobert),,94-98,,
0:23.0,K. Koufos enters the game for W. Cauley-Stein,,94-98,,
0:23.0,,,94-99,1,R. Gobert makes free throw 1 of 2
0:23.0,,,94-100,1,R. Gobert makes free throw 2 of 2
0:18.0,G. Temple makes 3-pt shot from 28 ft (assist by D. Fox),3,97-100,,
0:08.0,Personal foul by G. Temple (drawn by J. Ingles),,97-100,,
0:08.0,,,97-101,1,J. Ingles makes free throw 1 of 2
0:08.0,,,97-101,,J. Ingles misses free throw 2 of 2
0:06.0,,,97-101,,Offensive rebound by R. Gobert
0:06.0,,,97-103,2,R. Gobert makes 2-pt shot from 2 ft
0:00.0,B. Hield misses 2-pt shot from 4 ft,,97-103,,
0:00.0,Offensive rebound by Team,,97-103,,
