time,Sacramento,pts.away,score,pts.home,Utah
1:01.0,,,22-31,2,D. Exum makes 2-pt shot from 1 ft (assist by D. Favors)
0:45.0,K. Koufos makes 2-pt shot from 11 ft (assist by B. Hield),2,24-31,,
0:32.0,,,24-31,,J. Jerebko misses 2-pt shot from 3 ft
0:31.0,,,24-31,,Offensive rebound by D. Favors
0:31.0,,,24-31,,Shooting foul by K. Koufos (drawn by D. Favors)
0:31.0,,,24-31,,D. Favors misses free throw 1 of 2
0:31.0,,,24-31,,Offensive rebound by Team
0:31.0,,,24-32,1,D. Favors makes free throw 2 of 2
0:19.0,G. Temple misses 2-pt shot from 21 ft,,24-32,,
0:12.0,,,24-32,,Defensive rebound by R. O'Neale
0:03.0,,,24-32,,Turnover by D. Exum (bad pass; steal by F. Mason)
0:00.0,F. Mason makes 3-pt shot from 25 ft,3,27-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,B. Hield makes 3-pt shot from 25 ft,3,30-32,,
11:16.0,,,30-32,,D. Favors misses 2-pt shot from 1 ft (block by J. Sampson)
11:11.0,,,30-32,,Offensive rebound by D. Favors
11:10.0,,,30-32,,D. Favors misses 2-pt shot from 3 ft
11:08.0,Defensive rebound by G. Temple,,30-32,,
11:06.0,F. Mason makes 3-pt shot from 24 ft (assist by G. Temple),3,33-32,,
10:44.0,,,33-32,,D. Favors misses 2-pt shot from 1 ft (block by J. Sampson)
10:39.0,Defensive rebound by F. Mason,,33-32,,
10:34.0,Turnover by J. Sampson (lost ball; steal by D. Favors),,33-32,,
10:33.0,Personal foul by F. Mason (drawn by J. Crowder),,33-32,,
10:33.0,W. Cauley-Stein enters the game for F. Mason,,33-32,,
10:33.0,D. Fox enters the game for K. Koufos,,33-32,,
10:18.0,Personal foul by J. Sampson (drawn by J. Jerebko),,33-32,,
10:12.0,,,33-34,2,D. Favors makes 2-pt shot at rim (assist by D. Exum)
10:02.0,Shooting foul by J. Ingles (drawn by D. Fox),,33-34,,
10:02.0,D. Fox makes free throw 1 of 2,1,34-34,,
10:02.0,D. Fox makes free throw 2 of 2,1,35-34,,
9:57.0,Personal foul by D. Fox (drawn by D. Exum),,35-34,,
9:45.0,,,35-34,,Shooting foul by J. Sampson (drawn by D. Favors)
9:45.0,,,35-34,,D. Favors misses free throw 1 of 2
9:45.0,,,35-34,,Offensive rebound by Team
9:45.0,,,35-35,1,D. Favors makes free throw 2 of 2
9:32.0,G. Temple makes 3-pt shot from 25 ft (assist by B. Hield),3,38-35,,
9:14.0,,,38-35,,J. Jerebko misses 3-pt shot from 26 ft
9:10.0,Defensive rebound by B. Hield,,38-35,,
9:01.0,W. Cauley-Stein misses 2-pt shot from 5 ft (block by D. Favors),,38-35,,
9:01.0,Offensive rebound by Team,,38-35,,
9:01.0,,,38-35,,R. O'Neale enters the game for J. Jerebko
9:01.0,,,38-35,,R. Gobert enters the game for J. Crowder
9:01.0,S. Labissiere enters the game for J. Sampson,,38-35,,
9:00.0,Turnover by G. Temple (bad pass),,38-35,,
8:49.0,,,38-35,,J. Ingles misses 3-pt shot from 26 ft
8:48.0,Defensive rebound by Team,,38-35,,
8:35.0,B. Hield makes 2-pt shot from 16 ft,2,40-35,,
8:16.0,,,40-35,,Turnover by J. Ingles (bad pass; steal by G. Temple)
8:16.0,,,40-35,,Personal foul by R. O'Neale (drawn by B. Hield)
8:16.0,,,40-35,,D. Mitchell enters the game for J. Ingles
8:08.0,D. Fox misses 2-pt shot from 14 ft,,40-35,,
8:05.0,,,40-35,,Defensive rebound by R. Gobert
7:58.0,,,40-35,,Turnover by D. Exum (step out of bounds)
7:33.0,D. Fox misses 2-pt shot from 4 ft,,40-35,,
7:31.0,Offensive rebound by D. Fox,,40-35,,
7:31.0,Turnover by Team (shot clock),,40-35,,
7:26.0,,,40-35,,Utah full timeout
