time,Orlando,pts.away,score,pts.home,Dallas
10:03.0,,,27-25,,D. Nowitzki misses 2-pt shot from 2 ft
10:00.0,Defensive rebound by D. Augustin,,27-25,,
9:54.0,A. Gordon misses 3-pt shot from 22 ft,,27-25,,
9:52.0,Offensive rebound by M. Speights,,27-25,,
9:43.0,M. Speights makes 2-pt shot from 17 ft (assist by D. Augustin),2,29-25,,
9:31.0,,,29-27,2,J. Barea makes 2-pt shot from 1 ft
9:13.0,M. Speights misses 3-pt shot from 25 ft,,29-27,,
9:10.0,,,29-27,,Defensive rebound by D. Powell
8:55.0,,,29-27,,D. Nowitzki misses 2-pt shot from 18 ft
8:54.0,Defensive rebound by Team,,29-27,,
8:54.0,,,29-27,,Loose ball foul by D. Smith (drawn by D. Augustin)
8:54.0,,,29-27,,H. Barnes enters the game for D. Nowitzki
8:38.0,D. Augustin makes 3-pt shot from 22 ft (assist by A. Afflalo),3,32-27,,
8:23.0,,,32-27,,Shooting foul by A. Gordon (drawn by H. Barnes)
8:23.0,,,32-28,1,H. Barnes makes free throw 1 of 2
8:23.0,,,32-28,,W. Matthews enters the game for D. Harris
8:23.0,,,32-29,1,H. Barnes makes free throw 2 of 2
8:09.0,A. Gordon misses 2-pt shot from 2 ft,,32-29,,
8:07.0,,,32-29,,Defensive rebound by H. Barnes
8:00.0,,,32-29,,D. Smith misses 2-pt shot from 16 ft
7:59.0,Defensive rebound by A. Gordon,,32-29,,
7:59.0,Turnover by A. Gordon (out of bounds lost ball),,32-29,,
7:56.0,,,32-29,,W. Matthews misses 2-pt shot from 1 ft (block by M. Speights)
7:54.0,Defensive rebound by W. Iwundu,,32-29,,
7:44.0,D. Augustin makes 2-pt shot at rim (assist by M. Speights),2,34-29,,
7:44.0,,,34-29,,Dallas full timeout
7:44.0,,,34-29,,Y. Ferrell enters the game for J. Barea
7:44.0,,,34-29,,J. McRoberts enters the game for D. Powell
7:32.0,,,34-29,,D. Smith misses 3-pt shot from 26 ft
7:29.0,Defensive rebound by M. Speights,,34-29,,
7:09.0,A. Gordon misses 3-pt shot from 24 ft,,34-29,,
7:06.0,,,34-29,,Defensive rebound by W. Matthews
7:03.0,,,34-29,,D. Smith misses 2-pt shot at rim
7:00.0,Defensive rebound by D. Augustin,,34-29,,
6:55.0,,,34-29,,Personal foul by J. McRoberts (drawn by M. Speights)
6:45.0,M. Speights makes 3-pt shot from 26 ft (assist by W. Iwundu),3,37-29,,
6:24.0,,,37-29,,H. Barnes misses 2-pt shot from 13 ft
6:22.0,Defensive rebound by M. Speights,,37-29,,
6:09.0,M. Speights misses 3-pt shot from 28 ft,,37-29,,
6:05.0,,,37-29,,Defensive rebound by W. Matthews
5:57.0,,,37-29,,J. McRoberts misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by M. Speights,,37-29,,
5:47.0,Turnover by D. Augustin (bad pass; steal by H. Barnes),,37-29,,
5:35.0,,,37-29,,H. Barnes misses 2-pt shot from 19 ft
5:31.0,Defensive rebound by A. Gordon,,37-29,,
5:09.0,D. Augustin misses 2-pt shot from 4 ft,,37-29,,
5:07.0,,,37-29,,Defensive rebound by H. Barnes
5:07.0,Personal take foul by M. Speights (drawn by D. Smith),,37-29,,
5:07.0,,,37-29,,J. Barea enters the game for D. Smith
5:07.0,,,37-29,,D. Powell enters the game for J. McRoberts
5:07.0,M. Hezonja enters the game for A. Gordon,,37-29,,
5:07.0,B. Biyombo enters the game for M. Speights,,37-29,,
5:07.0,E. Payton enters the game for D. Augustin,,37-29,,
4:58.0,,,37-29,,Shooting foul by M. Hezonja (drawn by H. Barnes)
4:58.0,,,37-30,1,H. Barnes makes free throw 1 of 2
4:58.0,E. Fournier enters the game for W. Iwundu,,37-30,,
4:58.0,,,37-30,,H. Barnes misses free throw 2 of 2
4:55.0,Defensive rebound by B. Biyombo,,37-30,,
4:34.0,E. Fournier misses 2-pt shot from 17 ft,,37-30,,
4:32.0,Offensive rebound by Team,,37-30,,
4:19.0,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier),2,39-30,,
4:03.0,,,39-32,2,J. Barea makes 2-pt shot from 10 ft (assist by D. Powell)
3:49.0,A. Afflalo makes 2-pt shot from 12 ft (assist by E. Payton),2,41-32,,
3:30.0,,,41-34,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
3:18.0,Turnover by B. Biyombo (traveling),,41-34,,
3:18.0,,,41-34,,S. Mejri enters the game for D. Powell
3:18.0,J. Simmons enters the game for A. Afflalo,,41-34,,
3:02.0,,,41-34,,H. Barnes misses 2-pt shot from 5 ft
2:59.0,Defensive rebound by M. Hezonja,,41-34,,
2:55.0,,,41-34,,Personal foul by J. Barea (drawn by M. Hezonja)
2:55.0,M. Hezonja makes free throw 1 of 2,1,42-34,,
2:55.0,M. Hezonja makes free throw 2 of 2,1,43-34,,
2:39.0,,,43-36,2,J. Barea makes 2-pt shot from 7 ft
2:25.0,E. Payton misses 2-pt shot from 8 ft,,43-36,,
2:23.0,,,43-36,,Defensive rebound by Y. Ferrell
2:13.0,,,43-39,3,H. Barnes makes 3-pt shot from 27 ft (assist by Y. Ferrell)
1:49.0,M. Hezonja misses 2-pt shot from 13 ft,,43-39,,
1:45.0,,,43-39,,Defensive rebound by Y. Ferrell
