time,Orlando,pts.away,score,pts.home,Dallas
2:20.0,D. Augustin misses 3-pt shot from 25 ft,,96-107,,
2:15.0,,,96-107,,Defensive rebound by Y. Ferrell
1:58.0,,,96-107,,Y. Ferrell misses 2-pt shot from 6 ft (block by E. Fournier)
1:56.0,,,96-107,,Offensive rebound by Y. Ferrell
1:53.0,,,96-109,2,D. Smith makes 2-pt shot from 21 ft
1:36.0,E. Fournier misses 3-pt shot from 24 ft,,96-109,,
1:34.0,,,96-109,,Defensive rebound by W. Matthews
1:25.0,Personal foul by J. Simmons (drawn by W. Matthews),,96-109,,
1:25.0,,,96-110,1,W. Matthews makes free throw 1 of 2
1:25.0,,,96-110,,W. Matthews misses free throw 2 of 2
1:23.0,Defensive rebound by E. Fournier,,96-110,,
1:17.0,A. Gordon misses 3-pt shot from 26 ft,,96-110,,
1:14.0,,,96-110,,Defensive rebound by H. Barnes
1:14.0,,,96-110,,Dallas full timeout
1:14.0,,,96-110,,K. Collinsworth enters the game for W. Matthews
1:14.0,W. Iwundu enters the game for A. Gordon,,96-110,,
1:14.0,S. Mack enters the game for E. Fournier,,96-110,,
1:14.0,K. Birch enters the game for D. Augustin,,96-110,,
1:14.0,A. Afflalo enters the game for J. Simmons,,96-110,,
0:58.0,,,96-112,2,D. Smith makes 2-pt shot at rim
0:49.0,,,96-112,,Shooting block foul by D. Smith (drawn by W. Iwundu)
0:49.0,W. Iwundu misses free throw 1 of 2,,96-112,,
0:49.0,Offensive rebound by Team,,96-112,,
0:49.0,,,96-112,,M. Kleber enters the game for Y. Ferrell
0:49.0,W. Iwundu makes free throw 2 of 2,1,97-112,,
0:27.0,,,97-114,2,D. Smith makes 2-pt shot from 1 ft
0:11.0,M. Hezonja makes 2-pt shot from 5 ft (assist by W. Iwundu),2,99-114,,
