time,Washington,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. M. Gortat (B. Beal gains possession),,,,Jump ball: J. Valanciunas vs. M. Gortat (B. Beal gains possession)
11:46.0,O. Porter makes 2-pt shot from 18 ft,2,2-0,,
11:25.0,,,2-2,2,S. Ibaka makes 2-pt shot from 16 ft (assist by D. DeRozan)
11:04.0,B. Beal misses 3-pt shot from 22 ft,,2-2,,
11:01.0,,,2-2,,Defensive rebound by K. Lowry
10:52.0,,,2-4,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
10:45.0,B. Beal makes 2-pt shot from 1 ft,2,4-4,,
10:39.0,,,4-7,3,K. Lowry makes 3-pt shot from 26 ft
10:23.0,O. Porter misses 2-pt shot from 3 ft (block by J. Valanciunas),,4-7,,
10:21.0,,,4-7,,Defensive rebound by J. Valanciunas
10:20.0,,,4-7,,Turnover by J. Valanciunas (bad pass; steal by M. Morris)
10:17.0,Turnover by M. Morris (bad pass; steal by K. Lowry),,4-7,,
10:16.0,,,4-7,,Shooting foul by J. Wall (drawn by O. Anunoby)
10:16.0,,,4-8,1,O. Anunoby makes free throw 1 of 2
10:16.0,,,4-9,1,O. Anunoby makes free throw 2 of 2
10:09.0,,,4-9,,Personal foul by O. Anunoby (drawn by B. Beal)
9:55.0,B. Beal misses 2-pt shot from 14 ft,,4-9,,
9:53.0,,,4-9,,Defensive rebound by S. Ibaka
9:44.0,,,4-12,3,O. Anunoby makes 3-pt shot from 22 ft (assist by S. Ibaka)
9:40.0,Washington full timeout,,4-12,,
9:33.0,M. Gortat misses 2-pt shot from 4 ft,,4-12,,
9:30.0,,,4-12,,Defensive rebound by J. Valanciunas
9:23.0,,,4-12,,Shooting foul by B. Beal (drawn by O. Anunoby)
9:23.0,,,4-12,,O. Anunoby misses free throw 1 of 3
9:23.0,,,4-12,,Offensive rebound by Team
9:23.0,,,4-13,1,O. Anunoby makes free throw 2 of 3
9:23.0,,,4-14,1,O. Anunoby makes free throw 3 of 3
9:10.0,M. Morris makes 2-pt shot from 6 ft (assist by B. Beal),2,6-14,,
8:52.0,,,6-14,,S. Ibaka misses 2-pt shot from 16 ft
8:49.0,,,6-14,,Offensive rebound by O. Anunoby
8:44.0,,,6-14,,D. DeRozan misses 2-pt shot from 20 ft
8:41.0,Defensive rebound by M. Gortat,,6-14,,
8:29.0,M. Gortat misses 2-pt shot from 2 ft,,6-14,,
8:27.0,,,6-14,,Defensive rebound by J. Valanciunas
8:19.0,,,6-17,3,J. Valanciunas makes 3-pt shot from 26 ft (assist by D. DeRozan)
8:03.0,J. Wall makes 2-pt shot from 18 ft,2,8-17,,
7:54.0,Personal foul by M. Gortat (drawn by J. Valanciunas),,8-17,,
7:54.0,M. Scott enters the game for M. Gortat,,8-17,,
7:50.0,,,8-19,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
7:42.0,Offensive charge foul by J. Wall (drawn by K. Lowry),,8-19,,
7:42.0,Turnover by J. Wall (offensive foul),,8-19,,
7:42.0,T. Lawson enters the game for J. Wall,,8-19,,
7:21.0,,,8-21,2,K. Lowry makes 2-pt shot from 2 ft
7:08.0,,,8-21,,Personal foul by K. Lowry (drawn by B. Beal)
7:03.0,O. Porter misses 2-pt shot from 19 ft (block by S. Ibaka),,8-21,,
6:59.0,,,8-21,,Defensive rebound by J. Valanciunas
6:50.0,,,8-21,,O. Anunoby misses 3-pt shot from 23 ft
6:46.0,,,8-21,,Offensive rebound by D. DeRozan
6:44.0,,,8-21,,Turnover by D. DeRozan (bad pass)
6:35.0,B. Beal misses 3-pt shot from 29 ft,,8-21,,
6:31.0,,,8-21,,Defensive rebound by K. Lowry
6:29.0,,,8-21,,D. DeRozan misses 2-pt shot from 1 ft
6:29.0,Defensive rebound by O. Porter,,8-21,,
6:21.0,T. Lawson makes 3-pt shot from 25 ft (assist by B. Beal),3,11-21,,
6:12.0,,,11-21,,Offensive foul by J. Valanciunas (drawn by T. Lawson)
6:12.0,,,11-21,,Turnover by J. Valanciunas (offensive foul)
6:12.0,,,11-21,,D. Wright enters the game for O. Anunoby
6:02.0,M. Morris misses 2-pt shot from 16 ft,,11-21,,
5:59.0,,,11-21,,Defensive rebound by S. Ibaka
5:55.0,Personal foul by M. Morris (drawn by J. Valanciunas),,11-21,,
5:55.0,K. Oubre enters the game for O. Porter,,11-21,,
5:40.0,,,11-21,,J. Valanciunas misses 2-pt shot from 11 ft
5:34.0,,,11-21,,Offensive rebound by S. Ibaka
5:34.0,,,11-21,,S. Ibaka misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by M. Scott,,11-21,,
5:24.0,M. Morris misses 3-pt shot from 22 ft,,11-21,,
5:21.0,,,11-21,,Defensive rebound by S. Ibaka
5:12.0,,,11-24,3,D. Wright makes 3-pt shot from 23 ft (assist by S. Ibaka)
4:59.0,B. Beal makes 2-pt shot from 17 ft,2,13-24,,
4:47.0,,,13-26,2,D. DeRozan makes 2-pt shot at rim (assist by J. Valanciunas)
4:32.0,M. Morris misses 2-pt shot from 1 ft,,13-26,,
4:29.0,,,13-26,,Defensive rebound by J. Valanciunas
4:20.0,,,13-28,2,D. DeRozan makes 2-pt shot from 21 ft (assist by K. Lowry)
4:20.0,Washington full timeout,,13-28,,
4:07.0,M. Scott misses 3-pt shot from 23 ft,,13-28,,
4:05.0,,,13-28,,Defensive rebound by J. Valanciunas
3:59.0,,,13-31,3,D. DeRozan makes 3-pt shot from 25 ft
3:59.0,,,13-31,,Shooting foul by B. Beal (drawn by D. DeRozan)
3:59.0,T. Satoransky enters the game for B. Beal,,13-31,,
3:59.0,,,13-32,1,D. DeRozan makes free throw 1 of 1
3:54.0,Turnover by T. Lawson (bad pass; steal by D. Wright),,13-32,,
3:51.0,,,13-34,2,D. Wright makes 2-pt shot at rim
3:38.0,T. Lawson misses 2-pt shot from 17 ft,,13-34,,
3:36.0,,,13-34,,Defensive rebound by J. Valanciunas
3:32.0,,,13-34,,K. Lowry misses 3-pt shot from 28 ft
3:29.0,Defensive rebound by M. Morris,,13-34,,
3:19.0,K. Oubre makes 2-pt shot from 16 ft (assist by M. Morris),2,15-34,,
2:59.0,,,15-34,,K. Lowry misses 3-pt shot from 24 ft
2:57.0,Defensive rebound by T. Lawson,,15-34,,
2:53.0,K. Oubre misses 2-pt shot from 9 ft,,15-34,,
2:50.0,,,15-34,,Defensive rebound by J. Valanciunas
2:44.0,,,15-37,3,S. Ibaka makes 3-pt shot from 26 ft (assist by K. Lowry)
2:24.0,,,15-37,,J. Poeltl enters the game for K. Lowry
2:24.0,,,15-37,,C. Miles enters the game for J. Valanciunas
2:24.0,I. Mahinmi enters the game for M. Morris,,15-37,,
2:20.0,Shooting foul by J. Poeltl (drawn by M. Scott),,15-37,,
2:20.0,M. Scott makes free throw 1 of 2,1,16-37,,
2:20.0,,,16-37,,P. Siakam enters the game for S. Ibaka
2:20.0,M. Scott makes free throw 2 of 2,1,17-37,,
2:07.0,,,17-37,,D. DeRozan misses 3-pt shot from 26 ft
2:04.0,Defensive rebound by K. Oubre,,17-37,,
1:58.0,M. Scott makes 3-pt shot from 23 ft (assist by T. Lawson),3,20-37,,
1:48.0,,,20-39,2,D. DeRozan makes 2-pt shot from 10 ft
1:35.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by T. Lawson),2,22-39,,
1:16.0,,,22-42,3,D. DeRozan makes 3-pt shot from 23 ft (assist by P. Siakam)
1:04.0,,,22-42,,Personal foul by P. Siakam (drawn by T. Lawson)
0:54.0,T. Lawson misses 2-pt shot from 17 ft,,22-42,,
0:52.0,Offensive rebound by T. Lawson,,22-42,,
0:51.0,M. Scott makes 3-pt shot from 26 ft (assist by T. Lawson),3,25-42,,
0:32.0,,,25-42,,D. DeRozan misses 3-pt shot from 29 ft
0:29.0,Defensive rebound by M. Scott,,25-42,,
0:26.0,K. Oubre makes 2-pt shot at rim (assist by T. Lawson),2,27-42,,
0:05.0,,,27-42,,C. Miles misses 3-pt shot from 27 ft
0:03.0,,,27-42,,Offensive rebound by J. Poeltl
0:02.0,,,27-44,2,J. Poeltl makes 2-pt shot from 1 ft
0:00.0,T. Lawson misses 3-pt shot from 42 ft,,27-44,,
0:00.0,Offensive rebound by Team,,27-44,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,27-44,,C. Miles misses 3-pt shot from 26 ft
11:45.0,Defensive rebound by T. Satoransky,,27-44,,
11:42.0,Turnover by T. Satoransky (bad pass; steal by D. Wright),,27-44,,
11:36.0,Shooting block foul by T. Satoransky (drawn by D. Wright),,27-44,,
11:36.0,,,27-45,1,D. Wright makes free throw 1 of 2
11:36.0,,,27-46,1,D. Wright makes free throw 2 of 2
11:23.0,K. Oubre makes 2-pt shot at rim (assist by M. Scott),2,29-46,,
11:08.0,,,29-49,3,C. Miles makes 3-pt shot from 23 ft (assist by D. Wright)
10:46.0,M. Scott makes 2-pt shot from 16 ft (assist by T. Lawson),2,31-49,,
10:22.0,,,31-49,,F. VanVleet misses 3-pt shot from 29 ft
10:20.0,Defensive rebound by M. Scott,,31-49,,
10:12.0,T. Satoransky makes 2-pt shot from 11 ft,2,33-49,,
9:57.0,,,33-49,,Turnover by F. VanVleet (out of bounds lost ball)
9:44.0,,,33-49,,Personal foul by P. Siakam (drawn by M. Scott)
9:37.0,I. Mahinmi makes 2-pt shot at rim (assist by T. Lawson),2,35-49,,
9:23.0,,,35-49,,D. Wright misses 2-pt shot from 3 ft
9:19.0,,,35-49,,Offensive rebound by P. Siakam
9:19.0,,,35-51,2,P. Siakam makes 2-pt shot at rim
9:11.0,,,35-51,,Personal foul by P. Siakam (drawn by T. Lawson)
9:11.0,,,35-51,,K. Lowry enters the game for F. VanVleet
9:11.0,,,35-51,,N. Powell enters the game for P. Siakam
9:06.0,Shooting foul by J. Poeltl (drawn by T. Satoransky),,35-51,,
9:06.0,T. Satoransky makes free throw 1 of 2,1,36-51,,
9:06.0,T. Satoransky misses free throw 2 of 2,,36-51,,
9:04.0,,,36-51,,Defensive rebound by J. Poeltl
8:54.0,,,36-54,3,C. Miles makes 3-pt shot from 24 ft (assist by D. Wright)
8:38.0,,,36-54,,Personal block foul by C. Miles (drawn by T. Lawson)
8:26.0,M. Scott makes 2-pt shot from 16 ft (assist by T. Lawson),2,38-54,,
8:19.0,,,38-54,,Toronto full timeout
8:01.0,,,38-54,,D. Wright misses 2-pt shot from 3 ft
7:58.0,Defensive rebound by I. Mahinmi,,38-54,,
7:40.0,M. Scott makes 2-pt shot from 11 ft (assist by T. Lawson),2,40-54,,
7:26.0,,,40-54,,N. Powell misses 2-pt shot from 2 ft
7:24.0,Defensive rebound by I. Mahinmi,,40-54,,
7:14.0,,,40-54,,D. DeRozan enters the game for J. Poeltl
7:14.0,,,40-54,,J. Valanciunas enters the game for D. Wright
7:14.0,J. Wall enters the game for T. Lawson,,40-54,,
7:14.0,O. Porter enters the game for M. Scott,,40-54,,
7:14.0,B. Beal enters the game for T. Satoransky,,40-54,,
7:12.0,Turnover by K. Oubre (bad pass),,40-54,,
6:55.0,,,40-57,3,C. Miles makes 3-pt shot from 22 ft (assist by D. DeRozan)
6:41.0,,,40-57,,Personal foul by C. Miles (drawn by B. Beal)
6:41.0,B. Beal makes free throw 1 of 2,1,41-57,,
6:41.0,,,41-57,,S. Ibaka enters the game for N. Powell
6:41.0,M. Morris enters the game for K. Oubre,,41-57,,
6:41.0,B. Beal makes free throw 2 of 2,1,42-57,,
6:27.0,,,42-60,3,D. DeRozan makes 3-pt shot from 26 ft (assist by K. Lowry)
6:00.0,J. Wall misses 2-pt shot at rim,,42-60,,
5:59.0,,,42-60,,Defensive rebound by J. Valanciunas
5:44.0,,,42-60,,K. Lowry misses 3-pt shot from 26 ft
5:42.0,Defensive rebound by Team,,42-60,,
5:42.0,,,42-60,,Loose ball foul by J. Valanciunas (drawn by I. Mahinmi)
5:42.0,I. Mahinmi makes free throw 1 of 2,1,43-60,,
5:42.0,I. Mahinmi misses free throw 2 of 2,,43-60,,
5:40.0,,,43-60,,Defensive rebound by J. Valanciunas
5:23.0,Personal foul by M. Morris (drawn by S. Ibaka),,43-60,,
5:20.0,,,43-62,2,C. Miles makes 2-pt shot at rim (assist by K. Lowry)
5:05.0,I. Mahinmi makes 2-pt shot from 8 ft,2,45-62,,
4:52.0,,,45-64,2,S. Ibaka makes 2-pt shot from 1 ft
4:52.0,Technical foul by I. Mahinmi (drawn by S. Ibaka),,45-64,,
4:52.0,,,45-65,1,S. Ibaka makes flagrant free throw 1 of 1
4:52.0,,,45-65,,O. Anunoby enters the game for C. Miles
4:41.0,,,45-67,2,K. Lowry makes 2-pt shot from 9 ft
4:26.0,B. Beal misses 2-pt shot from 15 ft,,45-67,,
4:23.0,,,45-67,,Defensive rebound by S. Ibaka
4:13.0,,,45-67,,D. DeRozan misses 2-pt shot from 8 ft
4:09.0,Defensive rebound by O. Porter,,45-67,,
3:58.0,J. Wall misses 2-pt shot from 15 ft (block by S. Ibaka),,45-67,,
3:55.0,,,45-67,,Defensive rebound by K. Lowry
3:49.0,,,45-67,,S. Ibaka misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by M. Morris,,45-67,,
3:37.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,47-67,,
3:09.0,,,47-67,,K. Lowry misses 3-pt shot from 27 ft
3:05.0,Defensive rebound by J. Wall,,47-67,,
3:02.0,,,47-67,,Personal foul by D. DeRozan (drawn by O. Porter)
3:02.0,O. Porter makes free throw 1 of 2,1,48-67,,
3:02.0,K. Oubre enters the game for I. Mahinmi,,48-67,,
3:02.0,O. Porter makes free throw 2 of 2,1,49-67,,
2:43.0,,,49-67,,S. Ibaka misses 2-pt shot from 13 ft
2:40.0,Defensive rebound by M. Morris,,49-67,,
2:35.0,K. Oubre misses 3-pt shot from 25 ft,,49-67,,
2:32.0,,,49-67,,Defensive rebound by J. Valanciunas
2:22.0,,,49-69,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
2:16.0,Turnover by J. Wall (bad pass; steal by O. Anunoby),,49-69,,
2:11.0,,,49-69,,Turnover by K. Lowry (bad pass; steal by O. Porter)
2:05.0,O. Porter misses 2-pt shot from 3 ft (block by J. Valanciunas),,49-69,,
2:02.0,,,49-69,,Defensive rebound by J. Valanciunas
1:56.0,,,49-71,2,J. Valanciunas makes 2-pt shot from 5 ft
