time,Houston,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. C. Capela,,,,Jump ball: H. Whiteside vs. C. Capela
11:57.0,Jump ball: C. Capela vs.,,,,Jump ball: C. Capela vs.
11:45.0,,,0-2,2,H. Whiteside makes 2-pt shot from 7 ft
11:28.0,Shooting foul by J. Winslow (drawn by J. Harden),,0-2,,
11:28.0,J. Harden makes free throw 1 of 2,1,1-2,,
11:28.0,J. Harden makes free throw 2 of 2,1,2-2,,
11:21.0,Personal foul by C. Capela (drawn by H. Whiteside),,2-2,,
11:11.0,,,2-2,,D. Jones misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by C. Paul,,2-2,,
10:56.0,Shooting foul by H. Whiteside (drawn by C. Capela),,2-2,,
10:56.0,C. Capela misses free throw 1 of 2,,2-2,,
10:56.0,Offensive rebound by Team,,2-2,,
10:56.0,C. Capela makes free throw 2 of 2,1,3-2,,
10:41.0,,,3-2,,J. Richardson misses 2-pt shot from 10 ft
10:41.0,Defensive rebound by C. Capela,,3-2,,
10:32.0,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by C. Paul),3,6-2,,
10:17.0,,,6-4,2,J. Winslow makes 2-pt shot from 1 ft (assist by G. Dragic)
9:54.0,C. Paul misses 3-pt shot from 25 ft,,6-4,,
9:52.0,,,6-4,,Defensive rebound by G. Dragic
9:47.0,,,6-7,3,G. Dragic makes 3-pt shot from 24 ft (assist by J. Winslow)
9:26.0,J. Harden makes 2-pt shot from 5 ft,2,8-7,,
9:13.0,,,8-7,,G. Dragic misses 3-pt shot from 25 ft
9:11.0,,,8-7,,Offensive rebound by Team
9:10.0,Personal foul by J. Harden (drawn by J. Winslow),,8-7,,
9:05.0,,,8-7,,Turnover by H. Whiteside (bad pass; steal by C. Paul)
9:01.0,J. Harden makes 3-pt shot from 25 ft (assist by C. Paul),3,11-7,,
8:38.0,,,11-9,2,J. Richardson makes 2-pt shot from 10 ft
8:20.0,Turnover by C. Capela (lost ball; steal by J. Richardson),,11-9,,
8:17.0,,,11-9,,D. Jones misses 2-pt shot from 1 ft (block by J. Harden)
8:14.0,,,11-9,,Offensive rebound by D. Jones
8:13.0,,,11-9,,Turnover by D. Jones (bad pass; steal by L. Mbah a Moute)
8:06.0,J. Harden misses 3-pt shot from 24 ft,,11-9,,
8:02.0,,,11-9,,Defensive rebound by J. Winslow
7:51.0,,,11-11,2,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Winslow)
7:37.0,C. Paul makes 2-pt shot from 6 ft,2,13-11,,
7:16.0,,,13-11,,H. Whiteside misses 2-pt shot from 2 ft
7:15.0,,,13-11,,Offensive rebound by D. Jones
7:13.0,,,13-11,,D. Jones misses 2-pt shot at rim
7:12.0,Defensive rebound by C. Paul,,13-11,,
7:11.0,G. Green enters the game for C. Paul,,13-11,,
7:03.0,Shooting foul by D. Jones (drawn by J. Harden),,13-11,,
7:03.0,J. Harden makes free throw 1 of 3,1,14-11,,
7:03.0,J. Harden makes free throw 2 of 3,1,15-11,,
7:03.0,J. Harden makes free throw 3 of 3,1,16-11,,
6:49.0,,,16-11,,J. Richardson misses 2-pt shot from 2 ft
6:45.0,,,16-11,,Offensive rebound by J. Richardson
6:45.0,,,16-13,2,J. Richardson makes 2-pt shot at rim
6:34.0,G. Green misses 2-pt shot from 10 ft,,16-13,,
6:33.0,,,16-13,,Defensive rebound by H. Whiteside
6:22.0,,,16-13,,D. Jones misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by L. Mbah a Moute,,16-13,,
6:11.0,Turnover by P. Tucker (step out of bounds),,16-13,,
6:11.0,,,16-13,,Miami full timeout
6:11.0,,,16-13,,T. Johnson enters the game for J. Richardson
6:11.0,,,16-13,,J. Johnson enters the game for J. Winslow
6:11.0,N. Hilario enters the game for C. Capela,,16-13,,
5:54.0,,,16-13,,J. Johnson misses 3-pt shot from 24 ft
5:50.0,Defensive rebound by J. Harden,,16-13,,
5:44.0,J. Harden makes 2-pt shot from 1 ft,2,18-13,,
5:28.0,,,18-16,3,D. Jones makes 3-pt shot from 22 ft (assist by T. Johnson)
5:08.0,J. Harden misses 2-pt shot from 6 ft,,18-16,,
5:06.0,,,18-16,,Defensive rebound by T. Johnson
5:02.0,,,18-16,,Turnover by J. Johnson (bad pass; steal by N. Hilario)
4:41.0,J. Harden makes 2-pt shot from 1 ft,2,20-16,,
