time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. K. Love (J. Brown gains possession),,,,Jump ball: A. Horford vs. K. Love (J. Brown gains possession)
11:54.0,,,0-2,2,J. Brown makes 2-pt shot from 2 ft
11:29.0,L. James makes 2-pt shot from 10 ft,2,2-2,,
11:14.0,,,2-2,,Shooting foul by K. Love (drawn by A. Horford)
11:14.0,,,2-2,,A. Horford misses free throw 1 of 2
11:14.0,,,2-2,,Offensive rebound by Team
11:14.0,,,2-3,1,A. Horford makes free throw 2 of 2
10:51.0,K. Korver misses 3-pt shot from 25 ft,,2-3,,
10:49.0,,,2-3,,Defensive rebound by M. Morris
10:36.0,,,2-3,,Turnover by T. Rozier (step out of bounds)
10:23.0,Shooting foul by M. Morris (drawn by K. Love),,2-3,,
10:23.0,K. Love makes free throw 1 of 2,1,3-3,,
10:23.0,K. Love makes free throw 2 of 2,1,4-3,,
9:59.0,,,4-3,,M. Morris misses 2-pt shot from 20 ft
9:59.0,,,4-3,,Offensive rebound by Team
9:59.0,,,4-3,,Turnover by Team (shot clock)
9:44.0,K. Love makes 2-pt shot from 7 ft (assist by L. James),2,6-3,,
9:29.0,,,6-3,,Shooting foul by K. Korver (drawn by M. Morris)
9:29.0,,,6-4,1,M. Morris makes free throw 1 of 2
9:29.0,,,6-4,,M. Morris misses free throw 2 of 2
9:29.0,Defensive rebound by K. Love,,6-4,,
9:18.0,Shooting foul by M. Morris (drawn by L. James),,6-4,,
9:18.0,L. James makes free throw 1 of 2,1,7-4,,
9:18.0,L. James misses free throw 2 of 2,,7-4,,
9:18.0,,,7-4,,Defensive rebound by J. Brown
8:56.0,,,7-6,2,M. Morris makes 2-pt shot from 1 ft (assist by T. Rozier)
8:56.0,,,7-6,,Shooting foul by G. Hill (drawn by M. Morris)
8:56.0,,,7-7,1,M. Morris makes free throw 1 of 1
8:41.0,L. James misses 2-pt shot from 3 ft,,7-7,,
8:39.0,,,7-7,,Defensive rebound by A. Horford
8:33.0,,,7-9,2,T. Rozier makes 2-pt shot from 6 ft (assist by A. Horford)
