time,Minnesota,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. K. Towns (B. McLemore gains possession),,,,Jump ball: M. Gasol vs. K. Towns (B. McLemore gains possession)
11:42.0,,,0-2,2,D. Brooks makes 2-pt shot from 16 ft (assist by M. Gasol)
11:24.0,T. Gibson misses 2-pt shot from 18 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by B. McLemore
11:13.0,,,0-4,2,J. Green makes 2-pt shot from 10 ft
10:54.0,T. Gibson misses 2-pt shot from 15 ft,,0-4,,
10:51.0,,,0-4,,Defensive rebound by J. Green
10:48.0,,,0-4,,Shooting foul by T. Gibson (drawn by M. Gasol)
10:48.0,,,0-5,1,M. Gasol makes free throw 1 of 2
10:48.0,,,0-6,1,M. Gasol makes free throw 2 of 2
10:27.0,J. Butler makes 3-pt shot from 25 ft,3,3-6,,
10:06.0,,,3-6,,D. Brooks misses 2-pt shot from 4 ft
10:02.0,Defensive rebound by T. Gibson,,3-6,,
9:51.0,J. Butler makes 2-pt shot from 3 ft,2,5-6,,
9:33.0,,,5-6,,J. Green misses 2-pt shot from 16 ft
9:30.0,Defensive rebound by A. Wiggins,,5-6,,
9:16.0,J. Butler makes 2-pt shot from 13 ft (assist by J. Teague),2,7-6,,
9:03.0,,,7-6,,M. Gasol misses 2-pt shot from 21 ft
9:00.0,Defensive rebound by T. Gibson,,7-6,,
8:58.0,,,7-6,,Personal foul by M. Gasol (drawn by K. Towns)
8:52.0,T. Gibson misses 3-pt shot from 23 ft,,7-6,,
8:48.0,,,7-6,,Defensive rebound by T. Evans
8:44.0,,,7-8,2,T. Evans makes 2-pt shot from 3 ft
8:33.0,J. Teague misses 2-pt shot from 3 ft (block by T. Evans),,7-8,,
8:29.0,,,7-8,,Defensive rebound by B. McLemore
8:22.0,,,7-10,2,M. Gasol makes 2-pt shot at rim (assist by T. Evans)
8:01.0,A. Wiggins misses 2-pt shot from 16 ft,,7-10,,
7:58.0,Offensive rebound by K. Towns,,7-10,,
7:56.0,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Towns),2,9-10,,
7:43.0,,,9-10,,Turnover by M. Gasol (lost ball; steal by J. Butler)
7:30.0,T. Gibson makes 2-pt shot from 3 ft (assist by J. Butler),2,11-10,,
7:30.0,,,11-10,,Memphis full timeout
7:30.0,,,11-10,,A. Harrison enters the game for T. Evans
7:16.0,,,11-13,3,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison)
6:58.0,J. Teague makes 2-pt shot from 4 ft,2,13-13,,
6:35.0,,,13-15,2,A. Harrison makes 2-pt shot from 2 ft
6:17.0,A. Wiggins misses 3-pt shot from 27 ft,,13-15,,
6:14.0,,,13-15,,Defensive rebound by D. Brooks
6:00.0,,,13-15,,M. Gasol misses 2-pt shot from 6 ft
5:57.0,Defensive rebound by J. Teague,,13-15,,
5:48.0,J. Teague makes 2-pt shot from 12 ft,2,15-15,,
5:36.0,,,15-17,2,B. McLemore makes 2-pt shot from 2 ft
5:24.0,T. Gibson misses 2-pt shot from 2 ft,,15-17,,
5:20.0,,,15-17,,Defensive rebound by D. Brooks
5:12.0,,,15-17,,Turnover by A. Harrison (traveling)
5:12.0,,,15-17,,J. Martin enters the game for J. Green
5:12.0,,,15-17,,J. Ennis enters the game for B. McLemore
4:54.0,A. Wiggins makes 2-pt shot from 2 ft (assist by J. Butler),2,17-17,,
4:42.0,,,17-17,,M. Gasol misses 2-pt shot from 9 ft
4:39.0,Defensive rebound by A. Wiggins,,17-17,,
4:27.0,,,17-17,,Personal foul by D. Brooks (drawn by A. Wiggins)
4:27.0,,,17-17,,M. Chalmers enters the game for D. Brooks
4:27.0,G. Dieng enters the game for K. Towns,,17-17,,
4:27.0,,,17-17,,Personal foul by A. Harrison (drawn by J. Butler)
4:19.0,Turnover by G. Dieng (traveling),,17-17,,
