time,Utah,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Gobert (D. Mitchell gains possession),,,,Jump ball: M. Gasol vs. R. Gobert (D. Mitchell gains possession)
11:38.0,J. Ingles makes 2-pt shot from 1 ft,2,2-0,,
11:22.0,,,2-0,,M. Gasol misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by R. Rubio,,2-0,,
11:17.0,Shooting foul by M. Gasol (drawn by R. Rubio),,2-0,,
11:17.0,R. Rubio makes free throw 1 of 2,1,3-0,,
11:17.0,R. Rubio makes free throw 2 of 2,1,4-0,,
10:54.0,,,4-0,,D. Brooks misses 2-pt shot from 15 ft
10:50.0,Defensive rebound by R. Gobert,,4-0,,
10:34.0,Turnover by R. Rubio (bad pass),,4-0,,
10:18.0,,,4-2,2,M. Gasol makes 2-pt shot from 13 ft
10:03.0,Turnover by D. Mitchell (traveling),,4-2,,
9:54.0,,,4-4,2,A. Harrison makes 2-pt shot from 1 ft
9:48.0,,,4-4,,Personal foul by A. Harrison (drawn by R. Rubio)
9:42.0,J. Ingles makes 3-pt shot from 25 ft (assist by R. Rubio),3,7-4,,
9:20.0,,,7-4,,J. Martin misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by R. Rubio,,7-4,,
9:14.0,D. Mitchell misses 2-pt shot from 4 ft,,7-4,,
9:10.0,,,7-4,,Defensive rebound by D. Brooks
9:04.0,,,7-4,,D. Brooks misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by R. Gobert,,7-4,,
8:51.0,Turnover by R. Gobert (lost ball; steal by J. Green),,7-4,,
8:33.0,,,7-4,,D. Brooks misses 2-pt shot from 1 ft
8:30.0,,,7-4,,Offensive rebound by J. Green
8:29.0,,,7-4,,J. Green misses 2-pt shot from 2 ft (block by D. Mitchell)
8:27.0,Defensive rebound by R. Rubio,,7-4,,
8:23.0,R. Rubio makes 2-pt shot from 17 ft,2,9-4,,
8:08.0,,,9-7,3,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison)
7:54.0,R. Rubio makes 2-pt shot from 21 ft,2,11-7,,
7:37.0,,,11-7,,D. Brooks misses 2-pt shot from 12 ft
7:32.0,Defensive rebound by D. Mitchell,,11-7,,
7:30.0,D. Mitchell makes 2-pt shot from 1 ft (assist by J. Ingles),2,13-7,,
7:26.0,,,13-7,,Turnover by M. Gasol (bad pass; steal by R. Rubio)
7:23.0,R. Rubio misses 2-pt shot from 4 ft,,13-7,,
7:22.0,Offensive rebound by R. Rubio,,13-7,,
7:22.0,Shooting foul by J. Green (drawn by R. Gobert),,13-7,,
7:22.0,,,13-7,,Memphis full timeout
7:22.0,R. Gobert makes free throw 1 of 2,1,14-7,,
7:22.0,R. Gobert makes free throw 2 of 2,1,15-7,,
6:58.0,,,15-7,,D. Brooks misses 2-pt shot from 2 ft
6:58.0,Defensive rebound by Team,,15-7,,
6:38.0,R. Gobert misses 2-pt shot from 2 ft (block by A. Harrison),,15-7,,
6:37.0,Offensive rebound by Team,,15-7,,
6:37.0,,,15-7,,W. Selden enters the game for J. Martin
6:35.0,R. Gobert misses 2-pt shot from 17 ft,,15-7,,
6:31.0,,,15-7,,Defensive rebound by A. Harrison
6:23.0,,,15-9,2,M. Gasol makes 2-pt shot from 14 ft (assist by A. Harrison)
6:11.0,J. Ingles misses 3-pt shot from 27 ft,,15-9,,
6:10.0,,,15-9,,Defensive rebound by D. Brooks
6:03.0,,,15-12,3,A. Harrison makes 3-pt shot from 26 ft (assist by M. Gasol)
5:47.0,R. Rubio misses 2-pt shot from 20 ft,,15-12,,
5:44.0,,,15-12,,Defensive rebound by J. Green
5:34.0,,,15-14,2,J. Green makes 2-pt shot from 16 ft (assist by W. Selden)
5:08.0,R. Rubio makes 2-pt shot from 11 ft (assist by J. Ingles),2,17-14,,
4:54.0,,,17-14,,A. Harrison misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by R. Rubio,,17-14,,
4:46.0,R. Rubio misses 2-pt shot from 8 ft,,17-14,,
4:41.0,Offensive rebound by D. Favors,,17-14,,
4:39.0,D. Mitchell misses 2-pt shot at rim,,17-14,,
4:39.0,,,17-14,,Defensive rebound by Team
4:39.0,,,17-14,,M. Chalmers enters the game for A. Harrison
4:39.0,,,17-14,,J. Ennis enters the game for D. Brooks
4:39.0,J. Jerebko enters the game for D. Favors,,17-14,,
4:30.0,,,17-14,,Turnover by M. Chalmers (bad pass; steal by R. Rubio)
4:28.0,Offensive charge foul by D. Mitchell (drawn by M. Chalmers),,17-14,,
4:28.0,Turnover by D. Mitchell (offensive foul),,17-14,,
4:09.0,,,17-14,,M. Gasol misses 2-pt shot from 7 ft
4:07.0,,,17-14,,Offensive rebound by J. Green
4:07.0,Personal foul by J. Jerebko (drawn by J. Green),,17-14,,
4:07.0,R. Hood enters the game for J. Ingles,,17-14,,
4:07.0,R. O'Neale enters the game for R. Rubio,,17-14,,
3:56.0,,,17-16,2,M. Gasol makes 2-pt shot from 5 ft
3:35.0,R. Hood makes 2-pt shot from 22 ft,2,19-16,,
3:22.0,,,19-16,,M. Gasol misses 3-pt shot from 26 ft
3:17.0,Defensive rebound by R. O'Neale,,19-16,,
3:17.0,,,19-16,,Personal foul by J. Green (drawn by J. Jerebko)
3:17.0,,,19-16,,J. Martin enters the game for J. Green
3:17.0,Utah full timeout,,19-16,,
3:01.0,D. Mitchell misses 3-pt shot from 25 ft,,19-16,,
2:58.0,,,19-16,,Defensive rebound by J. Ennis
2:44.0,,,19-16,,M. Gasol misses 2-pt shot from 4 ft (block by R. Gobert)
2:42.0,Defensive rebound by J. Jerebko,,19-16,,
2:32.0,R. O'Neale misses 3-pt shot from 27 ft,,19-16,,
2:30.0,,,19-16,,Defensive rebound by J. Ennis
2:14.0,,,19-16,,M. Chalmers misses 3-pt shot from 23 ft
2:12.0,Defensive rebound by R. Gobert,,19-16,,
2:04.0,Turnover by R. O'Neale (lost ball; steal by J. Ennis),,19-16,,
2:04.0,,,19-16,,Turnover by J. Ennis (step out of bounds)
2:04.0,J. Johnson enters the game for J. Jerebko,,19-16,,
2:04.0,D. Favors enters the game for R. Gobert,,19-16,,
2:04.0,R. Neto enters the game for D. Mitchell,,19-16,,
1:55.0,Turnover by R. Neto (bad pass; steal by W. Selden),,19-16,,
1:49.0,,,19-16,,J. Ennis misses 3-pt shot from 26 ft
1:46.0,,,19-16,,Offensive rebound by W. Selden
1:36.0,Personal foul by D. Favors (drawn by M. Gasol),,19-16,,
1:36.0,,,19-16,,I. Rabb enters the game for M. Gasol
1:24.0,,,19-16,,M. Chalmers misses 2-pt shot from 6 ft
1:22.0,Defensive rebound by D. Favors,,19-16,,
1:12.0,Turnover by D. Favors (traveling),,19-16,,
0:57.0,,,19-16,,Turnover by W. Selden (traveling)
0:44.0,Shooting foul by J. Ennis (drawn by R. Hood),,19-16,,
0:44.0,R. Hood makes free throw 1 of 2,1,20-16,,
0:44.0,R. Hood makes free throw 2 of 2,1,21-16,,
0:34.0,,,21-16,,W. Selden misses 2-pt shot from 18 ft
0:33.0,,,21-16,,Offensive rebound by Team
0:29.0,,,21-16,,Turnover by W. Selden (bad pass; steal by D. Favors)
0:11.0,R. Hood misses 3-pt shot from 24 ft,,21-16,,
0:08.0,,,21-16,,Defensive rebound by I. Rabb
0:00.0,,,21-16,,M. Chalmers misses 2-pt shot from 2 ft
0:00.0,,,21-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,21-16,,J. Martin misses 2-pt shot from 2 ft (block by D. Favors)
11:44.0,Defensive rebound by D. Favors,,21-16,,
11:38.0,D. Favors makes 2-pt shot at rim (assist by J. Johnson),2,23-16,,
11:26.0,,,23-18,2,J. Martin makes 2-pt shot from 14 ft (assist by M. Chalmers)
11:07.0,Turnover by R. Neto (bad pass; steal by J. Ennis),,23-18,,
10:58.0,,,23-18,,Shooting foul by R. Neto (drawn by J. Ennis)
10:58.0,,,23-18,,J. Ennis misses free throw 1 of 2
10:58.0,,,23-18,,Offensive rebound by Team
10:58.0,D. Mitchell enters the game for R. O'Neale,,23-18,,
10:58.0,,,23-19,1,J. Ennis makes free throw 2 of 2
10:42.0,R. Hood misses 2-pt shot from 18 ft,,23-19,,
10:40.0,,,23-19,,Defensive rebound by W. Selden
10:37.0,,,23-19,,Offensive charge foul by W. Selden (drawn by R. Neto)
10:37.0,,,23-19,,Turnover by W. Selden (offensive foul)
10:37.0,,,23-19,,A. Harrison enters the game for M. Chalmers
10:20.0,Shooting foul by J. Martin (drawn by R. Hood),,23-19,,
10:20.0,R. Hood makes free throw 1 of 2,1,24-19,,
10:20.0,,,24-19,,D. Brooks enters the game for W. Selden
10:20.0,R. Hood makes free throw 2 of 2,1,25-19,,
9:58.0,,,25-19,,A. Harrison misses 2-pt shot from 9 ft
9:53.0,,,25-19,,Offensive rebound by I. Rabb
9:53.0,,,25-21,2,I. Rabb makes 2-pt shot at rim
9:38.0,D. Favors misses 2-pt shot from 3 ft (block by A. Harrison),,25-21,,
9:38.0,,,25-21,,Defensive rebound by Team
9:20.0,,,25-23,2,J. Ennis makes 2-pt shot from 15 ft (assist by I. Rabb)
9:06.0,D. Mitchell misses 2-pt shot from 22 ft,,25-23,,
9:04.0,,,25-23,,Defensive rebound by I. Rabb
8:56.0,,,25-23,,A. Harrison misses 2-pt shot from 8 ft
