time,Dallas,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. D. Powell (D. Fox gains possession),,,,Jump ball: W. Cauley-Stein vs. D. Powell (D. Fox gains possession)
11:43.0,,,0-2,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Bogdanovic)
11:20.0,H. Barnes misses 2-pt shot from 6 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by J. Jackson
10:58.0,,,0-2,,Turnover by Z. Randolph (lost ball; steal by D. Powell)
10:54.0,D. Smith misses 3-pt shot from 25 ft,,0-2,,
10:51.0,Offensive rebound by D. Powell,,0-2,,
10:36.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Smith),2,2-2,,
10:17.0,,,2-4,2,Z. Randolph makes 2-pt shot from 15 ft
9:57.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by W. Matthews),3,5-4,,
9:36.0,,,5-6,2,W. Cauley-Stein makes 2-pt shot from 6 ft
9:10.0,D. Smith misses 3-pt shot from 23 ft,,5-6,,
9:06.0,,,5-6,,Defensive rebound by J. Jackson
8:57.0,,,5-9,3,Z. Randolph makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
8:31.0,H. Barnes makes 3-pt shot from 25 ft,3,8-9,,
8:21.0,,,8-9,,Turnover by W. Cauley-Stein (traveling)
8:08.0,H. Barnes misses 2-pt shot from 6 ft,,8-9,,
8:04.0,,,8-9,,Defensive rebound by W. Cauley-Stein
7:51.0,,,8-9,,W. Cauley-Stein misses 2-pt shot from 7 ft
7:48.0,,,8-9,,Offensive rebound by Z. Randolph
7:47.0,,,8-11,2,W. Cauley-Stein makes 2-pt shot from 21 ft (assist by Z. Randolph)
7:28.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by W. Matthews),3,11-11,,
7:14.0,,,11-11,,Z. Randolph misses 3-pt shot from 25 ft
7:13.0,,,11-11,,Offensive rebound by Team
7:13.0,S. Mejri enters the game for D. Nowitzki,,11-11,,
7:13.0,Y. Ferrell enters the game for D. Powell,,11-11,,
7:00.0,,,11-11,,B. Bogdanovic misses 3-pt shot from 25 ft
6:57.0,,,11-11,,Offensive rebound by J. Jackson
6:56.0,,,11-13,2,J. Jackson makes 2-pt shot from 7 ft
6:37.0,H. Barnes makes 3-pt shot from 24 ft,3,14-13,,
6:20.0,,,14-13,,W. Cauley-Stein misses 2-pt shot from 2 ft
6:17.0,Defensive rebound by S. Mejri,,14-13,,
6:05.0,H. Barnes makes 3-pt shot from 23 ft (assist by W. Matthews),3,17-13,,
5:57.0,,,17-13,,Sacramento full timeout
5:43.0,,,17-13,,Offensive charge foul by Z. Randolph (drawn by S. Mejri)
5:43.0,,,17-13,,Turnover by Z. Randolph (offensive foul)
5:28.0,Turnover by S. Mejri (out of bounds lost ball),,17-13,,
5:10.0,,,17-15,2,D. Fox makes 2-pt shot from 16 ft
4:58.0,W. Matthews makes 2-pt shot from 1 ft (assist by S. Mejri),2,19-15,,
4:32.0,,,19-15,,B. Bogdanovic misses 3-pt shot from 24 ft
4:29.0,,,19-15,,Offensive rebound by W. Cauley-Stein
4:26.0,,,19-15,,Turnover by W. Cauley-Stein (bad pass)
4:26.0,,,19-15,,G. Temple enters the game for J. Jackson
4:26.0,,,19-15,,V. Carter enters the game for Z. Randolph
4:09.0,Turnover by D. Smith (bad pass; steal by B. Bogdanovic),,19-15,,
4:04.0,,,19-15,,Turnover by B. Bogdanovic (bad pass; steal by D. Smith)
3:51.0,S. Mejri makes 2-pt shot at rim (assist by H. Barnes),2,21-15,,
3:41.0,,,21-17,2,D. Fox makes 2-pt shot from 15 ft (assist by G. Temple)
3:28.0,Shooting foul by B. Bogdanovic (drawn by S. Mejri),,21-17,,
3:28.0,S. Mejri makes free throw 1 of 2,1,22-17,,
3:28.0,,,22-17,,G. Hill enters the game for B. Bogdanovic
3:28.0,J. Barea enters the game for D. Smith,,22-17,,
3:28.0,S. Mejri makes free throw 2 of 2,1,23-17,,
3:10.0,,,23-19,2,G. Temple makes 2-pt shot from 9 ft
2:50.0,W. Matthews makes 2-pt shot from 7 ft,2,25-19,,
2:42.0,,,25-22,3,V. Carter makes 3-pt shot from 25 ft (assist by D. Fox)
2:31.0,,,25-22,,Personal foul by V. Carter (drawn by H. Barnes)
2:31.0,Dallas full timeout,,25-22,,
2:31.0,D. Powell enters the game for W. Matthews,,25-22,,
2:31.0,D. Nowitzki enters the game for H. Barnes,,25-22,,
2:31.0,D. Harris enters the game for S. Mejri,,25-22,,
2:24.0,Y. Ferrell misses 3-pt shot from 23 ft,,25-22,,
2:20.0,Offensive rebound by D. Harris,,25-22,,
2:16.0,J. Barea misses 3-pt shot from 24 ft,,25-22,,
2:15.0,,,25-22,,Defensive rebound by Team
1:58.0,,,25-22,,W. Cauley-Stein misses 2-pt shot from 6 ft
1:55.0,Defensive rebound by D. Nowitzki,,25-22,,
1:39.0,D. Nowitzki misses 3-pt shot from 24 ft,,25-22,,
1:34.0,,,25-22,,Defensive rebound by W. Cauley-Stein
1:28.0,,,25-22,,Sacramento full timeout
1:28.0,,,25-22,,B. Hield enters the game for W. Cauley-Stein
1:28.0,,,25-22,,K. Koufos enters the game for D. Fox
1:20.0,,,25-22,,K. Koufos misses 2-pt shot from 8 ft
1:17.0,Defensive rebound by D. Nowitzki,,25-22,,
1:07.0,D. Harris makes 2-pt shot at rim (assist by J. Barea),2,27-22,,
0:59.0,,,27-24,2,G. Temple makes 2-pt shot from 2 ft
0:45.0,D. Powell misses 2-pt shot from 2 ft,,27-24,,
0:41.0,,,27-24,,Defensive rebound by V. Carter
0:41.0,,,27-26,2,G. Hill makes 2-pt shot from 1 ft
0:39.0,Turnover by D. Nowitzki (bad pass; steal by B. Hield),,27-26,,
0:20.0,,,27-28,2,K. Koufos makes 2-pt shot from 6 ft (assist by V. Carter)
0:01.0,J. Barea misses 2-pt shot from 16 ft,,27-28,,
0:01.0,Offensive rebound by Team,,27-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Y. Ferrell makes 3-pt shot from 23 ft (assist by D. Harris),3,30-28,,
11:27.0,,,30-30,2,G. Hill makes 2-pt shot from 13 ft
11:18.0,Turnover by J. Barea (discontinued dribble),,30-30,,
11:08.0,,,30-32,2,G. Temple makes 2-pt shot from 15 ft
10:50.0,,,30-32,,Personal foul by K. Koufos (drawn by D. Powell)
10:43.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea),2,32-32,,
10:31.0,,,32-32,,V. Carter misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by D. Nowitzki,,32-32,,
10:21.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Harris),2,34-32,,
10:00.0,,,34-32,,V. Carter misses 2-pt shot from 12 ft
9:57.0,,,34-32,,Offensive rebound by K. Koufos
9:55.0,,,34-34,2,K. Koufos makes 2-pt shot from 1 ft
9:44.0,J. Barea misses 3-pt shot from 25 ft,,34-34,,
9:42.0,Offensive rebound by D. Powell,,34-34,,
9:40.0,Y. Ferrell misses 3-pt shot from 25 ft,,34-34,,
9:38.0,,,34-34,,Defensive rebound by K. Koufos
9:31.0,,,34-36,2,G. Temple makes 2-pt shot from 20 ft (assist by G. Hill)
9:29.0,Dallas full timeout,,34-36,,
9:15.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,36-36,,
8:58.0,,,36-38,2,B. Hield makes 2-pt shot from 3 ft
8:42.0,Y. Ferrell makes 2-pt shot from 4 ft (assist by J. Barea),2,38-38,,
8:21.0,,,38-41,3,B. Hield makes 3-pt shot from 23 ft (assist by G. Hill)
8:05.0,D. Powell makes 2-pt shot from 2 ft (assist by J. Barea),2,40-41,,
7:52.0,,,40-41,,V. Carter misses 3-pt shot from 24 ft
