time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Durant (P. Tucker gains possession),,,,Jump ball: C. Capela vs. K. Durant (P. Tucker gains possession)
11:36.0,,,0-0,,C. Capela misses 2-pt shot from 9 ft
11:36.0,Defensive rebound by Team,,0-0,,
11:32.0,Jump ball: P. Tucker vs. K. Looney (K. Durant gains possession),,,,Jump ball: P. Tucker vs. K. Looney (K. Durant gains possession)
11:22.0,,,0-0,,Violation by T. Ariza (kicked ball)
11:14.0,K. Durant misses 2-pt shot from 9 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by C. Capela
11:00.0,,,0-2,2,J. Harden makes 2-pt shot from 2 ft
10:53.0,K. Thompson misses 3-pt shot from 26 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by C. Capela
10:40.0,,,0-2,,T. Ariza misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by K. Durant,,0-2,,
10:31.0,K. Durant misses 2-pt shot from 2 ft,,0-2,,
10:29.0,,,0-2,,Defensive rebound by C. Capela
10:09.0,,,0-4,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
10:01.0,Turnover by D. Green (bad pass; steal by C. Paul),,0-4,,
9:46.0,,,0-4,,J. Harden misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by S. Curry,,0-4,,
9:35.0,,,0-4,,Personal foul by J. Harden (drawn by K. Durant)
9:22.0,D. Green misses 3-pt shot from 26 ft,,0-4,,
9:19.0,,,0-4,,Defensive rebound by C. Capela
9:12.0,,,0-6,2,C. Capela makes 2-pt shot from 2 ft (assist by C. Paul)
9:12.0,,,0-6,,Shooting foul by D. Green (drawn by C. Capela)
9:12.0,,,0-6,,E. Gordon enters the game for P. Tucker
9:12.0,,,0-6,,C. Capela misses free throw 1 of 1
9:12.0,Defensive rebound by D. Green,,0-6,,
9:00.0,Turnover by D. Green (bad pass; steal by C. Paul),,0-6,,
8:55.0,,,0-6,,T. Ariza misses 2-pt shot from 3 ft
8:54.0,Defensive rebound by K. Looney,,0-6,,
8:50.0,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry),2,2-6,,
8:42.0,,,2-8,2,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul)
8:37.0,Turnover by S. Curry (bad pass; steal by J. Harden),,2-8,,
8:32.0,,,2-8,,J. Harden misses 3-pt shot from 24 ft
8:29.0,,,2-8,,Offensive rebound by C. Capela
8:15.0,,,2-8,,C. Paul misses 2-pt shot from 15 ft
8:12.0,Defensive rebound by D. Green,,2-8,,
8:10.0,K. Durant makes 2-pt shot from 2 ft (assist by S. Curry),2,4-8,,
7:46.0,,,4-8,,J. Harden misses 3-pt shot from 22 ft
7:43.0,Defensive rebound by K. Looney,,4-8,,
7:30.0,K. Durant makes 2-pt shot from 14 ft,2,6-8,,
7:11.0,,,6-8,,E. Gordon misses 2-pt shot from 1 ft
7:08.0,,,6-8,,Offensive rebound by E. Gordon
7:06.0,,,6-8,,E. Gordon misses 3-pt shot from 23 ft
7:04.0,Defensive rebound by S. Curry,,6-8,,
6:49.0,K. Durant misses 2-pt shot from 2 ft,,6-8,,
6:48.0,,,6-8,,Defensive rebound by C. Paul
6:42.0,,,6-10,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
6:31.0,D. Green misses 2-pt shot from 4 ft,,6-10,,
6:28.0,,,6-10,,Defensive rebound by C. Capela
6:22.0,,,6-10,,T. Ariza misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by K. Looney,,6-10,,
6:02.0,K. Thompson misses 2-pt shot from 3 ft,,6-10,,
6:00.0,,,6-10,,Defensive rebound by C. Capela
5:42.0,,,6-10,,E. Gordon misses 2-pt shot at rim
5:37.0,Defensive rebound by D. Green,,6-10,,
5:31.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,8-10,,
5:31.0,,,8-10,,Houston full timeout
5:31.0,,,8-10,,P. Tucker enters the game for C. Paul
5:31.0,,,8-10,,G. Green enters the game for C. Capela
5:31.0,J. Bell enters the game for K. Looney,,8-10,,
5:14.0,,,8-13,3,T. Ariza makes 3-pt shot from 24 ft
4:45.0,K. Durant misses 2-pt shot from 18 ft,,8-13,,
4:42.0,,,8-13,,Defensive rebound by P. Tucker
4:27.0,Jump ball: T. Ariza vs. D. Green (J. Bell gains possession),,,,Jump ball: T. Ariza vs. D. Green (J. Bell gains possession)
4:27.0,,,8-13,,Turnover by J. Harden (turnover; steal by D. Green)
4:20.0,S. Curry misses 3-pt shot from 25 ft,,8-13,,
4:18.0,,,8-13,,Defensive rebound by J. Harden
4:08.0,,,8-13,,E. Gordon misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by D. Green,,8-13,,
4:07.0,,,8-13,,Personal foul by G. Green (drawn by S. Curry)
3:55.0,Turnover by K. Thompson (traveling),,8-13,,
3:37.0,,,8-16,3,G. Green makes 3-pt shot from 23 ft (assist by J. Harden)
3:23.0,S. Curry misses 3-pt shot from 25 ft,,8-16,,
3:21.0,,,8-16,,Defensive rebound by P. Tucker
3:08.0,,,8-16,,J. Harden misses 3-pt shot from 25 ft
3:05.0,,,8-16,,Offensive rebound by Team
3:02.0,,,8-19,2,G. Green makes 3-pt shot from 22 ft (assist by T. Ariza)
2:47.0,D. Green misses 2-pt shot from 2 ft,,8-19,,
2:43.0,Offensive rebound by J. Bell,,8-19,,
2:43.0,J. Bell makes 2-pt shot at rim,2,10-19,,
2:31.0,Personal foul by K. Thompson (drawn by E. Gordon),,10-19,,
2:31.0,Golden State full timeout,,10-19,,
2:31.0,,,10-19,,C. Paul enters the game for J. Harden
2:31.0,Q. Cook enters the game for K. Thompson,,10-19,,
2:31.0,S. Livingston enters the game for D. Green,,10-19,,
2:31.0,D. West enters the game for S. Curry,,10-19,,
2:20.0,,,10-19,,G. Green misses 3-pt shot from 27 ft
2:19.0,Defensive rebound by J. Bell,,10-19,,
1:56.0,K. Durant misses 2-pt shot from 11 ft,,10-19,,
1:56.0,Offensive rebound by D. West,,10-19,,
1:56.0,Turnover by Team (shot clock),,10-19,,
1:41.0,,,10-19,,G. Green misses 3-pt shot from 23 ft
1:37.0,Defensive rebound by Q. Cook,,10-19,,
1:27.0,S. Livingston makes 2-pt shot from 1 ft (assist by D. West),2,12-19,,
1:18.0,,,12-19,,C. Paul misses 3-pt shot from 24 ft
1:17.0,Defensive rebound by J. Bell,,12-19,,
1:00.0,K. Durant makes 2-pt shot from 1 ft,2,14-19,,
0:54.0,,,14-19,,Shooting foul by Q. Cook (drawn by T. Ariza)
0:54.0,,,14-20,1,T. Ariza makes free throw 1 of 2
0:54.0,,,14-20,,C. Capela enters the game for G. Green
0:54.0,,,14-21,1,T. Ariza makes free throw 2 of 2
0:35.0,K. Durant makes 3-pt shot from 27 ft (assist by S. Livingston),3,17-21,,
0:28.0,Personal foul by J. Bell (drawn by C. Paul),,17-21,,
0:28.0,,,17-22,1,C. Paul makes free throw 1 of 2
0:28.0,S. Curry enters the game for J. Bell,,17-22,,
0:28.0,K. Thompson enters the game for S. Livingston,,17-22,,
0:28.0,,,17-23,1,C. Paul makes free throw 2 of 2
0:09.0,,,17-23,,Personal block foul by T. Ariza (drawn by K. Durant)
0:01.0,Q. Cook misses 3-pt shot from 23 ft,,17-23,,
0:01.0,Offensive rebound by Team,,17-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Turnover by S. Curry (lost ball; steal by C. Paul),,17-23,,
11:35.0,,,17-23,,C. Paul misses 2-pt shot from 1 ft
11:32.0,,,17-23,,Offensive rebound by C. Paul
11:28.0,,,17-26,3,P. Tucker makes 3-pt shot from 25 ft (assist by E. Gordon)
11:10.0,S. Livingston misses 2-pt shot from 10 ft,,17-26,,
11:10.0,,,17-26,,Defensive rebound by Team
