time,Portland,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. J. Nurkic (P. Millsap gains possession),,,,Jump ball: N. Jokic vs. J. Nurkic (P. Millsap gains possession)
11:46.0,,,0-0,,W. Chandler misses 2-pt shot from 5 ft
11:43.0,Defensive rebound by A. Aminu,,0-0,,
11:38.0,D. Lillard misses 3-pt shot from 24 ft,,0-0,,
11:34.0,Offensive rebound by J. Nurkic,,0-0,,
11:32.0,C. McCollum makes 3-pt shot from 24 ft (assist by J. Nurkic),3,3-0,,
11:19.0,,,3-0,,W. Barton misses 2-pt shot from 2 ft
11:17.0,Defensive rebound by J. Nurkic,,3-0,,
11:13.0,C. McCollum misses 2-pt shot from 11 ft,,3-0,,
11:11.0,,,3-0,,Defensive rebound by N. Jokic
11:06.0,,,3-2,2,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic)
10:46.0,C. McCollum misses 2-pt shot from 2 ft (block by P. Millsap),,3-2,,
10:43.0,,,3-2,,Defensive rebound by J. Murray
10:41.0,,,3-5,3,J. Murray makes 3-pt shot from 24 ft
10:23.0,E. Turner misses 3-pt shot from 22 ft,,3-5,,
10:21.0,,,3-5,,Defensive rebound by W. Barton
10:14.0,,,3-7,2,W. Barton makes 2-pt shot from 14 ft (assist by N. Jokic)
9:59.0,Offensive foul by J. Nurkic (drawn by W. Barton),,3-7,,
9:59.0,Turnover by J. Nurkic (offensive foul),,3-7,,
9:44.0,Personal foul by A. Aminu (drawn by P. Millsap),,3-7,,
9:35.0,,,3-9,2,J. Murray makes 2-pt shot from 5 ft (assist by N. Jokic)
9:21.0,E. Turner misses 3-pt shot from 22 ft,,3-9,,
9:18.0,,,3-9,,Defensive rebound by N. Jokic
9:14.0,,,3-12,3,W. Barton makes 3-pt shot from 24 ft (assist by N. Jokic)
9:13.0,Portland full timeout,,3-12,,
9:01.0,D. Lillard makes 3-pt shot from 25 ft,3,6-12,,
8:43.0,,,6-12,,N. Jokic misses 2-pt shot from 3 ft
8:41.0,,,6-12,,Offensive rebound by N. Jokic
8:37.0,,,6-14,2,P. Millsap makes 2-pt shot from 2 ft (assist by N. Jokic)
8:22.0,Shooting foul by N. Jokic (drawn by D. Lillard),,6-14,,
8:22.0,D. Lillard makes free throw 1 of 2,1,7-14,,
8:22.0,D. Lillard makes free throw 2 of 2,1,8-14,,
8:08.0,,,8-16,2,J. Murray makes 2-pt shot from 4 ft
7:53.0,E. Turner makes 2-pt shot from 9 ft,2,10-16,,
7:37.0,,,10-16,,Turnover by J. Murray (lost ball; steal by J. Nurkic)
7:32.0,J. Nurkic makes 2-pt shot from 1 ft (assist by A. Aminu),2,12-16,,
7:18.0,,,12-16,,W. Chandler misses 2-pt shot from 3 ft
7:14.0,Defensive rebound by J. Nurkic,,12-16,,
7:07.0,Turnover by A. Aminu (step out of bounds),,12-16,,
6:57.0,,,12-16,,N. Jokic misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by D. Lillard,,12-16,,
6:45.0,A. Aminu misses 3-pt shot from 22 ft,,12-16,,
6:42.0,,,12-16,,Defensive rebound by W. Barton
6:30.0,,,12-16,,N. Jokic misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by E. Turner,,12-16,,
6:16.0,D. Lillard misses 3-pt shot from 25 ft,,12-16,,
6:12.0,Offensive rebound by C. McCollum,,12-16,,
6:10.0,C. McCollum misses 2-pt shot from 12 ft,,12-16,,
6:07.0,Offensive rebound by J. Nurkic,,12-16,,
6:06.0,J. Nurkic misses 2-pt shot from 2 ft,,12-16,,
6:04.0,Offensive rebound by C. McCollum,,12-16,,
6:02.0,C. McCollum misses 2-pt shot from 2 ft (block by P. Millsap),,12-16,,
6:01.0,Offensive rebound by J. Nurkic,,12-16,,
5:55.0,J. Nurkic makes 2-pt shot from 4 ft,2,14-16,,
5:55.0,,,14-16,,Denver full timeout
5:55.0,,,14-16,,M. Plumlee enters the game for N. Jokic
5:47.0,,,14-16,,W. Barton misses 2-pt shot from 23 ft
5:44.0,Defensive rebound by J. Nurkic,,14-16,,
5:35.0,J. Nurkic misses 2-pt shot from 2 ft,,14-16,,
5:34.0,Offensive rebound by J. Nurkic,,14-16,,
5:33.0,J. Nurkic makes 2-pt shot from 2 ft,2,16-16,,
5:24.0,,,16-18,2,W. Barton makes 2-pt shot from 2 ft
5:02.0,E. Turner misses 2-pt shot from 13 ft,,16-18,,
5:00.0,,,16-18,,Defensive rebound by M. Plumlee
4:49.0,,,16-21,3,W. Chandler makes 3-pt shot from 24 ft (assist by P. Millsap)
4:27.0,E. Turner misses 3-pt shot from 25 ft,,16-21,,
4:24.0,,,16-21,,Defensive rebound by W. Barton
4:19.0,,,16-21,,Shooting foul by C. McCollum (drawn by W. Barton)
4:19.0,,,16-22,1,W. Barton makes free throw 1 of 2
4:19.0,P. Connaughton enters the game for E. Turner,,16-22,,
4:19.0,Z. Collins enters the game for C. McCollum,,16-22,,
4:19.0,,,16-22,,W. Barton misses free throw 2 of 2
4:17.0,Defensive rebound by A. Aminu,,16-22,,
4:08.0,Turnover by D. Lillard (bad pass),,16-22,,
3:59.0,,,16-24,2,M. Plumlee makes 2-pt shot from 4 ft
3:44.0,Turnover by D. Lillard (bad pass),,16-24,,
3:44.0,,,16-24,,G. Harris enters the game for W. Barton
3:44.0,E. Davis enters the game for J. Nurkic,,16-24,,
3:35.0,,,16-24,,P. Millsap misses 2-pt shot from 6 ft (block by A. Aminu)
3:35.0,Defensive rebound by Team,,16-24,,
3:31.0,Jump ball: P. Millsap vs. A. Aminu (D. Lillard gains possession),,,,Jump ball: P. Millsap vs. A. Aminu (D. Lillard gains possession)
3:19.0,Turnover by P. Connaughton (lost ball; steal by M. Plumlee),,16-24,,
3:13.0,,,16-24,,J. Murray misses 2-pt shot from 19 ft
3:07.0,Defensive rebound by D. Lillard,,16-24,,
3:04.0,D. Lillard makes 2-pt shot from 2 ft,2,18-24,,
2:47.0,,,18-24,,P. Millsap misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by Z. Collins,,18-24,,
2:25.0,D. Lillard makes 2-pt shot from 9 ft,2,20-24,,
2:12.0,,,20-24,,J. Murray misses 3-pt shot from 25 ft
2:12.0,,,20-24,,Offensive rebound by Team
2:12.0,Loose ball foul by E. Davis (drawn by M. Plumlee),,20-24,,
2:12.0,,,20-24,,T. Craig enters the game for P. Millsap
2:12.0,,,20-24,,N. Jokic enters the game for W. Chandler
2:12.0,,,20-24,,D. Harris enters the game for J. Murray
2:12.0,S. Napier enters the game for A. Aminu,,20-24,,
2:02.0,,,20-26,2,G. Harris makes 2-pt shot from 16 ft (assist by N. Jokic)
1:37.0,Z. Collins misses 3-pt shot from 24 ft,,20-26,,
1:32.0,,,20-26,,Defensive rebound by N. Jokic
1:21.0,,,20-26,,D. Harris misses 2-pt shot from 7 ft
1:19.0,Defensive rebound by Z. Collins,,20-26,,
1:13.0,S. Napier misses 2-pt shot from 17 ft,,20-26,,
1:10.0,,,20-26,,Defensive rebound by N. Jokic
