time,Orlando,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. N. Vucevic (E. Fournier gains possession),,,,Jump ball: K. Towns vs. N. Vucevic (E. Fournier gains possession)
11:38.0,N. Vucevic makes 2-pt shot from 9 ft,2,2-0,,
11:15.0,,,2-0,,K. Towns misses 2-pt shot from 6 ft
11:14.0,,,2-0,,Offensive rebound by T. Gibson
11:13.0,,,2-2,2,T. Gibson makes 2-pt shot at rim
10:58.0,A. Gordon misses 3-pt shot from 25 ft,,2-2,,
10:55.0,,,2-2,,Defensive rebound by A. Wiggins
10:48.0,,,2-4,2,T. Gibson makes 2-pt shot from 1 ft (assist by K. Towns)
10:38.0,N. Vucevic misses 3-pt shot from 25 ft,,2-4,,
10:38.0,,,2-4,,Defensive rebound by K. Towns
10:29.0,,,2-4,,Shooting foul by N. Vucevic (drawn by T. Gibson)
10:29.0,,,2-5,1,T. Gibson makes free throw 1 of 2
10:29.0,,,2-6,1,T. Gibson makes free throw 2 of 2
10:19.0,E. Payton makes 2-pt shot from 1 ft,2,4-6,,
10:02.0,,,4-8,2,J. Butler makes 2-pt shot from 5 ft
9:54.0,T. Ross makes 2-pt shot from 20 ft (assist by E. Payton),2,6-8,,
9:30.0,,,6-8,,A. Wiggins misses 2-pt shot from 22 ft
9:28.0,Defensive rebound by N. Vucevic,,6-8,,
9:20.0,T. Ross misses 3-pt shot from 26 ft,,6-8,,
9:15.0,,,6-8,,Defensive rebound by A. Wiggins
9:05.0,,,6-8,,Shooting foul by E. Payton (drawn by K. Towns)
9:05.0,,,6-8,,K. Towns misses free throw 1 of 2
9:05.0,,,6-8,,Offensive rebound by Team
9:05.0,,,6-9,1,K. Towns makes free throw 2 of 2
8:56.0,E. Fournier misses 2-pt shot from 6 ft (block by T. Gibson),,6-9,,
8:53.0,,,6-9,,Defensive rebound by K. Towns
8:33.0,,,6-9,,T. Gibson misses 2-pt shot from 7 ft
8:29.0,,,6-9,,Offensive rebound by J. Butler
8:28.0,,,6-9,,J. Butler misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by N. Vucevic,,6-9,,
8:25.0,E. Payton makes 2-pt shot from 2 ft,2,8-9,,
8:01.0,,,8-11,2,K. Towns makes 2-pt shot from 1 ft
7:47.0,T. Ross makes 2-pt shot at rim (assist by E. Payton),2,10-11,,
