time,New York,pts.away,score,pts.home,Miami
1:10.0,Defensive rebound by K. O'Quinn,,24-22,,
1:07.0,T. Hardaway misses 3-pt shot from 23 ft,,24-22,,
1:02.0,,,24-22,,Defensive rebound by W. Ellington
0:51.0,,,24-24,2,K. Olynyk makes 2-pt shot from 2 ft (assist by J. Richardson)
0:38.0,Turnover by K. O'Quinn (bad pass),,24-24,,
0:38.0,T. Burke enters the game for T. Hardaway,,24-24,,
0:27.0,,,24-27,3,W. Ellington makes 3-pt shot from 25 ft (assist by K. Olynyk)
0:04.0,K. O'Quinn makes 2-pt shot from 3 ft,2,26-27,,
0:00.0,,,26-27,,J. Winslow misses 3-pt shot from 25 ft
0:00.0,,,26-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Turnover by T. Williams (bad pass; steal by J. Richardson),,26-27,,
11:18.0,,,26-29,2,K. Olynyk makes 2-pt shot from 12 ft
11:07.0,F. Ntilikina misses 3-pt shot from 25 ft,,26-29,,
11:05.0,,,26-29,,Defensive rebound by R. McGruder
11:01.0,Shooting block foul by I. Hicks (drawn by J. Winslow),,26-29,,
11:01.0,,,26-29,,J. Winslow misses free throw 1 of 2
11:01.0,,,26-29,,Offensive rebound by Team
11:01.0,,,26-30,1,J. Winslow makes free throw 2 of 2
10:41.0,I. Hicks misses 3-pt shot from 22 ft,,26-30,,
10:40.0,,,26-30,,Defensive rebound by Team
10:40.0,Loose ball foul by T. Williams (drawn by R. McGruder),,26-30,,
10:27.0,,,26-33,3,W. Ellington makes 3-pt shot from 24 ft (assist by K. Olynyk)
10:08.0,K. O'Quinn makes 2-pt shot from 12 ft (assist by F. Ntilikina),2,28-33,,
9:55.0,,,28-35,2,K. Olynyk makes 2-pt shot from 1 ft
9:55.0,,,28-35,,Shooting foul by I. Hicks (drawn by K. Olynyk)
9:55.0,M. Beasley enters the game for I. Hicks,,28-35,,
9:55.0,,,28-36,1,K. Olynyk makes free throw 1 of 1
9:46.0,Turnover by F. Ntilikina (lost ball; steal by J. Richardson),,28-36,,
9:31.0,,,28-39,3,J. Richardson makes 3-pt shot from 25 ft (assist by K. Olynyk)
9:25.0,New York full timeout,,28-39,,
9:12.0,M. Beasley misses 3-pt shot from 24 ft,,28-39,,
9:07.0,,,28-39,,Defensive rebound by K. Olynyk
9:02.0,,,28-41,2,J. Richardson makes 2-pt shot at rim (assist by K. Olynyk)
8:43.0,F. Ntilikina misses 2-pt shot from 4 ft,,28-41,,
8:40.0,,,28-41,,Defensive rebound by R. McGruder
8:27.0,,,28-41,,Shooting foul by F. Ntilikina (drawn by R. McGruder)
8:27.0,,,28-41,,R. McGruder misses free throw 1 of 2
8:27.0,,,28-41,,Offensive rebound by Team
8:27.0,T. Hardaway enters the game for T. Williams,,28-41,,
8:27.0,E. Mudiay enters the game for F. Ntilikina,,28-41,,
8:27.0,,,28-42,1,R. McGruder makes free throw 2 of 2
8:08.0,M. Beasley makes 2-pt shot from 5 ft,2,30-42,,
7:54.0,,,30-42,,W. Ellington misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by M. Beasley,,30-42,,
7:35.0,M. Beasley makes 2-pt shot from 16 ft,2,32-42,,
7:15.0,,,32-44,2,J. Richardson makes 2-pt shot from 12 ft
6:55.0,M. Beasley makes 2-pt shot from 6 ft,2,34-44,,
6:39.0,,,34-47,3,R. McGruder makes 3-pt shot from 23 ft (assist by K. Olynyk)
6:23.0,M. Beasley makes 2-pt shot from 18 ft,2,36-47,,
6:07.0,,,36-47,,K. Olynyk misses 3-pt shot from 24 ft
6:04.0,Defensive rebound by M. Beasley,,36-47,,
5:56.0,Turnover by T. Burke (bad pass),,36-47,,
5:56.0,,,36-47,,J. Johnson enters the game for J. Winslow
5:38.0,,,36-47,,W. Ellington misses 2-pt shot from 2 ft
5:36.0,,,36-47,,Offensive rebound by W. Ellington
5:33.0,,,36-49,2,W. Ellington makes 2-pt shot from 4 ft
5:22.0,,,36-49,,Personal foul by J. Johnson (drawn by M. Beasley)
5:22.0,,,36-49,,G. Dragic enters the game for J. Richardson
5:22.0,E. Kanter enters the game for K. O'Quinn,,36-49,,
5:14.0,E. Kanter makes 2-pt shot at rim (assist by T. Hardaway),2,38-49,,
5:14.0,,,38-49,,Miami full timeout
4:49.0,,,38-49,,Turnover by W. Ellington (lost ball; steal by T. Hardaway)
4:43.0,Turnover by T. Hardaway (lost ball; steal by R. McGruder),,38-49,,
4:32.0,,,38-51,2,K. Olynyk makes 2-pt shot from 1 ft
4:14.0,T. Hardaway misses 3-pt shot from 25 ft,,38-51,,
4:11.0,,,38-51,,Defensive rebound by K. Olynyk
4:07.0,,,38-54,3,R. McGruder makes 3-pt shot from 23 ft (assist by W. Ellington)
3:49.0,T. Burke makes 3-pt shot from 25 ft (assist by M. Beasley),3,41-54,,
3:32.0,,,41-56,2,G. Dragic makes 2-pt shot from 2 ft
3:18.0,T. Burke misses 3-pt shot from 26 ft,,41-56,,
3:16.0,,,41-56,,Defensive rebound by Team
3:16.0,Loose ball foul by E. Kanter (drawn by K. Olynyk),,41-56,,
3:16.0,,,41-57,1,K. Olynyk makes free throw 1 of 2
3:16.0,,,41-57,,T. Johnson enters the game for W. Ellington
3:16.0,C. Lee enters the game for T. Burke,,41-57,,
3:16.0,,,41-58,1,K. Olynyk makes free throw 2 of 2
2:52.0,Turnover by M. Beasley (bad pass; steal by K. Olynyk),,41-58,,
2:48.0,,,41-60,2,G. Dragic makes 2-pt shot at rim (assist by J. Johnson)
2:37.0,M. Beasley misses 2-pt shot from 2 ft,,41-60,,
2:34.0,Offensive rebound by M. Beasley,,41-60,,
2:32.0,M. Beasley makes 2-pt shot from 5 ft,2,43-60,,
2:23.0,,,43-62,2,G. Dragic makes 2-pt shot from 19 ft
2:05.0,T. Hardaway misses 3-pt shot from 25 ft,,43-62,,
2:05.0,Offensive rebound by Team,,43-62,,
2:03.0,E. Mudiay misses 2-pt shot from 11 ft,,43-62,,
1:58.0,Offensive rebound by T. Hardaway,,43-62,,
1:57.0,Turnover by T. Hardaway (bad pass; steal by R. McGruder),,43-62,,
1:55.0,,,43-62,,Shooting foul by C. Lee (drawn by G. Dragic)
1:55.0,,,43-63,1,G. Dragic makes free throw 1 of 2
1:55.0,,,43-64,1,G. Dragic makes free throw 2 of 2
1:39.0,,,43-64,,Personal foul by R. McGruder (drawn by T. Hardaway)
1:24.0,C. Lee misses 2-pt shot from 14 ft,,43-64,,
1:19.0,,,43-64,,Defensive rebound by K. Olynyk
1:13.0,,,43-64,,K. Olynyk misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by M. Beasley,,43-64,,
1:07.0,,,43-64,,Personal foul by G. Dragic (drawn by E. Mudiay)
1:07.0,E. Mudiay makes free throw 1 of 2,1,44-64,,
1:07.0,E. Mudiay makes free throw 2 of 2,1,45-64,,
0:52.0,,,45-64,,Turnover by T. Johnson (bad pass; steal by E. Kanter)
0:50.0,E. Kanter makes 2-pt shot from 1 ft (assist by E. Mudiay),2,47-64,,
0:35.0,,,47-64,,G. Dragic misses 2-pt shot from 14 ft
0:31.0,Defensive rebound by E. Mudiay,,47-64,,
0:28.0,C. Lee misses 3-pt shot from 22 ft,,47-64,,
0:26.0,Offensive rebound by Team,,47-64,,
0:04.0,E. Kanter misses 2-pt shot from 4 ft,,47-64,,
0:03.0,,,47-64,,Defensive rebound by G. Dragic
0:00.0,,,47-64,,G. Dragic misses 3-pt shot from 54 ft
0:00.0,,,47-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,M. Beasley makes 2-pt shot from 17 ft (assist by E. Mudiay),2,49-64,,
11:19.0,,,49-64,,B. Adebayo misses 2-pt shot at rim
11:18.0,Defensive rebound by E. Kanter,,49-64,,
11:00.0,T. Hardaway misses 2-pt shot from 2 ft,,49-64,,
10:58.0,E. Kanter misses 2-pt shot from 1 ft,,49-64,,
10:58.0,Offensive rebound by E. Kanter,,49-64,,
10:57.0,Offensive rebound by E. Kanter,,49-64,,
10:57.0,E. Kanter misses 2-pt shot from 1 ft,,49-64,,
10:57.0,Offensive rebound by E. Kanter,,49-64,,
10:57.0,Shooting foul by J. Richardson (drawn by E. Kanter),,49-64,,
10:57.0,E. Kanter makes free throw 1 of 2,1,50-64,,
10:57.0,E. Kanter makes free throw 2 of 2,1,51-64,,
10:48.0,,,51-66,2,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Johnson)
10:33.0,C. Lee makes 3-pt shot from 24 ft (assist by E. Mudiay),3,54-66,,
10:19.0,,,54-68,2,T. Johnson makes 2-pt shot at rim (assist by J. Johnson)
9:57.0,M. Beasley misses 2-pt shot from 10 ft,,54-68,,
9:49.0,Offensive rebound by E. Kanter,,54-68,,
9:49.0,E. Kanter makes 2-pt shot at rim,2,56-68,,
9:45.0,,,56-68,,Turnover by G. Dragic (bad pass; steal by E. Mudiay)
9:41.0,Turnover by M. Beasley (lost ball; steal by J. Johnson),,56-68,,
9:41.0,Personal foul by E. Mudiay (drawn by G. Dragic),,56-68,,
9:27.0,,,56-68,,Turnover by T. Johnson (bad pass; steal by E. Kanter)
9:24.0,T. Hardaway makes 2-pt shot at rim (assist by E. Kanter),2,58-68,,
9:24.0,,,58-68,,Miami full timeout
9:09.0,,,58-70,2,B. Adebayo makes 2-pt shot at rim (assist by G. Dragic)
8:41.0,T. Hardaway misses 2-pt shot from 13 ft,,58-70,,
8:38.0,,,58-70,,Defensive rebound by J. Johnson
8:31.0,,,58-72,2,G. Dragic makes 2-pt shot from 9 ft
8:04.0,E. Mudiay makes 2-pt shot from 2 ft (assist by C. Lee),2,60-72,,
7:48.0,,,60-72,,T. Johnson misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by M. Beasley,,60-72,,
7:33.0,C. Lee misses 2-pt shot from 17 ft,,60-72,,
7:31.0,,,60-72,,Defensive rebound by J. Richardson
7:25.0,,,60-72,,G. Dragic misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by E. Kanter,,60-72,,
7:18.0,T. Hardaway makes 3-pt shot from 24 ft (assist by C. Lee),3,63-72,,
