time,Portland,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Nurkic (N. Jokic gains possession),,,,Jump ball: M. Plumlee vs. J. Nurkic (N. Jokic gains possession)
11:41.0,,,0-0,,Shooting foul by J. Nurkic (drawn by J. Murray)
11:41.0,,,0-1,1,J. Murray makes free throw 1 of 2
11:41.0,,,0-2,1,J. Murray makes free throw 2 of 2
11:20.0,E. Turner misses 2-pt shot from 12 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by W. Barton
11:07.0,,,0-4,2,J. Murray makes 2-pt shot from 12 ft (assist by N. Jokic)
11:07.0,,,0-4,,Shooting foul by A. Aminu (drawn by J. Murray)
11:07.0,,,0-5,1,J. Murray makes free throw 1 of 1
10:48.0,J. Nurkic misses 2-pt shot from 5 ft,,0-5,,
10:46.0,,,0-5,,Defensive rebound by N. Jokic
10:32.0,,,0-8,3,G. Harris makes 3-pt shot from 23 ft (assist by M. Plumlee)
10:11.0,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard),2,2-8,,
10:02.0,,,2-8,,J. Murray misses 2-pt shot from 2 ft (block by J. Nurkic)
9:59.0,Defensive rebound by D. Lillard,,2-8,,
9:55.0,A. Aminu misses 3-pt shot from 25 ft,,2-8,,
9:52.0,,,2-8,,Defensive rebound by J. Murray
9:46.0,,,2-10,2,M. Plumlee makes 2-pt shot from 12 ft (assist by J. Murray)
9:31.0,,,2-10,,Violation by J. Murray (kicked ball)
9:22.0,D. Lillard misses 3-pt shot from 30 ft,,2-10,,
9:19.0,,,2-10,,Defensive rebound by W. Barton
9:11.0,,,2-10,,W. Barton misses 2-pt shot from 2 ft
9:09.0,Defensive rebound by J. Nurkic,,2-10,,
8:56.0,Shooting foul by M. Plumlee (drawn by J. Nurkic),,2-10,,
8:56.0,J. Nurkic makes free throw 1 of 2,1,3-10,,
8:56.0,J. Nurkic makes free throw 2 of 2,1,4-10,,
8:41.0,,,4-10,,N. Jokic misses 2-pt shot from 4 ft
8:38.0,Defensive rebound by J. Nurkic,,4-10,,
8:31.0,A. Aminu makes 2-pt shot from 2 ft (assist by D. Lillard),2,6-10,,
8:10.0,,,6-10,,M. Plumlee misses 2-pt shot from 6 ft
8:08.0,Defensive rebound by J. Nurkic,,6-10,,
8:02.0,C. McCollum misses 2-pt shot from 6 ft,,6-10,,
7:59.0,,,6-10,,Defensive rebound by W. Barton
7:54.0,,,6-10,,N. Jokic misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by A. Aminu,,6-10,,
7:41.0,C. McCollum misses 2-pt shot from 9 ft,,6-10,,
7:38.0,,,6-10,,Defensive rebound by W. Barton
7:22.0,,,6-10,,M. Plumlee misses 2-pt shot from 8 ft
7:20.0,,,6-10,,Offensive rebound by M. Plumlee
7:17.0,,,6-10,,N. Jokic misses 3-pt shot from 24 ft
7:13.0,Defensive rebound by J. Nurkic,,6-10,,
7:05.0,D. Lillard makes 2-pt shot from 9 ft,2,8-10,,
6:50.0,,,8-10,,Turnover by M. Plumlee (bad pass; steal by E. Turner)
6:42.0,E. Turner makes 2-pt shot from 3 ft (assist by D. Lillard),2,10-10,,
6:42.0,,,10-10,,Denver full timeout
6:24.0,,,10-12,2,N. Jokic makes 2-pt shot from 7 ft
6:10.0,C. McCollum misses 3-pt shot from 26 ft,,10-12,,
6:07.0,,,10-12,,Defensive rebound by G. Harris
5:56.0,,,10-15,3,J. Murray makes 3-pt shot from 24 ft (assist by N. Jokic)
5:40.0,J. Nurkic misses 2-pt shot from 1 ft,,10-15,,
5:38.0,,,10-15,,Defensive rebound by N. Jokic
5:31.0,,,10-15,,G. Harris misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by J. Nurkic,,10-15,,
5:18.0,A. Aminu misses 3-pt shot from 25 ft,,10-15,,
5:14.0,,,10-15,,Defensive rebound by J. Murray
5:07.0,,,10-15,,Shooting foul by A. Aminu (drawn by N. Jokic)
5:07.0,,,10-16,1,N. Jokic makes free throw 1 of 2
5:07.0,,,10-16,,W. Chandler enters the game for W. Barton
5:07.0,,,10-16,,T. Lyles enters the game for M. Plumlee
5:07.0,Z. Collins enters the game for A. Aminu,,10-16,,
5:07.0,E. Davis enters the game for J. Nurkic,,10-16,,
5:07.0,,,10-17,1,N. Jokic makes free throw 2 of 2
4:49.0,E. Davis misses 2-pt shot from 3 ft (block by W. Chandler),,10-17,,
4:45.0,,,10-17,,Defensive rebound by W. Chandler
4:41.0,,,10-17,,W. Chandler misses 2-pt shot from 3 ft
4:39.0,,,10-17,,Offensive rebound by N. Jokic
4:32.0,,,10-17,,Shooting foul by Z. Collins (drawn by N. Jokic)
4:32.0,,,10-17,,N. Jokic misses free throw 1 of 2
4:32.0,,,10-17,,Offensive rebound by Team
4:32.0,P. Connaughton enters the game for C. McCollum,,10-17,,
4:32.0,,,10-17,,N. Jokic misses free throw 2 of 2
4:29.0,Defensive rebound by Z. Collins,,10-17,,
4:13.0,Shooting foul by N. Jokic (drawn by E. Davis),,10-17,,
4:13.0,E. Davis makes free throw 1 of 2,1,11-17,,
4:13.0,E. Davis makes free throw 2 of 2,1,12-17,,
3:59.0,,,12-17,,Turnover by G. Harris (bad pass; steal by P. Connaughton)
3:43.0,E. Turner makes 3-pt shot from 24 ft (assist by E. Davis),3,15-17,,
3:27.0,,,15-17,,G. Harris misses 2-pt shot from 8 ft
3:24.0,,,15-17,,Offensive rebound by G. Harris
3:06.0,,,15-17,,J. Murray misses 2-pt shot from 4 ft (block by Z. Collins)
3:06.0,,,15-17,,Offensive rebound by Team
3:06.0,S. Napier enters the game for E. Turner,,15-17,,
2:57.0,,,15-17,,Turnover by J. Murray (lost ball; steal by S. Napier)
2:45.0,Shooting foul by J. Murray (drawn by P. Connaughton),,15-17,,
2:45.0,Portland full timeout,,15-17,,
2:45.0,,,15-17,,W. Barton enters the game for G. Harris
2:45.0,,,15-17,,T. Craig enters the game for N. Jokic
2:45.0,P. Connaughton makes free throw 1 of 2,1,16-17,,
2:45.0,P. Connaughton makes free throw 2 of 2,1,17-17,,
2:33.0,,,17-20,3,J. Murray makes 3-pt shot from 24 ft (assist by W. Barton)
2:16.0,P. Connaughton misses 2-pt shot from 20 ft,,17-20,,
2:13.0,,,17-20,,Defensive rebound by T. Craig
1:56.0,,,17-20,,T. Craig misses 2-pt shot from 5 ft (block by Z. Collins)
1:53.0,,,17-20,,Offensive rebound by T. Craig
1:52.0,,,17-20,,W. Barton misses 3-pt shot from 30 ft
1:48.0,Defensive rebound by Z. Collins,,17-20,,
1:41.0,D. Lillard misses 3-pt shot from 25 ft,,17-20,,
1:34.0,,,17-20,,Defensive rebound by T. Lyles
1:22.0,,,17-20,,Offensive foul by T. Lyles (drawn by D. Lillard)
1:22.0,,,17-20,,Turnover by T. Lyles (offensive foul)
