time,Miami,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. H. Whiteside,,,,Jump ball: R. Lopez vs. H. Whiteside
11:40.0,Turnover by J. Richardson (bad pass; steal by R. Lopez),,0-0,,
11:35.0,,,0-0,,J. Holiday misses 3-pt shot from 22 ft
11:31.0,Defensive rebound by J. Winslow,,0-0,,
11:21.0,G. Dragic makes 3-pt shot from 25 ft (assist by D. Waiters),3,3-0,,
10:59.0,,,3-0,,J. Holiday misses 3-pt shot from 23 ft
10:57.0,,,3-0,,Offensive rebound by R. Lopez
10:51.0,,,3-0,,R. Lopez misses 2-pt shot from 8 ft
10:44.0,Defensive rebound by H. Whiteside,,3-0,,
10:32.0,H. Whiteside misses 2-pt shot from 5 ft,,3-0,,
10:29.0,,,3-0,,Defensive rebound by L. Markkanen
10:24.0,,,3-0,,Turnover by K. Dunn (bad pass)
10:12.0,D. Waiters misses 3-pt shot from 23 ft,,3-0,,
10:08.0,,,3-0,,Defensive rebound by R. Lopez
10:04.0,,,3-0,,J. Holiday misses 2-pt shot from 1 ft
10:04.0,Defensive rebound by H. Whiteside,,3-0,,
9:58.0,Turnover by D. Waiters (out of bounds lost ball),,3-0,,
9:47.0,,,3-0,,D. Valentine misses 2-pt shot from 10 ft
9:47.0,,,3-0,,Offensive rebound by Team
9:31.0,,,3-3,3,J. Holiday makes 3-pt shot from 23 ft (assist by D. Valentine)
9:13.0,J. Richardson misses 2-pt shot from 17 ft,,3-3,,
9:10.0,,,3-3,,Defensive rebound by K. Dunn
8:55.0,,,3-3,,R. Lopez misses 2-pt shot from 15 ft
8:52.0,Defensive rebound by J. Winslow,,3-3,,
8:36.0,H. Whiteside misses 2-pt shot from 9 ft (block by L. Markkanen),,3-3,,
8:31.0,,,3-3,,Defensive rebound by D. Valentine
8:24.0,,,3-6,3,L. Markkanen makes 3-pt shot from 25 ft (assist by D. Valentine)
8:02.0,G. Dragic misses 3-pt shot from 26 ft,,3-6,,
8:00.0,,,3-6,,Defensive rebound by D. Valentine
7:53.0,,,3-6,,L. Markkanen misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by J. Richardson,,3-6,,
7:38.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Winslow),2,5-6,,
7:20.0,,,5-6,,D. Valentine misses 2-pt shot from 21 ft
7:20.0,Defensive rebound by H. Whiteside,,5-6,,
7:10.0,H. Whiteside misses 2-pt shot from 9 ft,,5-6,,
7:05.0,,,5-6,,Defensive rebound by K. Dunn
6:55.0,,,5-6,,K. Dunn misses 2-pt shot from 6 ft
6:53.0,Defensive rebound by D. Waiters,,5-6,,
6:50.0,Shooting foul by J. Holiday (drawn by D. Waiters),,5-6,,
6:50.0,,,5-6,,Chicago full timeout
6:50.0,D. Waiters makes free throw 1 of 2,1,6-6,,
6:50.0,D. Waiters makes free throw 2 of 2,1,7-6,,
6:36.0,,,7-6,,R. Lopez misses 2-pt shot from 4 ft
6:33.0,Defensive rebound by J. Winslow,,7-6,,
6:29.0,J. Winslow misses 2-pt shot from 5 ft (block by J. Holiday),,7-6,,
6:25.0,,,7-6,,Defensive rebound by L. Markkanen
6:16.0,,,7-6,,Turnover by R. Lopez (bad pass; steal by J. Richardson)
6:06.0,D. Waiters misses 2-pt shot from 3 ft,,7-6,,
6:03.0,,,7-6,,Defensive rebound by L. Markkanen
5:52.0,,,7-6,,K. Dunn misses 2-pt shot from 10 ft
5:49.0,Defensive rebound by H. Whiteside,,7-6,,
5:30.0,D. Waiters misses 3-pt shot from 26 ft,,7-6,,
5:27.0,,,7-6,,Defensive rebound by D. Valentine
5:12.0,,,7-6,,K. Dunn misses 2-pt shot from 21 ft
5:12.0,Defensive rebound by J. Winslow,,7-6,,
5:04.0,J. Richardson misses 3-pt shot from 22 ft,,7-6,,
5:04.0,,,7-6,,Defensive rebound by K. Dunn
4:56.0,,,7-6,,Shooting foul by G. Dragic (drawn by K. Dunn)
4:56.0,,,7-7,1,K. Dunn makes free throw 1 of 2
4:56.0,,,7-7,,A. Blakeney enters the game for D. Valentine
4:56.0,T. Johnson enters the game for G. Dragic,,7-7,,
4:56.0,,,7-8,1,K. Dunn makes free throw 2 of 2
4:37.0,H. Whiteside misses 2-pt shot from 1 ft,,7-8,,
4:37.0,,,7-8,,Defensive rebound by R. Lopez
4:32.0,,,7-8,,R. Lopez misses 2-pt shot from 11 ft
4:32.0,Defensive rebound by D. Waiters,,7-8,,
4:18.0,Turnover by J. Richardson (bad pass; steal by K. Dunn),,7-8,,
4:09.0,,,7-8,,A. Blakeney misses 2-pt shot from 10 ft
4:06.0,Defensive rebound by J. Winslow,,7-8,,
3:58.0,Turnover by J. Richardson (bad pass; steal by K. Dunn),,7-8,,
3:58.0,Personal foul by J. Richardson (drawn by K. Dunn),,7-8,,
3:58.0,,,7-8,,J. Grant enters the game for K. Dunn
3:58.0,K. Olynyk enters the game for J. Richardson,,7-8,,
3:58.0,W. Ellington enters the game for H. Whiteside,,7-8,,
3:43.0,,,7-11,3,L. Markkanen makes 3-pt shot from 25 ft (assist by R. Lopez)
3:39.0,Miami full timeout,,7-11,,
3:39.0,J. Johnson enters the game for J. Winslow,,7-11,,
3:17.0,K. Olynyk misses 2-pt shot from 11 ft,,7-11,,
3:17.0,,,7-11,,Defensive rebound by L. Markkanen
2:58.0,,,7-11,,L. Markkanen misses 2-pt shot from 1 ft (block by J. Johnson)
2:58.0,,,7-11,,B. Portis enters the game for L. Markkanen
2:58.0,,,7-11,,Offensive rebound by Team
2:44.0,Jump ball: R. Lopez vs. K. Olynyk,,,,Jump ball: R. Lopez vs. K. Olynyk
2:42.0,,,7-11,,Turnover by B. Portis (bad pass; steal by T. Johnson)
2:34.0,T. Johnson misses 2-pt shot from 2 ft,,7-11,,
2:31.0,,,7-11,,Defensive rebound by B. Portis
2:14.0,,,7-11,,A. Blakeney misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by K. Olynyk,,7-11,,
2:07.0,K. Olynyk misses 3-pt shot from 26 ft,,7-11,,
2:03.0,,,7-11,,Defensive rebound by A. Blakeney
1:57.0,,,7-11,,A. Blakeney misses 2-pt shot from 4 ft
1:55.0,Defensive rebound by K. Olynyk,,7-11,,
1:38.0,D. Waiters misses 2-pt shot from 21 ft,,7-11,,
1:38.0,,,7-11,,Defensive rebound by J. Holiday
1:28.0,,,7-13,2,J. Grant makes 2-pt shot at rim
1:06.0,Turnover by D. Waiters (bad pass; steal by A. Blakeney),,7-13,,
0:59.0,,,7-13,,A. Blakeney misses 3-pt shot from 25 ft (block by T. Johnson)
0:55.0,Defensive rebound by J. Johnson,,7-13,,
0:53.0,,,7-13,,Personal foul by J. Grant (drawn by J. Johnson)
0:53.0,,,7-13,,D. Valentine enters the game for A. Blakeney
0:53.0,,,7-13,,P. Zipser enters the game for R. Lopez
0:53.0,J. Richardson enters the game for D. Waiters,,7-13,,
0:48.0,T. Johnson misses 2-pt shot from 19 ft,,7-13,,
0:48.0,,,7-13,,Defensive rebound by D. Valentine
0:28.0,,,7-13,,D. Valentine misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by K. Olynyk,,7-13,,
0:22.0,W. Ellington misses 3-pt shot from 25 ft,,7-13,,
0:22.0,,,7-13,,Defensive rebound by B. Portis
0:00.0,,,7-13,,P. Zipser misses 2-pt shot from 20 ft
0:00.0,Defensive rebound by J. Richardson,,7-13,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,7-15,2,B. Portis makes 2-pt shot from 2 ft (assist by J. Grant)
11:26.0,K. Olynyk makes 2-pt shot from 1 ft,2,9-15,,
11:06.0,,,9-17,2,D. Valentine makes 2-pt shot from 8 ft (assist by B. Portis)
10:52.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson),3,12-17,,
10:28.0,,,12-19,2,B. Portis makes 2-pt shot from 5 ft
10:14.0,T. Johnson makes 3-pt shot from 26 ft (assist by J. Johnson),3,15-19,,
9:55.0,,,15-19,,B. Portis misses 2-pt shot from 12 ft (block by J. Johnson)
9:55.0,Defensive rebound by J. Johnson,,15-19,,
9:48.0,J. Johnson makes 2-pt shot from 1 ft,2,17-19,,
9:34.0,,,17-22,3,D. Valentine makes 3-pt shot from 24 ft (assist by B. Portis)
9:19.0,K. Olynyk misses 3-pt shot from 25 ft,,17-22,,
9:16.0,,,17-22,,Defensive rebound by D. Valentine
9:10.0,,,17-22,,J. Grant misses 2-pt shot from 2 ft
9:10.0,Defensive rebound by K. Olynyk,,17-22,,
9:02.0,J. Johnson misses 3-pt shot from 26 ft,,17-22,,
9:02.0,,,17-22,,P. Zipser misses 2-pt shot from 2 ft (block by T. Johnson)
9:02.0,Defensive rebound by T. Johnson,,17-22,,
9:01.0,,,17-22,,Defensive rebound by D. Valentine
8:33.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Johnson),3,20-22,,
8:33.0,Shooting foul by J. Grant (drawn by W. Ellington),,20-22,,
8:33.0,W. Ellington makes free throw 1 of 1,1,21-22,,
8:20.0,,,21-22,,P. Zipser misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by J. Johnson,,21-22,,
8:07.0,K. Olynyk makes 2-pt shot from 2 ft,2,23-22,,
8:07.0,,,23-22,,Chicago full timeout
7:52.0,,,23-25,3,D. Valentine makes 3-pt shot from 27 ft (assist by K. Dunn)
7:30.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Richardson),3,26-25,,
7:11.0,,,26-27,2,P. Zipser makes 2-pt shot from 19 ft
6:50.0,J. Johnson makes 2-pt shot from 20 ft,2,28-27,,
6:39.0,,,28-27,,J. Grant misses 2-pt shot from 1 ft
6:39.0,,,28-27,,Offensive rebound by Team
6:39.0,Personal foul by T. Johnson (drawn by B. Portis),,28-27,,
6:39.0,,,28-27,,L. Markkanen enters the game for P. Zipser
6:39.0,G. Dragic enters the game for J. Richardson,,28-27,,
6:31.0,,,28-27,,L. Markkanen misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by K. Olynyk,,28-27,,
6:24.0,Shooting foul by K. Dunn (drawn by K. Olynyk),,28-27,,
6:24.0,K. Olynyk misses free throw 1 of 2,,28-27,,
6:24.0,Offensive rebound by Team,,28-27,,
6:24.0,,,28-27,,J. Holiday enters the game for J. Grant
6:24.0,K. Olynyk makes free throw 2 of 2,1,29-27,,
6:13.0,,,29-27,,Shooting foul by K. Olynyk (drawn by B. Portis)
6:13.0,,,29-28,1,B. Portis makes free throw 1 of 2
6:13.0,,,29-29,1,B. Portis makes free throw 2 of 2
5:55.0,Shooting foul by L. Markkanen (drawn by K. Olynyk),,29-29,,
5:55.0,K. Olynyk makes free throw 1 of 2,1,30-29,,
5:55.0,,,30-29,,R. Lopez enters the game for B. Portis
5:55.0,K. Olynyk makes free throw 2 of 2,1,31-29,,
5:32.0,,,31-29,,K. Dunn misses 2-pt shot at rim
5:32.0,,,31-29,,Offensive rebound by Team
5:32.0,Loose ball foul by T. Johnson (drawn by R. Lopez),,31-29,,
5:32.0,H. Whiteside enters the game for K. Olynyk,,31-29,,
5:16.0,,,31-31,2,R. Lopez makes 2-pt shot at rim (assist by D. Valentine)
5:01.0,T. Johnson misses 3-pt shot from 25 ft,,31-31,,
4:58.0,Offensive rebound by H. Whiteside,,31-31,,
4:56.0,H. Whiteside makes 2-pt shot from 19 ft,2,33-31,,
