time,Portland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. J. Nurkic (D. Lillard gains possession),,,,Jump ball: J. Valanciunas vs. J. Nurkic (D. Lillard gains possession)
11:43.0,D. Lillard makes 2-pt shot from 2 ft,2,2-0,,
11:30.0,,,2-2,2,K. Lowry makes 2-pt shot from 9 ft
11:11.0,C. McCollum misses 3-pt shot from 23 ft,,2-2,,
11:09.0,,,2-2,,Defensive rebound by S. Ibaka
11:00.0,,,2-2,,K. Lowry misses 2-pt shot from 14 ft
10:56.0,Defensive rebound by J. Nurkic,,2-2,,
10:49.0,D. Lillard makes 3-pt shot from 29 ft (assist by J. Nurkic),3,5-2,,
10:23.0,,,5-5,3,J. Valanciunas makes 3-pt shot from 22 ft (assist by K. Lowry)
10:06.0,E. Turner misses 3-pt shot from 26 ft,,5-5,,
10:03.0,,,5-5,,Defensive rebound by K. Lowry
9:56.0,,,5-5,,D. DeRozan misses 2-pt shot from 9 ft
9:52.0,Defensive rebound by D. Lillard,,5-5,,
9:46.0,C. McCollum misses 3-pt shot from 26 ft,,5-5,,
9:44.0,Offensive rebound by A. Aminu,,5-5,,
9:36.0,J. Nurkic misses 2-pt shot from 10 ft,,5-5,,
9:33.0,,,5-5,,Defensive rebound by J. Valanciunas
9:31.0,,,5-7,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
9:31.0,,,5-7,,Shooting foul by C. McCollum (drawn by D. DeRozan)
9:31.0,,,5-8,1,D. DeRozan makes free throw 1 of 1
9:20.0,D. Lillard makes 2-pt shot from 14 ft,2,7-8,,
9:05.0,,,7-8,,K. Lowry misses 2-pt shot from 19 ft
9:02.0,Defensive rebound by A. Aminu,,7-8,,
8:53.0,C. McCollum misses 2-pt shot from 1 ft,,7-8,,
8:52.0,,,7-8,,Defensive rebound by J. Valanciunas
8:46.0,,,7-8,,J. Valanciunas misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by J. Nurkic,,7-8,,
8:32.0,Shooting foul by S. Ibaka (drawn by D. Lillard),,7-8,,
8:32.0,D. Lillard makes free throw 1 of 2,1,8-8,,
8:32.0,D. Lillard makes free throw 2 of 2,1,9-8,,
8:19.0,,,9-10,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
