time,San Antonio,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Barnes vs. P. Gasol (L. Aldridge gains possession),,,,Jump ball: H. Barnes vs. P. Gasol (L. Aldridge gains possession)
11:37.0,K. Anderson misses 2-pt shot from 20 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by Y. Ferrell
11:25.0,,,0-0,,Turnover by D. Smith (lost ball; steal by P. Mills)
11:20.0,Turnover by D. Green (bad pass; steal by Y. Ferrell),,0-0,,
11:01.0,,,0-3,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Smith)
10:45.0,P. Gasol makes 2-pt shot from 22 ft (assist by P. Mills),2,2-3,,
10:33.0,,,2-5,2,H. Barnes makes 2-pt shot from 19 ft (assist by W. Matthews)
10:21.0,L. Aldridge misses 2-pt shot from 9 ft,,2-5,,
10:17.0,,,2-5,,Defensive rebound by H. Barnes
10:08.0,,,2-7,2,H. Barnes makes 2-pt shot from 16 ft
9:48.0,D. Green misses 3-pt shot from 25 ft,,2-7,,
9:46.0,,,2-7,,Defensive rebound by H. Barnes
9:30.0,,,2-7,,Shooting foul by P. Gasol (drawn by W. Matthews)
9:30.0,,,2-8,1,W. Matthews makes free throw 1 of 2
9:30.0,,,2-9,1,W. Matthews makes free throw 2 of 2
9:18.0,L. Aldridge makes 2-pt shot at rim (assist by P. Gasol),2,4-9,,
8:56.0,,,4-9,,D. Nowitzki misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by P. Gasol,,4-9,,
8:40.0,Turnover by P. Gasol (bad pass; steal by H. Barnes),,4-9,,
8:29.0,,,4-9,,Offensive foul by H. Barnes (drawn by P. Mills)
8:29.0,,,4-9,,Turnover by H. Barnes (offensive foul)
8:17.0,Turnover by L. Aldridge (bad pass; steal by H. Barnes),,4-9,,
8:07.0,,,4-9,,H. Barnes misses 2-pt shot from 19 ft
8:03.0,Defensive rebound by P. Gasol,,4-9,,
7:50.0,D. Green misses 3-pt shot from 22 ft,,4-9,,
7:50.0,,,4-9,,Defensive rebound by Y. Ferrell
7:31.0,,,4-9,,Turnover by D. Smith (bad pass; steal by P. Mills)
7:24.0,L. Aldridge makes 2-pt shot at rim (assist by K. Anderson),2,6-9,,
7:22.0,,,6-9,,Dallas full timeout
7:22.0,,,6-9,,N. Noel enters the game for D. Nowitzki
7:00.0,,,6-11,2,D. Smith makes 2-pt shot at rim
