time,Utah,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. D. Favors (J. Jerebko gains possession),,,,Jump ball: M. Plumlee vs. D. Favors (J. Jerebko gains possession)
11:47.0,J. Jerebko misses 2-pt shot from 15 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by M. Plumlee
11:38.0,,,0-0,,Turnover by J. Murray (bad pass; steal by R. Rubio)
11:33.0,J. Jerebko misses 2-pt shot from 2 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by N. Jokic
11:17.0,,,0-0,,N. Jokic misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by R. Rubio,,0-0,,
11:06.0,D. Favors misses 2-pt shot from 2 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by J. Murray
10:54.0,,,0-0,,N. Jokic misses 2-pt shot from 4 ft
10:51.0,Defensive rebound by D. Mitchell,,0-0,,
10:32.0,R. Rubio misses 3-pt shot from 23 ft,,0-0,,
10:28.0,Offensive rebound by D. Favors,,0-0,,
10:17.0,D. Favors makes 2-pt shot from 3 ft,2,2-0,,
9:56.0,,,2-3,3,J. Murray makes 3-pt shot from 26 ft (assist by N. Jokic)
9:39.0,R. Rubio misses 2-pt shot from 19 ft,,2-3,,
9:37.0,,,2-3,,Defensive rebound by G. Harris
9:22.0,,,2-3,,W. Chandler misses 2-pt shot from 5 ft
9:19.0,Defensive rebound by D. Mitchell,,2-3,,
9:08.0,Shooting foul by M. Plumlee (drawn by D. Favors),,2-3,,
9:08.0,D. Favors misses free throw 1 of 2,,2-3,,
9:08.0,Offensive rebound by Team,,2-3,,
9:08.0,D. Favors makes free throw 2 of 2,1,3-3,,
8:49.0,,,3-3,,G. Harris misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by J. Jerebko,,3-3,,
8:36.0,J. Jerebko makes 3-pt shot from 26 ft (assist by R. Rubio),3,6-3,,
8:12.0,,,6-3,,Turnover by W. Chandler (lost ball; steal by R. Rubio)
8:03.0,J. Ingles misses 3-pt shot from 22 ft,,6-3,,
8:03.0,,,6-3,,Defensive rebound by M. Plumlee
7:53.0,,,6-6,3,G. Harris makes 3-pt shot from 24 ft (assist by M. Plumlee)
7:32.0,D. Favors misses 2-pt shot from 3 ft (block by W. Chandler),,6-6,,
7:32.0,,,6-6,,Defensive rebound by W. Chandler
7:24.0,Personal foul by J. Jerebko (drawn by G. Harris),,6-6,,
7:22.0,,,6-8,2,M. Plumlee makes 2-pt shot from 1 ft (assist by G. Harris)
7:22.0,,,6-8,,Shooting foul by D. Mitchell (drawn by M. Plumlee)
7:22.0,,,6-8,,M. Plumlee misses free throw 1 of 1
7:20.0,Defensive rebound by D. Favors,,6-8,,
7:02.0,J. Jerebko makes 3-pt shot from 22 ft (assist by R. Rubio),3,9-8,,
6:44.0,,,9-8,,W. Chandler misses 2-pt shot from 3 ft
6:43.0,Defensive rebound by J. Ingles,,9-8,,
6:32.0,,,9-8,,Personal foul by N. Jokic (drawn by J. Jerebko)
6:32.0,,,9-8,,Denver full timeout
6:32.0,,,9-8,,W. Barton enters the game for W. Chandler
6:32.0,R. Hood enters the game for R. Rubio,,9-8,,
6:20.0,Turnover by D. Mitchell (lost ball; steal by J. Murray),,9-8,,
6:15.0,,,9-11,3,J. Murray makes 3-pt shot from 25 ft (assist by W. Barton)
5:56.0,D. Mitchell makes 2-pt shot from 4 ft (assist by D. Favors),2,11-11,,
5:33.0,,,11-13,2,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Jokic)
5:18.0,,,11-13,,T. Lyles enters the game for G. Harris
5:18.0,,,11-13,,T. Craig enters the game for N. Jokic
5:18.0,J. Johnson enters the game for J. Jerebko,,11-13,,
5:08.0,J. Johnson misses 3-pt shot from 23 ft,,11-13,,
5:03.0,,,11-13,,Defensive rebound by J. Murray
5:00.0,,,11-13,,J. Murray misses 2-pt shot from 16 ft
4:57.0,,,11-13,,Offensive rebound by M. Plumlee
4:55.0,,,11-16,3,J. Murray makes 3-pt shot from 26 ft (assist by M. Plumlee)
4:40.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell),3,14-16,,
4:16.0,,,14-16,,M. Plumlee misses 2-pt shot from 2 ft
4:14.0,Defensive rebound by R. Hood,,14-16,,
4:02.0,Shooting foul by T. Craig (drawn by D. Favors),,14-16,,
4:02.0,D. Favors makes free throw 1 of 2,1,15-16,,
4:02.0,,,15-16,,G. Harris enters the game for M. Plumlee
4:02.0,A. Burks enters the game for J. Ingles,,15-16,,
4:02.0,D. Favors misses free throw 2 of 2,,15-16,,
4:00.0,,,15-16,,Defensive rebound by T. Craig
3:42.0,,,15-16,,Shooting foul by D. Mitchell (drawn by T. Craig)
3:42.0,,,15-17,1,T. Craig makes free throw 1 of 3
3:42.0,,,15-18,1,T. Craig makes free throw 2 of 3
3:42.0,E. Udoh enters the game for D. Favors,,15-18,,
3:42.0,R. Rubio enters the game for D. Mitchell,,15-18,,
3:42.0,,,15-19,1,T. Craig makes free throw 3 of 3
3:23.0,A. Burks misses 2-pt shot from 16 ft,,15-19,,
3:19.0,,,15-19,,Defensive rebound by W. Barton
3:15.0,,,15-21,2,W. Barton makes 2-pt shot from 16 ft
3:09.0,Utah full timeout,,15-21,,
3:04.0,R. Hood misses 2-pt shot from 21 ft,,15-21,,
3:01.0,,,15-21,,Defensive rebound by T. Lyles
2:45.0,,,15-23,2,J. Murray makes 2-pt shot from 3 ft
2:36.0,R. Rubio misses 2-pt shot from 2 ft,,15-23,,
2:34.0,,,15-23,,Defensive rebound by T. Craig
2:31.0,,,15-23,,W. Barton misses 2-pt shot from 1 ft
2:25.0,,,15-23,,Offensive rebound by J. Murray
2:25.0,,,15-25,2,J. Murray makes 2-pt shot at rim
2:09.0,R. Hood misses 2-pt shot from 9 ft,,15-25,,
2:07.0,,,15-25,,Defensive rebound by T. Lyles
1:59.0,,,15-25,,G. Harris misses 3-pt shot from 23 ft
1:55.0,Defensive rebound by R. Rubio,,15-25,,
1:40.0,R. Hood misses 3-pt shot from 23 ft,,15-25,,
1:37.0,,,15-25,,Defensive rebound by T. Lyles
1:25.0,,,15-28,3,T. Lyles makes 3-pt shot from 24 ft (assist by J. Murray)
1:05.0,A. Burks makes 2-pt shot from 2 ft (assist by R. Rubio),2,17-28,,
0:45.0,Personal foul by A. Burks (drawn by J. Murray),,17-28,,
0:38.0,,,17-28,,T. Craig misses 3-pt shot from 27 ft
0:34.0,Defensive rebound by R. Rubio,,17-28,,
0:30.0,R. Hood makes 3-pt shot from 29 ft (assist by R. Rubio),3,20-28,,
0:13.0,,,20-28,,J. Murray misses 2-pt shot from 10 ft
0:13.0,Defensive rebound by Team,,20-28,,
0:04.0,,,20-28,,Personal foul by G. Harris (drawn by R. Hood)
0:02.0,Turnover by R. Hood (turnover),,20-28,,
0:00.0,,,20-28,,J. Murray misses 3-pt shot from 32 ft
