time,Minnesota,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Towns (T. Gibson gains possession),,,,Jump ball: C. Capela vs. K. Towns (T. Gibson gains possession)
11:40.0,Turnover by J. Butler (bad pass; steal by J. Harden),,0-0,,
11:36.0,,,0-0,,T. Ariza misses 3-pt shot from 25 ft
11:32.0,,,0-0,,Offensive rebound by Team
11:24.0,,,0-0,,J. Harden misses 2-pt shot from 10 ft
11:22.0,Defensive rebound by J. Teague,,0-0,,
11:11.0,J. Teague makes 2-pt shot from 1 ft,2,2-0,,
10:46.0,,,2-0,,P. Tucker misses 2-pt shot from 9 ft
10:45.0,Defensive rebound by K. Towns,,2-0,,
10:35.0,T. Gibson misses 2-pt shot from 7 ft,,2-0,,
10:34.0,,,2-0,,Defensive rebound by C. Capela
10:24.0,,,2-0,,P. Tucker misses 3-pt shot from 22 ft
10:21.0,Defensive rebound by K. Towns,,2-0,,
10:15.0,Turnover by J. Butler (bad pass; steal by T. Ariza),,2-0,,
10:03.0,,,2-0,,Turnover by J. Harden (lost ball; steal by J. Teague)
10:03.0,,,2-0,,Personal foul by P. Tucker (drawn by J. Teague)
9:47.0,A. Wiggins makes 2-pt shot from 6 ft,2,4-0,,
9:39.0,,,4-2,2,C. Paul makes 2-pt shot at rim
9:30.0,J. Teague makes 2-pt shot from 7 ft,2,6-2,,
9:30.0,Shooting foul by T. Ariza (drawn by J. Teague),,6-2,,
9:30.0,J. Teague makes free throw 1 of 1,1,7-2,,
9:17.0,,,7-2,,T. Ariza misses 2-pt shot at rim
9:15.0,Defensive rebound by A. Wiggins,,7-2,,
9:14.0,Offensive charge foul by T. Gibson (drawn by T. Ariza),,7-2,,
9:14.0,Turnover by T. Gibson (offensive foul),,7-2,,
9:02.0,,,7-2,,Turnover by C. Paul (bad pass; steal by K. Towns)
8:57.0,A. Wiggins makes 2-pt shot at rim,2,9-2,,
8:46.0,,,9-4,2,J. Harden makes 2-pt shot at rim
8:46.0,,,9-4,,Shooting foul by J. Butler (drawn by J. Harden)
8:46.0,,,9-5,1,J. Harden makes free throw 1 of 1
8:36.0,Turnover by A. Wiggins (lost ball; steal by C. Paul),,9-5,,
8:29.0,Shooting block foul by K. Towns (drawn by T. Ariza),,9-5,,
8:29.0,,,9-6,1,T. Ariza makes free throw 1 of 2
8:29.0,,,9-6,,T. Ariza misses free throw 2 of 2
8:27.0,,,9-6,,Offensive rebound by Team
8:14.0,,,9-6,,J. Harden misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by A. Wiggins,,9-6,,
7:56.0,J. Butler makes 2-pt shot at rim,2,11-6,,
7:38.0,,,11-6,,J. Harden misses 2-pt shot from 15 ft
7:35.0,Defensive rebound by T. Gibson,,11-6,,
7:28.0,K. Towns makes 3-pt shot from 26 ft (assist by J. Teague),3,14-6,,
7:22.0,Personal foul by J. Teague (drawn by C. Paul),,14-6,,
7:09.0,,,14-6,,T. Ariza misses 2-pt shot at rim
7:05.0,,,14-6,,Offensive rebound by C. Capela
7:05.0,,,14-6,,C. Capela misses 2-pt shot at rim
7:04.0,,,14-6,,Offensive rebound by C. Capela
7:04.0,,,14-6,,C. Capela misses 2-pt shot at rim
7:03.0,,,14-6,,Offensive rebound by C. Capela
7:03.0,,,14-8,2,C. Capela makes 2-pt shot at rim
6:58.0,J. Teague misses 2-pt shot at rim (block by J. Harden),,14-8,,
6:56.0,,,14-8,,Defensive rebound by J. Harden
6:52.0,,,14-8,,Offensive charge foul by J. Harden (drawn by T. Gibson)
6:52.0,,,14-8,,Turnover by J. Harden (offensive foul)
6:52.0,,,14-8,,Houston full timeout
6:52.0,,,14-8,,E. Gordon enters the game for C. Paul
6:37.0,K. Towns makes 2-pt shot from 6 ft (assist by A. Wiggins),2,16-8,,
6:24.0,,,16-8,,Turnover by C. Capela (bad pass; steal by A. Wiggins)
6:15.0,K. Towns misses 2-pt shot from 3 ft (block by P. Tucker),,16-8,,
6:13.0,Offensive rebound by K. Towns,,16-8,,
6:13.0,Shooting foul by P. Tucker (drawn by K. Towns),,16-8,,
6:13.0,K. Towns misses free throw 1 of 2,,16-8,,
6:13.0,Offensive rebound by Team,,16-8,,
6:13.0,,,16-8,,G. Green enters the game for P. Tucker
6:13.0,T. Jones enters the game for J. Teague,,16-8,,
6:13.0,K. Towns misses free throw 2 of 2,,16-8,,
6:11.0,,,16-8,,Defensive rebound by J. Harden
6:06.0,,,16-11,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
5:43.0,K. Towns misses 2-pt shot from 13 ft,,16-11,,
5:42.0,,,16-11,,Defensive rebound by C. Capela
5:34.0,,,16-11,,J. Harden misses 2-pt shot from 1 ft (block by T. Gibson)
5:34.0,,,16-11,,Offensive rebound by Team
5:33.0,,,16-11,,Shooting foul by A. Wiggins (drawn by E. Gordon)
5:33.0,,,16-12,1,E. Gordon makes free throw 1 of 2
5:33.0,,,16-12,,N. Hilario enters the game for C. Capela
5:33.0,,,16-12,,E. Gordon misses free throw 2 of 2
5:31.0,Defensive rebound by T. Gibson,,16-12,,
5:10.0,K. Towns misses 2-pt shot at rim,,16-12,,
5:08.0,Offensive rebound by A. Wiggins,,16-12,,
5:06.0,A. Wiggins makes 2-pt shot from 1 ft,2,18-12,,
4:57.0,,,18-12,,J. Harden misses 2-pt shot from 1 ft
4:55.0,Defensive rebound by K. Towns,,18-12,,
4:53.0,Turnover by A. Wiggins (out of bounds lost ball),,18-12,,
4:53.0,J. Crawford enters the game for J. Butler,,18-12,,
4:53.0,G. Dieng enters the game for K. Towns,,18-12,,
4:42.0,,,18-12,,Turnover by J. Harden (lost ball; steal by T. Gibson)
4:39.0,T. Gibson makes 2-pt shot from 1 ft (assist by T. Jones),2,20-12,,
4:28.0,,,20-12,,E. Gordon misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by G. Dieng,,20-12,,
4:16.0,A. Wiggins misses 2-pt shot from 11 ft,,20-12,,
4:14.0,,,20-12,,Defensive rebound by N. Hilario
4:09.0,,,20-12,,J. Harden misses 2-pt shot at rim (block by G. Dieng)
4:05.0,Defensive rebound by T. Gibson,,20-12,,
3:54.0,Turnover by G. Dieng (traveling),,20-12,,
3:54.0,,,20-12,,J. Johnson enters the game for T. Ariza
3:46.0,,,20-12,,G. Green misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by T. Gibson,,20-12,,
3:28.0,J. Crawford misses 3-pt shot from 25 ft,,20-12,,
3:26.0,,,20-12,,Defensive rebound by G. Green
3:16.0,Personal foul by J. Crawford (drawn by J. Harden),,20-12,,
3:16.0,,,20-13,1,J. Harden makes free throw 1 of 2
3:16.0,N. Bjelica enters the game for T. Gibson,,20-13,,
3:16.0,,,20-13,,J. Harden misses free throw 2 of 2
3:15.0,Defensive rebound by N. Bjelica,,20-13,,
3:00.0,G. Dieng misses 2-pt shot from 12 ft,,20-13,,
2:57.0,,,20-13,,Defensive rebound by G. Green
2:48.0,,,20-13,,G. Green misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by G. Dieng,,20-13,,
2:25.0,A. Wiggins misses 2-pt shot from 19 ft,,20-13,,
2:20.0,Offensive rebound by G. Dieng,,20-13,,
2:14.0,Shooting foul by J. Johnson (drawn by N. Bjelica),,20-13,,
2:14.0,Minnesota full timeout,,20-13,,
2:14.0,,,20-13,,C. Capela enters the game for J. Harden
2:14.0,,,20-13,,C. Paul enters the game for N. Hilario
2:14.0,N. Bjelica makes free throw 1 of 2,1,21-13,,
2:14.0,N. Bjelica makes free throw 2 of 2,1,22-13,,
2:01.0,,,22-13,,E. Gordon misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by T. Jones,,22-13,,
1:45.0,T. Jones misses 3-pt shot from 22 ft,,22-13,,
1:42.0,,,22-13,,Defensive rebound by C. Capela
1:34.0,,,22-16,3,C. Paul makes 3-pt shot from 25 ft
1:15.0,A. Wiggins misses 2-pt shot from 11 ft,,22-16,,
1:13.0,,,22-16,,Defensive rebound by J. Johnson
1:03.0,,,22-16,,J. Johnson misses 2-pt shot from 15 ft
1:00.0,Defensive rebound by A. Wiggins,,22-16,,
0:51.0,J. Crawford misses 2-pt shot from 6 ft,,22-16,,
0:50.0,,,22-16,,Defensive rebound by E. Gordon
0:45.0,,,22-16,,E. Gordon misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by J. Crawford,,22-16,,
0:38.0,Shooting foul by G. Green (drawn by J. Crawford),,22-16,,
0:38.0,J. Crawford makes free throw 1 of 2,1,23-16,,
0:38.0,J. Teague enters the game for T. Jones,,23-16,,
