time,Charlotte,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. D. Howard (M. Williams gains possession),,,,Jump ball: D. Jordan vs. D. Howard (M. Williams gains possession)
11:49.0,N. Batum misses 2-pt shot from 18 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by M. Teodosic
11:30.0,,,0-0,,Shooting foul by M. Williams (drawn by B. Griffin)
11:30.0,,,0-1,1,B. Griffin makes free throw 1 of 2
11:30.0,,,0-1,,B. Griffin misses free throw 2 of 2
11:25.0,Defensive rebound by K. Walker,,0-1,,
11:15.0,,,0-1,,Personal foul by J. Evans (drawn by K. Walker)
11:07.0,Turnover by D. Howard (traveling),,0-1,,
10:57.0,,,0-1,,M. Teodosic misses 2-pt shot from 16 ft
10:55.0,Defensive rebound by D. Howard,,0-1,,
10:41.0,Shooting foul by M. Teodosic (drawn by M. Kidd-Gilchrist),,0-1,,
10:41.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,1-1,,
10:41.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,2-1,,
10:24.0,,,2-3,2,J. Evans makes 2-pt shot from 17 ft (assist by B. Griffin)
9:59.0,M. Williams misses 2-pt shot from 9 ft,,2-3,,
9:57.0,Offensive rebound by M. Kidd-Gilchrist,,2-3,,
9:55.0,K. Walker makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist),3,5-3,,
9:40.0,,,5-3,,Turnover by B. Griffin (bad pass; steal by M. Williams)
9:37.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker),2,7-3,,
9:18.0,,,7-5,2,B. Griffin makes 2-pt shot from 2 ft (assist by M. Teodosic)
9:03.0,M. Williams misses 2-pt shot from 9 ft,,7-5,,
9:01.0,Offensive rebound by M. Kidd-Gilchrist,,7-5,,
9:01.0,,,7-5,,Loose ball foul by M. Teodosic (drawn by M. Kidd-Gilchrist)
9:01.0,,,7-5,,L. Williams enters the game for M. Teodosic
8:50.0,Turnover by N. Batum (bad pass; steal by C. Williams),,7-5,,
8:46.0,,,7-8,3,L. Williams makes 3-pt shot from 24 ft (assist by J. Evans)
8:24.0,D. Howard misses 2-pt shot from 16 ft,,7-8,,
8:22.0,,,7-8,,Defensive rebound by B. Griffin
8:16.0,,,7-8,,J. Evans misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by D. Howard,,7-8,,
8:04.0,K. Walker makes 2-pt shot at rim,2,9-8,,
7:58.0,,,9-8,,C. Williams misses 3-pt shot from 25 ft
7:53.0,,,9-8,,Offensive rebound by J. Evans
7:45.0,,,9-10,2,L. Williams makes 2-pt shot from 1 ft
7:34.0,K. Walker misses 3-pt shot from 25 ft,,9-10,,
7:32.0,,,9-10,,Defensive rebound by D. Jordan
7:27.0,,,9-10,,J. Evans misses 2-pt shot from 1 ft
7:27.0,Defensive rebound by N. Batum,,9-10,,
7:12.0,D. Howard misses 2-pt shot from 6 ft,,9-10,,
7:12.0,,,9-10,,Defensive rebound by B. Griffin
6:59.0,,,9-13,3,L. Williams makes 3-pt shot from 24 ft (assist by C. Williams)
6:50.0,Charlotte full timeout,,9-13,,
6:40.0,M. Williams misses 3-pt shot from 24 ft,,9-13,,
6:37.0,,,9-13,,Defensive rebound by J. Evans
6:33.0,,,9-13,,B. Griffin misses 2-pt shot from 2 ft
6:30.0,Defensive rebound by M. Williams,,9-13,,
6:22.0,M. Williams misses 2-pt shot from 10 ft,,9-13,,
6:19.0,,,9-13,,Defensive rebound by J. Evans
6:12.0,,,9-13,,C. Williams misses 3-pt shot from 22 ft
6:08.0,Defensive rebound by D. Howard,,9-13,,
6:02.0,K. Walker makes 2-pt shot from 15 ft,2,11-13,,
5:52.0,,,11-16,3,L. Williams makes 3-pt shot from 25 ft (assist by B. Griffin)
5:37.0,Shooting foul by B. Griffin (drawn by D. Howard),,11-16,,
5:37.0,D. Howard makes free throw 1 of 2,1,12-16,,
5:37.0,D. Howard makes free throw 2 of 2,1,13-16,,
5:23.0,,,13-16,,J. Evans misses 2-pt shot from 18 ft
5:19.0,Defensive rebound by M. Kidd-Gilchrist,,13-16,,
5:13.0,Shooting foul by J. Evans (drawn by K. Walker),,13-16,,
5:13.0,K. Walker misses free throw 1 of 3,,13-16,,
5:13.0,Offensive rebound by Team,,13-16,,
5:13.0,K. Walker makes free throw 2 of 3,1,14-16,,
5:13.0,,,14-16,,W. Johnson enters the game for J. Evans
5:13.0,J. Lamb enters the game for M. Williams,,14-16,,
5:13.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,14-16,,
