time,Philadelphia,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. Embiid (R. Covington gains possession),,,,Jump ball: B. Lopez vs. J. Embiid (R. Covington gains possession)
11:39.0,R. Covington makes 2-pt shot from 9 ft (assist by J. Embiid),2,2-0,,
11:18.0,,,2-0,,L. Ball misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by J. Embiid,,2-0,,
11:07.0,J. Embiid makes 2-pt shot from 14 ft,2,4-0,,
10:54.0,,,4-2,2,B. Ingram makes 2-pt shot from 1 ft
10:37.0,D. Saric misses 3-pt shot from 23 ft,,4-2,,
10:34.0,,,4-2,,Defensive rebound by B. Ingram
10:29.0,,,4-2,,K. Caldwell-Pope misses 2-pt shot from 5 ft
10:27.0,Defensive rebound by D. Saric,,4-2,,
10:22.0,J. Redick misses 3-pt shot from 23 ft,,4-2,,
10:22.0,,,4-2,,Defensive rebound by L. Ball
10:16.0,,,4-2,,Turnover by L. Ball (lost ball; steal by B. Simmons)
10:10.0,R. Covington misses 3-pt shot from 25 ft,,4-2,,
10:08.0,,,4-2,,Defensive rebound by L. Ball
10:01.0,,,4-2,,B. Ingram misses 2-pt shot from 15 ft
10:01.0,Defensive rebound by B. Simmons,,4-2,,
9:56.0,J. Embiid makes 3-pt shot from 25 ft (assist by B. Simmons),3,7-2,,
9:41.0,,,7-2,,B. Lopez misses 3-pt shot from 22 ft
9:41.0,,,7-2,,Offensive rebound by L. Ball
9:35.0,,,7-2,,K. Kuzma misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by J. Redick,,7-2,,
9:28.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Redick),2,9-2,,
9:20.0,,,9-4,2,K. Kuzma makes 2-pt shot at rim (assist by L. Ball)
9:06.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,12-4,,
8:54.0,,,12-4,,B. Lopez misses 2-pt shot from 11 ft
8:54.0,Defensive rebound by D. Saric,,12-4,,
8:34.0,,,12-4,,Personal foul by K. Kuzma (drawn by J. Embiid)
8:26.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Embiid),2,14-4,,
8:10.0,,,14-6,2,B. Ingram makes 2-pt shot from 1 ft
8:10.0,,,14-6,,Shooting foul by R. Covington (drawn by B. Ingram)
8:10.0,,,14-7,1,B. Ingram makes free throw 1 of 1
7:58.0,J. Embiid misses 2-pt shot from 14 ft,,14-7,,
7:53.0,Offensive rebound by D. Saric,,14-7,,
7:52.0,D. Saric makes 2-pt shot from 1 ft,2,16-7,,
7:40.0,,,16-7,,B. Lopez misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by R. Covington,,16-7,,
7:27.0,R. Covington makes 2-pt shot from 1 ft (assist by J. Embiid),2,18-7,,
7:27.0,,,18-7,,LA Lakers full timeout
7:27.0,T. McConnell enters the game for D. Saric,,18-7,,
7:27.0,A. Johnson enters the game for J. Embiid,,18-7,,
7:12.0,,,18-7,,Turnover by K. Kuzma (bad pass; steal by B. Simmons)
7:11.0,,,18-7,,Personal foul by B. Ingram (drawn by J. Redick)
7:00.0,J. Redick makes 2-pt shot from 21 ft (assist by R. Covington),2,20-7,,
6:45.0,,,20-9,2,B. Lopez makes 2-pt shot from 5 ft
6:32.0,T. McConnell makes 2-pt shot at rim,2,22-9,,
6:21.0,,,22-9,,B. Lopez misses 3-pt shot from 25 ft
6:16.0,,,22-9,,Offensive rebound by L. Ball
6:11.0,,,22-9,,B. Ingram misses 2-pt shot from 6 ft (block by R. Covington)
6:08.0,Defensive rebound by J. Redick,,22-9,,
6:07.0,J. Redick misses 3-pt shot from 25 ft,,22-9,,
6:07.0,,,22-9,,Defensive rebound by B. Ingram
6:00.0,,,22-9,,K. Kuzma misses 2-pt shot from 1 ft
6:00.0,,,22-9,,Offensive rebound by B. Ingram
6:00.0,,,22-9,,Shooting foul by A. Johnson (drawn by B. Ingram)
6:00.0,,,22-10,1,B. Ingram makes free throw 1 of 2
6:00.0,T. Luwawu-Cabarrot enters the game for J. Redick,,22-10,,
6:00.0,,,22-11,1,B. Ingram makes free throw 2 of 2
5:52.0,B. Simmons misses 2-pt shot from 2 ft,,22-11,,
5:51.0,Offensive rebound by T. McConnell,,22-11,,
5:48.0,R. Covington misses 3-pt shot from 23 ft,,22-11,,
5:46.0,,,22-11,,Defensive rebound by K. Caldwell-Pope
5:42.0,,,22-11,,K. Caldwell-Pope misses 3-pt shot from 27 ft
5:38.0,Defensive rebound by T. McConnell,,22-11,,
5:35.0,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell),2,24-11,,
5:16.0,,,24-11,,B. Ingram misses 2-pt shot from 3 ft
5:10.0,,,24-11,,Offensive rebound by B. Ingram
5:10.0,,,24-13,2,B. Ingram makes 2-pt shot at rim
